,model,plddt,percentile,plddt_norm,percentile_norm
0,default_af_0,0.90580493,0.9586206896551724,0.9058049321174622,0.9586206896551724
1,default_af_1,0.9059196,0.9655172413793104,0.90591961145401,0.9655172413793104
2,default_af_2,0.9065751,0.9793103448275862,0.906575083732605,0.9793103448275862
3,default_af_3,0.9062775,0.9724137931034482,0.9062774777412415,0.9724137931034482
4,default_af_4,0.9103518,0.993103448275862,0.9103518128395081,0.993103448275862
5,default_af_5,0.8912001,0.9517241379310345,0.8912001252174377,0.9517241379310345
6,default_af_6,0.90826035,0.9862068965517241,0.9082603454589844,0.9862068965517241
7,default_af_7,0.8853241,0.9310344827586207,0.8853241205215454,0.9310344827586207
8,default_af_8,0.8892603,0.9379310344827586,0.8892602920532227,0.9379310344827586
9,default_af_9,0.8901459,0.9448275862068966,0.8901458978652954,0.9448275862068966
10,default_comp_v2_0,0.7809094,0.43448275862068964,0.7809094190597534,0.43448275862068964
11,default_comp_v2_1,0.7828473,0.45517241379310347,0.7828472852706909,0.45517241379310347
12,default_comp_v2_2,0.8059944,0.8413793103448276,0.8059943914413452,0.8413793103448276
13,default_comp_v2_3,0.79558814,0.7172413793103448,0.7955881357192993,0.7172413793103448
14,default_comp_v2_4,0.80451334,0.8275862068965517,0.8045133352279663,0.8275862068965517
15,default_comp_v2_5,0.78895247,0.6,0.7889524698257446,0.6
16,default_comp_v2_6,0.79540974,0.7034482758620689,0.7954097390174866,0.7034482758620689
17,default_comp_v2_7,0.78531325,0.5172413793103449,0.7853132486343384,0.5172413793103449
18,default_comp_v2_8,0.7798688,0.4206896551724138,0.7798687815666199,0.4206896551724138
19,default_comp_v2_9,0.7495073,0.15172413793103448,0.7495073080062866,0.15172413793103448
20,default_multimer_0,0.7855009,0.5241379310344828,0.7855008840560913,0.5241379310344828
21,default_multimer_1,0.7700275,0.32413793103448274,0.7700275182723999,0.32413793103448274
22,default_multimer_2,0.79389346,0.6827586206896552,0.7938934564590454,0.6827586206896552
23,default_multimer_3,0.78864956,0.5862068965517241,0.7886495590209961,0.5862068965517241
24,default_multimer_4,0.77218115,0.33793103448275863,0.7721811532974243,0.33793103448275863
25,default_multimer_5,0.7687573,0.3103448275862069,0.7687572836875916,0.3103448275862069
26,default_multimer_6,0.7636842,0.2896551724137931,0.7636842131614685,0.2896551724137931
27,default_multimer_7,0.7628506,0.27586206896551724,0.7628505825996399,0.27586206896551724
28,default_multimer_8,0.75501305,0.22758620689655173,0.7550130486488342,0.22758620689655173
29,default_multimer_9,0.7407061,0.09655172413793103,0.7407060861587524,0.09655172413793103
30,default_pdb70_v2_0,0.78521556,0.503448275862069,0.7852155566215515,0.503448275862069
31,default_pdb70_v2_1,0.7901512,0.6413793103448275,0.7901511788368225,0.6413793103448275
32,default_pdb70_v2_2,0.7963468,0.7310344827586207,0.7963467836380005,0.7310344827586207
33,default_pdb70_v2_3,0.8149196,0.8827586206896552,0.8149195909500122,0.8827586206896552
34,default_pdb70_v2_4,0.8042916,0.8206896551724138,0.8042916059494019,0.8206896551724138
35,default_pdb70_v2_5,0.80233616,0.8,0.8023361563682556,0.8
36,default_pdb70_v2_6,0.7896008,0.6344827586206897,0.7896007895469666,0.6344827586206897
37,default_pdb70_v2_7,0.80602896,0.8482758620689655,0.8060289621353149,0.8482758620689655
38,default_pdb70_v2_8,0.78135633,0.4482758620689655,0.7813563346862793,0.4482758620689655
39,default_pdb70_v2_9,0.7744026,0.35172413793103446,0.7744026184082031,0.35172413793103446
40,default_pdb_v2_0,0.78007865,0.42758620689655175,0.780078649520874,0.42758620689655175
41,default_pdb_v2_1,0.78831106,0.5793103448275863,0.7883110642433167,0.5793103448275863
42,default_pdb_v2_2,0.7727686,0.3448275862068966,0.7727686166763306,0.3448275862068966
43,default_pdb_v2_3,0.79494935,0.696551724137931,0.7949493527412415,0.696551724137931
44,default_pdb_v2_4,0.7836216,0.47586206896551725,0.783621609210968,0.47586206896551725
45,default_pdb_v2_5,0.7840903,0.4896551724137931,0.7840902805328369,0.4896551724137931
46,default_pdb_v2_6,0.78326476,0.4689655172413793,0.7832647562026978,0.4689655172413793
47,default_pdb_v2_7,0.77722275,0.3931034482758621,0.777222752571106,0.3931034482758621
48,default_pdb_v2_8,0.78131056,0.4413793103448276,0.7813105583190918,0.4413793103448276
49,default_pdb_v2_9,0.79325294,0.6689655172413793,0.7932529449462891,0.6689655172413793
50,default_struct_v2_0,0.8004948,0.7793103448275862,0.8004947900772095,0.7793103448275862
51,default_struct_v2_1,0.7879851,0.5655172413793104,0.78798508644104,0.5655172413793104
52,default_struct_v2_2,0.7936906,0.6758620689655173,0.7936906218528748,0.6758620689655173
53,default_struct_v2_3,0.80661756,0.8551724137931035,0.8066175580024719,0.8551724137931035
54,default_struct_v2_4,0.79884326,0.7517241379310344,0.798843264579773,0.7517241379310344
55,default_struct_v2_5,0.78934395,0.6137931034482759,0.7893439531326294,0.6137931034482759
56,default_struct_v2_6,0.7915833,0.6551724137931034,0.7915832996368408,0.6551724137931034
57,default_struct_v2_7,0.8032616,0.8068965517241379,0.8032615780830383,0.8068965517241379
58,default_struct_v2_8,0.78642553,0.5517241379310345,0.7864255309104919,0.5517241379310345
59,default_struct_v2_9,0.7893885,0.6206896551724138,0.7893884778022766,0.6206896551724138
60,default_uniclust30_0,0.7566941,0.2413793103448276,0.7566940784454346,0.2413793103448276
61,default_uniclust30_1,0.7558616,0.23448275862068965,0.7558615803718567,0.23448275862068965
62,default_uniclust30_2,0.766741,0.30344827586206896,0.7667409777641296,0.30344827586206896
