,model,icps,recall
0,Elo_0,0.30359212598425195,0.0009290907118055555
1,Elo_1,0.30704879032258064,0.00091552734375
2,Elo_2,0.2999921875,0.0009223090277777778
3,Elo_3,0.30480857142857143,0.0008951822916666666
4,Elo_4,0.30735250965250965,0.0009629991319444445
5,default_af_0,0.30070664062499997,0.0009223090277777778
6,default_af_1,0.3000258823529412,0.00091552734375
7,default_af_2,0.2991036437246964,0.0008884006076388889
8,default_af_3,0.2968273092369478,0.0008884006076388889
9,default_af_4,0.30415884773662555,0.0008884006076388889
10,default_af_5,0.30374303278688525,0.0008951822916666666
11,default_af_6,0.3065023809523809,0.0009358723958333334
12,default_af_7,0.30221417004048584,0.0009019639756944445
13,default_af_8,0.2999951807228916,0.0009019639756944445
14,default_af_9,0.30531067193675887,0.0009290907118055555
15,default_comp_0,0.297626,0.0008884006076388889
16,default_comp_1,0.30390846774193553,0.0009019639756944445
17,default_comp_2,0.29434570312499997,0.0009019639756944445
18,default_comp_3,0.29551302681992336,0.0009290907118055555
19,default_comp_4,0.3033920634920635,0.00091552734375
20,default_comp_5,0.2982814960629921,0.0009087456597222222
21,default_comp_6,0.2843114814814815,0.0009223090277777778
22,default_comp_7,0.30364262948207177,0.00091552734375
23,default_comp_8,0.2972813229571984,0.0009223090277777778
24,default_comp_9,0.29779098039215685,0.0009019639756944445
25,default_multimer_0,0.304051968503937,0.0009290907118055555
26,default_multimer_1,0.3072512,0.0009290907118055555
27,default_multimer_2,0.3099632,0.0009290907118055555
28,default_multimer_3,0.3062713725490196,0.0009358723958333334
29,default_multimer_4,0.2951845283018868,0.0009290907118055555
30,default_multimer_5,0.2995969348659004,0.0009358723958333334
31,default_multimer_6,0.2864868131868132,0.0009426540798611111
32,default_multimer_7,0.2998222641509434,0.0009697808159722222
33,default_multimer_8,0.28929402985074626,0.0009290907118055555
34,default_multimer_9,0.29878154981549815,0.0009833441840277778
35,default_pdb70_0,0.30708320000000006,0.0009223090277777778
36,default_pdb70_1,0.30652140077821016,0.0009494357638888889
37,default_pdb70_2,0.29536704980842915,0.0009290907118055555
38,default_pdb70_3,0.2974876447876448,0.0009358723958333334
39,default_pdb70_4,0.3041870588235294,0.0009290907118055555
40,default_pdb70_5,0.3038507874015748,0.0009290907118055555
41,default_pdb70_6,0.2938947791164659,0.0008816189236111111
42,default_pdb70_7,0.301889641434263,0.0009019639756944445
43,default_pdb70_8,0.29956586345381525,0.0008884006076388889
44,default_pdb70_9,0.2979115384615385,0.0009223090277777778
45,default_pdb_0,0.302012,0.0009019639756944445
46,default_pdb_1,0.30062109375,0.0009223090277777778
47,default_pdb_2,0.2977564705882353,0.0009087456597222222
48,default_pdb_3,0.29530542635658913,0.00091552734375
49,default_pdb_4,0.3011283400809716,0.0008884006076388889
50,default_pdb_5,0.28500845588235296,0.0009290907118055555
51,default_pdb_6,0.30145758754863816,0.0009290907118055555
52,default_pdb_7,0.2968785992217899,0.0009223090277777778
53,default_pdb_8,0.2993551181102362,0.00091552734375
54,default_pdb_9,0.3012709302325582,0.0009223090277777778
55,default_struct_0,0.29728587786259547,0.0009358723958333334
56,default_struct_1,0.3051093117408907,0.0009019639756944445
57,default_struct_2,0.2979284644194756,0.0009697808159722222
58,default_struct_3,0.30496411290322584,0.0009087456597222222
59,default_struct_4,0.30027403100775196,0.0009358723958333334
60,default_struct_5,0.29566934865900385,0.0009290907118055555
61,default_struct_6,0.29017537878787875,0.00091552734375
62,default_struct_7,0.3019864541832669,0.0009019639756944445
63,default_struct_8,0.30211264822134387,0.00091552734375
64,default_struct_9,0.29579069767441857,0.0009087456597222222
65,default_uniclust30_0,0.3008937007874016,0.00091552734375
66,default_uniclust30_1,0.3030424,0.00091552734375
67,default_uniclust30_2,0.28825468164794005,0.0009223090277777778
68,default_uniclust30_3,0.2995800766283525,0.0009290907118055555
69,default_uniclust30_4,0.2880022304832714,0.0009290907118055555
70,default_uniclust30_5,0.3029239215686274,0.0009223090277777778
71,default_uniclust30_6,0.29369027237354084,0.0009087456597222222
72,default_uniclust30_7,0.29940996168582373,0.0009494357638888889
73,default_uniclust30_8,0.2902081180811808,0.0009494357638888889
74,default_uniclust30_9,0.28542977099236644,0.0009019639756944445
75,iter_1_0,0.300001171875,0.00091552734375
76,iter_1_1,0.3006364372469636,0.0008884006076388889
77,iter_1_2,0.30110198412698413,0.00091552734375
78,iter_1_3,0.3044238095238095,0.0009223090277777778
79,iter_1_4,0.29713984375,0.00091552734375
80,iter_1_5,0.29434570312499997,0.0009019639756944445
81,iter_1_6,0.29747203065134104,0.0009290907118055555
82,iter_1_7,0.30306507936507937,0.00091552734375
83,iter_1_8,0.30260933852140076,0.0009223090277777778
84,iter_1_9,0.3012320158102767,0.0009087456597222222
85,iter_1_old_0,0.30391493775933615,0.0008612738715277778
86,iter_1_old_1,0.3077326359832636,0.0008680555555555555
87,iter_1_old_2,0.29657000000000006,0.0008409288194444445
88,iter_1_old_3,0.27754377510040157,0.0008341471354166666
89,iter_1_old_4,0.3012208333333334,0.0008748372395833334
90,iter_1_old_5,0.27538650793650793,0.0008409288194444445
91,iter_1_old_6,0.2981033755274263,0.0008477105034722222
92,iter_1_old_7,0.3171538860103627,0.0007663302951388889
93,iter_1_old_8,0.3018663212435233,0.0007052951388888889
94,iter_1_old_9,0.3094814432989691,0.0007188585069444445
95,lewis_0,0.2998804979253112,0.0008612738715277778
96,lewis_1,0.3019340163934426,0.0008816189236111111
97,lewis_2,0.2996598360655737,0.0008748372395833334
98,lewis_3,0.2864159090909091,0.0009087456597222222
99,lewis_4,0.28543396226415096,0.0009087456597222222
100,pdb_iter_uniref_a3m_0,0.29141435643564356,0.0007120768229166666
101,pdb_iter_uniref_a3m_1,0.26466805555555556,0.0006849500868055555
102,pdb_iter_uniref_a3m_2,0.2663300469483568,0.00067138671875
103,pdb_iter_uniref_a3m_3,0.24748903508771927,0.00067138671875
104,pdb_iter_uniref_a3m_4,0.26760504587155964,0.0006781684027777778
105,pdb_iter_uniref_a3m_5,0.28981,0.0008544921875
106,pdb_iter_uniref_a3m_6,0.2674023364485981,0.00067138671875
107,pdb_iter_uniref_a3m_7,0.2839231075697211,0.0008612738715277778
108,pdb_iter_uniref_a3m_8,0.2520382075471698,0.0006306966145833334
109,pdb_iter_uniref_a3m_9,0.25658837209302326,0.0006510416666666666
110,spec_af_0,0.2995331983805668,0.0008884006076388889
111,spec_af_1,0.29814170040485827,0.0008884006076388889
112,spec_af_2,0.2989308943089431,0.0008884006076388889
113,spec_af_3,0.2992910638297872,0.0008612738715277778
114,spec_af_4,0.3013322580645161,0.0009019639756944445
115,spec_af_5,0.2991836734693878,0.0008884006076388889
116,spec_af_6,0.30620959999999997,0.00091552734375
117,spec_af_7,0.30620959999999997,0.00091552734375
118,spec_af_8,0.30635396825396827,0.0009223090277777778
119,spec_af_9,0.3014043650793651,0.0009087456597222222
120,spec_comp_0,0.2888493670886076,0.0008273654513888889
121,spec_comp_1,0.2648605911330049,0.0006306966145833334
122,spec_comp_2,0.2664435643564357,0.0006306966145833334
123,spec_comp_3,0.29270364583333336,0.0006781684027777778
124,spec_comp_4,0.25570497512437806,0.0006239149305555555
125,spec_comp_5,0.25472463054187194,0.0006306966145833334
126,spec_comp_6,0.2646959183673469,0.0006103515625
127,spec_comp_7,0.2944701492537314,0.0007188585069444445
128,spec_comp_8,0.2631139175257732,0.0006171332465277778
129,spec_comp_9,0.25357766990291264,0.0006306966145833334
130,spec_iter_uniprot_sto_0,0.28915372549019613,0.0009087456597222222
131,spec_iter_uniprot_sto_1,0.3044657480314961,0.0009223090277777778
132,spec_iter_uniprot_sto_2,0.30289556451612903,0.0009087456597222222
133,spec_iter_uniprot_sto_3,0.28229370078740157,0.0008951822916666666
134,spec_iter_uniprot_sto_4,0.2826933333333334,0.0008341471354166666
135,spec_iter_uniprot_sto_5,0.2903172690763052,0.0008951822916666666
136,spec_iter_uniprot_sto_6,0.2960380566801619,0.0009087456597222222
137,spec_iter_uniprot_sto_7,0.28257341772151895,0.0008273654513888889
138,spec_iter_uniprot_sto_8,0.3061103053435114,0.0009562174479166666
139,spec_iter_uniprot_sto_9,0.27667301587301585,0.0008680555555555555
140,spec_iter_uniref_a3m_0,0.28987613168724286,0.0008612738715277778
141,spec_iter_uniref_a3m_1,0.2902840163934427,0.0008612738715277778
142,spec_iter_uniref_a3m_2,0.2588251308900524,0.0005900065104166666
143,spec_iter_uniref_a3m_3,0.26684145077720206,0.0006103515625
144,spec_iter_uniref_a3m_4,0.28309329608938544,0.0006103515625
145,spec_iter_uniref_a3m_5,0.26616701030927836,0.0006035698784722222
146,spec_iter_uniref_a3m_6,0.26019687499999994,0.0006035698784722222
147,spec_iter_uniref_a3m_7,0.25854102564102566,0.0006035698784722222
148,spec_iter_uniref_a3m_8,0.2614579207920792,0.0006374782986111111
149,spec_iter_uniref_a3m_9,0.26325294117647063,0.0006239149305555555
150,spec_iter_uniref_sto_0,0.3025681102362205,0.0009290907118055555
151,spec_iter_uniref_sto_1,0.30335294117647055,0.0009358723958333334
152,spec_iter_uniref_sto_2,0.30183545816733065,0.00091552734375
153,spec_iter_uniref_sto_3,0.30527599999999994,0.00091552734375
154,spec_iter_uniref_sto_4,0.30415261044176706,0.0009087456597222222
155,spec_iter_uniref_sto_5,0.30069325396825397,0.0009223090277777778
156,spec_iter_uniref_sto_6,0.28525407407407405,0.0009426540798611111
157,spec_iter_uniref_sto_7,0.28314275092936797,0.0009290907118055555
158,spec_iter_uniref_sto_8,0.3018526923076923,0.0009358723958333334
159,spec_iter_uniref_sto_9,0.3030942965779468,0.0009562174479166666
160,spec_pdb70_0,0.26273417085427136,0.0006239149305555555
161,spec_pdb70_1,0.2611039024390244,0.0006374782986111111
162,spec_pdb70_2,0.30014636871508377,0.0006578233506944445
163,spec_pdb70_3,0.26636313131313133,0.0006171332465277778
164,spec_pdb70_4,0.2745650246305419,0.0006442599826388889
165,spec_pdb70_5,0.271343,0.0006442599826388889
166,spec_pdb70_6,0.264459693877551,0.0006306966145833334
167,spec_pdb70_7,0.2597175609756098,0.0006510416666666666
168,spec_pdb70_8,0.259383,0.0006306966145833334
169,spec_pdb70_9,0.2635450495049505,0.0006510416666666666
170,spec_pdb_0,0.2820394957983194,0.0008273654513888889
171,spec_pdb_1,0.26859502487562187,0.0006374782986111111
172,spec_pdb_2,0.2606522167487685,0.0006306966145833334
173,spec_pdb_3,0.2581821782178218,0.0006374782986111111
174,spec_pdb_4,0.26260198019801984,0.0006306966145833334
175,spec_pdb_5,0.25898571428571426,0.0006578233506944445
176,spec_pdb_6,0.28057230769230773,0.00067138671875
177,spec_pdb_7,0.2837375527426161,0.0008409288194444445
178,spec_pdb_8,0.2634520618556701,0.0006306966145833334
179,spec_pdb_9,0.26256476683937824,0.0006171332465277778
180,spec_struct_0,0.28975416666666665,0.0008477105034722222
181,spec_struct_1,0.281153937007874,0.0008680555555555555
182,spec_struct_2,0.268048730964467,0.0006374782986111111
183,spec_struct_3,0.2585079365079365,0.0005832248263888889
184,spec_struct_4,0.2943611353711791,0.0008341471354166666
185,spec_struct_5,0.29656042553191486,0.0008273654513888889
186,spec_struct_6,0.29971927083333333,0.0006985134548611111
187,spec_struct_7,0.2823871244635193,0.0008070203993055555
188,spec_struct_8,0.2928288209606987,0.0008070203993055555
189,spec_struct_9,0.2967297297297298,0.00079345703125
190,uniclust_oxmatch_a3m_0,0.23875427135678393,0.0005967881944444445
191,uniclust_oxmatch_a3m_1,0.24098477157360407,0.0005967881944444445
192,uniclust_oxmatch_a3m_2,0.2413779411764706,0.0005967881944444445
193,uniclust_oxmatch_a3m_3,0.24011379310344827,0.0006103515625
194,uniclust_oxmatch_a3m_4,0.23877435897435897,0.0005628797743055555
195,uniclust_oxmatch_a3m_5,0.23908883248730967,0.0005900065104166666
196,uniclust_oxmatch_a3m_6,0.2359832512315271,0.0006035698784722222
197,uniclust_oxmatch_a3m_7,0.23556124401913872,0.0006171332465277778
198,uniclust_oxmatch_a3m_8,0.26219607843137255,0.0008409288194444445
199,uniclust_oxmatch_a3m_9,0.2593043269230769,0.00067138671875
