,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,avg_refine_0,avg_refine_1,avg_refine_2,avg_refine_3,avg_refine_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_0,default_comp_1,default_comp_2,default_comp_3,default_comp_4,default_comp_5,default_comp_6,default_comp_7,default_comp_8,default_comp_9,default_mul_newest5_0,default_mul_newest5_1,default_mul_newest5_10,default_mul_newest5_11,default_mul_newest5_12,default_mul_newest5_13,default_mul_newest5_14,default_mul_newest5_15,default_mul_newest5_16,default_mul_newest5_17,default_mul_newest5_18,default_mul_newest5_19,default_mul_newest5_2,default_mul_newest5_20,default_mul_newest5_21,default_mul_newest5_22,default_mul_newest5_23,default_mul_newest5_24,default_mul_newest5_3,default_mul_newest5_4,default_mul_newest5_5,default_mul_newest5_6,default_mul_newest5_7,default_mul_newest5_8,default_mul_newest5_9,default_mul_newest_0,default_mul_newest_1,default_mul_newest_10,default_mul_newest_11,default_mul_newest_12,default_mul_newest_13,default_mul_newest_14,default_mul_newest_15,default_mul_newest_16,default_mul_newest_17,default_mul_newest_18,default_mul_newest_19,default_mul_newest_2,default_mul_newest_20,default_mul_newest_21,default_mul_newest_22,default_mul_newest_23,default_mul_newest_24,default_mul_newest_25,default_mul_newest_26,default_mul_newest_27,default_mul_newest_28,default_mul_newest_29,default_mul_newest_3,default_mul_newest_30,default_mul_newest_31,default_mul_newest_32,default_mul_newest_33,default_mul_newest_34,default_mul_newest_35,default_mul_newest_36,default_mul_newest_37,default_mul_newest_38,default_mul_newest_39,default_mul_newest_4,default_mul_newest_40,default_mul_newest_41,default_mul_newest_42,default_mul_newest_43,default_mul_newest_44,default_mul_newest_45,default_mul_newest_46,default_mul_newest_47,default_mul_newest_48,default_mul_newest_49,default_mul_newest_5,default_mul_newest_6,default_mul_newest_7,default_mul_newest_8,default_mul_newest_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb_0,default_pdb_1,default_pdb_2,default_pdb_3,default_pdb_4,default_pdb_5,default_pdb_6,default_pdb_7,default_pdb_8,default_pdb_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_225_0,default_uniref30_225_1,default_uniref30_225_10,default_uniref30_225_11,default_uniref30_225_12,default_uniref30_225_13,default_uniref30_225_14,default_uniref30_225_15,default_uniref30_225_16,default_uniref30_225_17,default_uniref30_225_18,default_uniref30_225_19,default_uniref30_225_2,default_uniref30_225_20,default_uniref30_225_21,default_uniref30_225_22,default_uniref30_225_23,default_uniref30_225_24,default_uniref30_225_3,default_uniref30_225_4,default_uniref30_225_5,default_uniref30_225_6,default_uniref30_225_7,default_uniref30_225_8,default_uniref30_225_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_10,default_uniref30_22_11,default_uniref30_22_12,default_uniref30_22_13,default_uniref30_22_14,default_uniref30_22_15,default_uniref30_22_16,default_uniref30_22_17,default_uniref30_22_18,default_uniref30_22_19,default_uniref30_22_2,default_uniref30_22_20,default_uniref30_22_21,default_uniref30_22_22,default_uniref30_22_23,default_uniref30_22_24,default_uniref30_22_25,default_uniref30_22_26,default_uniref30_22_27,default_uniref30_22_28,default_uniref30_22_29,default_uniref30_22_3,default_uniref30_22_30,default_uniref30_22_31,default_uniref30_22_32,default_uniref30_22_33,default_uniref30_22_34,default_uniref30_22_35,default_uniref30_22_36,default_uniref30_22_37,default_uniref30_22_38,default_uniref30_22_39,default_uniref30_22_4,default_uniref30_22_40,default_uniref30_22_41,default_uniref30_22_42,default_uniref30_22_43,default_uniref30_22_44,default_uniref30_22_45,default_uniref30_22_46,default_uniref30_22_47,default_uniref30_22_48,default_uniref30_22_49,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,iter_1_0,iter_1_1,iter_1_2,iter_1_3,iter_1_4,iter_1_5,iter_1_6,iter_1_7,iter_1_8,iter_1_9,iter_2_0,iter_2_1,iter_2_2,iter_2_3,iter_2_4,iter_2_5,iter_2_6,iter_2_7,iter_2_8,iter_2_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,spec_iter_uniref_sto_0,spec_iter_uniref_sto_1,spec_iter_uniref_sto_2,spec_iter_uniref_sto_3,spec_iter_uniref_sto_4,spec_iter_uniref_sto_5,spec_iter_uniref_sto_6,spec_iter_uniref_sto_7,spec_iter_uniref_sto_8,spec_iter_uniref_sto_9,unidist_uniprot_sto_0,unidist_uniprot_sto_1,unidist_uniprot_sto_2,unidist_uniprot_sto_3,unidist_uniprot_sto_4,unidist_uniprot_sto_5,unidist_uniprot_sto_6,unidist_uniprot_sto_7,unidist_uniprot_sto_8,unidist_uniprot_sto_9
0,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
