,model,score,score_norm
0,Elo_0,0.8813,0.88134765625
1,Elo_1,0.879,0.87890625
2,Elo_2,0.876,0.8759765625
3,Elo_3,0.8735,0.87353515625
4,Elo_4,0.876,0.8759765625
5,avg_refine_0,0.8843,0.88427734375
6,avg_refine_1,0.892,0.89208984375
7,avg_refine_2,0.891,0.89111328125
8,avg_refine_3,0.884,0.8837890625
9,avg_refine_4,0.8667,0.86669921875
10,default_af_0,0.874,0.8740234375
11,default_af_1,0.8164,0.81640625
12,default_af_2,0.818,0.81787109375
13,default_af_3,0.805,0.80517578125
14,default_af_4,0.818,0.81787109375
15,default_af_5,0.8174,0.8173828125
16,default_af_6,0.8164,0.81640625
17,default_af_7,0.815,0.81494140625
18,default_af_8,0.8145,0.814453125
19,default_af_9,0.815,0.81494140625
20,default_comp_0,0.8745,0.87451171875
21,default_comp_1,0.872,0.8720703125
22,default_comp_2,0.8696,0.86962890625
23,default_comp_3,0.8677,0.86767578125
24,default_comp_4,0.8643,0.8642578125
25,default_comp_5,0.8633,0.86328125
26,default_comp_6,0.8657,0.86572265625
27,default_comp_7,0.8623,0.8623046875
28,default_comp_8,0.8574,0.857421875
29,default_comp_9,0.855,0.85498046875
30,default_mul_newest_0,0.8823,0.88232421875
31,default_mul_newest_1,0.879,0.87890625
32,default_mul_newest_10,0.8184,0.818359375
33,default_mul_newest_11,0.8184,0.818359375
34,default_mul_newest_12,0.8174,0.8173828125
35,default_mul_newest_13,0.82,0.81982421875
36,default_mul_newest_14,0.8193,0.8193359375
37,default_mul_newest_15,0.818,0.81787109375
38,default_mul_newest_16,0.819,0.81884765625
39,default_mul_newest_17,0.8193,0.8193359375
40,default_mul_newest_18,0.825,0.8251953125
41,default_mul_newest_19,0.819,0.81884765625
42,default_mul_newest_2,0.878,0.8779296875
43,default_mul_newest_20,0.82,0.81982421875
44,default_mul_newest_21,0.821,0.82080078125
45,default_mul_newest_22,0.821,0.82080078125
46,default_mul_newest_23,0.8203,0.8203125
47,default_mul_newest_24,0.821,0.82080078125
48,default_mul_newest_3,0.882,0.8818359375
49,default_mul_newest_4,0.877,0.876953125
50,default_mul_newest_5,0.8774,0.87744140625
51,default_mul_newest_6,0.872,0.8720703125
52,default_mul_newest_7,0.8735,0.87353515625
53,default_mul_newest_8,0.8677,0.86767578125
54,default_mul_newest_9,0.866,0.8662109375
55,default_multimer_0,0.8784,0.87841796875
56,default_multimer_1,0.882,0.8818359375
57,default_multimer_2,0.8813,0.88134765625
58,default_multimer_3,0.8765,0.87646484375
59,default_multimer_4,0.8716,0.87158203125
60,default_multimer_5,0.8687,0.86865234375
61,default_multimer_6,0.8296,0.82958984375
62,default_multimer_7,0.816,0.81591796875
63,default_multimer_8,0.8164,0.81640625
64,default_multimer_9,0.8174,0.8173828125
65,default_pdb70_0,0.885,0.884765625
66,default_pdb70_1,0.8813,0.88134765625
67,default_pdb70_2,0.879,0.87890625
68,default_pdb70_3,0.871,0.87109375
69,default_pdb70_4,0.8735,0.87353515625
70,default_pdb70_5,0.87,0.8701171875
71,default_pdb70_6,0.871,0.87109375
72,default_pdb70_7,0.812,0.81201171875
73,default_pdb70_8,0.8096,0.8095703125
74,default_pdb70_9,0.8096,0.8095703125
75,default_pdb_0,0.8745,0.87451171875
76,default_pdb_1,0.8726,0.87255859375
77,default_pdb_2,0.8726,0.87255859375
78,default_pdb_3,0.87,0.8701171875
79,default_pdb_4,0.87,0.8701171875
80,default_pdb_5,0.8677,0.86767578125
81,default_pdb_6,0.8633,0.86328125
82,default_pdb_7,0.8604,0.8603515625
83,default_pdb_8,0.805,0.80517578125
84,default_pdb_9,0.805,0.80517578125
85,default_struct_0,0.889,0.88916015625
86,default_struct_1,0.89,0.89013671875
87,default_struct_2,0.8896,0.8896484375
88,default_struct_3,0.885,0.884765625
89,default_struct_4,0.885,0.884765625
90,default_struct_5,0.889,0.88916015625
91,default_struct_6,0.8867,0.88671875
92,default_struct_7,0.8857,0.8857421875
93,default_struct_8,0.8804,0.88037109375
94,default_struct_9,0.88,0.8798828125
95,default_uniclust30_0,0.878,0.8779296875
96,default_uniclust30_1,0.877,0.876953125
97,default_uniclust30_2,0.8774,0.87744140625
98,default_uniclust30_3,0.8706,0.87060546875
99,default_uniclust30_4,0.8677,0.86767578125
100,default_uniclust30_5,0.822,0.82177734375
101,default_uniclust30_6,0.817,0.81689453125
102,default_uniclust30_7,0.8257,0.82568359375
103,default_uniclust30_8,0.8164,0.81640625
104,default_uniclust30_9,0.8203,0.8203125
105,default_uniref30_22_0,0.882,0.8818359375
106,default_uniref30_22_1,0.882,0.8818359375
107,default_uniref30_22_10,0.8677,0.86767578125
108,default_uniref30_22_11,0.865,0.865234375
109,default_uniref30_22_12,0.8237,0.82373046875
110,default_uniref30_22_13,0.8184,0.818359375
111,default_uniref30_22_14,0.8154,0.8154296875
112,default_uniref30_22_15,0.818,0.81787109375
113,default_uniref30_22_16,0.8203,0.8203125
114,default_uniref30_22_17,0.8174,0.8173828125
115,default_uniref30_22_18,0.8184,0.818359375
116,default_uniref30_22_19,0.8184,0.818359375
117,default_uniref30_22_2,0.878,0.8779296875
118,default_uniref30_22_20,0.8228,0.82275390625
119,default_uniref30_22_21,0.8213,0.8212890625
120,default_uniref30_22_22,0.82,0.81982421875
121,default_uniref30_22_23,0.82,0.81982421875
122,default_uniref30_22_24,0.8228,0.82275390625
123,default_uniref30_22_3,0.876,0.8759765625
124,default_uniref30_22_4,0.8784,0.87841796875
125,default_uniref30_22_5,0.877,0.876953125
126,default_uniref30_22_6,0.8755,0.87548828125
127,default_uniref30_22_7,0.8726,0.87255859375
128,default_uniref30_22_8,0.874,0.8740234375
129,default_uniref30_22_9,0.8706,0.87060546875
130,iter_1_0,0.8877,0.8876953125
131,iter_1_1,0.8843,0.88427734375
132,iter_1_2,0.88,0.8798828125
133,iter_1_3,0.8765,0.87646484375
134,iter_1_4,0.87,0.8701171875
135,iter_1_5,0.866,0.8662109375
136,iter_1_6,0.822,0.82177734375
137,iter_1_7,0.8223,0.822265625
138,iter_1_8,0.839,0.8388671875
139,iter_1_9,0.8364,0.83642578125
140,iter_2_0,0.88,0.8798828125
141,iter_2_1,0.8145,0.814453125
142,iter_2_2,0.814,0.81396484375
143,iter_2_3,0.821,0.82080078125
144,iter_2_4,0.82,0.81982421875
145,iter_2_5,0.8228,0.82275390625
146,iter_2_6,0.8257,0.82568359375
147,iter_2_7,0.8403,0.84033203125
148,iter_2_8,0.827,0.8271484375
149,iter_2_9,0.8413,0.84130859375
150,lewis_0,0.8813,0.88134765625
151,lewis_1,0.88,0.8798828125
152,lewis_2,0.881,0.880859375
