,model,score,score_norm
0,Elo_0,0.792,0.7919921875
1,Elo_1,0.7847,0.78466796875
2,Elo_2,0.782,0.7822265625
3,Elo_3,0.7803,0.7802734375
4,Elo_4,0.775,0.77490234375
5,default_af_0,0.796,0.7958984375
6,default_af_1,0.8,0.7998046875
7,default_af_2,0.77,0.77001953125
8,default_af_3,0.765,0.76513671875
9,default_af_4,0.777,0.77685546875
10,default_af_5,0.7783,0.7783203125
11,default_af_6,0.7773,0.77734375
12,default_af_7,0.7754,0.775390625
13,default_af_8,0.781,0.78076171875
14,default_af_9,0.761,0.76123046875
15,default_comp_0,0.8003,0.80029296875
16,default_comp_1,0.7993,0.79931640625
17,default_comp_2,0.817,0.81689453125
18,default_comp_3,0.8076,0.8076171875
19,default_comp_4,0.788,0.7880859375
20,default_comp_5,0.7866,0.78662109375
21,default_comp_6,0.777,0.77685546875
22,default_comp_7,0.766,0.76611328125
23,default_comp_8,0.767,0.76708984375
24,default_comp_9,0.758,0.7578125
25,default_mul_newest_0,0.809,0.80908203125
26,default_mul_newest_1,0.8003,0.80029296875
27,default_mul_newest_2,0.793,0.79296875
28,default_mul_newest_3,0.783,0.783203125
29,default_mul_newest_4,0.7827,0.78271484375
30,default_mul_newest_5,0.7524,0.75244140625
31,default_mul_newest_6,0.746,0.74609375
32,default_multimer_0,0.8027,0.802734375
33,default_multimer_1,0.8057,0.8056640625
34,default_multimer_2,0.804,0.80419921875
35,default_multimer_3,0.7905,0.79052734375
36,default_multimer_4,0.792,0.7919921875
37,default_multimer_5,0.773,0.77294921875
38,default_multimer_6,0.766,0.76611328125
39,default_multimer_7,0.766,0.76611328125
40,default_multimer_8,0.7505,0.75048828125
41,default_multimer_9,0.747,0.7470703125
42,default_pdb70_0,0.8193,0.8193359375
43,default_pdb70_1,0.816,0.81591796875
44,default_pdb70_2,0.812,0.81201171875
45,default_pdb70_3,0.8105,0.810546875
46,default_pdb70_4,0.7993,0.79931640625
47,default_pdb70_5,0.803,0.80322265625
48,default_pdb70_6,0.7676,0.767578125
49,default_pdb70_7,0.767,0.76708984375
50,default_pdb70_8,0.753,0.7529296875
51,default_pdb70_9,0.7524,0.75244140625
52,default_pdb_0,0.802,0.8017578125
53,default_pdb_1,0.799,0.798828125
54,default_pdb_2,0.798,0.7978515625
55,default_pdb_3,0.7983,0.79833984375
56,default_pdb_4,0.7847,0.78466796875
57,default_pdb_5,0.7915,0.79150390625
58,default_pdb_6,0.766,0.76611328125
59,default_pdb_7,0.7656,0.765625
60,default_pdb_8,0.7573,0.75732421875
61,default_pdb_9,0.756,0.755859375
62,default_struct_0,0.8057,0.8056640625
63,default_struct_1,0.807,0.80712890625
64,default_struct_2,0.7944,0.79443359375
65,default_struct_3,0.7812,0.78125
66,default_struct_4,0.794,0.7939453125
67,default_struct_5,0.7686,0.7685546875
68,default_struct_6,0.769,0.76904296875
69,default_struct_7,0.768,0.76806640625
70,default_struct_8,0.748,0.748046875
71,default_struct_9,0.754,0.75390625
72,default_uniref30_22_0,0.8086,0.80859375
73,default_uniref30_22_1,0.8086,0.80859375
74,default_uniref30_22_10,0.792,0.7919921875
75,default_uniref30_22_11,0.793,0.79296875
76,default_uniref30_22_12,0.792,0.7919921875
77,default_uniref30_22_13,0.7935,0.79345703125
78,default_uniref30_22_14,0.7803,0.7802734375
79,default_uniref30_22_15,0.7676,0.767578125
80,default_uniref30_22_16,0.768,0.76806640625
81,default_uniref30_22_17,0.7676,0.767578125
82,default_uniref30_22_18,0.7686,0.7685546875
83,default_uniref30_22_19,0.7666,0.7666015625
84,default_uniref30_22_2,0.81,0.81005859375
85,default_uniref30_22_20,0.747,0.7470703125
86,default_uniref30_22_21,0.7476,0.74755859375
87,default_uniref30_22_22,0.7466,0.74658203125
88,default_uniref30_22_23,0.747,0.7470703125
89,default_uniref30_22_24,0.744,0.744140625
90,default_uniref30_22_3,0.796,0.7958984375
91,default_uniref30_22_4,0.809,0.80908203125
92,default_uniref30_22_5,0.8086,0.80859375
93,default_uniref30_22_6,0.793,0.79296875
94,default_uniref30_22_7,0.794,0.7939453125
95,default_uniref30_22_8,0.8037,0.8037109375
96,default_uniref30_22_9,0.795,0.794921875
