,model,interface_size_norm,model_size_norm
0,Elo_0,2.68836291913215,1.0
1,Elo_1,2.6351084812623276,1.0
2,Elo_2,2.678500986193294,1.0
3,Elo_3,2.828402366863905,1.0
4,Elo_4,2.4812623274161734,1.0
5,avg_refine_0,2.583826429980276,1.0
6,avg_refine_1,2.601577909270217,1.0
7,avg_refine_2,2.6074950690335306,1.0
8,avg_refine_3,2.1400394477317555,1.0
9,avg_refine_4,2.1025641025641026,1.0
10,default_af_0,3.100591715976331,1.0
11,default_af_1,3.2958579881656807,1.0
12,default_af_2,3.2169625246548326,1.0
13,default_af_3,3.0690335305719922,1.0
14,default_af_4,2.9566074950690333,1.0
15,default_af_5,3.1479289940828403,1.0
16,default_af_6,2.796844181459566,1.0
17,default_af_7,3.0532544378698225,1.0
18,default_af_8,2.978303747534517,1.0
19,default_af_9,2.948717948717949,1.0
20,default_img_0,2.6094674556213016,1.0
21,default_img_1,2.68836291913215,1.0
22,default_img_2,2.8007889546351086,1.0
23,default_img_3,2.5798816568047336,1.0
24,default_img_4,2.871794871794872,1.0
25,default_img_5,2.2268244575936884,1.0
26,default_img_6,3.0118343195266273,1.0
27,default_img_7,2.495069033530572,1.0
28,default_img_8,2.9171597633136095,1.0
29,default_img_9,2.562130177514793,1.0
30,default_mul_newest_0,2.6508875739644973,1.0
31,default_mul_newest_1,2.631163708086785,1.0
32,default_mul_newest_10,2.5483234714003946,1.0
33,default_mul_newest_11,2.68836291913215,1.0
34,default_mul_newest_12,2.619329388560158,1.0
35,default_mul_newest_13,2.3333333333333335,1.0
36,default_mul_newest_14,2.4930966469428006,1.0
37,default_mul_newest_15,2.6173570019723864,1.0
38,default_mul_newest_16,2.2169625246548326,1.0
39,default_mul_newest_17,2.5384615384615383,1.0
40,default_mul_newest_18,2.437869822485207,1.0
41,default_mul_newest_19,2.7593688362919133,1.0
42,default_mul_newest_2,2.6074950690335306,1.0
43,default_mul_newest_20,2.5364891518737673,1.0
44,default_mul_newest_21,2.2110453648915187,1.0
45,default_mul_newest_22,2.611439842209073,1.0
46,default_mul_newest_23,2.489151873767258,1.0
47,default_mul_newest_24,1.9743589743589745,1.0
48,default_mul_newest_3,2.5877712031558184,1.0
49,default_mul_newest_4,2.662721893491124,1.0
50,default_mul_newest_5,2.6351084812623276,1.0
51,default_mul_newest_6,2.58974358974359,1.0
52,default_mul_newest_7,2.4497041420118344,1.0
53,default_mul_newest_8,2.3648915187376724,1.0
54,default_mul_newest_9,2.619329388560158,1.0
55,default_multimer_0,2.6745562130177514,1.0
56,default_multimer_1,2.5798816568047336,1.0
57,default_multimer_2,2.706114398422091,1.0
58,default_multimer_3,2.6429980276134124,1.0
59,default_multimer_4,2.5680473372781063,1.0
60,default_multimer_5,2.6568047337278107,1.0
61,default_multimer_6,2.7218934911242605,1.0
62,default_multimer_7,1.9684418145956608,1.0
63,default_multimer_8,2.6508875739644973,1.0
64,default_multimer_9,2.670611439842209,1.0
65,default_struct_0,2.5285996055226825,1.0
66,default_struct_1,2.076923076923077,1.0
67,default_struct_2,2.1025641025641026,1.0
68,default_struct_3,2.4595660749506902,1.0
69,default_struct_4,2.128205128205128,1.0
70,default_struct_5,2.203155818540434,1.0
71,default_struct_6,2.5798816568047336,1.0
72,default_struct_7,2.591715976331361,1.0
