,model,tmscore
0,default_af_0,0.87541
1,spec_struct_5,0.92141
2,iter_2_5,0.92617
3,str_pdb_0,0.91819
4,default_struct_0,0.91876
5,default_multimer_5,0.92217
6,spec_pdb_0,0.92085
7,str_struct_5,0.91557
8,str_uniprot_sto_5,0.9218
9,def_uniref30_0,0.92345
10,spec_uniref_a3m_0,0.92574
11,unidist_uniprot_0,0.92065
12,str_uniprot_sto_6,0.92018
13,iter_2_6,0.92664
14,unidist_uniprot_1,0.91973
15,default_multimer_6,0.91381
16,default_af_1,0.88876
17,spec_uniref_a3m_1,0.92353
18,str_pdb_1,0.92036
19,default_struct_1,0.9257
20,def_uniref30_1,0.92408
21,str_struct_6,0.91269
22,spec_struct_6,0.92391
23,spec_pdb_1,0.92217
24,default_af_2,0.90031
25,default_multimer_7,0.91506
26,str_uniprot_sto_7,0.92234
27,default_struct_2,0.9279
28,unidist_uniprot_2,0.9234
29,str_pdb_2,0.92174
30,iter_2_7,0.92747
31,spec_uniref_a3m_2,0.92618
32,str_struct_7,0.5304
33,spec_struct_7,0.91732
34,spec_pdb_2,0.9241
35,def_uniref30_2,0.92569
36,default_af_3,0.87073
37,str_uniprot_sto_8,0.9068
38,str_pdb_3,0.92344
39,iter_2_8,0.92296
40,unidist_uniprot_3,0.92263
41,default_struct_3,0.92317
42,spec_struct_8,0.89032
43,default_multimer_8,0.90568
44,spec_pdb_3,0.91901
45,str_struct_8,0.52132
46,def_uniref30_3,0.96225
47,spec_uniref_a3m_3,0.92586
48,default_af_4,0.8734
49,unidist_uniprot_4,0.92503
50,str_uniprot_sto_9,0.90367
51,default_struct_4,0.92332
52,str_pdb_4,0.92485
53,iter_2_9,0.91628
54,spec_pdb_4,0.92063
55,default_multimer_9,0.90223
56,def_uniref30_4,0.92503
57,spec_struct_9,0.51114
58,spec_uniref_a3m_4,0.92768
59,default_af_5,0.88226
60,spec_af_0,0.52142
61,unidist_uniprot_5,0.92605
62,default_struct_5,0.92285
63,spec_pdb_5,0.92838
64,str_pdb_5,0.91567
65,str_struct_9,0.51913
66,default_pdb_0,0.92231
67,def_uniref30_5,0.91382
68,str_uniref_sto_0,0.92209
69,str_af_0,0.52227
70,spec_uniref_a3m_5,0.92032
71,spec_af_1,0.52222
72,default_struct_6,0.91736
73,def_uniref30_6,0.91477
74,spec_pdb_6,0.92572
75,str_uniref_sto_1,0.92332
76,default_af_6,0.56549
77,unidist_uniprot_6,0.92433
78,default_pdb_1,0.92269
79,str_pdb_6,0.91984
80,spec_af_2,0.52162
81,str_af_1,0.54595
82,Elo_multimer_0,0.91967
83,spec_uniref_a3m_6,0.91812
84,default_struct_7,0.90706
85,def_uniref30_7,0.9156
86,spec_pdb_7,0.54664
87,unidist_uniprot_7,0.91143
88,str_pdb_7,0.90132
89,spec_af_3,0.52732
90,str_uniref_sto_2,0.92198
91,default_pdb_2,0.92055
92,default_af_7,0.62383
93,str_af_2,0.61743
94,Elo_multimer_1,0.96249
95,spec_uniref_a3m_7,0.91909
96,def_uniref30_8,0.90609
97,spec_pdb_8,0.52431
98,default_struct_8,0.91135
99,default_pdb_3,0.92584
100,unidist_uniprot_8,0.88198
101,spec_af_4,0.5465
102,default_af_8,0.55324
103,Elo_multimer_2,0.96117
104,str_pdb_8,0.54056
105,str_af_3,0.63899
106,str_uniref_sto_3,0.95664
107,spec_uniref_a3m_8,0.52575
108,unidist_uniprot_9,0.88731
