,model,tmscore
0,default_af_5,0.24126
1,default_multimer_0,0.23542
2,default_pdb70_5,0.31912
3,default_uniref30_22_0,0.23947
4,default_multimer_1,0.24684
5,default_af_6,0.23607
6,img_multimer_0,0.23539
7,default_pdb70_6,0.22907
8,iter_1_old_5,0.22853
9,spec_comp_0,0.24382
10,default_uniref30_22_1,0.24054
11,spec_iter_uniref_a3m_5,0.24062
12,spec_pdb70_0,0.24778
13,uniclust_oxmatch_a3m_5,0.27795
14,default_multimer_2,0.25977
15,default_af_7,0.23559
16,img_multimer_1,0.23903
17,default_pdb70_7,0.26586
18,iter_1_old_6,0.31679
19,default_uniref30_22_2,0.24282
20,spec_comp_1,0.23736
21,spec_iter_uniref_a3m_6,0.24614
22,spec_pdb70_1,0.24356
23,default_multimer_3,0.26174
24,uniclust_oxmatch_a3m_6,0.29699
25,default_af_8,0.24716
26,img_multimer_2,0.24751
27,default_pdb70_8,0.25316
28,iter_1_old_7,0.31758
29,spec_comp_2,0.24998
30,default_uniref30_22_3,0.24046
31,spec_iter_uniref_a3m_7,0.2379
32,spec_pdb70_2,0.25937
33,default_af_0,0.23547
34,default_multimer_4,0.25192
35,avg_refine_0,0.22491
36,default_af_9,0.25372
37,img_multimer_3,0.23884
38,default_pdb70_9,0.31602
39,iter_1_old_8,0.27192
40,default_uniref30_22_4,0.25158
41,spec_comp_3,0.25902
42,spec_pdb70_3,0.25972
43,default_af_1,0.23584
44,spec_iter_uniref_a3m_8,0.24749
45,default_multimer_5,0.23776
46,uniclust_oxmatch_a3m_7,0.29993
47,default_comp_0,0.24146
48,img_multimer_4,0.23312
49,default_struct_0,0.23966
50,iter_1_old_9,0.31357
51,default_uniref30_22_5,0.24811
52,default_af_2,0.24017
53,spec_comp_4,0.24691
54,spec_pdb70_4,0.24803
55,spec_iter_uniref_a3m_9,0.24389
56,default_multimer_6,0.25912
57,default_comp_1,0.24293
58,uniclust_oxmatch_a3m_8,0.31019
59,img_multimer_5,0.32667
60,default_struct_1,0.24128
61,default_af_3,0.24042
62,default_uniref30_22_6,0.25814
63,spec_comp_5,0.25822
64,spec_iter_uniref_sto_0,0.24207
65,iter_2_old_0,0.22317
66,spec_pdb70_5,0.23865
67,default_multimer_7,0.32551
68,default_comp_2,0.21697
69,uniclust_oxmatch_a3m_9,0.3059
70,img_multimer_6,0.2233
71,default_struct_2,0.22574
72,default_af_4,0.24184
73,default_uniref30_22_7,0.26398
74,iter_2_old_1,0.2375
75,spec_iter_uniref_sto_1,0.24392
76,spec_comp_6,0.24079
77,spec_pdb70_6,0.23587
78,default_comp_3,0.21825
79,default_multimer_8,0.31744
80,img_multimer_7,0.21295
81,avg_refine_1,0.22599
82,default_struct_3,0.24987
83,default_uniref30_22_8,0.26196
84,spec_iter_uniref_sto_2,0.25658
85,iter_2_old_2,0.22521
86,spec_pdb70_7,0.23789
