,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,avg_refine_0,avg_refine_1,avg_refine_2,avg_refine_3,avg_refine_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_0,default_comp_1,default_comp_2,default_comp_3,default_comp_4,default_comp_5,default_comp_6,default_comp_7,default_comp_8,default_comp_9,default_mul_newest_0,default_mul_newest_1,default_mul_newest_10,default_mul_newest_11,default_mul_newest_12,default_mul_newest_13,default_mul_newest_14,default_mul_newest_15,default_mul_newest_16,default_mul_newest_17,default_mul_newest_18,default_mul_newest_19,default_mul_newest_2,default_mul_newest_20,default_mul_newest_21,default_mul_newest_22,default_mul_newest_23,default_mul_newest_24,default_mul_newest_3,default_mul_newest_4,default_mul_newest_5,default_mul_newest_6,default_mul_newest_7,default_mul_newest_8,default_mul_newest_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb_0,default_pdb_1,default_pdb_2,default_pdb_3,default_pdb_4,default_pdb_5,default_pdb_6,default_pdb_7,default_pdb_8,default_pdb_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_10,default_uniref30_22_11,default_uniref30_22_12,default_uniref30_22_13,default_uniref30_22_14,default_uniref30_22_15,default_uniref30_22_16,default_uniref30_22_17,default_uniref30_22_18,default_uniref30_22_19,default_uniref30_22_2,default_uniref30_22_20,default_uniref30_22_21,default_uniref30_22_22,default_uniref30_22_23,default_uniref30_22_24,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,iter_1_0,iter_1_1,iter_1_2,iter_1_3,iter_1_4,iter_1_5,iter_1_6,iter_1_7,iter_1_8,iter_1_9,iter_2_0,iter_2_1,iter_2_2,iter_2_3,iter_2_4,iter_2_5,iter_2_6,iter_2_7,iter_2_8,iter_2_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,spec_iter_uniref_sto_0,spec_iter_uniref_sto_1,spec_iter_uniref_sto_2,spec_iter_uniref_sto_3,spec_iter_uniref_sto_4,spec_iter_uniref_sto_5,spec_iter_uniref_sto_6,spec_iter_uniref_sto_7,spec_iter_uniref_sto_8,spec_iter_uniref_sto_9,unidist_uniprot_sto_0,unidist_uniprot_sto_1,unidist_uniprot_sto_2,unidist_uniprot_sto_3,unidist_uniprot_sto_4,unidist_uniprot_sto_5,unidist_uniprot_sto_6,unidist_uniprot_sto_7,unidist_uniprot_sto_8,unidist_uniprot_sto_9
0,1.0,0.98983,0.9928,0.99667,0.99975,0.97418,0.98914,0.96803,0.93242,0.97715,0.98677,0.9347,0.94003,0.81864,0.92945,0.91066,0.90274,0.89899,0.92355,0.87861,0.96849,0.96723,0.98732,0.97792,0.96692,0.96637,0.98878,0.98756,0.98402,0.97503,0.9966,0.99193,0.8252,0.82428,0.80123,0.82024,0.82055,0.80863,0.80616,0.81974,0.96742,0.80283,0.99199,0.80756,0.96482,0.95684,0.95182,0.95058,0.99402,0.99454,0.99417,0.99851,0.99973,0.99899,0.99908,0.99103,0.99583,0.99354,0.98939,0.99886,0.99765,0.97296,0.81552,0.80963,0.94886,0.9925,0.99215,0.99059,0.99264,0.99578,0.99453,0.99566,0.82613,0.90995,0.92852,0.97652,0.97043,0.96818,0.97622,0.98608,0.98654,0.97998,0.96908,0.88269,0.92035,0.9706,0.97152,0.98164,0.94953,0.95119,0.98268,0.93768,0.93663,0.96486,0.95831,0.99078,0.98974,0.99594,0.9983,0.99843,0.82004,0.80561,0.96544,0.82303,0.95526,0.99211,0.99065,0.99912,0.99904,0.97583,0.95002,0.81978,0.80188,0.84268,0.80467,0.80432,0.804,0.98837,0.9606,0.95673,0.95119,0.9518,0.94988,0.98927,0.99438,0.99364,0.99612,0.99671,0.99841,0.998,0.96222,0.96833,0.9298,0.92304,0.97459,0.97604,0.90951,0.92372,0.7992,0.80451,0.97792,0.81652,0.81609,0.79911,0.79431,0.7836,0.78412,0.79887,0.81723,0.79512,0.98504,0.98659,0.98661,0.98559,0.99544,0.99271,0.9931,0.99634,0.99739,0.99767,0.99846,0.80542,0.81678,0.93996,0.93358,0.99405,0.99462,0.9976,0.99767,0.99742,0.99845,0.80542,0.84543,0.94338,0.93686
1,0.98983,1.0,0.99923,0.99167,0.99097,0.99177,0.99622,0.98797,0.96266,0.99295,0.99343,0.92869,0.93503,0.80437,0.92144,0.9113,0.90349,0.90142,0.91613,0.88092,0.98893,0.98802,0.99257,0.99093,0.98431,0.98366,0.99433,0.99381,0.99233,0.98963,0.99635,0.99909,0.82427,0.82229,0.79297,0.82011,0.82011,0.80137,0.79802,0.82004,0.97528,0.79424,0.99889,0.79949,0.96693,0.95719,0.95012,0.94891,0.9817,0.99418,0.99369,0.99171,0.98887,0.99038,0.99338,0.99966,0.99701,0.99484,0.9998,0.99392,0.99473,0.98198,0.80607,0.80463,0.9505,0.99454,0.99483,0.99153,0.99353,0.9929,0.9923,0.99282,0.82395,0.90725,0.92728,0.99008,0.98739,0.98798,0.99275,0.99558,0.99541,0.99176,0.98449,0.88949,0.92445,0.98902,0.98917,0.99359,0.97471,0.97731,0.99411,0.96633,0.9656,0.98504,0.98085,0.99906,0.99945,0.99716,0.99402,0.99422,0.82018,0.79995,0.97904,0.81532,0.95935,0.99877,0.99888,0.99321,0.99358,0.97933,0.94231,0.8236,0.79506,0.83379,0.7983,0.79778,0.79834,0.99976,0.96801,0.96343,0.9555,0.95602,0.95461,0.99971,0.99415,0.99437,0.99676,0.99497,0.99356,0.99396,0.98224,0.98795,0.95969,0.95372,0.99035,0.99125,0.90646,0.92223,0.80592,0.81263,0.99178,0.82214,0.8216,0.80992,0.80633,0.79607,0.79751,0.80734,0.82099,0.80437,0.9975,0.99822,0.9981,0.99893,0.99764,0.99927,0.99896,0.99685,0.99533,0.99464,0.99327,0.80903,0.81025,0.92877,0.92466,0.99877,0.9985,0.99504,0.99502,0.99492,0.99295,0.79818,0.83361,0.93083,0.92442
2,0.9928,0.99923,1.0,0.9934,0.99349,0.98755,0.99494,0.98251,0.95347,0.98915,0.99238,0.92877,0.93569,0.81886,0.92158,0.90719,0.8998,0.89721,0.91571,0.87615,0.9838,0.98265,0.99151,0.98744,0.97905,0.97821,0.9934,0.99238,0.98975,0.9854,0.99762,0.9996,0.82481,0.82345,0.79736,0.82118,0.82089,0.80532,0.8019,0.82108,0.97218,0.79935,0.99957,0.80319,0.96627,0.95629,0.94892,0.94811,0.98516,0.99531,0.99555,0.99507,0.99214,0.99408,0.99611,0.99958,0.99838,0.9957,0.9993,0.99596,0.99667,0.97958,0.80075,0.79891,0.94767,0.99541,0.99537,0.99177,0.99397,0.99422,0.99345,0.99407,0.82558,0.90469,0.9242,0.98582,0.98216,0.98251,0.98863,0.99325,0.99321,0.98804,0.97893,0.88293,0.91884,0.98398,0.9842,0.99052,0.96679,0.96978,0.99119,0.95738,0.95659,0.97884,0.97378,0.99922,0.99919,0.99843,0.99596,0.99662,0.8214,0.80311,0.97645,0.81838,0.95735,0.99793,0.99753,0.99589,0.99611,0.97834,0.94408,0.82248,0.79855,0.83642,0.80173,0.80119,0.80176,0.99857,0.96539,0.96062,0.95333,0.95398,0.95214,0.99931,0.99602,0.99579,0.99831,0.99681,0.99585,0.9963,0.97582,0.98253,0.95024,0.94379,0.98576,0.98693,0.90371,0.91954,0.80372,0.80966,0.98809,0.82059,0.82081,0.80672,0.80215,0.79168,0.793,0.80448,0.81911,0.80177,0.99466,0.99587,0.99565,0.99701,0.99854,0.99931,0.99926,0.99828,0.99752,0.99684,0.99626,0.81321,0.8038,0.92979,0.92504,0.99905,0.99922,0.99743,0.99715,0.99709,0.9959,0.80168,0.8373,0.93263,0.92584
3,0.99667,0.99167,0.9934,1.0,0.99734,0.97893,0.99248,0.97342,0.94178,0.98229,0.99151,0.9463,0.95213,0.82088,0.93968,0.92137,0.91514,0.90915,0.93386,0.88621,0.97358,0.97314,0.9908,0.9825,0.97262,0.97185,0.99165,0.99074,0.98693,0.97861,0.99771,0.99342,0.82628,0.82524,0.80215,0.82114,0.82307,0.80036,0.79959,0.82155,0.97902,0.80333,0.99341,0.80674,0.9763,0.9695,0.96389,0.96301,0.99354,0.9944,0.99338,0.99468,0.996,0.99559,0.99651,0.99246,0.99581,0.99401,0.99112,0.99622,0.99461,0.98245,0.8041,0.80346,0.96176,0.99597,0.99563,0.99354,0.99475,0.99505,0.99516,0.99474,0.82618,0.91984,0.93955,0.98092,0.97565,0.97256,0.9798,0.98844,0.98949,0.98221,0.97236,0.89141,0.92958,0.97795,0.9787,0.98785,0.95732,0.9579,0.98843,0.94584,0.94482,0.9697,0.96448,0.9925,0.99106,0.9957,0.99514,0.99562,0.82287,0.80658,0.97676,0.82265,0.96806,0.99474,0.99327,0.99629,0.99635,0.98647,0.96219,0.81931,0.80318,0.8443,0.80557,0.80528,0.8055,0.99035,0.97367,0.97063,0.96438,0.96512,0.96341,0.9909,0.99453,0.99325,0.99623,0.99351,0.99532,0.99465,0.97008,0.97525,0.93856,0.9322,0.98085,0.98198,0.91753,0.93404,0.80272,0.80936,0.98484,0.8194,0.81943,0.80271,0.79821,0.78572,0.78735,0.80006,0.8192,0.79944,0.9887,0.98974,0.98992,0.9879,0.99576,0.99422,0.99463,0.9963,0.99627,0.99504,0.99571,0.80552,0.80603,0.94519,0.94022,0.99569,0.99603,0.99647,0.99695,0.99459,0.9955,0.80543,0.84604,0.95071,0.9435
4,0.99975,0.99097,0.99349,0.99734,1.0,0.97661,0.99041,0.97082,0.93628,0.97957,0.98818,0.9374,0.94287,0.81925,0.93194,0.91369,0.90561,0.90223,0.92568,0.8816,0.97118,0.96997,0.98887,0.98011,0.97015,0.96958,0.99045,0.98936,0.9862,0.97764,0.99718,0.99275,0.8252,0.82427,0.80088,0.82079,0.82146,0.79725,0.80513,0.82087,0.97118,0.80212,0.99277,0.80662,0.96838,0.96056,0.95558,0.95425,0.99461,0.99516,0.99457,0.99821,0.99929,0.99863,0.99898,0.99193,0.99647,0.99429,0.99045,0.99888,0.99774,0.97629,0.81454,0.80826,0.95291,0.99324,0.99292,0.99126,0.99352,0.99619,0.99504,0.99605,0.82636,0.91316,0.93204,0.97874,0.97297,0.97078,0.9786,0.98784,0.98839,0.982,0.97162,0.88648,0.9247,0.97325,0.97412,0.98386,0.95309,0.95458,0.98484,0.94125,0.94026,0.96768,0.96145,0.9918,0.99077,0.99662,0.99831,0.99849,0.8212,0.80472,0.96919,0.82229,0.95923,0.99336,0.992,0.99902,0.99903,0.97822,0.95271,0.81773,0.80108,0.84225,0.80363,0.80328,0.80402,0.98966,0.96453,0.96073,0.95537,0.95602,0.95402,0.99037,0.99512,0.99427,0.9968,0.99686,0.99838,0.99802,0.96516,0.97101,0.93352,0.92684,0.97719,0.97856,0.9129,0.92773,0.80096,0.80699,0.98039,0.81923,0.81789,0.80203,0.79751,0.78751,0.78761,0.80139,0.81822,0.79825,0.98681,0.98814,0.98823,0.98707,0.99621,0.99357,0.99396,0.99689,0.99766,0.99776,0.99835,0.80421,0.81634,0.9419,0.93574,0.99499,0.99546,0.99778,0.99801,0.9975,0.9984,0.80426,0.84491,0.94568,0.9389
5,0.97418,0.99177,0.98755,0.97893,0.97661,1.0,0.99389,0.99888,0.98424,0.99937,0.98851,0.92564,0.93244,0.81165,0.91919,0.91499,0.90778,0.91227,0.91406,0.88842,0.9941,0.99412,0.98792,0.993,0.99351,0.99328,0.98981,0.99054,0.99263,0.99482,0.983,0.98787,0.81637,0.81554,0.78584,0.81372,0.81415,0.78392,0.78252,0.81381,0.98076,0.7891,0.98733,0.78179,0.96785,0.95889,0.95246,0.95103,0.96573,0.98422,0.98209,0.97565,0.97243,0.9734,0.97851,0.98995,0.9862,0.98543,0.99108,0.98088,0.98218,0.9844,0.79094,0.78812,0.95724,0.9826,0.98342,0.98238,0.98491,0.98227,0.98152,0.98252,0.81596,0.91396,0.93287,0.99351,0.99373,0.99521,0.99624,0.99303,0.99293,0.99433,0.99272,0.90484,0.93889,0.99413,0.99411,0.99406,0.99037,0.99237,0.99404,0.98499,0.98442,0.99562,0.99383,0.98972,0.99116,0.98642,0.98141,0.98066,0.81406,0.78356,0.98415,0.79859,0.9637,0.99068,0.99212,0.9786,0.97938,0.97715,0.9364,0.81987,0.77626,0.81889,0.78177,0.78088,0.78243,0.99281,0.9738,0.96978,0.95997,0.96154,0.95993,0.99111,0.98373,0.98389,0.98533,0.98286,0.98016,0.98045,0.9942,0.99736,0.98224,0.97757,0.99862,0.99885,0.91442,0.93084,0.81105,0.8183,0.99674,0.82186,0.82407,0.82048,0.81902,0.81096,0.81192,0.81131,0.82136,0.80979,0.99555,0.99516,0.99515,0.99512,0.9878,0.98944,0.98851,0.98575,0.98244,0.98171,0.97807,0.79174,0.79588,0.92279,0.92096,0.9888,0.98739,0.98154,0.98247,0.98154,0.97818,0.79221,0.81676,0.92442,0.91854
6,0.98914,0.99622,0.99494,0.99248,0.99041,0.99389,1.0,0.99011,0.9665,0.99569,0.9947,0.9339,0.9405,0.81722,0.92865,0.91915,0.9119,0.90729,0.92341,0.88433,0.98756,0.98747,0.9949,0.99284,0.9855,0.98494,0.99471,0.99461,0.99343,0.98963,0.99509,0.99539,0.82366,0.82195,0.79191,0.81857,0.82019,0.79999,0.79749,0.81866,0.98036,0.79346,0.99529,0.79781,0.97131,0.96304,0.95629,0.95519,0.98254,0.99346,0.99186,0.98895,0.98793,0.98827,0.99155,0.99607,0.99515,0.99412,0.99598,0.99252,0.99208,0.9848,0.79537,0.80323,0.9579,0.9951,0.9954,0.99434,0.99451,0.99336,0.99267,0.99304,0.82332,0.91518,0.9347,0.99289,0.99009,0.98799,0.99237,0.99485,0.99536,0.99249,0.98584,0.89563,0.93166,0.9919,0.99229,0.99655,0.9768,0.97772,0.99683,0.96861,0.96777,0.98584,0.98235,0.99571,0.99577,0.99492,0.99212,0.99202,0.81925,0.79799,0.98093,0.81427,0.96475,0.99743,0.99729,0.9913,0.99173,0.98411,0.94825,0.81997,0.79365,0.83575,0.79667,0.79608,0.79714,0.99597,0.9733,0.96991,0.9609,0.96158,0.96032,0.99569,0.99316,0.99262,0.99455,0.99178,0.99142,0.99117,0.98786,0.99212,0.96356,0.95788,0.99447,0.99505,0.91275,0.92955,0.80618,0.81421,0.99636,0.8224,0.82228,0.81049,0.80711,0.79624,0.79742,0.80604,0.82083,0.80392,0.99681,0.99735,0.99725,0.99606,0.99595,0.99686,0.99669,0.99523,0.99337,0.99222,0.99075,0.80805,0.80881,0.93295,0.92949,0.99694,0.99623,0.993,0.99346,0.99188,0.99043,0.79658,0.83509,0.93528,0.92912
7,0.96803,0.98797,0.98251,0.97342,0.97082,0.99888,0.99011,1.0,0.98956,0.99794,0.985,0.92195,0.92785,0.80862,0.91622,0.91528,0.90796,0.91237,0.91096,0.8889,0.9952,0.99544,0.98499,0.99237,0.99487,0.99494,0.98669,0.98795,0.99135,0.99512,0.97761,0.98276,0.8132,0.81231,0.78121,0.81036,0.81117,0.77606,0.77379,0.81141,0.97967,0.78381,0.98208,0.77631,0.96439,0.95589,0.95001,0.94857,0.95914,0.97901,0.97614,0.96876,0.96592,0.96627,0.97213,0.98548,0.98071,0.9804,0.9869,0.97513,0.97644,0.98242,0.78609,0.78329,0.95637,0.97731,0.97849,0.97774,0.9801,0.97674,0.97624,0.97707,0.81294,0.9138,0.93267,0.99338,0.99458,0.99624,0.99575,0.99078,0.99058,0.99366,0.99426,0.90848,0.94156,0.99435,0.99429,0.99221,0.99415,0.99551,0.99206,0.99008,0.98961,0.99728,0.9965,0.98503,0.98684,0.98104,0.97574,0.97451,0.81128,0.7783,0.98203,0.79362,0.96116,0.9871,0.9891,0.9723,0.9732,0.97391,0.93106,0.81662,0.77148,0.81339,0.77629,0.77542,0.77698,0.98929,0.97215,0.96841,0.95817,0.95958,0.95837,0.98677,0.97833,0.97836,0.97972,0.97716,0.97423,0.97441,0.99607,0.99786,0.98808,0.98418,0.99828,0.9982,0.9134,0.92998,0.81182,0.81811,0.99563,0.8204,0.82222,0.82135,0.82055,0.81415,0.81512,0.81228,0.81909,0.80983,0.9938,0.99285,0.99296,0.99221,0.98272,0.98489,0.9837,0.98018,0.97632,0.97567,0.97141,0.78621,0.79119,0.91855,0.91727,0.98419,0.9824,0.97526,0.97646,0.97554,0.97157,0.78663,0.81175,0.91964,0.91391
8,0.93242,0.96266,0.95347,0.94178,0.93628,0.98424,0.9665,0.98956,1.0,0.98229,0.96147,0.8983,0.90234,0.79704,0.89566,0.90759,0.90013,0.90213,0.89106,0.87816,0.98563,0.9867,0.96262,0.97758,0.98503,0.98563,0.96212,0.96482,0.9714,0.98056,0.94711,0.95453,0.8002,0.79912,0.74813,0.7976,0.79834,0.75403,0.75194,0.79869,0.96247,0.75116,0.95372,0.75321,0.94008,0.93273,0.92859,0.92646,0.92467,0.94797,0.94358,0.93208,0.92927,0.92912,0.93716,0.95879,0.94975,0.95051,0.96141,0.94119,0.94254,0.96322,0.76418,0.76293,0.93851,0.94903,0.95104,0.95159,0.951,0.9444,0.94464,0.94457,0.79827,0.90118,0.91755,0.98052,0.98561,0.98659,0.98102,0.96904,0.96891,0.97627,0.98367,0.90976,0.9345,0.98519,0.9847,0.97534,0.99565,0.99455,0.97447,0.99756,0.99761,0.98936,0.99305,0.95831,0.96095,0.95005,0.94173,0.94002,0.79931,0.75945,0.96414,0.77493,0.94044,0.96223,0.96556,0.93716,0.93846,0.95136,0.90348,0.80641,0.7515,0.79468,0.75612,0.75557,0.75741,0.96513,0.95365,0.95093,0.93835,0.9395,0.93916,0.96091,0.9472,0.94695,0.94831,0.94342,0.93948,0.93962,0.99185,0.98933,0.99912,0.99831,0.98519,0.98386,0.89823,0.91486,0.81035,0.81329,0.98062,0.81121,0.81534,0.81938,0.81993,0.82016,0.82169,0.80955,0.81084,0.81014,0.97499,0.97249,0.97278,0.97051,0.95288,0.95759,0.9559,0.94879,0.94282,0.94132,0.93583,0.76681,0.77085,0.8903,0.89118,0.95627,0.95334,0.94139,0.94309,0.9413,0.93584,0.7667,0.7913,0.89092,0.88616
9,0.97715,0.99295,0.98915,0.98229,0.97957,0.99937,0.99569,0.99794,0.98229,1.0,0.99071,0.92943,0.93635,0.81408,0.92315,0.91776,0.911,0.91342,0.91792,0.88976,0.99349,0.99356,0.99006,0.99374,0.99305,0.99269,0.99148,0.99207,0.99355,0.99456,0.98575,0.98966,0.81822,0.81743,0.7783,0.81529,0.81622,0.78728,0.7859,0.8157,0.98278,0.79219,0.98923,0.78457,0.97072,0.96199,0.95544,0.95439,0.96995,0.98639,0.9843,0.97805,0.97539,0.97623,0.981,0.99136,0.98822,0.98756,0.99231,0.98303,0.98389,0.98635,0.79393,0.79118,0.9596,0.98563,0.98631,0.98534,0.98751,0.98483,0.98425,0.98495,0.81783,0.91611,0.93532,0.99401,0.99376,0.99434,0.99608,0.99379,0.99395,0.99436,0.9919,0.90452,0.93949,0.99476,0.99479,0.99561,0.98879,0.99037,0.9956,0.98285,0.98226,0.99451,0.99254,0.99128,0.99231,0.98832,0.98328,0.98283,0.8161,0.78653,0.98551,0.80209,0.9661,0.99248,0.99354,0.98101,0.98175,0.98029,0.94077,0.8214,0.78052,0.82218,0.78484,0.78446,0.78485,0.99375,0.97596,0.97211,0.9628,0.96394,0.96263,0.99231,0.9861,0.986,0.98746,0.98435,0.98215,0.98235,0.99406,0.99734,0.97974,0.97488,0.9989,0.99917,0.9164,0.9328,0.81197,0.8184,0.99792,0.8231,0.82476,0.81952,0.81829,0.80911,0.81112,0.81184,0.82254,0.80994,0.99628,0.99599,0.996,0.99561,0.98963,0.99112,0.99039,0.98771,0.98459,0.98354,0.98045,0.78442,0.79879,0.92632,0.92425,0.99073,0.98946,0.98381,0.98472,0.9833,0.98049,0.78477,0.82042,0.92811,0.922
