,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_0,default_comp_1,default_comp_2,default_comp_3,default_comp_4,default_comp_5,default_comp_6,default_comp_7,default_comp_8,default_comp_9,default_img_0,default_img_1,default_img_2,default_img_3,default_img_4,default_img_5,default_img_6,default_img_7,default_img_8,default_img_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb_0,default_pdb_1,default_pdb_2,default_pdb_3,default_pdb_4,default_pdb_5,default_pdb_6,default_pdb_7,default_pdb_8,default_pdb_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_2,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,img_multimer_0,img_multimer_1,img_multimer_2,img_multimer_3,img_multimer_4,img_multimer_5,img_multimer_6,img_multimer_7,img_multimer_8,img_multimer_9,iter_1_old_0,iter_1_old_1,iter_1_old_2,iter_1_old_3,iter_1_old_4,iter_1_old_5,iter_1_old_6,iter_1_old_7,iter_1_old_8,iter_1_old_9,iter_2_old_0,iter_2_old_1,iter_2_old_2,iter_2_old_3,iter_2_old_4,iter_2_old_5,iter_2_old_6,iter_2_old_7,iter_2_old_8,iter_2_old_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,pdb_iter_uniref_a3m_0,pdb_iter_uniref_a3m_1,pdb_iter_uniref_a3m_2,pdb_iter_uniref_a3m_3,pdb_iter_uniref_a3m_4,pdb_iter_uniref_a3m_5,pdb_iter_uniref_a3m_6,pdb_iter_uniref_a3m_7,pdb_iter_uniref_a3m_8,pdb_iter_uniref_a3m_9,spec_af_0,spec_af_1,spec_af_2,spec_af_3,spec_af_4,spec_af_5,spec_af_6,spec_af_7,spec_af_8,spec_af_9,spec_comp_0,spec_comp_1,spec_comp_2,spec_comp_3,spec_comp_4,spec_comp_5,spec_comp_6,spec_comp_7,spec_comp_8,spec_comp_9,spec_iter_uniprot_sto_0,spec_iter_uniprot_sto_1,spec_iter_uniprot_sto_2,spec_iter_uniprot_sto_3,spec_iter_uniprot_sto_4,spec_iter_uniprot_sto_5,spec_iter_uniprot_sto_6,spec_iter_uniprot_sto_7,spec_iter_uniprot_sto_8,spec_iter_uniprot_sto_9,spec_iter_uniref_a3m_0,spec_iter_uniref_a3m_1,spec_iter_uniref_a3m_2,spec_iter_uniref_a3m_3,spec_iter_uniref_a3m_4,spec_iter_uniref_a3m_5,spec_iter_uniref_a3m_6,spec_iter_uniref_a3m_7,spec_iter_uniref_a3m_8,spec_iter_uniref_a3m_9,spec_iter_uniref_sto_0,spec_iter_uniref_sto_1,spec_iter_uniref_sto_2,spec_iter_uniref_sto_3,spec_iter_uniref_sto_4,spec_iter_uniref_sto_5,spec_iter_uniref_sto_6,spec_iter_uniref_sto_7,spec_iter_uniref_sto_8,spec_iter_uniref_sto_9,spec_pdb70_0,spec_pdb70_1,spec_pdb70_2,spec_pdb70_3,spec_pdb70_4,spec_pdb70_5,spec_pdb70_6,spec_pdb70_7,spec_pdb70_8,spec_pdb70_9,spec_pdb_0,spec_pdb_1,spec_pdb_2,spec_pdb_3,spec_pdb_4,spec_pdb_5,spec_pdb_6,spec_pdb_7,spec_pdb_8,spec_pdb_9,spec_struct_0,spec_struct_1,spec_struct_2,spec_struct_3,spec_struct_4,spec_struct_5,spec_struct_6,spec_struct_7,spec_struct_8,spec_struct_9,uniclust_oxmatch_a3m_0,uniclust_oxmatch_a3m_1,uniclust_oxmatch_a3m_2,uniclust_oxmatch_a3m_3,uniclust_oxmatch_a3m_4,uniclust_oxmatch_a3m_5,uniclust_oxmatch_a3m_6,uniclust_oxmatch_a3m_7,uniclust_oxmatch_a3m_8,uniclust_oxmatch_a3m_9
0,1.0,0.99959,0.99705,0.99659,0.99739,0.97766,0.97807,0.97857,0.97931,0.98465,0.985,0.98539,0.98647,0.98538,0.98337,0.99825,0.99852,0.99596,0.99613,0.99688,0.99718,0.9976,0.99762,0.99772,0.99815,0.99902,0.99885,0.99582,0.99628,0.99562,0.9968,0.99766,0.99751,0.9976,0.99737,0.99922,0.99885,0.99649,0.99657,0.99686,0.99713,0.99723,0.99746,0.99672,0.99516,0.99885,0.99887,0.9959,0.99636,0.99679,0.99701,0.99637,0.99727,0.99727,0.99743,0.9986,0.99887,0.99596,0.99707,0.99735,0.99719,0.99719,0.99807,0.99663,0.99535,0.99859,0.99875,0.99597,0.99625,0.99661,0.99682,0.99773,0.99735,0.99757,0.99727,0.99691,0.99834,0.99527,0.99592,0.99693,0.99666,0.99694,0.99527,0.99471,0.98523,0.99832,0.99845,0.99428,0.99558,0.99723,0.99719,0.99738,0.99598,0.99701,0.99632,0.99302,0.99398,0.99588,0.99586,0.99591,0.9964,0.98942,0.99571,0.99556,0.95489,0.98398,0.93951,0.9756,0.96033,0.95996,0.98119,0.54014,0.53695,0.54992,0.49813,0.99358,0.98273,0.96805,0.96136,0.53099,0.54761,0.89495,0.93433,0.48326,0.4847,0.99818,0.99531,0.99666,0.99678,0.99768,0.98579,0.97684,0.48696,0.97809,0.96018,0.96694,0.58463,0.57011,0.57135,0.61428,0.9753,0.97568,0.97539,0.97552,0.98274,0.98392,0.98994,0.98678,0.99156,0.99152,0.49103,0.51948,0.51051,0.51804,0.49616,0.54514,0.52748,0.53104,0.56103,0.54886,0.99249,0.99234,0.97704,0.9766,0.97948,0.9788,0.97953,0.98231,0.99294,0.99221,0.49916,0.52498,0.49631,0.54389,0.50645,0.49752,0.54154,0.53935,0.54244,0.55128,0.9935,0.99415,0.97884,0.97952,0.98345,0.98252,0.98901,0.98503,0.99347,0.99454,0.47216,0.48102,0.51538,0.48821,0.50178,0.52886,0.56166,0.53972,0.54271,0.56614,0.50139,0.49238,0.49484,0.5277,0.52531,0.5138,0.52143,0.53219,0.54973,0.55238,0.48696,0.47575,0.48196,0.50135,0.57324,0.548,0.55878,0.53569,0.5369,0.56061,0.4849,0.48162,0.47993,0.56293,0.56049,0.48605,0.49289,0.53489,0.54887,0.5158
1,0.99959,1.0,0.99759,0.99776,0.99776,0.98117,0.98153,0.98205,0.9827,0.98727,0.98756,0.98777,0.98872,0.98837,0.9866,0.99812,0.99819,0.99683,0.99684,0.99714,0.99691,0.99782,0.99767,0.9976,0.99803,0.99843,0.99845,0.99664,0.997,0.99541,0.99653,0.99817,0.99772,0.99808,0.99766,0.9995,0.99938,0.99715,0.99728,0.9971,0.99727,0.99756,0.99818,0.99705,0.99697,0.99841,0.99844,0.99662,0.99708,0.99703,0.99728,0.99718,0.99759,0.99739,0.99786,0.99802,0.99828,0.99672,0.99766,0.99746,0.99739,0.99752,0.99755,0.99715,0.99499,0.99816,0.99822,0.99676,0.99699,0.99711,0.99682,0.99816,0.99753,0.99792,0.99735,0.99828,0.99939,0.99639,0.99687,0.99738,0.99664,0.99811,0.99635,0.99564,0.9846,0.99931,0.99934,0.99536,0.99636,0.99728,0.99739,0.9975,0.99745,0.99791,0.99702,0.99439,0.99563,0.99622,0.99606,0.99628,0.99676,0.98864,0.99608,0.99562,0.95137,0.98223,0.93683,0.9727,0.95981,0.95708,0.97926,0.54475,0.54165,0.55481,0.50243,0.99308,0.98313,0.96712,0.96077,0.53763,0.55108,0.88952,0.92962,0.48502,0.48676,0.99818,0.99648,0.9972,0.99729,0.99828,0.98564,0.97868,0.49048,0.9768,0.9602,0.96773,0.58931,0.57252,0.57538,0.61849,0.979,0.9794,0.9786,0.97872,0.98545,0.98652,0.99201,0.98954,0.99286,0.99285,0.49818,0.52069,0.51336,0.52285,0.50273,0.54968,0.53165,0.53443,0.56636,0.55366,0.99393,0.9938,0.97839,0.97825,0.98061,0.98029,0.98062,0.98391,0.9938,0.99329,0.5022,0.52867,0.50386,0.54781,0.51375,0.4891,0.54532,0.54311,0.54979,0.55518,0.99471,0.99529,0.98031,0.98089,0.98507,0.98382,0.99026,0.98653,0.99446,0.99529,0.47262,0.48376,0.51861,0.49732,0.5038,0.53319,0.56586,0.54293,0.5451,0.56829,0.50818,0.4988,0.48916,0.53145,0.5304,0.51463,0.5264,0.53547,0.55457,0.55545,0.49207,0.48078,0.48254,0.50333,0.57788,0.5532,0.56324,0.54015,0.5385,0.5648,0.48852,0.49325,0.48105,0.56611,0.56387,0.49824,0.49159,0.53785,0.55362,0.51626
2,0.99705,0.99759,1.0,0.99727,0.99989,0.98376,0.98414,0.98441,0.98512,0.99047,0.99085,0.99188,0.99264,0.99016,0.98846,0.99639,0.99645,0.99901,0.9991,0.9994,0.99903,0.99842,0.99832,0.9986,0.99822,0.99643,0.99651,0.99897,0.99916,0.99826,0.99876,0.99905,0.9986,0.99892,0.99873,0.99833,0.9988,0.99921,0.99919,0.99962,0.99954,0.999,0.999,0.99874,0.99773,0.99647,0.99657,0.99891,0.99909,0.99955,0.99966,0.99836,0.99863,0.99855,0.99863,0.99596,0.99626,0.99885,0.9993,0.99967,0.99966,0.99817,0.99773,0.99811,0.99501,0.99638,0.99659,0.99911,0.99932,0.99971,0.99925,0.99922,0.99875,0.99881,0.99856,0.99776,0.99785,0.99844,0.99899,0.9995,0.99854,0.9982,0.99654,0.99724,0.98564,0.99868,0.99867,0.99756,0.99826,0.99964,0.99975,0.99904,0.99837,0.99848,0.99862,0.99419,0.99507,0.99819,0.99771,0.99731,0.99779,0.98978,0.99713,0.99674,0.95197,0.98054,0.9393,0.97131,0.96298,0.95932,0.98066,0.5491,0.54469,0.55869,0.51159,0.99218,0.98275,0.96903,0.96358,0.53989,0.55383,0.89055,0.9306,0.48717,0.48741,0.99627,0.99874,0.99952,0.99839,0.99892,0.98617,0.98204,0.4931,0.97696,0.96112,0.969,0.59284,0.57766,0.57956,0.62128,0.98134,0.98167,0.98258,0.98261,0.98847,0.98947,0.9937,0.99138,0.99667,0.99667,0.50667,0.5244,0.51814,0.52761,0.50707,0.55219,0.53374,0.53945,0.5679,0.55992,0.99672,0.99668,0.98155,0.98129,0.98416,0.98355,0.98429,0.98721,0.99771,0.99718,0.51019,0.52777,0.5069,0.5538,0.5171,0.4999,0.55049,0.54772,0.55299,0.5596,0.99763,0.99801,0.98352,0.98409,0.98842,0.98756,0.9938,0.98987,0.99809,0.99879,0.47848,0.48538,0.52081,0.49837,0.50921,0.53492,0.56968,0.54765,0.54918,0.57013,0.51094,0.49356,0.50295,0.53624,0.53471,0.51754,0.53569,0.53883,0.56053,0.56028,0.48944,0.48428,0.48528,0.50737,0.58105,0.55671,0.56771,0.54264,0.54243,0.56853,0.49209,0.49503,0.48279,0.56888,0.56688,0.50188,0.50831,0.54081,0.55943,0.51113
3,0.99659,0.99776,0.99727,1.0,0.99695,0.98122,0.98157,0.98223,0.9829,0.98672,0.98709,0.98814,0.98905,0.99041,0.98846,0.99353,0.99369,0.99593,0.99585,0.99636,0.99617,0.99478,0.995,0.99571,0.99481,0.99409,0.99399,0.99573,0.99597,0.99429,0.99597,0.99641,0.99546,0.9959,0.9955,0.99667,0.99751,0.99624,0.99653,0.99667,0.99652,0.99584,0.99652,0.99578,0.99761,0.99418,0.99421,0.99562,0.99619,0.99612,0.99645,0.99485,0.99554,0.99545,0.99544,0.99333,0.99384,0.99575,0.99625,0.99657,0.99635,0.99505,0.99434,0.99488,0.99135,0.99371,0.99395,0.99578,0.99613,0.99632,0.99629,0.99661,0.99563,0.99575,0.99553,0.99936,0.99828,0.99612,0.99634,0.99753,0.99734,0.99779,0.99569,0.99367,0.98283,0.99891,0.99887,0.99506,0.996,0.9968,0.99674,0.9966,0.99852,0.99652,0.99557,0.99789,0.99773,0.99675,0.99702,0.99609,0.99641,0.99192,0.99723,0.99667,0.95642,0.98408,0.94033,0.97443,0.96086,0.96229,0.98158,0.54402,0.54081,0.55321,0.51061,0.99271,0.98233,0.96913,0.96231,0.53928,0.54979,0.89578,0.93442,0.4816,0.48372,0.99368,0.99541,0.99699,0.99507,0.99627,0.98929,0.97838,0.48926,0.98069,0.96068,0.96808,0.58709,0.57226,0.57428,0.61633,0.97918,0.97964,0.97759,0.97764,0.98499,0.98618,0.99499,0.99172,0.99427,0.99417,0.50385,0.52315,0.51091,0.52477,0.501,0.54739,0.53082,0.52932,0.56645,0.55261,0.99455,0.99426,0.97949,0.97903,0.98213,0.98122,0.98212,0.98475,0.99413,0.99393,0.5067,0.52576,0.50492,0.54752,0.51474,0.49861,0.54624,0.54493,0.54805,0.55609,0.99457,0.995,0.98124,0.982,0.98574,0.98489,0.99098,0.98736,0.9943,0.99506,0.47049,0.47935,0.5151,0.49858,0.50356,0.53027,0.5642,0.54388,0.54507,0.5675,0.50845,0.5019,0.49819,0.53032,0.5324,0.51555,0.52904,0.53472,0.55427,0.5547,0.48874,0.4763,0.49579,0.50574,0.57747,0.54911,0.56342,0.53874,0.53668,0.56594,0.48456,0.4949,0.49481,0.56193,0.56308,0.49807,0.50445,0.53546,0.55433,0.51211
4,0.99739,0.99776,0.99989,0.99695,1.0,0.98278,0.98319,0.98344,0.98416,0.98981,0.9902,0.99121,0.99203,0.9894,0.98761,0.99673,0.99685,0.99886,0.99896,0.99937,0.99918,0.99851,0.99852,0.99875,0.99851,0.99691,0.99699,0.99884,0.99908,0.99834,0.9989,0.99899,0.99871,0.99891,0.99883,0.99853,0.99886,0.99914,0.99909,0.99957,0.99953,0.99904,0.99893,0.99866,0.9972,0.99689,0.99698,0.99876,0.99899,0.99951,0.99968,0.99824,0.99868,0.9986,0.99863,0.99647,0.99675,0.99876,0.99932,0.99974,0.99971,0.99825,0.99805,0.99815,0.99554,0.99676,0.99701,0.999,0.99919,0.99961,0.99928,0.99917,0.99884,0.99877,0.99861,0.99737,0.99778,0.99817,0.99882,0.99939,0.99856,0.9979,0.99634,0.99713,0.98622,0.99854,0.99856,0.99736,0.99815,0.99971,0.99978,0.9991,0.99787,0.99833,0.99855,0.99364,0.99447,0.99805,0.99768,0.9972,0.99772,0.98984,0.99702,0.9967,0.9528,0.98091,0.94041,0.97205,0.9636,0.95993,0.9812,0.54528,0.54299,0.55562,0.51361,0.99232,0.98284,0.96973,0.96418,0.53777,0.55235,0.89194,0.93188,0.48827,0.48758,0.99653,0.99852,0.99944,0.99836,0.99886,0.98604,0.98145,0.49145,0.97726,0.96195,0.96957,0.59059,0.57482,0.57687,0.61932,0.98028,0.98062,0.98169,0.98174,0.98782,0.98886,0.99315,0.99064,0.99634,0.99633,0.4939,0.52548,0.5154,0.52539,0.50602,0.55044,0.5338,0.53689,0.56681,0.55597,0.99613,0.99611,0.98106,0.98076,0.98364,0.98299,0.98375,0.98663,0.99732,0.99673,0.50677,0.52607,0.50208,0.55086,0.51359,0.50427,0.54964,0.54594,0.55073,0.55824,0.99716,0.99759,0.98303,0.98362,0.98786,0.98703,0.99334,0.98928,0.99777,0.99851,0.47405,0.48453,0.52065,0.48849,0.50249,0.53562,0.56747,0.54466,0.54741,0.56864,0.505,0.502,0.49133,0.53471,0.53226,0.51578,0.52957,0.53557,0.55564,0.55666,0.48814,0.48488,0.48418,0.50607,0.57847,0.55456,0.56583,0.54046,0.54286,0.56677,0.4889,0.4979,0.48219,0.56636,0.56538,0.50435,0.50607,0.54041,0.55649,0.50743
5,0.97766,0.98117,0.98376,0.98122,0.98278,1.0,0.99997,0.9998,0.99981,0.99796,0.99789,0.99609,0.99608,0.99681,0.99769,0.98172,0.98051,0.98789,0.9872,0.9807,0.9771,0.98337,0.98263,0.98086,0.98078,0.97838,0.97961,0.98777,0.98695,0.97889,0.97619,0.98339,0.98324,0.98396,0.98409,0.98268,0.98361,0.98666,0.98684,0.98105,0.98058,0.98443,0.98482,0.9842,0.98781,0.97935,0.97916,0.98735,0.98693,0.98168,0.98153,0.98633,0.98403,0.98265,0.98416,0.97878,0.97869,0.98736,0.98593,0.98075,0.98151,0.9847,0.97854,0.98591,0.97832,0.97962,0.97863,0.98742,0.98696,0.98349,0.9787,0.98295,0.98286,0.98311,0.98211,0.98404,0.98347,0.98949,0.98816,0.98074,0.97542,0.98411,0.98322,0.98846,0.96572,0.98428,0.98411,0.98944,0.98733,0.98006,0.98118,0.98189,0.9867,0.9851,0.9868,0.98,0.9834,0.98233,0.9797,0.98148,0.98208,0.96153,0.979,0.97668,0.90571,0.947,0.90603,0.93083,0.94522,0.92455,0.94984,0.58393,0.58195,0.59524,0.55289,0.96915,0.96599,0.94734,0.94453,0.57516,0.58974,0.83768,0.88109,0.54134,0.54307,0.98217,0.98944,0.98176,0.98563,0.98415,0.96203,0.98912,0.54572,0.94369,0.94586,0.96046,0.62604,0.61022,0.61229,0.65858,0.99945,0.99946,0.99872,0.99878,0.99802,0.99762,0.99111,0.99616,0.98918,0.98956,0.54325,0.56367,0.55579,0.56665,0.54665,0.59295,0.57374,0.57688,0.60489,0.59064,0.99065,0.99093,0.9824,0.98509,0.98217,0.9851,0.98244,0.98904,0.98756,0.98887,0.54622,0.57105,0.54832,0.59296,0.55738,0.54193,0.58203,0.58727,0.58946,0.59185,0.98928,0.98879,0.98541,0.98466,0.99011,0.9868,0.98937,0.99017,0.98849,0.98651,0.5222,0.52695,0.56083,0.53441,0.54919,0.57536,0.60964,0.57807,0.58742,0.60652,0.54536,0.54136,0.53788,0.57676,0.57717,0.56227,0.57265,0.57731,0.59161,0.59207,0.53174,0.52171,0.52863,0.55199,0.62263,0.59313,0.60524,0.5799,0.58171,0.60432,0.52984,0.53353,0.53219,0.60512,0.60518,0.54244,0.54753,0.57849,0.58916,0.5558
6,0.97807,0.98153,0.98414,0.98157,0.98319,0.99997,1.0,0.99977,0.9998,0.99817,0.99808,0.99629,0.99634,0.99691,0.99772,0.98202,0.98084,0.98823,0.98754,0.98105,0.97754,0.98367,0.98299,0.98124,0.98115,0.97876,0.97999,0.98811,0.98731,0.97922,0.97663,0.9837,0.98359,0.98426,0.98443,0.98304,0.98395,0.98703,0.98722,0.98142,0.98094,0.98476,0.98511,0.98449,0.98799,0.97971,0.97951,0.9877,0.98729,0.98203,0.98192,0.98657,0.98436,0.98298,0.98445,0.97915,0.97907,0.98774,0.98629,0.98114,0.98189,0.98503,0.97892,0.98623,0.97875,0.97995,0.97898,0.98774,0.98729,0.98382,0.97909,0.98328,0.98321,0.98341,0.98245,0.98429,0.98376,0.98984,0.98852,0.98111,0.9759,0.98434,0.98349,0.98872,0.96631,0.98462,0.98444,0.98982,0.98775,0.98049,0.98158,0.98229,0.98693,0.98537,0.98712,0.98025,0.98355,0.98281,0.98024,0.9819,0.98251,0.96219,0.97951,0.97722,0.90677,0.94759,0.90717,0.93162,0.94601,0.92559,0.95067,0.58213,0.58088,0.59427,0.5523,0.96958,0.96626,0.9483,0.94534,0.57417,0.58859,0.83896,0.88231,0.53825,0.54204,0.98246,0.98973,0.98211,0.98593,0.98445,0.96255,0.98935,0.54445,0.9439,0.94692,0.96139,0.62535,0.6092,0.61133,0.65793,0.99931,0.99933,0.99874,0.99881,0.99819,0.99781,0.9914,0.99629,0.98959,0.98997,0.54281,0.56261,0.55489,0.56413,0.54435,0.59193,0.57274,0.57589,0.60383,0.58965,0.9909,0.99118,0.98274,0.9854,0.98255,0.98543,0.98278,0.98938,0.98788,0.9892,0.54535,0.56992,0.546,0.59134,0.55624,0.54051,0.58101,0.58628,0.58846,0.59086,0.98952,0.98903,0.98576,0.98504,0.99046,0.98714,0.98974,0.99051,0.9888,0.98683,0.5156,0.52409,0.55959,0.53083,0.54825,0.57435,0.60866,0.57706,0.58642,0.60548,0.54448,0.53904,0.5374,0.57567,0.57603,0.56064,0.57166,0.57633,0.59061,0.59107,0.52813,0.52141,0.52773,0.55062,0.62165,0.59203,0.60419,0.5789,0.5807,0.60326,0.52828,0.53264,0.53087,0.60412,0.60467,0.54063,0.54663,0.57753,0.58818,0.55328
7,0.97857,0.98205,0.98441,0.98223,0.98344,0.9998,0.99977,1.0,0.99996,0.99798,0.99793,0.99603,0.99608,0.99712,0.99793,0.98244,0.98129,0.9885,0.98785,0.98138,0.97789,0.984,0.98342,0.98174,0.98145,0.97922,0.9804,0.98841,0.9876,0.97952,0.977,0.98404,0.98406,0.98459,0.98488,0.98345,0.98439,0.98733,0.98752,0.98174,0.98128,0.98519,0.98541,0.98501,0.98837,0.9802,0.97997,0.98802,0.98763,0.98236,0.98221,0.98692,0.98485,0.98351,0.98485,0.97957,0.97952,0.98804,0.9866,0.98145,0.98217,0.9855,0.97935,0.98667,0.97901,0.98042,0.97942,0.98804,0.98758,0.98408,0.97942,0.98363,0.98369,0.9838,0.98297,0.98488,0.98422,0.99011,0.98876,0.98143,0.97624,0.98476,0.98381,0.98905,0.96655,0.98511,0.98498,0.99009,0.98805,0.98078,0.98186,0.98276,0.98732,0.98567,0.98752,0.98108,0.9843,0.98315,0.98058,0.98246,0.98299,0.96273,0.97988,0.97764,0.90737,0.94837,0.90744,0.93232,0.94598,0.92631,0.95128,0.58287,0.58101,0.59421,0.55152,0.97014,0.96658,0.9485,0.94544,0.57414,0.58876,0.8398,0.88308,0.53771,0.54298,0.98291,0.98998,0.98242,0.98639,0.98478,0.96343,0.98937,0.54515,0.94481,0.94668,0.96116,0.62502,0.60918,0.61114,0.65828,0.99961,0.99963,0.99827,0.99836,0.99826,0.99792,0.99165,0.99649,0.98949,0.98987,0.54255,0.5634,0.55543,0.56545,0.54542,0.59198,0.57292,0.57605,0.60393,0.58939,0.99118,0.99144,0.98262,0.98527,0.98251,0.98537,0.98281,0.98934,0.98799,0.98925,0.543,0.57049,0.54709,0.59268,0.5563,0.54108,0.58085,0.58643,0.58864,0.5906,0.98987,0.98936,0.98565,0.98495,0.99043,0.98719,0.98985,0.9906,0.98896,0.98703,0.51573,0.52528,0.55981,0.53099,0.54984,0.57454,0.60872,0.57739,0.58659,0.60555,0.54454,0.5405,0.53704,0.57599,0.57642,0.56056,0.57182,0.57643,0.5904,0.59084,0.5284,0.52145,0.52782,0.55029,0.62073,0.59243,0.60429,0.57907,0.58089,0.60332,0.52786,0.53277,0.53134,0.60445,0.60468,0.54159,0.54616,0.57755,0.58832,0.55437
8,0.97931,0.9827,0.98512,0.9829,0.98416,0.99981,0.9998,0.99996,1.0,0.99825,0.99821,0.99641,0.99649,0.99729,0.99803,0.98305,0.98194,0.98912,0.98849,0.98211,0.9787,0.98464,0.98408,0.98246,0.98214,0.97991,0.98107,0.98902,0.98824,0.98026,0.97782,0.98472,0.9847,0.98525,0.98552,0.98411,0.98505,0.98798,0.98817,0.98248,0.98202,0.98584,0.98604,0.98566,0.98891,0.98087,0.98065,0.98866,0.98827,0.98307,0.98294,0.9875,0.98549,0.98418,0.9855,0.98023,0.9802,0.98866,0.98725,0.9822,0.9829,0.98611,0.98008,0.98725,0.97965,0.98108,0.9801,0.98866,0.98822,0.98477,0.98019,0.98433,0.98436,0.98447,0.98365,0.9855,0.98484,0.9907,0.98939,0.98218,0.9771,0.98537,0.98438,0.98955,0.9673,0.98576,0.98563,0.99066,0.98868,0.98156,0.9826,0.98349,0.98793,0.98627,0.98811,0.98164,0.9848,0.9839,0.98139,0.98312,0.98365,0.96375,0.98066,0.97847,0.90881,0.94941,0.90858,0.93355,0.94669,0.92749,0.95238,0.58189,0.58002,0.59321,0.54788,0.97093,0.96718,0.94933,0.94616,0.57315,0.58778,0.84138,0.88461,0.53715,0.54015,0.98352,0.99056,0.98314,0.98699,0.98544,0.96418,0.9895,0.54331,0.94574,0.94734,0.9617,0.62436,0.60826,0.61122,0.65566,0.99947,0.9995,0.99838,0.99846,0.99842,0.9981,0.99207,0.99672,0.99013,0.99051,0.54163,0.56158,0.55397,0.56408,0.54449,0.59091,0.5719,0.57504,0.60289,0.58854,0.99173,0.99198,0.98293,0.9855,0.9829,0.98566,0.98319,0.98966,0.98863,0.98986,0.54256,0.56942,0.54523,0.5917,0.55531,0.53965,0.57971,0.58543,0.58763,0.58975,0.99044,0.98995,0.98596,0.98529,0.99077,0.98756,0.99036,0.99099,0.98958,0.9877,0.51478,0.52331,0.55872,0.52962,0.54844,0.57353,0.60762,0.5761,0.58558,0.60449,0.5431,0.53829,0.53523,0.57498,0.57549,0.55862,0.57081,0.57542,0.58956,0.59,0.52788,0.52203,0.52692,0.54845,0.61838,0.59142,0.60324,0.57807,0.57988,0.60226,0.52753,0.53181,0.52939,0.60313,0.60351,0.53975,0.54587,0.57656,0.5875,0.55113
9,0.98465,0.98727,0.99047,0.98672,0.98981,0.99796,0.99817,0.99798,0.99825,1.0,0.99997,0.99849,0.99893,0.99668,0.99677,0.9879,0.98705,0.99381,0.99317,0.98774,0.98517,0.98983,0.98956,0.98819,0.98798,0.98549,0.98655,0.99372,0.99314,0.98587,0.98426,0.9898,0.99006,0.99033,0.99076,0.98907,0.9899,0.99288,0.99297,0.98822,0.98775,0.99095,0.99088,0.99053,0.99206,0.98622,0.9861,0.99331,0.99311,0.98873,0.98885,0.99196,0.9906,0.98948,0.99048,0.98568,0.98565,0.99334,0.99237,0.98811,0.98868,0.99098,0.98616,0.99194,0.98587,0.98635,0.98565,0.99341,0.99308,0.99006,0.98626,0.98968,0.98976,0.98958,0.98903,0.98892,0.98894,0.99482,0.99401,0.98773,0.98361,0.98936,0.98863,0.99374,0.97375,0.99001,0.98989,0.99482,0.99335,0.9877,0.98852,0.98914,0.99144,0.99076,0.99284,0.98466,0.98742,0.98946,0.98754,0.98855,0.98912,0.97113,0.98655,0.98481,0.9194,0.95619,0.91674,0.94226,0.95213,0.93601,0.96046,0.57311,0.57109,0.58327,0.54074,0.97651,0.97071,0.95545,0.95145,0.5642,0.57886,0.85287,0.89586,0.5275,0.53106,0.98811,0.99479,0.98858,0.99167,0.99031,0.96902,0.99073,0.53266,0.952,0.9529,0.96607,0.61671,0.6006,0.60309,0.64703,0.99654,0.99664,0.998,0.99809,0.99932,0.99928,0.99353,0.99663,0.99485,0.99515,0.52708,0.55039,0.54178,0.55199,0.53044,0.58127,0.56264,0.5658,0.59297,0.58057,0.99518,0.99547,0.98478,0.98666,0.98555,0.98759,0.98569,0.99173,0.99343,0.99434,0.53381,0.55535,0.53245,0.58151,0.54213,0.5271,0.57173,0.57619,0.57829,0.58175,0.9944,0.9941,0.98783,0.98746,0.99297,0.99002,0.99413,0.99336,0.99415,0.99267,0.50907,0.51864,0.54744,0.52076,0.53244,0.5643,0.59791,0.56875,0.57626,0.5947,0.53241,0.52613,0.52413,0.56539,0.56465,0.54654,0.56165,0.56621,0.58156,0.582,0.52037,0.51268,0.51832,0.53397,0.60607,0.58167,0.59338,0.56882,0.57056,0.59237,0.5187,0.51979,0.52058,0.59368,0.59074,0.52742,0.53311,0.56772,0.57946,0.53965
