,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_v2_0,default_comp_v2_1,default_comp_v2_2,default_comp_v2_3,default_comp_v2_4,default_comp_v2_5,default_comp_v2_6,default_comp_v2_7,default_comp_v2_8,default_comp_v2_9,default_img_0,default_img_1,default_img_2,default_img_3,default_img_4,default_img_5,default_img_6,default_img_7,default_img_8,default_img_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb70_v2_0,default_pdb70_v2_1,default_pdb70_v2_2,default_pdb70_v2_3,default_pdb70_v2_4,default_pdb70_v2_5,default_pdb70_v2_6,default_pdb70_v2_7,default_pdb70_v2_8,default_pdb70_v2_9,default_pdb_v2_0,default_pdb_v2_1,default_pdb_v2_2,default_pdb_v2_3,default_pdb_v2_4,default_pdb_v2_5,default_pdb_v2_6,default_pdb_v2_7,default_pdb_v2_8,default_pdb_v2_9,default_struct_v2_0,default_struct_v2_1,default_struct_v2_2,default_struct_v2_3,default_struct_v2_4,default_struct_v2_5,default_struct_v2_6,default_struct_v2_7,default_struct_v2_8,default_struct_v2_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_10,default_uniref30_22_11,default_uniref30_22_12,default_uniref30_22_13,default_uniref30_22_14,default_uniref30_22_15,default_uniref30_22_16,default_uniref30_22_17,default_uniref30_22_18,default_uniref30_22_19,default_uniref30_22_2,default_uniref30_22_20,default_uniref30_22_21,default_uniref30_22_22,default_uniref30_22_23,default_uniref30_22_24,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,unidist_uniprot_img_0,unidist_uniprot_img_1,unidist_uniprot_img_2,unidist_uniprot_img_3,unidist_uniprot_img_4,unidist_uniprot_img_5,unidist_uniprot_img_6,unidist_uniprot_img_7,unidist_uniprot_img_8,unidist_uniprot_img_9,unidist_uniprot_sto_0,unidist_uniprot_sto_1,unidist_uniprot_sto_2,unidist_uniprot_sto_3,unidist_uniprot_sto_4,unidist_uniprot_sto_5,unidist_uniprot_sto_6,unidist_uniprot_sto_7,unidist_uniprot_sto_8,unidist_uniprot_sto_9
0,1.0,0.65829,0.88181,0.85914,0.82703,0.60669,0.61232,0.5763,0.58229,0.78991,0.75037,0.76893,0.69066,0.75053,0.77311,0.83716,0.79467,0.88256,0.81316,0.72545,0.83705,0.79421,0.66897,0.73633,0.64845,0.82614,0.74537,0.72864,0.72218,0.68328,0.67958,0.63953,0.65317,0.66124,0.60393,0.79383,0.85189,0.82518,0.75332,0.86185,0.85823,0.66095,0.688,0.65449,0.68355,0.80147,0.68421,0.63292,0.75964,0.90691,0.78186,0.73581,0.85365,0.8713,0.7766,0.77968,0.77503,0.79883,0.73491,0.73687,0.88532,0.64083,0.82434,0.86141,0.81892,0.75432,0.88753,0.65606,0.70712,0.8549,0.6678,0.75271,0.8227,0.66084,0.80415,0.69436,0.7129,0.74706,0.7761,0.73761,0.83157,0.71666,0.78824,0.75983,0.82484,0.78676,0.71355,0.61617,0.6832,0.90522,0.64289,0.6578,0.70864,0.83383,0.77637,0.87666,0.8066,0.77507,0.64563,0.63019,0.65233,0.62811,0.64303,0.62515,0.64053,0.60206,0.61309,0.81935,0.6423,0.64619,0.62534,0.64569,0.63739,0.64408,0.76011,0.70666,0.60459,0.78191,0.67189,0.61673,0.68575,0.61315,0.49134,0.51748,0.48641,0.6845,0.62103,0.6408,0.61892,0.62947,0.79021,0.6224,0.62098,0.6298,0.62634,0.85559,0.77496,0.79997,0.83624,0.69297,0.77388,0.70281,0.69674,0.6554,0.70799
1,0.65829,1.0,0.68652,0.65599,0.66183,0.5588,0.57502,0.66779,0.674,0.70705,0.68162,0.72265,0.62514,0.64004,0.64744,0.68653,0.7025,0.71333,0.76736,0.84026,0.65969,0.77126,0.90866,0.85986,0.83339,0.73513,0.8694,0.90043,0.85389,0.88493,0.87827,0.92709,0.59302,0.61738,0.80494,0.82133,0.73079,0.63908,0.63022,0.66458,0.67204,0.78587,0.86127,0.80996,0.85682,0.77827,0.61427,0.61962,0.7941,0.64602,0.81773,0.83922,0.75211,0.66428,0.82112,0.73588,0.80541,0.79362,0.85391,0.63432,0.67015,0.62481,0.6471,0.76403,0.76964,0.8101,0.68847,0.84346,0.88227,0.69974,0.90077,0.84087,0.75851,0.85422,0.65175,0.896,0.61868,0.84445,0.83445,0.84808,0.7714,0.60556,0.81995,0.84607,0.79191,0.62211,0.61197,0.62479,0.87863,0.67553,0.6189,0.77834,0.84123,0.75508,0.70319,0.65973,0.67111,0.66415,0.62151,0.61647,0.75966,0.70004,0.72544,0.69762,0.72235,0.64287,0.67863,0.65767,0.73015,0.71639,0.62392,0.76009,0.72039,0.76211,0.76091,0.75731,0.66225,0.7203,0.78865,0.62951,0.59533,0.62635,0.49484,0.51226,0.48635,0.61752,0.72778,0.93541,0.70892,0.77457,0.74099,0.6273,0.72813,0.77171,0.75525,0.74191,0.63592,0.65,0.66128,0.61702,0.63325,0.83884,0.86232,0.78664,0.86503
2,0.88181,0.68652,1.0,0.84319,0.83334,0.5949,0.59896,0.58811,0.59332,0.84387,0.80248,0.82215,0.69336,0.75671,0.77357,0.88152,0.85964,0.87286,0.85102,0.72894,0.83482,0.84106,0.67754,0.7487,0.67398,0.88037,0.77688,0.7557,0.78427,0.71628,0.71394,0.65777,0.66343,0.67731,0.63469,0.8321,0.93114,0.80648,0.7583,0.85747,0.89253,0.64989,0.68416,0.67145,0.67272,0.85515,0.6804,0.64088,0.79355,0.88997,0.80028,0.76755,0.85818,0.8512,0.78156,0.83207,0.82998,0.80738,0.74856,0.73762,0.89667,0.64492,0.81499,0.86372,0.82447,0.81115,0.88992,0.65792,0.73295,0.90296,0.66021,0.77747,0.85341,0.66443,0.80598,0.7184,0.70435,0.76006,0.77438,0.76035,0.84274,0.70563,0.79792,0.78245,0.85121,0.78129,0.7368,0.62755,0.68291,0.89558,0.66298,0.65662,0.71682,0.82187,0.77257,0.86971,0.8619,0.84458,0.64878,0.62718,0.6615,0.63159,0.6472,0.63135,0.64194,0.61414,0.62025,0.84053,0.63704,0.64289,0.61564,0.63645,0.64967,0.63475,0.82039,0.76027,0.60925,0.85838,0.64347,0.61671,0.65397,0.61353,0.4899,0.51336,0.48674,0.71349,0.6227,0.65992,0.61792,0.6283,0.85446,0.61702,0.62291,0.63728,0.63358,0.85389,0.76256,0.79466,0.84504,0.70469,0.76923,0.70276,0.70079,0.64118,0.7192
3,0.85914,0.65599,0.84319,1.0,0.93559,0.62268,0.63069,0.57234,0.57789,0.76092,0.73172,0.73127,0.75194,0.78059,0.80652,0.84266,0.75314,0.79949,0.7622,0.6464,0.91235,0.75205,0.66818,0.68385,0.65002,0.78519,0.69418,0.6822,0.66674,0.63859,0.66624,0.63143,0.69795,0.75829,0.59962,0.72027,0.79492,0.92672,0.87843,0.91698,0.84618,0.63603,0.66283,0.65432,0.66277,0.73361,0.73245,0.65685,0.70905,0.90085,0.7024,0.69368,0.76796,0.89205,0.69053,0.72876,0.70707,0.7168,0.66332,0.82717,0.84276,0.66871,0.88519,0.76582,0.73679,0.69748,0.84609,0.65516,0.67644,0.81693,0.64945,0.68297,0.75362,0.63647,0.88687,0.68175,0.78282,0.68719,0.70657,0.67212,0.75236,0.76995,0.69836,0.68509,0.73949,0.86752,0.83448,0.63419,0.67192,0.90369,0.72896,0.65572,0.66655,0.73822,0.7315,0.93414,0.87147,0.83537,0.68556,0.63901,0.63391,0.61565,0.62733,0.61238,0.61908,0.61755,0.60289,0.89704,0.62277,0.6235,0.6441,0.6227,0.6208,0.63746,0.71468,0.67523,0.62347,0.75685,0.6504,0.62645,0.67953,0.59733,0.48995,0.51684,0.48681,0.76542,0.62975,0.63074,0.60708,0.63926,0.73091,0.64335,0.60958,0.623,0.61464,0.77289,0.86619,0.84993,0.906,0.76174,0.88219,0.67326,0.6675,0.62669,0.68024
4,0.82703,0.66183,0.83334,0.93559,1.0,0.61226,0.62008,0.56321,0.56635,0.74773,0.72373,0.71605,0.76841,0.76464,0.79043,0.85762,0.75254,0.76225,0.71597,0.63331,0.8992,0.70547,0.65805,0.6803,0.63052,0.78291,0.64962,0.63785,0.64593,0.65386,0.65577,0.61877,0.69948,0.77622,0.58124,0.70158,0.78123,0.91581,0.89045,0.87217,0.81191,0.62252,0.64451,0.64412,0.6486,0.72912,0.77276,0.64802,0.6653,0.87108,0.67658,0.68847,0.73952,0.89258,0.66626,0.72632,0.70456,0.68835,0.64127,0.82211,0.81822,0.67657,0.87865,0.74299,0.7114,0.67404,0.80347,0.64323,0.64668,0.82478,0.63672,0.6584,0.72994,0.62197,0.87535,0.65523,0.82806,0.6788,0.66658,0.67226,0.71966,0.80189,0.67524,0.66117,0.71965,0.8887,0.86362,0.6264,0.63688,0.85129,0.73294,0.63815,0.65599,0.70477,0.69351,0.91217,0.88544,0.81738,0.68631,0.63628,0.62499,0.60756,0.61358,0.60563,0.60928,0.61364,0.60678,0.85432,0.60681,0.61374,0.64553,0.62124,0.6064,0.60489,0.69395,0.67215,0.6036,0.73915,0.62119,0.62642,0.6575,0.59972,0.48959,0.51095,0.48589,0.79281,0.61066,0.63163,0.6055,0.60545,0.73547,0.65347,0.62139,0.60996,0.60453,0.74203,0.85762,0.91292,0.88829,0.81079,0.88588,0.66703,0.66133,0.61492,0.67489
5,0.60669,0.5588,0.5949,0.62268,0.61226,1.0,0.99756,0.57293,0.57425,0.66689,0.65678,0.66333,0.793,0.68639,0.68114,0.6344,0.60505,0.59429,0.61009,0.60354,0.64038,0.60119,0.5625,0.57784,0.58321,0.62516,0.59675,0.58892,0.59199,0.57484,0.57741,0.55427,0.71918,0.68159,0.5489,0.58793,0.59807,0.64837,0.66707,0.61016,0.60565,0.5778,0.58771,0.57503,0.58361,0.59169,0.76117,0.65905,0.6058,0.61208,0.58867,0.57879,0.58829,0.63845,0.5915,0.61676,0.58722,0.5925,0.58026,0.74832,0.61415,0.72597,0.67473,0.59697,0.60818,0.58758,0.59723,0.56746,0.58777,0.59934,0.55847,0.61359,0.62239,0.57647,0.68998,0.59141,0.69387,0.59612,0.60162,0.5809,0.59263,0.72613,0.60107,0.60052,0.59048,0.63358,0.62792,0.59901,0.58943,0.61637,0.67927,0.58291,0.59763,0.60487,0.59143,0.63447,0.61775,0.60588,0.73139,0.6331,0.56917,0.56307,0.56792,0.58062,0.56498,0.61125,0.57919,0.61653,0.56757,0.56737,0.69528,0.57901,0.56898,0.59167,0.59409,0.5878,0.61017,0.59451,0.59692,0.62584,0.59319,0.59347,0.48836,0.50456,0.48278,0.73541,0.57302,0.57531,0.56535,0.57017,0.59998,0.6682,0.56099,0.56591,0.56564,0.60391,0.7082,0.64663,0.65135,0.71512,0.63833,0.57604,0.59609,0.58156,0.59796
6,0.61232,0.57502,0.59896,0.63045,0.62008,0.99756,1.0,0.57491,0.57585,0.66735,0.64692,0.66099,0.80702,0.68801,0.68853,0.64372,0.61036,0.60476,0.61819,0.60871,0.64946,0.61272,0.57758,0.58927,0.58543,0.62698,0.60251,0.59397,0.57692,0.57722,0.58099,0.55518,0.73719,0.69924,0.55085,0.59253,0.60302,0.66422,0.68289,0.6175,0.60861,0.58354,0.59226,0.58081,0.58852,0.60315,0.77966,0.67341,0.61204,0.61941,0.59938,0.58286,0.59393,0.64724,0.59708,0.6161,0.59064,0.5978,0.59407,0.76342,0.61742,0.74149,0.68542,0.60241,0.614,0.59053,0.6069,0.57544,0.59266,0.60543,0.57304,0.61421,0.62272,0.5814,0.7,0.58331,0.7115,0.60138,0.60544,0.59295,0.60303,0.74366,0.60708,0.60515,0.59507,0.654,0.6461,0.60818,0.59416,0.62391,0.69505,0.58825,0.60151,0.61034,0.59609,0.64265,0.62709,0.61235,0.74338,0.64633,0.57266,0.56722,0.57128,0.58919,0.56809,0.61899,0.58434,0.62243,0.57363,0.57173,0.70605,0.58628,0.57344,0.59663,0.59802,0.59209,0.61893,0.59919,0.59981,0.64107,0.59487,0.59529,0.48861,0.50446,0.48279,0.75481,0.57644,0.57609,0.56916,0.57804,0.61132,0.68127,0.57741,0.56765,0.57016,0.60946,0.72411,0.65984,0.6631,0.73267,0.65027,0.58688,0.60082,0.5875,0.60508
7,0.5763,0.66779,0.58811,0.57234,0.56321,0.57293,0.57491,1.0,0.99861,0.69919,0.69199,0.73662,0.56369,0.60713,0.60257,0.57912,0.64122,0.60466,0.66103,0.66434,0.57178,0.6874,0.66457,0.64345,0.62158,0.65489,0.69559,0.68767,0.75355,0.73875,0.74543,0.73573,0.55771,0.55071,0.67384,0.69707,0.64165,0.5605,0.56243,0.58084,0.6068,0.61342,0.62141,0.64126,0.64163,0.68339,0.55515,0.57516,0.71031,0.58129,0.68322,0.68624,0.62592,0.56671,0.65475,0.67647,0.71617,0.67007,0.7057,0.55958,0.58697,0.57263,0.55905,0.62287,0.65244,0.74027,0.60272,0.67572,0.70968,0.60443,0.72292,0.73311,0.67874,0.63639,0.56364,0.74444,0.55689,0.64725,0.63489,0.70467,0.64583,0.563,0.65819,0.67101,0.67241,0.55642,0.56399,0.58675,0.64962,0.58106,0.57056,0.65117,0.63311,0.62529,0.62749,0.56943,0.58225,0.61045,0.56906,0.58266,0.62254,0.61708,0.62134,0.60058,0.61554,0.59948,0.60027,0.57996,0.60742,0.62443,0.57721,0.60192,0.60583,0.60204,0.7084,0.73168,0.59421,0.68656,0.60139,0.58962,0.55953,0.59267,0.48956,0.50622,0.4832,0.55682,0.61825,0.687,0.62944,0.6342,0.64826,0.56273,0.60828,0.64603,0.64201,0.61273,0.55878,0.56,0.56751,0.55337,0.55817,0.63736,0.61974,0.61257,0.64965
8,0.58229,0.674,0.59332,0.57789,0.56635,0.57425,0.57585,0.99861,1.0,0.7121,0.70574,0.74976,0.56462,0.6097,0.60506,0.57985,0.65253,0.60534,0.6719,0.66968,0.57405,0.69904,0.67155,0.6498,0.62434,0.66742,0.70609,0.69639,0.76426,0.74433,0.75174,0.73886,0.5566,0.55179,0.67343,0.71064,0.65449,0.56159,0.56454,0.5859,0.61113,0.6134,0.62452,0.64174,0.64834,0.69582,0.55004,0.57658,0.72077,0.58441,0.69472,0.69425,0.63585,0.56884,0.66194,0.69131,0.72916,0.68386,0.71402,0.56076,0.58821,0.57441,0.55842,0.63353,0.66331,0.75183,0.60839,0.67878,0.71668,0.61489,0.7258,0.7435,0.68597,0.63922,0.56465,0.75019,0.55755,0.65468,0.6416,0.71448,0.6593,0.5568,0.66841,0.68,0.68736,0.55968,0.56558,0.58856,0.65458,0.58483,0.57217,0.65279,0.63839,0.63458,0.63695,0.56959,0.58562,0.62035,0.57066,0.58436,0.62581,0.61894,0.6237,0.60169,0.61895,0.59925,0.60237,0.58494,0.60738,0.62539,0.5786,0.60398,0.60843,0.60361,0.71932,0.7384,0.59422,0.69794,0.60087,0.5899,0.55967,0.59427,0.49006,0.5069,0.48316,0.55767,0.62014,0.69144,0.62914,0.63698,0.65863,0.56238,0.60798,0.6477,0.64391,0.62468,0.55969,0.56121,0.56857,0.55504,0.56066,0.64212,0.62305,0.61377,0.65518
9,0.78991,0.70705,0.84387,0.76092,0.74773,0.66689,0.66735,0.69919,0.71071,1.0,0.97749,0.99119,0.71728,0.84665,0.83699,0.84523,0.91202,0.84177,0.86169,0.78376,0.74138,0.8925,0.70045,0.72127,0.66293,0.9334,0.82241,0.79339,0.83071,0.77339,0.76804,0.69431,0.61043,0.64472,0.64599,0.86449,0.86617,0.70727,0.67927,0.78719,0.81518,0.66024,0.68972,0.66422,0.68752,0.90405,0.6384,0.61865,0.87062,0.80949,0.8501,0.75838,0.81959,0.77511,0.77742,0.92315,0.88958,0.84899,0.81076,0.67528,0.86935,0.64868,0.75863,0.82843,0.81983,0.86916,0.85761,0.68189,0.7836,0.91038,0.69979,0.83461,0.88984,0.68107,0.7421,0.75953,0.63694,0.74262,0.75085,0.79852,0.85462,0.63473,0.81556,0.79176,0.8574,0.67088,0.64606,0.60094,0.69995,0.82234,0.63636,0.66298,0.70921,0.80069,0.7664,0.77124,0.79996,0.81702,0.64494,0.61414,0.65352,0.63571,0.64517,0.61864,0.63965,0.61614,0.61755,0.78157,0.63766,0.64086,0.62519,0.63893,0.63723,0.64572,0.77809,0.72541,0.61662,0.81187,0.6415,0.61094,0.62146,0.62166,0.48983,0.51178,0.48297,0.65282,0.63412,0.69814,0.63434,0.64182,0.84355,0.60568,0.63175,0.65424,0.64477,0.86326,0.68746,0.70177,0.79675,0.65084,0.67913,0.69058,0.69349,0.66373,0.70741
