,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,avg_refine_0,avg_refine_1,avg_refine_2,avg_refine_3,avg_refine_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_0,default_comp_1,default_comp_2,default_comp_3,default_comp_4,default_comp_5,default_comp_6,default_comp_7,default_comp_8,default_comp_9,default_mul_newest_0,default_mul_newest_1,default_mul_newest_10,default_mul_newest_11,default_mul_newest_12,default_mul_newest_13,default_mul_newest_14,default_mul_newest_15,default_mul_newest_16,default_mul_newest_17,default_mul_newest_18,default_mul_newest_19,default_mul_newest_2,default_mul_newest_20,default_mul_newest_21,default_mul_newest_22,default_mul_newest_23,default_mul_newest_24,default_mul_newest_3,default_mul_newest_4,default_mul_newest_5,default_mul_newest_6,default_mul_newest_7,default_mul_newest_8,default_mul_newest_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb_0,default_pdb_1,default_pdb_2,default_pdb_3,default_pdb_4,default_pdb_5,default_pdb_6,default_pdb_7,default_pdb_8,default_pdb_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_10,default_uniref30_22_11,default_uniref30_22_12,default_uniref30_22_13,default_uniref30_22_14,default_uniref30_22_15,default_uniref30_22_16,default_uniref30_22_17,default_uniref30_22_18,default_uniref30_22_19,default_uniref30_22_2,default_uniref30_22_20,default_uniref30_22_21,default_uniref30_22_22,default_uniref30_22_23,default_uniref30_22_24,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,iter_1_0,iter_1_1,iter_1_2,iter_1_3,iter_1_4,iter_1_5,iter_1_6,iter_1_7,iter_1_8,iter_1_9,iter_2_0,iter_2_1,iter_2_2,iter_2_3,iter_2_4,iter_2_5,iter_2_6,iter_2_7,iter_2_8,iter_2_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,spec_iter_uniref_sto_0,spec_iter_uniref_sto_1,spec_iter_uniref_sto_2,spec_iter_uniref_sto_3,spec_iter_uniref_sto_4,spec_iter_uniref_sto_5,spec_iter_uniref_sto_6,spec_iter_uniref_sto_7,spec_iter_uniref_sto_8,spec_iter_uniref_sto_9,unidist_uniprot_sto_0,unidist_uniprot_sto_1,unidist_uniprot_sto_2,unidist_uniprot_sto_3,unidist_uniprot_sto_4,unidist_uniprot_sto_5,unidist_uniprot_sto_6,unidist_uniprot_sto_7,unidist_uniprot_sto_8,unidist_uniprot_sto_9
0,1.0,0.99713,0.98651,0.63204,0.62904,0.96422,0.63823,0.78694,0.77998,0.78765,0.61458,0.60838,0.60515,0.61137,0.62177,0.62428,0.62337,0.7759,0.61907,0.77467,0.92293,0.76936,0.64633,0.65721,0.77294,0.77231,0.6945,0.70881,0.66932,0.66239,0.95884,0.62644,0.76862,0.80386,0.77406,0.78258,0.772,0.76666,0.76902,0.76547,0.64342,0.7647,0.97031,0.77383,0.68117,0.67205,0.69107,0.70115,0.63023,0.63762,0.63956,0.63032,0.77844,0.80042,0.80354,0.63028,0.62663,0.77113,0.77521,0.80249,0.78209,0.7876,0.68329,0.6693,0.72105,0.6212,0.62506,0.62898,0.77051,0.63039,0.67501,0.77061,0.68092,0.63439,0.63717,0.94901,0.77163,0.78346,0.78186,0.77059,0.78345,0.75687,0.7797,0.75907,0.75909,0.78523,0.91208,0.77883,0.73961,0.73833,0.77904,0.77201,0.78145,0.74865,0.75413,0.63333,0.62863,0.75466,0.7738,0.7841,0.76786,0.78225,0.76507,0.65153,0.68545,0.99633,0.99623,0.77247,0.77569,0.76494,0.79982,0.77391,0.80314,0.76999,0.7782,0.80423,0.69987,0.63437,0.68794,0.66797,0.66814,0.70087,0.67665,0.6285,0.78525,0.64336,0.63438,0.63757,0.78007,0.78147,0.66515,0.7837,0.65324,0.6564,0.6536,0.78887,0.69423,0.73651,0.7003,0.73347,0.6391,0.63857,0.64645,0.79819,0.6297,0.63931,0.78931,0.63928,0.64879,0.64819,0.99535,0.63266,0.63409,0.6311,0.63337,0.63473,0.63084,0.90316,0.75296,0.76306,0.77445,0.70411,0.67534,0.67622,0.72317,0.9312,0.62897,0.62968,0.75444,0.75188,0.80062,0.68922,0.68778,0.69697,0.70727
1,0.99713,1.0,0.99202,0.64539,0.64129,0.97201,0.65149,0.78844,0.78021,0.78636,0.62694,0.6212,0.61786,0.62401,0.63487,0.63704,0.6367,0.77326,0.63156,0.77303,0.93777,0.77248,0.65979,0.6705,0.77959,0.77894,0.70834,0.72253,0.68234,0.67518,0.96893,0.6399,0.77541,0.80447,0.78045,0.78974,0.77848,0.77492,0.77742,0.77283,0.65668,0.77383,0.97842,0.77861,0.69507,0.68561,0.70461,0.71485,0.64355,0.65047,0.65365,0.64354,0.7822,0.80267,0.80446,0.64423,0.63974,0.77875,0.78067,0.80383,0.78494,0.79326,0.69684,0.68181,0.73307,0.63454,0.63871,0.63891,0.77532,0.6418,0.68935,0.77386,0.69441,0.64761,0.65057,0.9586,0.77315,0.78427,0.78269,0.77912,0.78915,0.76473,0.78661,0.76551,0.76843,0.78844,0.9241,0.78508,0.75044,0.74877,0.78172,0.77488,0.78701,0.75701,0.76337,0.64664,0.64186,0.76477,0.77962,0.78551,0.77517,0.78512,0.7753,0.66494,0.69955,0.99825,0.99766,0.77819,0.7815,0.77182,0.80068,0.77979,0.80409,0.77695,0.77134,0.80521,0.71225,0.64842,0.70178,0.68145,0.68052,0.71483,0.69044,0.64264,0.78753,0.65651,0.64761,0.65079,0.78426,0.78549,0.67855,0.78399,0.66675,0.66993,0.66801,0.79206,0.70832,0.7472,0.71346,0.74563,0.65269,0.65183,0.65909,0.80125,0.64402,0.6522,0.79587,0.6526,0.66789,0.66209,0.99877,0.64657,0.64756,0.64473,0.64661,0.64794,0.64457,0.91745,0.76179,0.77165,0.77525,0.71784,0.68918,0.69077,0.73462,0.94487,0.64274,0.64368,0.76244,0.76098,0.80393,0.70262,0.70077,0.70976,0.71874
2,0.98651,0.99202,1.0,0.64127,0.63663,0.98912,0.64559,0.79194,0.78213,0.79042,0.62345,0.61731,0.61504,0.62018,0.6311,0.63305,0.63396,0.78103,0.62855,0.77634,0.95118,0.77504,0.6555,0.6661,0.77839,0.77772,0.70469,0.71884,0.67914,0.67136,0.98905,0.6333,0.77463,0.80585,0.7803,0.78941,0.77732,0.77387,0.77613,0.77122,0.65344,0.77181,0.99479,0.77715,0.68985,0.68118,0.69999,0.71093,0.63892,0.64576,0.64874,0.63882,0.78233,0.80406,0.80573,0.6392,0.63484,0.77752,0.7806,0.80486,0.78993,0.79493,0.69329,0.67705,0.72983,0.62936,0.63407,0.63672,0.77618,0.63767,0.68457,0.7764,0.69076,0.64306,0.64574,0.96249,0.77574,0.7873,0.78417,0.77867,0.79049,0.76325,0.78676,0.76288,0.76609,0.78865,0.9438,0.78302,0.74857,0.74617,0.78379,0.77564,0.78604,0.75526,0.76232,0.64204,0.63775,0.76179,0.78006,0.78932,0.77437,0.79015,0.77239,0.66201,0.69533,0.99364,0.99486,0.7781,0.78182,0.77123,0.80272,0.7791,0.80518,0.77589,0.77518,0.80687,0.70844,0.64339,0.697,0.67858,0.67679,0.71013,0.68594,0.63767,0.78866,0.65191,0.64305,0.64577,0.78417,0.78528,0.67342,0.78799,0.662,0.6653,0.66327,0.79623,0.70349,0.74472,0.70971,0.74219,0.648,0.64758,0.65507,0.79989,0.6392,0.64851,0.79698,0.64831,0.66489,0.65871,0.99498,0.63839,0.64301,0.64003,0.64155,0.64349,0.64006,0.94637,0.75904,0.76533,0.777,0.71299,0.68551,0.68627,0.73027,0.96755,0.6381,0.63903,0.76057,0.75827,0.80482,0.69838,0.69998,0.70481,0.71395
3,0.63204,0.64539,0.64127,1.0,0.94874,0.63823,0.92806,0.63986,0.65867,0.62459,0.82028,0.82771,0.84833,0.85193,0.82928,0.8311,0.83155,0.63287,0.85377,0.66816,0.64486,0.67841,0.82752,0.82224,0.72205,0.74961,0.83478,0.83455,0.84887,0.80845,0.64314,0.84146,0.81927,0.65041,0.81637,0.714,0.82912,0.84085,0.8362,0.81337,0.91661,0.76303,0.64272,0.70614,0.80806,0.81246,0.89727,0.87123,0.97115,0.88654,0.93398,0.94964,0.72656,0.65608,0.65289,0.98949,0.83193,0.84903,0.83938,0.6524,0.64078,0.71487,0.84562,0.80863,0.86127,0.92414,0.84561,0.88623,0.67678,0.86787,0.88536,0.67844,0.88663,0.93849,0.82379,0.63629,0.6589,0.71777,0.68944,0.76393,0.72347,0.72657,0.73238,0.72551,0.73675,0.73174,0.64863,0.72533,0.83124,0.91165,0.66692,0.76294,0.73641,0.79947,0.85162,0.9855,0.97014,0.83729,0.83484,0.64703,0.82671,0.64349,0.76239,0.88746,0.8989,0.63962,0.63875,0.81854,0.82644,0.79129,0.65722,0.84112,0.65421,0.84474,0.66739,0.65601,0.9172,0.99029,0.84255,0.88216,0.87008,0.83416,0.90092,0.95565,0.78652,0.86271,0.93628,0.95913,0.78865,0.71588,0.84183,0.6417,0.89207,0.866,0.88853,0.63706,0.79436,0.81215,0.79434,0.79773,0.91625,0.84865,0.89801,0.67138,0.82653,0.84548,0.6894,0.81299,0.8045,0.82444,0.64545,0.83444,0.98516,0.97281,0.93803,0.94742,0.97604,0.64929,0.74581,0.792,0.67722,0.82701,0.85997,0.90484,0.80242,0.65121,0.97235,0.94553,0.82545,0.87028,0.65684,0.84286,0.83949,0.81597,0.82347
4,0.62904,0.64129,0.63663,0.94874,1.0,0.63529,0.88224,0.63583,0.6575,0.6186,0.82303,0.82965,0.84113,0.85358,0.82654,0.83182,0.83843,0.6201,0.85072,0.65177,0.64193,0.67213,0.82007,0.81928,0.70963,0.72995,0.81959,0.81448,0.8524,0.81172,0.64074,0.82947,0.77697,0.64654,0.77081,0.69814,0.77607,0.79012,0.79425,0.76014,0.86213,0.73986,0.63775,0.69995,0.80153,0.80832,0.85278,0.83336,0.91074,0.84716,0.87967,0.89367,0.69764,0.64454,0.64771,0.93029,0.83451,0.81485,0.81957,0.65145,0.64083,0.69642,0.81973,0.79978,0.82284,0.87749,0.85136,0.87632,0.67176,0.83895,0.85686,0.67597,0.85918,0.88883,0.8265,0.63141,0.65285,0.69479,0.67658,0.73955,0.70499,0.73097,0.71391,0.72622,0.73715,0.73142,0.64503,0.73246,0.78177,0.86004,0.66496,0.7652,0.71108,0.7572,0.83608,0.93617,0.91567,0.85509,0.79113,0.64447,0.77918,0.64363,0.73853,0.86539,0.85754,0.63554,0.63454,0.76838,0.7888,0.75096,0.64315,0.79302,0.64908,0.79555,0.63726,0.65023,0.92796,0.94607,0.8167,0.86051,0.84816,0.81292,0.86894,0.89907,0.77989,0.87099,0.8831,0.90115,0.73968,0.6922,0.84845,0.63589,0.87115,0.87101,0.87346,0.62366,0.80086,0.78794,0.7987,0.77679,0.87585,0.85688,0.86323,0.66222,0.83159,0.82427,0.67741,0.80906,0.79692,0.81165,0.64139,0.83271,0.93077,0.90955,0.8895,0.89442,0.91514,0.64614,0.73517,0.75766,0.67086,0.79974,0.83033,0.8547,0.77355,0.64748,0.91435,0.8926,0.77435,0.81368,0.65616,0.81498,0.8112,0.79048,0.79606
5,0.96422,0.97201,0.98912,0.63823,0.63529,1.0,0.64565,0.79488,0.78767,0.79469,0.61996,0.61565,0.61187,0.61843,0.62966,0.63112,0.63194,0.78139,0.62734,0.77398,0.95273,0.77115,0.65379,0.66419,0.77376,0.77356,0.70041,0.71476,0.68013,0.67111,0.99071,0.62807,0.77016,0.79993,0.77485,0.78268,0.77262,0.76825,0.77081,0.76323,0.64806,0.76266,0.99191,0.76832,0.68376,0.67495,0.69345,0.70446,0.63522,0.64019,0.64366,0.63324,0.77658,0.7983,0.80134,0.63616,0.63059,0.7726,0.77589,0.79896,0.78773,0.77736,0.6873,0.67101,0.72243,0.62892,0.63168,0.63471,0.7717,0.63205,0.68007,0.77341,0.68582,0.64012,0.64197,0.95464,0.77257,0.78405,0.78058,0.77888,0.78723,0.75937,0.78329,0.76413,0.76598,0.78579,0.95411,0.78693,0.74767,0.74605,0.7862,0.77253,0.77822,0.75594,0.7639,0.63919,0.63431,0.75287,0.77439,0.78653,0.76982,0.78777,0.75677,0.65626,0.68894,0.97359,0.97547,0.77269,0.77673,0.76543,0.79776,0.77457,0.79953,0.77157,0.77085,0.80205,0.70151,0.64066,0.69171,0.67381,0.67276,0.70263,0.68088,0.63411,0.78112,0.64637,0.63793,0.64031,0.77713,0.77746,0.6704,0.79078,0.66034,0.66214,0.66098,0.80204,0.70377,0.74232,0.70536,0.73941,0.6479,0.64592,0.65487,0.80666,0.637,0.64565,0.79988,0.64648,0.66655,0.65893,0.97785,0.63353,0.63887,0.6349,0.63678,0.64017,0.63664,0.96199,0.75366,0.76042,0.77171,0.70696,0.67935,0.68176,0.72288,0.97367,0.63475,0.63381,0.75533,0.75509,0.79867,0.69412,0.69474,0.69857,0.70741
6,0.63823,0.65149,0.64559,0.92806,0.88224,0.64565,1.0,0.64918,0.6676,0.63285,0.81475,0.80806,0.83292,0.83173,0.80962,0.81095,0.81869,0.64342,0.83503,0.66062,0.65006,0.68584,0.84251,0.81933,0.74449,0.76428,0.82925,0.83002,0.83249,0.8105,0.65024,0.88036,0.80693,0.65268,0.79506,0.71524,0.81544,0.83342,0.81631,0.80598,0.94466,0.76513,0.6496,0.71506,0.80912,0.81227,0.87695,0.85689,0.94959,0.93437,0.95171,0.94391,0.72983,0.65659,0.6533,0.95052,0.836,0.81125,0.79684,0.65423,0.64858,0.71266,0.84889,0.81577,0.84481,0.9841,0.83153,0.86656,0.68362,0.87946,0.89792,0.68811,0.89996,0.91316,0.82391,0.64212,0.66464,0.72952,0.70674,0.74613,0.7254,0.74092,0.73277,0.7316,0.74262,0.71878,0.65604,0.71962,0.87208,0.86555,0.67305,0.74678,0.73829,0.80052,0.82013,0.93328,0.95434,0.79414,0.80444,0.6531,0.82375,0.65024,0.76143,0.86377,0.87674,0.64635,0.64546,0.80905,0.79238,0.79914,0.65736,0.81314,0.6553,0.82026,0.64835,0.65823,0.85964,0.92273,0.84525,0.86075,0.85143,0.82229,0.87385,0.97008,0.74103,0.8392,0.96961,0.94535,0.77401,0.711,0.83569,0.64712,0.87266,0.84828,0.87005,0.64657,0.80501,0.81803,0.80593,0.79768,0.91673,0.84569,0.9125,0.67122,0.82743,0.87349,0.68956,0.81812,0.81532,0.83314,0.65151,0.84976,0.94358,0.9416,0.94814,0.97319,0.96603,0.65184,0.7521,0.82088,0.68607,0.82884,0.86567,0.9006,0.82259,0.65728,0.96453,0.98443,0.8734,0.87233,0.65931,0.84781,0.85028,0.83971,0.84574
7,0.78694,0.78844,0.79194,0.63986,0.63583,0.79488,0.64918,1.0,0.93811,0.96443,0.63867,0.62758,0.62823,0.63266,0.65005,0.64962,0.64656,0.86367,0.64674,0.8148,0.80188,0.81243,0.67472,0.67513,0.80214,0.7963,0.71237,0.72421,0.69009,0.69274,0.79691,0.65251,0.7992,0.79243,0.8012,0.7983,0.79867,0.79119,0.7958,0.79148,0.66898,0.78044,0.7933,0.80838,0.71762,0.709,0.71552,0.72261,0.64295,0.65267,0.65126,0.64667,0.80417,0.7894,0.79304,0.63983,0.65451,0.79611,0.79836,0.78465,0.91031,0.80211,0.69754,0.70073,0.74565,0.63061,0.63897,0.63832,0.80597,0.64469,0.6921,0.82825,0.69747,0.65804,0.66661,0.79593,0.80217,0.81412,0.82073,0.78831,0.80486,0.7931,0.80038,0.7939,0.79093,0.79764,0.79921,0.79118,0.76555,0.74846,0.94447,0.80588,0.80145,0.78051,0.78128,0.64549,0.64146,0.77341,0.79975,0.8473,0.79466,0.89429,0.78063,0.67352,0.70929,0.78885,0.78825,0.8009,0.80237,0.79509,0.78956,0.79751,0.78685,0.79445,0.81044,0.79135,0.7142,0.64314,0.70257,0.69376,0.69136,0.72579,0.6993,0.64118,0.79414,0.65356,0.64432,0.65076,0.80453,0.80691,0.67992,0.84759,0.67795,0.66831,0.67835,0.83466,0.7295,0.76705,0.74476,0.76733,0.66657,0.65574,0.67468,0.80487,0.67748,0.66334,0.7986,0.68105,0.72375,0.67325,0.78908,0.65713,0.64667,0.64183,0.64659,0.63773,0.64031,0.79792,0.77874,0.78443,0.80927,0.71124,0.68795,0.70121,0.74784,0.7999,0.63972,0.6403,0.77903,0.77234,0.79538,0.7006,0.69667,0.72119,0.73013
8,0.77998,0.78021,0.78213,0.65867,0.6575,0.78767,0.6676,0.93811,1.0,0.89941,0.65411,0.64277,0.64129,0.64361,0.66655,0.66522,0.65731,0.89904,0.65898,0.82071,0.79175,0.81959,0.69516,0.68988,0.81523,0.80999,0.73602,0.74528,0.70592,0.71189,0.7897,0.66711,0.80709,0.79159,0.80948,0.81169,0.80776,0.80188,0.80498,0.8021,0.68154,0.79566,0.78809,0.80691,0.73112,0.72299,0.73051,0.74002,0.65691,0.67274,0.67363,0.65229,0.8138,0.79135,0.79174,0.65652,0.66575,0.80368,0.80432,0.78785,0.87224,0.81346,0.71945,0.71849,0.75797,0.65263,0.6515,0.65882,0.80255,0.6631,0.7098,0.83896,0.71496,0.67018,0.67947,0.78363,0.80845,0.81867,0.81665,0.8103,0.82028,0.8109,0.81785,0.80807,0.80147,0.80231,0.79348,0.80548,0.77863,0.7712,0.96795,0.8151,0.81795,0.7921,0.79639,0.6553,0.65177,0.77918,0.80885,0.82591,0.80665,0.85827,0.79806,0.68701,0.72403,0.78097,0.78096,0.80881,0.81178,0.80593,0.79397,0.80919,0.79068,0.80631,0.81537,0.79369,0.73378,0.66328,0.72234,0.70556,0.70472,0.73924,0.71262,0.65864,0.80898,0.66279,0.66795,0.65885,0.81456,0.81675,0.68928,0.825,0.69159,0.68237,0.6909,0.81517,0.73585,0.78777,0.75552,0.785,0.68205,0.66732,0.69394,0.79462,0.68971,0.68087,0.80724,0.71076,0.76873,0.68963,0.78095,0.6748,0.65675,0.66119,0.65693,0.66156,0.65693,0.8008,0.79766,0.79388,0.8099,0.7334,0.70903,0.71716,0.76485,0.79094,0.65717,0.65852,0.78981,0.78442,0.78586,0.72225,0.72278,0.73783,0.74812
9,0.78765,0.78636,0.79042,0.6263,0.61868,0.79469,0.63284,0.96443,0.89941,1.0,0.62492,0.61341,0.6119,0.61361,0.6326,0.63161,0.6298,0.85202,0.62852,0.81368,0.80121,0.7894,0.65703,0.65955,0.788,0.78006,0.69647,0.70732,0.67003,0.67624,0.79435,0.63425,0.78401,0.79682,0.78855,0.7955,0.78313,0.7664,0.7696,0.78134,0.6438,0.7695,0.79214,0.81005,0.70951,0.69977,0.70342,0.71292,0.63301,0.63899,0.63909,0.63561,0.80102,0.7962,0.79854,0.62746,0.63894,0.77164,0.77438,0.79828,0.9026,0.7979,0.68198,0.68943,0.73459,0.61833,0.62307,0.62339,0.79337,0.62476,0.67025,0.80293,0.67494,0.63585,0.65797,0.79657,0.80179,0.80095,0.80751,0.77616,0.79655,0.77883,0.79108,0.78023,0.77774,0.78572,0.7971,0.78693,0.74005,0.73677,0.8947,0.78355,0.7944,0.77438,0.76078,0.63028,0.6274,0.75443,0.78472,0.85806,0.7692,0.89073,0.76753,0.66081,0.69688,0.78767,0.7872,0.7865,0.78939,0.77641,0.79947,0.77249,0.79837,0.77707,0.8156,0.79534,0.6937,0.62943,0.68648,0.68038,0.67842,0.71167,0.68687,0.6256,0.79696,0.64568,0.63198,0.6371,0.78637,0.80119,0.67198,0.865,0.66466,0.66111,0.66463,0.85994,0.71137,0.74645,0.7273,0.7484,0.64857,0.63776,0.65021,0.81394,0.66044,0.64805,0.80278,0.66429,0.69405,0.65205,0.78634,0.644,0.63129,0.63608,0.63056,0.62608,0.62698,0.79713,0.76391,0.7652,0.80807,0.69783,0.66327,0.68851,0.73539,0.79456,0.62684,0.62699,0.75495,0.74916,0.79674,0.67853,0.68309,0.70916,0.71649
