,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_0,default_comp_1,default_comp_2,default_comp_3,default_comp_4,default_comp_5,default_comp_6,default_comp_7,default_comp_8,default_comp_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb_0,default_pdb_1,default_pdb_2,default_pdb_3,default_pdb_4,default_pdb_5,default_pdb_6,default_pdb_7,default_pdb_8,default_pdb_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniref30_0,default_uniref30_1,default_uniref30_2,default_uniref30_3,default_uniref30_4,default_uniref30_5,default_uniref30_6,default_uniref30_7,default_uniref30_8,default_uniref30_9,iter_1_0,iter_1_1,iter_1_2,iter_1_3,iter_1_4,iter_1_5,iter_1_6,iter_1_7,iter_1_8,iter_1_9,iter_2_0,iter_2_1,iter_2_2,iter_2_3,iter_2_4,iter_2_5,iter_2_6,iter_2_7,iter_2_8,iter_2_9,iter_3_0,iter_3_1,iter_3_2,iter_3_3,iter_3_4,iter_3_5,iter_3_6,iter_3_7,iter_3_8,iter_3_9,iter_4_0,iter_4_1,iter_4_2,iter_4_3,iter_4_4,iter_4_5,iter_4_6,iter_4_7,iter_4_8,iter_4_9,iter_5_0,iter_5_1,iter_5_2,iter_5_3,iter_5_4,iter_5_5,iter_5_6,iter_5_7,iter_5_8,iter_5_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,pdb_iter_uniref_a3m_0,pdb_iter_uniref_a3m_1,pdb_iter_uniref_a3m_2,pdb_iter_uniref_a3m_3,pdb_iter_uniref_a3m_4,pdb_iter_uniref_a3m_5,pdb_iter_uniref_a3m_6,pdb_iter_uniref_a3m_7,pdb_iter_uniref_a3m_8,pdb_iter_uniref_a3m_9,spec_af_0,spec_af_1,spec_af_2,spec_af_3,spec_af_4,spec_af_5,spec_af_6,spec_af_7,spec_af_8,spec_af_9,spec_comp_0,spec_comp_1,spec_comp_2,spec_comp_3,spec_comp_4,spec_comp_5,spec_comp_6,spec_comp_7,spec_comp_8,spec_comp_9,spec_iter_uniprot_sto_0,spec_iter_uniprot_sto_1,spec_iter_uniprot_sto_2,spec_iter_uniprot_sto_3,spec_iter_uniprot_sto_4,spec_iter_uniprot_sto_5,spec_iter_uniprot_sto_6,spec_iter_uniprot_sto_7,spec_iter_uniprot_sto_8,spec_iter_uniprot_sto_9,spec_iter_uniref_a3m_0,spec_iter_uniref_a3m_1,spec_iter_uniref_a3m_2,spec_iter_uniref_a3m_3,spec_iter_uniref_a3m_4,spec_iter_uniref_a3m_5,spec_iter_uniref_a3m_6,spec_iter_uniref_a3m_7,spec_iter_uniref_a3m_8,spec_iter_uniref_a3m_9,spec_iter_uniref_sto_0,spec_iter_uniref_sto_1,spec_iter_uniref_sto_2,spec_iter_uniref_sto_3,spec_iter_uniref_sto_4,spec_iter_uniref_sto_5,spec_iter_uniref_sto_6,spec_iter_uniref_sto_7,spec_iter_uniref_sto_8,spec_iter_uniref_sto_9,spec_pdb70_0,spec_pdb70_1,spec_pdb70_2,spec_pdb70_3,spec_pdb70_4,spec_pdb70_5,spec_pdb70_6,spec_pdb70_7,spec_pdb70_8,spec_pdb70_9,spec_pdb_0,spec_pdb_1,spec_pdb_2,spec_pdb_3,spec_pdb_4,spec_pdb_5,spec_pdb_6,spec_pdb_7,spec_pdb_8,spec_pdb_9,spec_struct_0,spec_struct_1,spec_struct_2,spec_struct_3,spec_struct_4,spec_struct_5,spec_struct_6,spec_struct_7,spec_struct_8,spec_struct_9,uniclust_oxmatch_a3m_0,uniclust_oxmatch_a3m_1,uniclust_oxmatch_a3m_2,uniclust_oxmatch_a3m_3,uniclust_oxmatch_a3m_4,uniclust_oxmatch_a3m_5,uniclust_oxmatch_a3m_6,uniclust_oxmatch_a3m_7,uniclust_oxmatch_a3m_8,uniclust_oxmatch_a3m_9
0,1.0,0.9997,0.9981,0.99066,0.99186,0.99273,0.99269,0.99596,0.99597,0.99183,0.9918,0.99461,0.99458,0.99504,0.99502,0.97723,0.99783,0.99931,0.99214,0.98785,0.99221,0.98456,0.98356,0.99295,0.98534,0.99403,0.99856,0.99347,0.99352,0.99217,0.99244,0.99681,0.99672,0.98991,0.98755,0.99986,0.99302,0.99286,0.99461,0.99414,0.99326,0.99148,0.98992,0.98943,0.98878,0.99153,0.99782,0.99231,0.98883,0.98378,0.99387,0.98107,0.99573,0.99144,0.99091,0.99982,0.99969,0.99852,0.99271,0.99138,0.99508,0.9906,0.9936,0.99842,0.99601,0.99406,0.99911,0.99823,0.9946,0.98601,0.99361,0.98685,0.99273,0.99644,0.99486,0.98758,0.98248,0.98882,0.99363,0.99256,0.98999,0.99159,0.98256,0.98637,0.98735,0.9846,0.9847,0.91433,0.90613,0.91056,0.90775,0.98799,0.91559,0.97765,0.98769,0.97731,0.97815,0.91338,0.91514,0.9163,0.9164,0.98971,0.98016,0.97949,0.98964,0.97916,0.91451,0.97957,0.9162,0.91683,0.91596,0.98789,0.99103,0.98205,0.98139,0.97832,0.91068,0.91568,0.91579,0.91538,0.99137,0.97335,0.97963,0.98429,0.9798,0.99988,0.99986,0.99987,0.99988,0.99985,0.99012,0.98947,0.91216,0.91272,0.91509,0.9921,0.99218,0.98678,0.98938,0.98968,0.99594,0.99593,0.99285,0.99361,0.99353,0.99281,0.99386,0.99393,0.99429,0.99425,0.91087,0.98838,0.91386,0.99238,0.9914,0.98732,0.98588,0.9943,0.99267,0.97595,0.99777,0.99641,0.96717,0.98911,0.98421,0.88995,0.99869,0.98086,0.97498,0.98955,0.91222,0.91197,0.99299,0.91773,0.91595,0.98767,0.988,0.98763,0.98715,0.9912,0.99618,0.99624,0.99931,0.99923,0.9113,0.99498,0.99844,0.97406,0.99386,0.99282,0.91144,0.91206,0.38152,0.99294,0.99473,0.9921,0.99557,0.9917,0.98898,0.98676,0.9112,0.9899,0.91601,0.91572,0.99423,0.91682,0.98124,0.98782,0.98444,0.99339,0.99313,0.99194,0.98965,0.91133,0.99489,0.99599,0.97953,0.986,0.98831,0.98661,0.91312,0.91357,0.9181,0.92006,0.91017,0.99098,0.99527,0.99151,0.9877,0.9902
1,0.9997,1.0,0.99844,0.99217,0.99292,0.99347,0.99345,0.99655,0.99654,0.99256,0.99255,0.99529,0.99524,0.99579,0.99577,0.97918,0.99792,0.99953,0.99282,0.98893,0.99288,0.98628,0.9848,0.99368,0.98659,0.99488,0.99892,0.99403,0.99382,0.99246,0.99271,0.9975,0.99729,0.99157,0.98933,0.99974,0.99387,0.99368,0.9947,0.99473,0.99356,0.99242,0.99092,0.99105,0.99038,0.99244,0.99805,0.9925,0.98996,0.98553,0.99447,0.98293,0.99606,0.99208,0.99159,0.99983,0.99983,0.99877,0.99354,0.99281,0.99529,0.99206,0.99394,0.99861,0.99653,0.99473,0.99913,0.99864,0.99522,0.98783,0.99406,0.98857,0.99295,0.99709,0.99574,0.98871,0.98362,0.98976,0.99436,0.99327,0.99122,0.99266,0.98418,0.98776,0.98847,0.98615,0.98628,0.91556,0.90756,0.9113,0.90877,0.9892,0.91604,0.97815,0.9889,0.97924,0.97997,0.91385,0.91541,0.91708,0.91709,0.99063,0.98112,0.98048,0.9905,0.98098,0.91471,0.98136,0.91659,0.9173,0.91669,0.9878,0.9918,0.98299,0.98201,0.98021,0.91221,0.91628,0.9167,0.91628,0.99199,0.9737,0.98068,0.98529,0.98158,0.99984,0.99981,0.99981,0.99983,0.99983,0.99097,0.99028,0.913,0.91338,0.91564,0.99239,0.99245,0.98755,0.99009,0.99034,0.99648,0.99647,0.99353,0.99427,0.99421,0.99351,0.99462,0.9947,0.99513,0.99509,0.91187,0.98906,0.91447,0.99295,0.99207,0.98794,0.98634,0.99438,0.99293,0.97658,0.99796,0.99662,0.96763,0.98918,0.98468,0.89037,0.99885,0.98235,0.97539,0.99082,0.91326,0.91301,0.99303,0.91842,0.91591,0.98829,0.9888,0.98816,0.98787,0.99182,0.99649,0.99663,0.99901,0.99901,0.91158,0.99536,0.99878,0.97421,0.99456,0.99383,0.9125,0.91288,0.38127,0.99336,0.99483,0.99276,0.99547,0.99228,0.98994,0.98755,0.91208,0.99052,0.91644,0.91639,0.9944,0.91749,0.98185,0.9887,0.98521,0.99345,0.99374,0.99272,0.99066,0.91223,0.99488,0.99583,0.98016,0.98678,0.98921,0.98717,0.91393,0.91425,0.91762,0.92,0.91088,0.99158,0.9953,0.99208,0.98833,0.9897
2,0.9981,0.99844,1.0,0.99446,0.99546,0.99548,0.99546,0.99826,0.99825,0.99473,0.99473,0.99732,0.99727,0.99776,0.99774,0.98217,0.9964,0.99818,0.99551,0.99203,0.99237,0.98919,0.98787,0.99632,0.98968,0.99723,0.99936,0.99651,0.99639,0.99492,0.99511,0.99876,0.99873,0.99406,0.99189,0.9985,0.99653,0.99635,0.99716,0.9968,0.99588,0.99526,0.9938,0.99349,0.99289,0.99487,0.99651,0.99512,0.99289,0.9885,0.99693,0.98583,0.99532,0.99185,0.99153,0.99827,0.99833,0.99769,0.99621,0.99505,0.99766,0.99451,0.99631,0.99773,0.99864,0.99715,0.99809,0.99955,0.9976,0.99045,0.99639,0.9912,0.99528,0.9989,0.99805,0.99105,0.98565,0.99249,0.99629,0.99532,0.99306,0.99471,0.98695,0.99031,0.99084,0.9888,0.98885,0.91785,0.9096,0.91409,0.91072,0.99101,0.91827,0.98064,0.99093,0.98126,0.98207,0.91363,0.91507,0.91928,0.91929,0.99227,0.9832,0.98264,0.99231,0.98311,0.9144,0.98331,0.91759,0.91839,0.91889,0.98773,0.99407,0.9851,0.98417,0.98223,0.91396,0.91737,0.91892,0.91848,0.99312,0.97347,0.98282,0.98775,0.98367,0.99831,0.99825,0.99829,0.99833,0.99834,0.99254,0.99181,0.91511,0.91561,0.91789,0.99429,0.99444,0.99011,0.99255,0.99277,0.99821,0.99818,0.99549,0.99638,0.99632,0.99548,0.99667,0.99674,0.99702,0.99703,0.91435,0.99151,0.91698,0.99423,0.99335,0.99012,0.98844,0.99613,0.9948,0.97896,0.99897,0.99855,0.96931,0.99065,0.98648,0.89194,0.99792,0.98431,0.97752,0.99096,0.91547,0.91548,0.99496,0.91989,0.91784,0.99087,0.99106,0.99073,0.9903,0.99339,0.9986,0.9987,0.99769,0.99771,0.91297,0.99754,0.99772,0.97602,0.99645,0.99608,0.91494,0.91503,0.38161,0.99556,0.99651,0.99383,0.99722,0.99443,0.99206,0.98964,0.91377,0.99284,0.91873,0.91774,0.99615,0.91886,0.98406,0.99101,0.98764,0.99531,0.99464,0.99397,0.99306,0.91431,0.99663,0.99749,0.98233,0.98948,0.99159,0.98999,0.91633,0.91668,0.91918,0.92033,0.91288,0.99359,0.99568,0.99394,0.99032,0.99141
3,0.99066,0.99217,0.99446,1.0,0.99835,0.99562,0.99564,0.99351,0.99335,0.99448,0.99472,0.99381,0.99361,0.99429,0.99423,0.99036,0.98904,0.99188,0.99619,0.99371,0.98643,0.99422,0.98938,0.99671,0.9896,0.99782,0.99332,0.99667,0.99417,0.99416,0.99408,0.99464,0.99416,0.99805,0.99806,0.99126,0.9974,0.99753,0.99246,0.99216,0.99362,0.99591,0.99577,0.99865,0.99758,0.99522,0.98968,0.99408,0.99535,0.99482,0.99526,0.99409,0.98874,0.98572,0.98582,0.99134,0.99201,0.99216,0.99757,0.99938,0.99379,0.99892,0.99491,0.9919,0.99479,0.99727,0.99163,0.99372,0.99622,0.99701,0.99415,0.99623,0.99313,0.99475,0.99668,0.98919,0.98412,0.98925,0.99295,0.99087,0.99251,0.9925,0.98727,0.99043,0.98929,0.98707,0.98761,0.91376,0.91089,0.91032,0.90951,0.98962,0.91358,0.97761,0.98993,0.98279,0.98311,0.90826,0.90878,0.91563,0.91498,0.98951,0.98252,0.98215,0.989,0.98365,0.90778,0.98435,0.91215,0.91357,0.91455,0.98014,0.98999,0.98406,0.98209,0.98345,0.91152,0.91316,0.91577,0.91536,0.98854,0.96727,0.98256,0.98647,0.98554,0.99113,0.99133,0.99123,0.99137,0.99142,0.99114,0.99042,0.91259,0.91198,0.91379,0.9887,0.9888,0.98708,0.98999,0.98991,0.99348,0.99349,0.99526,0.99163,0.99161,0.99529,0.99306,0.99312,0.99344,0.9935,0.91261,0.98678,0.91269,0.99211,0.99143,0.98696,0.98452,0.99031,0.98929,0.97718,0.99272,0.99269,0.96866,0.98615,0.98282,0.88861,0.99092,0.9839,0.97448,0.98756,0.91396,0.9141,0.98789,0.91719,0.91096,0.9853,0.98837,0.98495,0.98714,0.99113,0.99345,0.99345,0.98959,0.98984,0.90896,0.99204,0.99199,0.97252,0.99202,0.99353,0.91373,0.91211,0.38169,0.99015,0.98975,0.99074,0.9904,0.98923,0.99005,0.98685,0.91071,0.98794,0.91367,0.91589,0.99022,0.91672,0.98109,0.98928,0.98597,0.98932,0.99042,0.99091,0.99154,0.91171,0.98981,0.99042,0.97973,0.98428,0.99046,0.98454,0.91316,0.91267,0.91165,0.91374,0.9098,0.98789,0.98953,0.98875,0.98663,0.98397
4,0.99186,0.99292,0.99546,0.99835,1.0,0.99711,0.9971,0.99447,0.99435,0.99566,0.99588,0.99497,0.99483,0.99517,0.99511,0.98828,0.98979,0.99255,0.99756,0.9955,0.98778,0.99303,0.99111,0.99773,0.99148,0.9983,0.99426,0.99905,0.99677,0.99556,0.99562,0.996,0.9958,0.99609,0.99585,0.99263,0.99942,0.99956,0.99413,0.99297,0.99521,0.9982,0.99801,0.99757,0.99656,0.99615,0.99022,0.99578,0.99695,0.99273,0.99688,0.9917,0.9905,0.98729,0.9875,0.99243,0.99304,0.99416,0.99959,0.99861,0.99544,0.99831,0.99671,0.99374,0.99692,0.99831,0.99376,0.99456,0.9985,0.99473,0.99535,0.9944,0.99466,0.99616,0.99795,0.99074,0.98596,0.99103,0.99442,0.99252,0.99301,0.99326,0.98751,0.99099,0.9908,0.98791,0.98825,0.9154,0.91211,0.91328,0.91177,0.9897,0.91598,0.98083,0.99031,0.98307,0.98393,0.91095,0.91185,0.91742,0.917,0.99033,0.98465,0.98419,0.99013,0.98451,0.91109,0.98508,0.91405,0.91533,0.91659,0.98346,0.9916,0.98638,0.98497,0.98394,0.91374,0.91474,0.91731,0.91696,0.98945,0.96999,0.98467,0.98846,0.98608,0.99222,0.99248,0.99238,0.99247,0.99245,0.99171,0.99106,0.91523,0.91507,0.91705,0.99117,0.9913,0.98994,0.99232,0.99231,0.99463,0.99465,0.99686,0.99282,0.9928,0.99685,0.99416,0.99416,0.99424,0.99441,0.91463,0.98946,0.91588,0.99296,0.99215,0.98963,0.98757,0.99283,0.99172,0.97967,0.99441,0.99505,0.97018,0.98863,0.98545,0.89287,0.99238,0.9844,0.97684,0.98755,0.91569,0.91592,0.98998,0.91831,0.91347,0.9877,0.9906,0.98754,0.98994,0.99194,0.99572,0.99561,0.99112,0.99136,0.91098,0.99359,0.99261,0.97369,0.99379,0.99405,0.91553,0.91469,0.3832,0.99251,0.99173,0.99156,0.99261,0.99128,0.99164,0.98912,0.91209,0.99052,0.91673,0.91688,0.99264,0.9178,0.98407,0.99094,0.9881,0.99199,0.99125,0.99154,0.99318,0.91421,0.99182,0.99264,0.98242,0.98654,0.99224,0.98732,0.91538,0.91514,0.9144,0.91569,0.91266,0.98981,0.99096,0.99057,0.98933,0.98626
5,0.99273,0.99347,0.99548,0.99562,0.99711,1.0,0.99999,0.99724,0.99722,0.99927,0.99928,0.99803,0.99798,0.99787,0.99785,0.98754,0.99237,0.99342,0.9971,0.99516,0.99032,0.99293,0.99221,0.99713,0.99231,0.99748,0.99443,0.99753,0.99578,0.99601,0.9958,0.99503,0.99525,0.99406,0.99403,0.99336,0.99742,0.99751,0.99453,0.99463,0.9955,0.99671,0.99673,0.99606,0.99544,0.99706,0.99241,0.99595,0.99605,0.99189,0.99659,0.98996,0.99238,0.98997,0.98982,0.9931,0.99319,0.99316,0.99705,0.99664,0.99525,0.99663,0.99621,0.99332,0.99575,0.99768,0.99348,0.99469,0.99683,0.99286,0.99523,0.99344,0.99489,0.99556,0.9965,0.99128,0.98735,0.99214,0.99408,0.99358,0.99172,0.99307,0.98757,0.99007,0.99117,0.98875,0.9888,0.91641,0.91155,0.91404,0.91229,0.98911,0.91727,0.97848,0.9894,0.98382,0.98469,0.9125,0.91331,0.91744,0.91747,0.9899,0.98336,0.98282,0.99018,0.98532,0.9133,0.98556,0.91532,0.91599,0.91727,0.98569,0.99167,0.98567,0.98444,0.98465,0.914,0.91527,0.91734,0.91716,0.98985,0.97187,0.98314,0.98734,0.98565,0.99294,0.99304,0.99302,0.99299,0.99299,0.99143,0.99087,0.91516,0.91569,0.91768,0.99314,0.9934,0.99041,0.99204,0.99215,0.99742,0.99741,0.99988,0.99703,0.997,0.99988,0.99769,0.99771,0.99747,0.99761,0.91466,0.99172,0.91741,0.99142,0.991,0.98891,0.98671,0.99336,0.99305,0.97675,0.99447,0.99512,0.97137,0.98971,0.9879,0.89421,0.99383,0.986,0.97587,0.98931,0.91514,0.9156,0.99268,0.91762,0.9159,0.99058,0.99011,0.99045,0.9896,0.99032,0.99596,0.99566,0.99265,0.99291,0.91264,0.99452,0.99334,0.9735,0.99454,0.9953,0.91508,0.91482,0.38006,0.99423,0.994,0.99228,0.99402,0.99289,0.99133,0.98857,0.91272,0.99255,0.91836,0.91563,0.99397,0.91686,0.98236,0.99018,0.98617,0.99285,0.99238,0.99224,0.99243,0.91413,0.99384,0.994,0.97964,0.98936,0.99034,0.98958,0.91615,0.91633,0.91713,0.91751,0.91319,0.9925,0.99257,0.99225,0.98988,0.9883
6,0.99269,0.99345,0.99546,0.99564,0.9971,0.99999,1.0,0.99726,0.99724,0.99929,0.99929,0.99806,0.99801,0.99789,0.99787,0.98762,0.99236,0.99339,0.99707,0.9952,0.99035,0.99298,0.99225,0.99711,0.99236,0.99747,0.99441,0.9975,0.99576,0.99599,0.99576,0.99501,0.99522,0.9941,0.99409,0.99332,0.99741,0.9975,0.99449,0.99463,0.99547,0.9967,0.99673,0.99612,0.99551,0.99705,0.9924,0.99591,0.99608,0.99192,0.99656,0.99,0.99239,0.99,0.98986,0.99307,0.99317,0.99313,0.99703,0.99668,0.99521,0.99669,0.99618,0.99329,0.99572,0.99766,0.99345,0.99468,0.99681,0.99292,0.9952,0.9935,0.99486,0.99554,0.99648,0.99133,0.98736,0.99217,0.9941,0.9936,0.99175,0.99312,0.98767,0.99013,0.99122,0.98884,0.9889,0.91644,0.91157,0.91408,0.91229,0.98918,0.91729,0.97852,0.98947,0.9839,0.98476,0.91252,0.91333,0.91744,0.91747,0.98995,0.98336,0.98282,0.99025,0.98541,0.91332,0.98563,0.91534,0.916,0.91729,0.9857,0.99169,0.98566,0.98442,0.98473,0.91402,0.91529,0.91736,0.91718,0.98989,0.9719,0.98314,0.98734,0.9857,0.99292,0.99302,0.99299,0.99296,0.99298,0.99147,0.99091,0.9152,0.91571,0.91769,0.99317,0.99342,0.99046,0.99206,0.99216,0.99744,0.99742,0.99988,0.99709,0.99706,0.99989,0.99774,0.99775,0.99753,0.99766,0.91468,0.99175,0.91743,0.99142,0.991,0.98894,0.98672,0.99335,0.99307,0.97676,0.99444,0.9951,0.97132,0.98967,0.9879,0.89418,0.99381,0.98606,0.97587,0.9894,0.91516,0.91562,0.99269,0.91761,0.9159,0.99063,0.99014,0.99049,0.98963,0.99034,0.99595,0.99566,0.99263,0.99289,0.91261,0.99451,0.99335,0.97348,0.99458,0.99535,0.9151,0.91485,0.38057,0.99422,0.99401,0.9923,0.994,0.99289,0.99136,0.9886,0.91277,0.99257,0.91837,0.9156,0.99398,0.91685,0.98237,0.9902,0.98619,0.99286,0.9924,0.99228,0.99246,0.91417,0.99384,0.99398,0.97968,0.98941,0.99036,0.98962,0.91618,0.91635,0.91712,0.91751,0.91323,0.99252,0.99256,0.99226,0.98993,0.98829
7,0.99596,0.99655,0.99826,0.99351,0.99447,0.99724,0.99726,1.0,0.99999,0.9967,0.99667,0.99921,0.99917,0.99959,0.99958,0.98454,0.99565,0.99661,0.99435,0.99255,0.9933,0.99043,0.98933,0.99504,0.99118,0.99559,0.9973,0.9951,0.99468,0.99335,0.99335,0.99751,0.99735,0.99363,0.99177,0.99643,0.9953,0.99512,0.99524,0.99591,0.99426,0.99512,0.99381,0.99365,0.99299,0.99464,0.99571,0.99334,0.99306,0.98932,0.99565,0.98696,0.99531,0.99267,0.99271,0.99621,0.99627,0.99587,0.99471,0.99422,0.99571,0.99421,0.99444,0.99629,0.99738,0.99549,0.99634,0.99759,0.99617,0.99047,0.99466,0.99127,0.9934,0.99758,0.99688,0.99286,0.98671,0.99363,0.99628,0.99583,0.99314,0.99573,0.98947,0.99195,0.99261,0.99093,0.99099,0.91738,0.91083,0.91531,0.91146,0.99199,0.91867,0.97972,0.99192,0.98365,0.98433,0.91507,0.91529,0.91966,0.91963,0.99279,0.98253,0.98198,0.99311,0.98542,0.91573,0.98534,0.91839,0.91899,0.91951,0.98809,0.99396,0.98479,0.98343,0.98449,0.9157,0.91826,0.91958,0.91936,0.99304,0.97445,0.98227,0.9873,0.98523,0.99624,0.99628,0.99629,0.99628,0.99633,0.99389,0.9933,0.91696,0.91713,0.91908,0.99489,0.99512,0.99213,0.99329,0.99343,0.99992,0.99991,0.99719,0.9989,0.99887,0.9972,0.99893,0.999,0.99934,0.99938,0.91598,0.99321,0.91862,0.99393,0.99356,0.99107,0.9888,0.99546,0.99509,0.97822,0.99754,0.99715,0.96944,0.98918,0.98692,0.89339,0.9969,0.98577,0.97505,0.99256,0.91674,0.91692,0.99492,0.91951,0.918,0.99227,0.99216,0.99206,0.99158,0.99288,0.99751,0.99763,0.99589,0.99602,0.91234,0.99655,0.99694,0.97543,0.99663,0.99658,0.91647,0.91681,0.38063,0.99621,0.99641,0.99506,0.99626,0.99489,0.99303,0.99063,0.91534,0.99415,0.91989,0.91806,0.99615,0.91931,0.98449,0.99166,0.98753,0.99484,0.99546,0.99509,0.99387,0.91625,0.99603,0.99627,0.98177,0.99098,0.99173,0.99114,0.9175,0.9177,0.91887,0.92063,0.91483,0.99441,0.99565,0.99412,0.99163,0.99011
8,0.99597,0.99654,0.99825,0.99335,0.99435,0.99722,0.99724,0.99999,1.0,0.99669,0.99665,0.99918,0.99914,0.99956,0.99955,0.98445,0.99568,0.99661,0.99434,0.9925,0.9933,0.99036,0.98932,0.99503,0.99116,0.99554,0.99731,0.99504,0.99466,0.99337,0.99337,0.99748,0.99735,0.9935,0.99163,0.99645,0.99523,0.99505,0.99529,0.99593,0.99428,0.99506,0.99377,0.9935,0.99286,0.99462,0.99573,0.99338,0.99299,0.98923,0.99566,0.98684,0.99534,0.99268,0.99271,0.99621,0.99626,0.99584,0.99463,0.99408,0.99573,0.99406,0.99444,0.99628,0.99736,0.99546,0.99632,0.9976,0.99611,0.99033,0.99466,0.99116,0.99343,0.99756,0.99682,0.99277,0.98671,0.99359,0.99617,0.99578,0.99303,0.99562,0.98934,0.99181,0.99251,0.99086,0.9909,0.91733,0.91079,0.91523,0.91148,0.99189,0.91863,0.97959,0.99181,0.98358,0.98427,0.91501,0.91525,0.91961,0.91959,0.99271,0.98248,0.98192,0.99302,0.98535,0.91569,0.98528,0.91836,0.91895,0.91948,0.98804,0.99389,0.98476,0.98343,0.98442,0.91564,0.91821,0.91951,0.91928,0.99297,0.97436,0.98221,0.98725,0.98515,0.99625,0.99627,0.99629,0.99627,0.99631,0.99376,0.99316,0.91685,0.91709,0.91905,0.99484,0.99507,0.99201,0.99325,0.99338,0.9999,0.9999,0.99716,0.99892,0.99888,0.99717,0.9989,0.99897,0.9993,0.99935,0.91593,0.99322,0.91863,0.99382,0.99345,0.99094,0.98867,0.99541,0.99503,0.9781,0.99754,0.99717,0.96944,0.98927,0.987,0.89348,0.99692,0.98576,0.97511,0.99249,0.91668,0.91685,0.99494,0.91943,0.91802,0.99232,0.99203,0.99211,0.99147,0.99274,0.99751,0.99763,0.9959,0.99604,0.91245,0.9966,0.99689,0.97539,0.9966,0.99653,0.91641,0.91671,0.38057,0.99624,0.99641,0.99498,0.99626,0.99492,0.99296,0.99051,0.91528,0.99416,0.91992,0.91797,0.9961,0.91922,0.98434,0.99156,0.98742,0.99479,0.99541,0.99502,0.9938,0.91614,0.99603,0.99628,0.98162,0.99103,0.99163,0.99118,0.91748,0.9177,0.9189,0.92063,0.91474,0.99444,0.99562,0.99413,0.99153,0.99013
9,0.99183,0.99256,0.99473,0.99448,0.99566,0.99927,0.99929,0.9967,0.99669,1.0,0.99996,0.99812,0.99814,0.99745,0.99747,0.98838,0.99211,0.99252,0.99717,0.99601,0.9911,0.99412,0.99329,0.99686,0.99295,0.99704,0.99399,0.99695,0.99599,0.99694,0.99658,0.99385,0.99435,0.99376,0.99421,0.9925,0.99646,0.99639,0.99491,0.99516,0.99611,0.99597,0.99627,0.99579,0.99583,0.99713,0.99189,0.99647,0.99642,0.99274,0.99643,0.9902,0.99283,0.99053,0.98991,0.9923,0.992,0.99151,0.99572,0.99609,0.99533,0.99641,0.99635,0.99134,0.99403,0.99738,0.99239,0.99423,0.99608,0.99325,0.99587,0.99427,0.99576,0.99464,0.99531,0.99067,0.98821,0.99258,0.99311,0.99355,0.99046,0.99233,0.9878,0.98943,0.99044,0.9892,0.98894,0.91707,0.91131,0.91358,0.91258,0.98853,0.91804,0.97737,0.98852,0.98436,0.98515,0.91219,0.91377,0.9173,0.91763,0.98924,0.98296,0.98241,0.98992,0.98574,0.91335,0.9856,0.91535,0.91564,0.91749,0.98602,0.99184,0.98531,0.98442,0.98509,0.91328,0.91482,0.91724,0.91704,0.98989,0.97153,0.9825,0.98697,0.98544,0.99209,0.99193,0.99201,0.99199,0.99207,0.98948,0.98891,0.91388,0.9149,0.91699,0.99295,0.99328,0.98937,0.99104,0.99117,0.99685,0.99678,0.99922,0.99782,0.99781,0.99924,0.99808,0.99805,0.99726,0.99729,0.91376,0.99198,0.91738,0.98888,0.98848,0.98722,0.98498,0.9927,0.99264,0.97453,0.99285,0.99426,0.96948,0.98993,0.98874,0.89387,0.99294,0.98743,0.97683,0.98998,0.91396,0.91464,0.99363,0.91578,0.91647,0.9918,0.98881,0.99169,0.98826,0.98868,0.99545,0.99494,0.99219,0.99242,0.91298,0.99447,0.99243,0.97188,0.99353,0.99585,0.91398,0.91386,0.38066,0.99352,0.99407,0.99049,0.99402,0.99233,0.98991,0.98699,0.91134,0.99252,0.91797,0.91311,0.99362,0.9145,0.98016,0.98851,0.98421,0.99246,0.99125,0.99098,0.99149,0.91304,0.99401,0.99394,0.97787,0.99085,0.98868,0.99076,0.91601,0.9165,0.91755,0.91668,0.91219,0.9929,0.99144,0.99189,0.98867,0.98881
