,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_0,default_comp_1,default_comp_2,default_comp_3,default_comp_4,default_comp_5,default_comp_6,default_comp_7,default_comp_8,default_comp_9,default_mul_newest_0,default_mul_newest_1,default_mul_newest_10,default_mul_newest_11,default_mul_newest_12,default_mul_newest_13,default_mul_newest_14,default_mul_newest_15,default_mul_newest_16,default_mul_newest_17,default_mul_newest_18,default_mul_newest_19,default_mul_newest_2,default_mul_newest_20,default_mul_newest_21,default_mul_newest_22,default_mul_newest_23,default_mul_newest_24,default_mul_newest_3,default_mul_newest_4,default_mul_newest_5,default_mul_newest_6,default_mul_newest_7,default_mul_newest_8,default_mul_newest_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb_0,default_pdb_1,default_pdb_2,default_pdb_3,default_pdb_4,default_pdb_5,default_pdb_6,default_pdb_7,default_pdb_8,default_pdb_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_10,default_uniref30_22_11,default_uniref30_22_12,default_uniref30_22_13,default_uniref30_22_14,default_uniref30_22_15,default_uniref30_22_16,default_uniref30_22_17,default_uniref30_22_18,default_uniref30_22_19,default_uniref30_22_2,default_uniref30_22_20,default_uniref30_22_21,default_uniref30_22_22,default_uniref30_22_23,default_uniref30_22_24,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,spec_comp_0,spec_comp_1,spec_comp_2,spec_comp_3,spec_comp_4,spec_comp_5,spec_comp_6,spec_comp_7,spec_iter_uniref_a3m_0,spec_iter_uniref_a3m_1,spec_iter_uniref_a3m_2,spec_iter_uniref_a3m_3,spec_iter_uniref_a3m_4,spec_iter_uniref_a3m_5,spec_iter_uniref_a3m_6,spec_iter_uniref_a3m_7,spec_iter_uniref_a3m_8,spec_iter_uniref_a3m_9,spec_pdb70_0,spec_pdb70_1,spec_pdb70_2,spec_pdb70_3,spec_pdb70_4,spec_pdb70_5,spec_pdb70_6,spec_pdb70_7,spec_pdb70_8,spec_pdb70_9,spec_pdb_0,spec_pdb_1,spec_pdb_2,spec_pdb_3,spec_pdb_4,spec_pdb_5,spec_pdb_6,spec_pdb_7,spec_pdb_8,spec_pdb_9
0,1.0,0.83328,0.82145,0.84063,0.82678,0.81887,0.82099,0.82327,0.82331,0.82147,0.81708,0.81866,0.8162,0.8141,0.81262,0.86463,0.82133,0.87366,0.7825,0.87518,0.90528,0.84612,0.79477,0.76363,0.89301,0.88361,0.94998,0.83962,0.82464,0.91075,0.81286,0.80611,0.78898,0.80514,0.87008,0.7976,0.78649,0.89414,0.81518,0.82081,0.79053,0.81308,0.82253,0.89458,0.89493,0.89045,0.8865,0.87003,0.91149,0.89531,0.90185,0.89652,0.85668,0.89367,0.87342,0.75648,0.80565,0.93275,0.86498,0.73489,0.91088,0.84656,0.81484,0.83728,0.83796,0.69435,0.86593,0.6892,0.8336,0.81365,0.9744,0.85535,0.87622,0.89574,0.88908,0.89925,0.87037,0.76974,0.76285,0.85851,0.90182,0.91374,0.90487,0.87713,0.95074,0.89152,0.91611,0.79554,0.86563,0.79299,0.77223,0.47633,0.74086,0.84705,0.88285,0.77115,0.60016,0.70944,0.45906,0.51197,0.94859,0.88127,0.85048,0.83392,0.80466,0.84482,0.82818,0.85687,0.85172,0.82693,0.8082,0.78484,0.92271,0.81837,0.81965,0.7788,0.81258,0.79654,0.88452,0.88912,0.83603,0.86078,0.8237,0.82749,0.82189,0.83186,0.84262,0.82823,0.83778,0.82525,0.78351,0.72678,0.7284,0.82918,0.8333,0.81546,0.83051,0.88796,0.82932,0.88159,0.72154,0.71017,0.69227,0.76699,0.86104,0.7952,0.77419,0.78322,0.66995,0.66465,0.80349,0.66419,0.67602,0.83791,0.8277,0.82169,0.83496,0.82054,0.88761,0.75561,0.86455,0.75725,0.73034
1,0.83328,1.0,0.85573,0.91221,0.80591,0.7849,0.78506,0.78732,0.78698,0.78048,0.77926,0.78004,0.77734,0.7756,0.77455,0.86091,0.95734,0.86194,0.78076,0.84877,0.82069,0.94241,0.77646,0.7898,0.83529,0.81452,0.81619,0.89554,0.85385,0.82687,0.92068,0.86738,0.83302,0.89715,0.84384,0.81921,0.77554,0.83409,0.93847,0.89412,0.80222,0.81748,0.87997,0.81847,0.81945,0.81396,0.80766,0.80862,0.82579,0.81746,0.84297,0.82327,0.88907,0.82218,0.82395,0.77669,0.9011,0.79357,0.81979,0.76241,0.84037,0.81761,0.77326,0.77354,0.75744,0.70418,0.7835,0.70722,0.753,0.76009,0.81674,0.92262,0.872,0.82325,0.8335,0.85051,0.81878,0.7873,0.78833,0.81574,0.82974,0.83277,0.83997,0.84303,0.82014,0.85744,0.8212,0.81079,0.81378,0.79152,0.71937,0.70321,0.51035,0.76796,0.77987,0.78534,0.44072,0.40885,0.59629,0.5181,0.823,0.82834,0.84432,0.86319,0.85033,0.85596,0.85227,0.84367,0.84852,0.85341,0.86237,0.78413,0.82956,0.81671,0.85677,0.82127,0.86627,0.85213,0.79499,0.8265,0.85402,0.83849,0.85369,0.84913,0.85681,0.7774,0.78695,0.77792,0.78509,0.78734,0.75803,0.7346,0.72972,0.7631,0.78572,0.76495,0.79054,0.82548,0.7915,0.82927,0.7187,0.71335,0.69204,0.71142,0.82334,0.75285,0.72114,0.72945,0.6687,0.66422,0.76152,0.66934,0.6798,0.77442,0.78469,0.7772,0.79165,0.78644,0.82651,0.75089,0.82248,0.75072,0.73624
2,0.82145,0.85573,1.0,0.82258,0.7962,0.7657,0.76638,0.76823,0.76767,0.76512,0.76222,0.76401,0.76107,0.75861,0.75914,0.81321,0.85799,0.82237,0.76244,0.83626,0.81508,0.85582,0.77833,0.77738,0.81799,0.79701,0.8052,0.82577,0.83988,0.80667,0.83233,0.79611,0.85474,0.82812,0.86191,0.8234,0.77322,0.80812,0.84739,0.81769,0.82116,0.8362,0.81085,0.80667,0.80352,0.80127,0.79547,0.78589,0.80439,0.80538,0.81948,0.79874,0.83226,0.80111,0.7973,0.7779,0.81494,0.78611,0.80197,0.75279,0.81978,0.78365,0.76278,0.76391,0.74177,0.71572,0.77829,0.7119,0.75134,0.75949,0.81091,0.84324,0.8704,0.82114,0.82737,0.82157,0.80602,0.77504,0.77384,0.78299,0.80438,0.81483,0.82069,0.81593,0.81541,0.82925,0.81695,0.79003,0.78693,0.76999,0.43588,0.43533,0.72514,0.76255,0.76856,0.73313,0.62834,0.40852,0.59581,0.36767,0.81119,0.79912,0.82458,0.81001,0.80758,0.82936,0.83863,0.84156,0.82763,0.87634,0.8513,0.76185,0.81577,0.80342,0.83529,0.82142,0.79149,0.7976,0.78185,0.82971,0.84468,0.83728,0.84987,0.85213,0.84853,0.77418,0.76757,0.77396,0.77349,0.76757,0.75325,0.74377,0.7439,0.76266,0.76481,0.77148,0.76883,0.81455,0.77858,0.80813,0.7335,0.72179,0.69201,0.71878,0.81862,0.75491,0.70967,0.71525,0.67406,0.67289,0.76912,0.67422,0.68978,0.77345,0.76306,0.76861,0.77996,0.78187,0.81244,0.75869,0.81999,0.75663,0.74748
3,0.84045,0.91221,0.82276,1.0,0.82539,0.78814,0.78972,0.79098,0.79044,0.78836,0.78341,0.78403,0.78547,0.42352,0.78419,0.89732,0.91207,0.89983,0.75561,0.86254,0.84201,0.94047,0.76247,0.76683,0.8724,0.81712,0.82444,0.90082,0.83048,0.83697,0.87894,0.87459,0.80993,0.84987,0.83169,0.80143,0.75566,0.85165,0.89695,0.8977,0.77115,0.79325,0.88498,0.8306,0.83104,0.82527,0.81732,0.82431,0.83721,0.83377,0.88081,0.86044,0.91877,0.85816,0.86332,0.75066,0.90539,0.83907,0.89034,0.76525,0.8654,0.84897,0.78323,0.77383,0.76992,0.68814,0.80231,0.69154,0.76914,0.78537,0.82486,0.94562,0.87638,0.84322,0.85067,0.86798,0.82264,0.78032,0.77038,0.83176,0.84583,0.84496,0.8593,0.85498,0.82996,0.88961,0.83801,0.42523,0.83344,0.80024,0.45504,0.72804,0.54932,0.80454,0.82913,0.85013,0.64083,0.66468,0.62421,0.36945,0.82746,0.84074,0.84844,0.87435,0.83819,0.85412,0.84997,0.85858,0.84843,0.82642,0.83232,0.77477,0.83246,0.82057,0.84951,0.80702,0.88396,0.85497,0.80199,0.8137,0.83653,0.82021,0.83044,0.82153,0.82739,0.78898,0.80156,0.79317,0.79315,0.79772,0.74722,0.72269,0.71801,0.76843,0.80049,0.77141,0.80161,0.83423,0.80089,0.83305,0.70865,0.69852,0.67724,0.71248,0.82636,0.75515,0.73158,0.73135,0.65474,0.65817,0.76856,0.65682,0.67321,0.78288,0.79537,0.78505,0.80583,0.43713,0.83779,0.74568,0.82352,0.74324,0.72556
4,0.82678,0.80591,0.7962,0.82539,1.0,0.80057,0.8032,0.80318,0.803,0.80469,0.79964,0.79897,0.8012,0.79437,0.79943,0.86366,0.79787,0.86025,0.74982,0.8172,0.84272,0.81005,0.81435,0.7632,0.82282,0.81931,0.82117,0.81353,0.80537,0.81766,0.80598,0.7913,0.77967,0.80427,0.79046,0.77294,0.75062,0.83287,0.81052,0.80815,0.759,0.76682,0.80332,0.83179,0.83489,0.82983,0.81899,0.82661,0.82526,0.82787,0.85432,0.82707,0.83889,0.83542,0.84724,0.76227,0.79936,0.80684,0.83322,0.74829,0.83534,0.79603,0.8116,0.81983,0.79238,0.68415,0.783,0.69354,0.77133,0.7829,0.82572,0.82195,0.81548,0.84913,0.85536,0.84575,0.84193,0.77641,0.78287,0.82665,0.83894,0.8334,0.8436,0.87089,0.82358,0.84449,0.83681,0.7853,0.79985,0.83748,0.46957,0.70671,0.45157,0.79711,0.80346,0.74589,0.3921,0.40505,0.39365,0.37407,0.81584,0.82224,0.80111,0.80467,0.81423,0.80269,0.80768,0.80705,0.81247,0.7974,0.79269,0.75091,0.8183,0.77788,0.80377,0.77117,0.78188,0.77594,0.79803,0.80516,0.81463,0.8042,0.8038,0.80389,0.80973,0.83055,0.82716,0.81945,0.83908,0.81676,0.76519,0.72865,0.73451,0.80094,0.83688,0.78512,0.83768,0.85345,0.84926,0.85611,0.71701,0.70352,0.68171,0.7675,0.8639,0.82059,0.80028,0.7547,0.65629,0.66445,0.79809,0.66172,0.68029,0.81846,0.84134,0.82018,0.45288,0.8472,0.83754,0.75007,0.84094,0.75597,0.72686
5,0.81887,0.7849,0.76541,0.78818,0.80098,1.0,0.99781,0.99581,0.99608,0.98632,0.98884,0.97952,0.9878,0.96575,0.98772,0.80185,0.77142,0.80723,0.76394,0.79249,0.82724,0.79831,0.79422,0.77107,0.80724,0.83817,0.83591,0.80796,0.79196,0.83369,0.79225,0.76809,0.77142,0.78854,0.80095,0.78739,0.7612,0.8425,0.78448,0.78119,0.76384,0.77841,0.78433,0.84287,0.8404,0.84207,0.84146,0.82269,0.83732,0.84142,0.82014,0.81397,0.79141,0.82658,0.80878,0.76195,0.75622,0.81732,0.80354,0.74217,0.82414,0.76749,0.76866,0.77276,0.77442,0.70712,0.76064,0.69972,0.76548,0.76485,0.8288,0.80029,0.79927,0.81202,0.80027,0.81479,0.82557,0.77395,0.77103,0.79734,0.82856,0.81823,0.82013,0.81929,0.82647,0.81711,0.81426,0.79728,0.79595,0.79382,0.44638,0.71745,0.70074,0.79302,0.7837,0.40685,0.60763,0.63125,0.64132,0.53782,0.83766,0.8357,0.80059,0.7781,0.78283,0.79332,0.78616,0.79403,0.80023,0.78199,0.78419,0.75433,0.8315,0.79853,0.78114,0.76709,0.78814,0.77987,0.80727,0.80256,0.79987,0.80814,0.79133,0.79165,0.78945,0.80672,0.80555,0.816,0.80654,0.80187,0.79613,0.71962,0.72833,0.80299,0.81167,0.80348,0.8036,0.8168,0.80284,0.82959,0.73022,0.70504,0.68854,0.75957,0.81119,0.7896,0.75271,0.75753,0.67191,0.66946,0.77819,0.66076,0.67878,0.81284,0.80691,0.81225,0.80529,0.79979,0.81623,0.7506,0.8203,0.75439,0.72428
6,0.82099,0.78506,0.76638,0.78972,0.80323,0.99781,1.0,0.9945,0.99515,0.98853,0.9877,0.97902,0.98881,0.96738,0.98944,0.8036,0.77251,0.80845,0.75914,0.79497,0.82941,0.79767,0.79408,0.77124,0.80775,0.8388,0.83539,0.80827,0.79165,0.83418,0.79068,0.76767,0.77144,0.78716,0.80074,0.78658,0.7606,0.84238,0.78624,0.78065,0.76295,0.78017,0.78341,0.843,0.84088,0.84233,0.84187,0.8229,0.83785,0.84182,0.82228,0.81679,0.79135,0.82807,0.81101,0.76312,0.7554,0.81899,0.80365,0.74336,0.82531,0.7696,0.77159,0.77504,0.7772,0.70881,0.76365,0.70148,0.76687,0.76656,0.83081,0.80111,0.80115,0.81353,0.80308,0.81738,0.82668,0.7759,0.77085,0.79787,0.83018,0.82098,0.82275,0.82161,0.82902,0.81843,0.81552,0.79796,0.79676,0.79473,0.73135,0.45029,0.70075,0.79403,0.78654,0.73894,0.39479,0.6296,0.64028,0.53773,0.838,0.83639,0.80113,0.77931,0.78251,0.79424,0.78648,0.79484,0.80189,0.78038,0.78355,0.75445,0.83211,0.79836,0.78206,0.76912,0.78817,0.78089,0.80805,0.80225,0.80088,0.80729,0.79151,0.79118,0.78862,0.80931,0.80794,0.81769,0.80903,0.80459,0.79543,0.72104,0.72899,0.80522,0.81196,0.80226,0.80677,0.81935,0.80588,0.8307,0.7311,0.70562,0.68889,0.76304,0.8143,0.79188,0.75536,0.76044,0.67265,0.67045,0.78026,0.66254,0.67865,0.8149,0.80903,0.81188,0.80777,0.80276,0.8186,0.75211,0.82107,0.75416,0.72623
7,0.82327,0.78732,0.76816,0.79081,0.80318,0.99581,0.9945,1.0,0.99935,0.98578,0.9905,0.98245,0.98728,0.96543,0.98699,0.80371,0.77364,0.80988,0.75838,0.79775,0.83346,0.79979,0.79341,0.77099,0.81095,0.8432,0.83817,0.80854,0.79254,0.83863,0.794,0.76815,0.77258,0.79093,0.80147,0.78605,0.7647,0.8454,0.78555,0.78051,0.76554,0.77813,0.78393,0.84581,0.84393,0.84478,0.84439,0.82558,0.84154,0.84469,0.82461,0.82076,0.79369,0.83128,0.8144,0.76056,0.75973,0.82355,0.80775,0.74222,0.8288,0.77216,0.77579,0.77896,0.7799,0.70663,0.76572,0.6987,0.7725,0.7688,0.83456,0.80173,0.80088,0.81333,0.80275,0.81998,0.82769,0.77412,0.76913,0.79954,0.83331,0.82328,0.82457,0.82329,0.83214,0.81847,0.81668,0.79726,0.80089,0.79334,0.44716,0.72075,0.43392,0.80176,0.79236,0.74396,0.60721,0.40749,0.64246,0.54051,0.83985,0.83897,0.80157,0.77936,0.78386,0.79485,0.78675,0.79574,0.80198,0.78279,0.78415,0.75773,0.83502,0.79935,0.78187,0.76784,0.79031,0.77917,0.81004,0.80411,0.80178,0.80987,0.79325,0.79238,0.79078,0.80965,0.80905,0.8164,0.81039,0.80419,0.79778,0.71989,0.72731,0.80561,0.81202,0.80465,0.80686,0.82165,0.80504,0.83487,0.72906,0.7047,0.6885,0.76394,0.81465,0.79443,0.7572,0.76165,0.67225,0.67016,0.77923,0.66266,0.67989,0.81582,0.8091,0.8129,0.80728,0.80163,0.82158,0.75196,0.82131,0.75282,0.72402
8,0.82331,0.78698,0.76767,0.79044,0.80282,0.99608,0.99515,0.99935,1.0,0.98742,0.99106,0.98296,0.98858,0.9664,0.98791,0.8039,0.77329,0.80952,0.76388,0.79774,0.83318,0.7997,0.79305,0.77057,0.81076,0.84339,0.83834,0.80804,0.7934,0.83846,0.79348,0.76777,0.77185,0.79001,0.80133,0.7854,0.76393,0.84543,0.78587,0.77989,0.76573,0.77778,0.78332,0.84583,0.84393,0.84503,0.84438,0.82568,0.84176,0.84457,0.82466,0.82104,0.79276,0.83141,0.8148,0.76029,0.75912,0.82368,0.80722,0.7419,0.82866,0.77193,0.77611,0.77921,0.78051,0.70641,0.76617,0.69859,0.77283,0.76911,0.83469,0.80134,0.80122,0.81317,0.80274,0.81982,0.82821,0.7731,0.76777,0.80046,0.83283,0.82315,0.8246,0.82277,0.83301,0.81833,0.81644,0.7964,0.80032,0.79321,0.44726,0.4485,0.70211,0.80227,0.79256,0.74441,0.60558,0.62953,0.64173,0.38349,0.84022,0.83911,0.80149,0.77893,0.7836,0.79438,0.78702,0.79603,0.8016,0.78143,0.78353,0.75722,0.83527,0.79915,0.78206,0.767,0.79009,0.77945,0.80984,0.80361,0.80156,0.80936,0.7934,0.79241,0.79021,0.81058,0.80909,0.81622,0.81038,0.80447,0.7978,0.71957,0.72672,0.80544,0.81156,0.80443,0.80674,0.82183,0.80525,0.83467,0.72914,0.70521,0.68868,0.76416,0.81428,0.79408,0.75733,0.76209,0.67228,0.6702,0.779,0.66262,0.67841,0.816,0.80894,0.81257,0.80761,0.80137,0.82197,0.75163,0.82145,0.75242,0.72357
9,0.82147,0.78048,0.76512,0.78836,0.80469,0.98632,0.98853,0.98578,0.98742,1.0,0.99074,0.98469,0.99748,0.97407,0.99471,0.8026,0.7686,0.80733,0.76913,0.79542,0.83015,0.79455,0.79033,0.76598,0.80582,0.83822,0.83549,0.80523,0.78991,0.83412,0.78493,0.76361,0.77009,0.78274,0.7993,0.78166,0.75913,0.83865,0.78075,0.77717,0.76022,0.77353,0.78059,0.8418,0.84015,0.84136,0.83964,0.82062,0.83804,0.83984,0.82096,0.8183,0.78945,0.82763,0.81259,0.75996,0.75252,0.82195,0.80412,0.74151,0.82323,0.76784,0.77289,0.77478,0.77805,0.70507,0.76603,0.69806,0.76948,0.76829,0.83254,0.79664,0.79891,0.81421,0.80323,0.81759,0.82485,0.77048,0.765,0.79773,0.83093,0.82196,0.82305,0.81897,0.82987,0.81358,0.81482,0.79212,0.79636,0.79002,0.73197,0.44724,0.70341,0.80024,0.79362,0.74281,0.39323,0.40499,0.39869,0.54234,0.83753,0.83693,0.79941,0.77268,0.77986,0.79339,0.78507,0.79379,0.80039,0.7762,0.77814,0.75278,0.83254,0.79619,0.77874,0.76361,0.78467,0.77666,0.80791,0.80072,0.79794,0.8072,0.78908,0.78933,0.78663,0.80796,0.80622,0.81234,0.80731,0.8024,0.7908,0.71725,0.72577,0.80223,0.80826,0.797,0.80366,0.81936,0.80291,0.82674,0.7283,0.70338,0.68664,0.76383,0.81387,0.78867,0.75522,0.76147,0.6709,0.6699,0.77251,0.66206,0.67708,0.81143,0.80621,0.80717,0.80501,0.79962,0.8196,0.74754,0.81799,0.75076,0.72203
