,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,avg_refine_0,avg_refine_1,avg_refine_2,avg_refine_3,avg_refine_4,default_af_v1_0,default_af_v1_1,default_af_v1_2,default_af_v1_3,default_af_v1_4,default_af_v1_5,default_af_v1_6,default_af_v1_7,default_af_v1_8,default_af_v1_9,default_comp_v1_0,default_comp_v1_1,default_comp_v1_2,default_comp_v1_3,default_comp_v1_4,default_comp_v1_5,default_comp_v1_6,default_comp_v1_7,default_comp_v1_8,default_comp_v1_9,default_comp_v2_0,default_comp_v2_1,default_comp_v2_2,default_comp_v2_3,default_comp_v2_4,default_comp_v2_5,default_comp_v2_6,default_comp_v2_7,default_comp_v2_8,default_comp_v2_9,default_img_v2_0,default_img_v2_1,default_img_v2_2,default_img_v2_3,default_img_v2_4,default_img_v2_5,default_img_v2_6,default_img_v2_7,default_img_v2_8,default_img_v2_9,default_multimer_v1_0,default_multimer_v1_1,default_multimer_v1_2,default_multimer_v1_3,default_multimer_v1_4,default_multimer_v1_5,default_multimer_v1_6,default_multimer_v1_7,default_multimer_v1_8,default_multimer_v1_9,default_multimer_v2_0,default_multimer_v2_1,default_multimer_v2_2,default_multimer_v2_3,default_multimer_v2_4,default_multimer_v2_5,default_multimer_v2_6,default_multimer_v2_7,default_multimer_v2_8,default_multimer_v2_9,default_pdb70_v1_0,default_pdb70_v1_1,default_pdb70_v1_2,default_pdb70_v1_3,default_pdb70_v1_4,default_pdb70_v1_5,default_pdb70_v1_6,default_pdb70_v1_7,default_pdb70_v1_8,default_pdb70_v1_9,default_pdb70_v2_0,default_pdb70_v2_1,default_pdb70_v2_2,default_pdb70_v2_3,default_pdb70_v2_4,default_pdb70_v2_5,default_pdb70_v2_6,default_pdb70_v2_7,default_pdb70_v2_8,default_pdb70_v2_9,default_pdb_v1_0,default_pdb_v1_1,default_pdb_v1_2,default_pdb_v1_3,default_pdb_v1_4,default_pdb_v1_5,default_pdb_v1_6,default_pdb_v1_7,default_pdb_v1_8,default_pdb_v1_9,default_pdb_v2_0,default_pdb_v2_1,default_pdb_v2_2,default_pdb_v2_3,default_pdb_v2_4,default_pdb_v2_5,default_pdb_v2_6,default_pdb_v2_7,default_pdb_v2_8,default_pdb_v2_9,default_struct_v1_0,default_struct_v1_1,default_struct_v1_2,default_struct_v1_3,default_struct_v1_4,default_struct_v1_5,default_struct_v1_6,default_struct_v1_7,default_struct_v1_8,default_struct_v1_9,default_uniclust_v1_0,default_uniclust_v1_1,default_uniclust_v1_2,default_uniclust_v1_3,default_uniclust_v1_4,default_uniclust_v1_5,default_uniclust_v1_6,default_uniclust_v1_7,default_uniclust_v1_8,default_uniclust_v1_9,default_uniclust_v2_0,default_uniclust_v2_1,default_uniclust_v2_2,default_uniclust_v2_3,default_uniclust_v2_4,default_uniclust_v2_5,default_uniclust_v2_6,default_uniclust_v2_7,default_uniclust_v2_8,default_uniclust_v2_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_2,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,img_multimer_v2_0,img_multimer_v2_1,img_multimer_v2_2,img_multimer_v2_3,img_multimer_v2_4,img_multimer_v2_5,img_multimer_v2_6,img_multimer_v2_7,img_multimer_v2_8,img_multimer_v2_9,iter_1_old_v1_0,iter_1_old_v1_1,iter_1_old_v1_2,iter_1_old_v1_3,iter_1_old_v1_4,iter_1_old_v1_5,iter_1_old_v1_6,iter_1_old_v1_7,iter_1_old_v1_8,iter_1_old_v1_9,iter_1_old_v2_0,iter_1_old_v2_1,iter_1_old_v2_2,iter_1_old_v2_3,iter_1_old_v2_4,iter_1_old_v2_5,iter_1_old_v2_6,iter_1_old_v2_7,iter_1_old_v2_8,iter_1_old_v2_9,iter_1_v1_0,iter_1_v1_1,iter_1_v1_2,iter_1_v1_3,iter_1_v1_4,iter_1_v1_5,iter_1_v1_6,iter_1_v1_7,iter_1_v1_8,iter_1_v1_9,iter_1_v2_0,iter_1_v2_1,iter_1_v2_2,iter_1_v2_3,iter_1_v2_4,iter_1_v2_5,iter_1_v2_6,iter_1_v2_7,iter_1_v2_8,iter_1_v2_9,iter_2_old_v2_0,iter_2_old_v2_1,iter_2_old_v2_2,iter_2_old_v2_3,iter_2_old_v2_4,iter_2_old_v2_5,iter_2_old_v2_6,iter_2_old_v2_7,iter_2_old_v2_8,iter_2_old_v2_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4
0,1.0,0.53148,0.70301,0.44099,0.4375,0.47082,0.45946,0.46317,0.45671,0.47639,0.55912,0.53162,0.53162,0.52764,0.44004,0.43632,0.44424,0.44043,0.40163,0.41214,0.46491,0.49525,0.49646,0.53077,0.43022,0.52109,0.53133,0.4354,0.47289,0.37473,0.47622,0.51942,0.50903,0.48658,0.50054,0.50866,0.6125,0.45229,0.36528,0.56476,0.46289,0.50139,0.51222,0.51412,0.48533,0.4898,0.53928,0.52742,0.51588,0.52346,0.51508,0.56961,0.77168,0.66411,0.56965,0.4425,0.36706,0.51519,0.37926,0.47682,0.53531,0.49388,0.64237,0.70992,0.59153,0.65268,0.55216,0.65018,0.47262,0.35645,0.46493,0.49674,0.50477,0.42214,0.42151,0.58597,0.61348,0.48489,0.42064,0.41899,0.5287,0.48494,0.51551,0.50103,0.49502,0.42901,0.43027,0.67542,0.43024,0.33963,0.47916,0.49429,0.51277,0.52014,0.54025,0.53219,0.52376,0.43976,0.43594,0.42601,0.47663,0.48335,0.46331,0.50465,0.50761,0.49542,0.5001,0.54297,0.552,0.41133,0.46513,0.4734,0.46792,0.47967,0.50994,0.49586,0.48283,0.47863,0.51952,0.52714,0.46026,0.38019,0.38194,0.39218,0.40344,0.37575,0.45179,0.37987,0.39613,0.41013,0.47476,0.41338,0.41391,0.44942,0.38422,0.36923,0.39303,0.40012,0.3193,0.34665,0.42422,0.42295,0.42573,0.39769,0.42677,0.42965,0.4093,0.41485,0.411,0.43085,0.49915,0.51306,0.47056,0.42532,0.42936,0.4253,0.40561,0.4633,0.35189,0.39237,0.45399,0.49852,0.4554,0.48994,0.49077,0.48813,0.49881,0.47026,0.48603,0.47251,0.45504,0.46792,0.46052,0.46179,0.47612,0.47757,0.4663,0.47182,0.47332,0.41967,0.47281,0.47709,0.47638,0.47819,0.50333,0.45123,0.49302,0.46847,0.45886,0.47837,0.45832,0.48072,0.46537,0.46565,0.45771,0.47923,0.47678,0.5006,0.48222,0.52963,0.4664,0.46648,0.47394,0.46966,0.47874,0.47878,0.47452,0.47345,0.48273,0.44972,0.45855,0.49441,0.49677,0.49294,0.50258
1,0.53205,1.0,0.48539,0.49847,0.44853,0.73671,0.74631,0.72577,0.71503,0.7444,0.73471,0.7278,0.72489,0.51168,0.48087,0.484,0.49248,0.48805,0.45177,0.46847,0.72485,0.82533,0.76497,0.7962,0.49445,0.81892,0.72725,0.48824,0.48638,0.381,0.73371,0.79347,0.78731,0.75833,0.77254,0.74245,0.69547,0.49874,0.39007,0.43527,0.72991,0.79051,0.79114,0.749,0.73428,0.7939,0.7873,0.745,0.70086,0.4907,0.80024,0.71975,0.63437,0.52528,0.38064,0.5012,0.33709,0.40117,0.28457,0.38499,0.79189,0.82941,0.50839,0.50469,0.48437,0.45472,0.51753,0.51502,0.4318,0.35652,0.72665,0.76748,0.76632,0.48419,0.49116,0.52328,0.44482,0.76124,0.45258,0.42647,0.78588,0.77164,0.85218,0.74906,0.77593,0.5032,0.49493,0.61556,0.47019,0.35914,0.73505,0.73562,0.73893,0.78198,0.82056,0.74098,0.72198,0.50006,0.49775,0.48255,0.74754,0.77739,0.72755,0.77064,0.81989,0.77865,0.76764,0.76842,0.76399,0.43016,0.71364,0.73068,0.7335,0.7008,0.73821,0.70151,0.74699,0.73203,0.69575,0.72172,0.74052,0.44108,0.46761,0.45404,0.48735,0.44186,0.48369,0.42049,0.44083,0.42982,0.69249,0.60271,0.51804,0.45242,0.42852,0.41013,0.42886,0.4407,0.34831,0.36969,0.65897,0.64402,0.65596,0.44393,0.47606,0.48334,0.45826,0.4408,0.44944,0.45829,0.78952,0.83724,0.76342,0.43699,0.44246,0.43175,0.38338,0.43913,0.36471,0.38789,0.69773,0.70119,0.69738,0.76013,0.71226,0.75541,0.72101,0.70735,0.72125,0.72473,0.71652,0.73011,0.72417,0.72103,0.74716,0.74456,0.74023,0.74326,0.75474,0.63506,0.71244,0.7209,0.7204,0.72011,0.70151,0.71398,0.73267,0.70803,0.71943,0.71919,0.73093,0.72878,0.70622,0.73287,0.73489,0.7338,0.76299,0.74121,0.77632,0.71865,0.72351,0.72281,0.73369,0.72875,0.75203,0.73315,0.72849,0.73245,0.74741,0.69678,0.73052,0.71747,0.7491,0.75577,0.70299
2,0.70301,0.48539,1.0,0.45224,0.43104,0.42728,0.42561,0.41676,0.41542,0.42915,0.52038,0.51033,0.51181,0.59051,0.47342,0.46607,0.46951,0.46437,0.43282,0.43962,0.41609,0.45241,0.43745,0.45282,0.43568,0.45232,0.43562,0.44869,0.49584,0.3546,0.41922,0.46458,0.44344,0.42453,0.42229,0.42414,0.54341,0.46723,0.37065,0.64539,0.4158,0.45705,0.45428,0.42912,0.42205,0.44293,0.46979,0.44748,0.44937,0.56234,0.4451,0.46748,0.66654,0.62951,0.5938,0.48505,0.3599,0.5008,0.40675,0.45063,0.46872,0.46273,0.7073,0.7275,0.63651,0.71504,0.55415,0.57117,0.52749,0.38315,0.41696,0.43954,0.43378,0.43308,0.43272,0.58531,0.67275,0.44313,0.41765,0.41888,0.43376,0.43902,0.46045,0.42799,0.43795,0.4452,0.43528,0.5551,0.42854,0.33833,0.42117,0.41986,0.42646,0.45424,0.47934,0.43359,0.44058,0.45728,0.44873,0.4384,0.43668,0.43793,0.41676,0.45144,0.46048,0.44103,0.42929,0.43625,0.44427,0.41153,0.40813,0.41044,0.42231,0.40642,0.4275,0.41226,0.42755,0.42079,0.41449,0.4233,0.44011,0.35379,0.36813,0.38251,0.39072,0.36175,0.43339,0.37127,0.38552,0.39014,0.41058,0.40114,0.39398,0.4285,0.38,0.35414,0.38744,0.3887,0.31065,0.34654,0.40769,0.4116,0.40829,0.39485,0.43397,0.43361,0.40968,0.39853,0.39421,0.41712,0.4548,0.47795,0.44418,0.41253,0.43295,0.431,0.41389,0.48359,0.35534,0.4111,0.40617,0.40821,0.40701,0.43962,0.41144,0.43489,0.4137,0.40738,0.41248,0.41684,0.41347,0.42272,0.41842,0.4176,0.4317,0.42579,0.42647,0.42979,0.42917,0.40639,0.4096,0.41199,0.41222,0.40971,0.41652,0.40661,0.41549,0.40787,0.40928,0.40961,0.41829,0.4175,0.40741,0.42089,0.41832,0.42126,0.42791,0.42514,0.43402,0.42663,0.41427,0.42008,0.42652,0.42058,0.43235,0.42431,0.42024,0.42147,0.4293,0.41866,0.42942,0.42236,0.43346,0.43811,0.42062
3,0.44099,0.49847,0.45224,1.0,0.68869,0.45441,0.46407,0.45392,0.45361,0.46115,0.47311,0.47683,0.47593,0.47774,0.53887,0.63527,0.47911,0.47845,0.43524,0.44773,0.45298,0.4902,0.4616,0.48941,0.81082,0.50094,0.45403,0.81235,0.50117,0.377,0.45341,0.50249,0.47934,0.46474,0.46159,0.4547,0.48116,0.61502,0.40055,0.40326,0.45482,0.49905,0.49852,0.46302,0.45453,0.46405,0.49814,0.47062,0.46047,0.49332,0.49517,0.47317,0.50042,0.4385,0.36511,0.42728,0.50375,0.34483,0.27188,0.32835,0.50114,0.5016,0.49342,0.45726,0.42782,0.41778,0.43479,0.42045,0.42603,0.34998,0.45416,0.48204,0.46436,0.84861,0.78265,0.48289,0.42345,0.45769,0.65823,0.47612,0.46855,0.46499,0.48201,0.45004,0.46661,0.80011,0.8182,0.45477,0.72684,0.37086,0.45658,0.45532,0.4609,0.46976,0.49503,0.45788,0.48543,0.77863,0.80262,0.79785,0.4564,0.46669,0.4547,0.50924,0.47417,0.46519,0.46154,0.47892,0.46313,0.47267,0.45034,0.45398,0.45556,0.44413,0.45823,0.44909,0.45994,0.45325,0.45039,0.44755,0.48738,0.39994,0.42854,0.44756,0.44279,0.40995,0.5748,0.4586,0.54337,0.48219,0.43643,0.46124,0.45253,0.66075,0.43685,0.38353,0.47141,0.45418,0.3505,0.36065,0.44697,0.44458,0.45089,0.50528,0.63544,0.63001,0.5152,0.51484,0.48467,0.53934,0.47965,0.48421,0.45601,0.60686,0.60576,0.51523,0.40875,0.38163,0.3795,0.38921,0.45249,0.44424,0.45019,0.46378,0.44737,0.46096,0.4544,0.45032,0.45084,0.45158,0.45423,0.45251,0.45104,0.45544,0.46132,0.45295,0.45681,0.46173,0.46116,0.46339,0.45143,0.45465,0.45253,0.45381,0.44755,0.45424,0.4544,0.4504,0.45319,0.45338,0.45133,0.4499,0.44481,0.45702,0.45658,0.4535,0.45874,0.45742,0.46357,0.45873,0.44909,0.44998,0.45168,0.45138,0.46481,0.45349,0.4565,0.45168,0.45453,0.45266,0.45664,0.44344,0.46585,0.47779,0.44699
4,0.4375,0.44853,0.43104,0.68869,1.0,0.45366,0.45195,0.45257,0.45186,0.4482,0.43576,0.43568,0.43503,0.4558,0.62941,0.58175,0.4638,0.46586,0.40557,0.42153,0.45252,0.44657,0.4562,0.44906,0.58028,0.44975,0.45664,0.691,0.49242,0.41087,0.45155,0.44186,0.44307,0.4549,0.44808,0.45647,0.44393,0.68291,0.41207,0.37883,0.44739,0.44203,0.44747,0.4533,0.45543,0.45391,0.43893,0.4618,0.43636,0.48142,0.45065,0.47839,0.46765,0.4534,0.34577,0.4371,0.46213,0.32967,0.27526,0.31994,0.44781,0.44979,0.46092,0.45795,0.43496,0.44175,0.42486,0.41016,0.43097,0.34648,0.45525,0.44737,0.45234,0.67012,0.65455,0.46071,0.37697,0.45627,0.60012,0.54151,0.45563,0.45367,0.42665,0.45719,0.45054,0.57815,0.65678,0.45246,0.74272,0.41374,0.45473,0.45831,0.46193,0.42901,0.43567,0.45738,0.45244,0.64409,0.71408,0.66081,0.44434,0.45659,0.45308,0.44543,0.45425,0.46019,0.4487,0.45471,0.46381,0.51181,0.45277,0.45227,0.45499,0.45181,0.46184,0.45381,0.45187,0.45256,0.45756,0.45797,0.44753,0.38857,0.43739,0.41275,0.42364,0.42285,0.51816,0.43832,0.46126,0.48873,0.44376,0.44857,0.45632,0.58247,0.4152,0.35907,0.43912,0.42886,0.33455,0.37719,0.45479,0.46129,0.45913,0.43865,0.5356,0.51536,0.44827,0.47797,0.44641,0.50788,0.4389,0.44941,0.44815,0.56604,0.57769,0.60837,0.41885,0.37203,0.37224,0.40581,0.45055,0.4452,0.45201,0.46061,0.44908,0.45878,0.4589,0.45665,0.45234,0.46678,0.44929,0.45411,0.4541,0.45931,0.45642,0.44924,0.45231,0.45899,0.45535,0.46535,0.45403,0.46398,0.46062,0.46136,0.4668,0.46344,0.46346,0.4565,0.46142,0.46316,0.44299,0.45261,0.45104,0.455,0.45045,0.45714,0.45012,0.46274,0.45896,0.46967,0.44872,0.45431,0.45199,0.45271,0.45096,0.45087,0.45269,0.4546,0.45269,0.46132,0.4495,0.43727,0.45311,0.44904,0.45857
5,0.47082,0.73671,0.42728,0.45441,0.45366,1.0,0.86716,0.86836,0.83954,0.83489,0.58777,0.57437,0.57077,0.45748,0.42623,0.42761,0.43937,0.43451,0.40895,0.42469,0.85238,0.84945,0.85751,0.83557,0.44516,0.84061,0.81391,0.44098,0.47188,0.37069,0.83084,0.80753,0.85043,0.85826,0.83043,0.81133,0.66138,0.44373,0.42201,0.37358,0.84068,0.82757,0.82956,0.83449,0.84843,0.84325,0.78114,0.78624,0.61824,0.48203,0.80461,0.73082,0.55906,0.48838,0.35013,0.48845,0.32305,0.3566,0.27084,0.35425,0.80879,0.79447,0.46738,0.46605,0.44173,0.41742,0.45432,0.44891,0.40795,0.3466,0.85639,0.8411,0.80388,0.44731,0.42886,0.52363,0.39054,0.77267,0.45665,0.44415,0.8301,0.86314,0.75031,0.83043,0.84688,0.4593,0.45105,0.62095,0.45284,0.3658,0.84925,0.83236,0.81097,0.67233,0.74446,0.80157,0.78812,0.44366,0.4421,0.45505,0.87092,0.83945,0.85412,0.83205,0.84327,0.84219,0.83609,0.81195,0.80546,0.44588,0.85255,0.81841,0.85672,0.84557,0.83562,0.83778,0.84797,0.83687,0.79053,0.75049,0.71648,0.47664,0.52438,0.4737,0.46405,0.48447,0.45513,0.39456,0.39715,0.41472,0.69538,0.64428,0.5332,0.44255,0.43342,0.43077,0.40288,0.41914,0.34752,0.36859,0.7344,0.69955,0.70214,0.42319,0.44273,0.44518,0.4281,0.43913,0.43805,0.45218,0.79466,0.74975,0.76433,0.42992,0.43439,0.42189,0.36293,0.40323,0.36141,0.38133,0.82739,0.80818,0.82712,0.8569,0.82836,0.86027,0.82273,0.82553,0.83107,0.82456,0.84438,0.91224,0.87871,0.86144,0.87163,0.90482,0.87764,0.85704,0.87098,0.7037,0.80312,0.81426,0.81282,0.81025,0.76164,0.81672,0.81759,0.80409,0.82382,0.80626,0.84336,0.896,0.85477,0.86163,0.84937,0.88553,0.84991,0.85004,0.86813,0.78696,0.93947,0.92205,0.90094,0.88432,0.85768,0.85865,0.86159,0.89889,0.89023,0.76197,0.87036,0.74449,0.84681,0.81369,0.77644
6,0.45909,0.74631,0.42561,0.46407,0.45195,0.86716,1.0,0.94611,0.86179,0.83439,0.59829,0.58858,0.58454,0.45912,0.42855,0.4284,0.44351,0.43938,0.42028,0.42848,0.86214,0.86187,0.85646,0.83398,0.44837,0.84319,0.80787,0.44593,0.48568,0.36498,0.8499,0.81508,0.848,0.87258,0.84079,0.80068,0.65529,0.4492,0.42157,0.37181,0.85225,0.85108,0.8482,0.82703,0.84816,0.83933,0.78725,0.79066,0.61156,0.49194,0.80471,0.71774,0.55497,0.48781,0.34374,0.46703,0.31961,0.35783,0.26857,0.35171,0.8086,0.81716,0.47062,0.47378,0.43925,0.42021,0.44751,0.44656,0.41199,0.34087,0.85987,0.8585,0.81043,0.45187,0.43393,0.53544,0.39678,0.77358,0.47028,0.44815,0.82817,0.86621,0.75099,0.81526,0.84544,0.46229,0.45676,0.60725,0.4626,0.35872,0.85253,0.81693,0.81521,0.68287,0.75528,0.78441,0.78199,0.45181,0.4477,0.45863,0.85437,0.83251,0.86357,0.83921,0.82994,0.83774,0.836,0.80786,0.79662,0.45877,0.84421,0.81116,0.86746,0.81911,0.828,0.81052,0.83682,0.82512,0.76532,0.73722,0.72337,0.47763,0.52884,0.4885,0.45252,0.49138,0.45424,0.41152,0.39962,0.4131,0.69504,0.67136,0.55563,0.43742,0.4477,0.41938,0.42463,0.42898,0.35069,0.36886,0.73732,0.70681,0.71204,0.41883,0.44012,0.44262,0.42509,0.44224,0.4347,0.44828,0.77423,0.73339,0.76929,0.42489,0.43485,0.44561,0.36422,0.39567,0.3626,0.38139,0.81492,0.79384,0.81551,0.85411,0.80728,0.85418,0.79732,0.81244,0.80958,0.80251,0.87185,0.8681,0.86681,0.86523,0.87696,0.85388,0.87762,0.85086,0.8696,0.73025,0.78783,0.79293,0.79322,0.7879,0.73508,0.79569,0.79205,0.78976,0.80504,0.78398,0.85138,0.86094,0.83783,0.87576,0.85787,0.85685,0.8604,0.84638,0.84828,0.77639,0.85137,0.84684,0.86331,0.86792,0.84905,0.84899,0.88538,0.85486,0.86644,0.76438,0.88002,0.73227,0.85265,0.81129,0.76252
7,0.46317,0.72577,0.41664,0.45392,0.45257,0.86836,0.94611,1.0,0.84511,0.83502,0.58449,0.57269,0.56897,0.44807,0.41576,0.4159,0.43298,0.4285,0.41297,0.41827,0.8723,0.8556,0.85338,0.82445,0.4417,0.83042,0.80599,0.44025,0.47612,0.3645,0.84501,0.80155,0.84951,0.8655,0.8353,0.79646,0.65654,0.44062,0.42103,0.37021,0.84953,0.83698,0.82779,0.83031,0.84332,0.83333,0.77693,0.77833,0.60686,0.48692,0.79681,0.7196,0.56185,0.48711,0.34564,0.45671,0.31752,0.35502,0.27037,0.35204,0.79877,0.79354,0.46645,0.46304,0.43702,0.41625,0.44701,0.44788,0.40899,0.34123,0.86377,0.84825,0.79832,0.44621,0.42778,0.52748,0.39133,0.74778,0.45884,0.44474,0.82029,0.86029,0.74112,0.81697,0.82736,0.45381,0.45069,0.60937,0.45556,0.35952,0.84638,0.80905,0.82163,0.67267,0.74392,0.7853,0.7822,0.44229,0.4408,0.45081,0.86422,0.81931,0.85121,0.82526,0.81384,0.82599,0.82931,0.80276,0.7885,0.45347,0.8472,0.81228,0.86505,0.82908,0.81936,0.81384,0.84401,0.82973,0.7728,0.73452,0.7014,0.47143,0.52214,0.48337,0.44654,0.48541,0.44844,0.40796,0.39233,0.40877,0.69749,0.6577,0.54381,0.43308,0.44352,0.41321,0.42069,0.42328,0.35267,0.3665,0.72231,0.69388,0.69524,0.40978,0.42887,0.4322,0.41313,0.43191,0.42957,0.44086,0.76905,0.71872,0.74474,0.41905,0.43192,0.436,0.35895,0.39033,0.35728,0.37607,0.81319,0.7961,0.81465,0.85821,0.8091,0.85527,0.79954,0.81523,0.81012,0.79233,0.85185,0.8732,0.87039,0.86816,0.88163,0.85531,0.86689,0.85223,0.87349,0.70636,0.78637,0.79124,0.79285,0.78572,0.74218,0.78919,0.79045,0.78797,0.79867,0.78304,0.83657,0.86502,0.85144,0.86006,0.8417,0.85977,0.83792,0.85362,0.83792,0.78143,0.86364,0.86021,0.8885,0.88126,0.86852,0.86531,0.90135,0.87551,0.8867,0.77507,0.86399,0.72785,0.84877,0.80409,0.76132
8,0.45671,0.71503,0.41549,0.45361,0.45186,0.83954,0.86179,0.84511,1.0,0.81832,0.5762,0.56697,0.56298,0.44481,0.41471,0.41655,0.42845,0.42398,0.39605,0.41266,0.87292,0.8334,0.83458,0.81079,0.43966,0.8145,0.82217,0.43782,0.47104,0.3674,0.8822,0.79582,0.82004,0.8402,0.82465,0.85087,0.64439,0.43833,0.42079,0.35961,0.87438,0.83183,0.81425,0.81817,0.9031,0.81814,0.7667,0.77563,0.58165,0.47972,0.78497,0.72986,0.54823,0.48475,0.35026,0.44816,0.31925,0.34974,0.26984,0.35183,0.78204,0.78911,0.45481,0.46766,0.44252,0.41781,0.43377,0.44849,0.40969,0.33944,0.87314,0.82506,0.8074,0.44092,0.4236,0.5167,0.38427,0.74079,0.45862,0.43907,0.81671,0.84537,0.72257,0.8257,0.81925,0.44916,0.44189,0.6085,0.45227,0.35337,0.89332,0.83948,0.79643,0.66228,0.73354,0.7753,0.7753,0.44082,0.43908,0.44943,0.82544,0.80914,0.90897,0.81319,0.8019,0.82062,0.83082,0.78908,0.77357,0.44659,0.85514,0.82141,0.88313,0.83622,0.84629,0.83029,0.8271,0.82053,0.78649,0.76575,0.69423,0.46457,0.51838,0.45447,0.4403,0.48028,0.44853,0.39757,0.39634,0.42362,0.70315,0.62971,0.52204,0.43598,0.42262,0.41646,0.40377,0.41866,0.3368,0.36502,0.72964,0.73167,0.70374,0.41225,0.4302,0.43818,0.41355,0.45033,0.43202,0.44827,0.76177,0.7068,0.74207,0.42056,0.42424,0.43366,0.3594,0.3999,0.35635,0.37526,0.82875,0.79897,0.83003,0.85204,0.82052,0.86083,0.8098,0.82318,0.82086,0.8155,0.94541,0.84281,0.85136,0.88516,0.86732,0.8426,0.85354,0.85474,0.83987,0.71111,0.78349,0.80715,0.81687,0.81412,0.76346,0.80849,0.8014,0.78787,0.82217,0.80763,0.84353,0.84905,0.84033,0.91841,0.86308,0.85921,0.84974,0.85706,0.82296,0.77996,0.83788,0.82568,0.84466,0.84722,0.84153,0.83681,0.83117,0.84506,0.83639,0.73676,0.86998,0.74718,0.83814,0.79982,0.79086
9,0.47653,0.7444,0.42915,0.46115,0.4482,0.83489,0.83439,0.83502,0.81832,1.0,0.62596,0.6022,0.59949,0.46012,0.42344,0.4245,0.44188,0.43694,0.40635,0.42533,0.81647,0.84469,0.8229,0.86999,0.45163,0.85107,0.79138,0.45616,0.48135,0.36599,0.81387,0.81701,0.86859,0.84878,0.86159,0.78646,0.71425,0.46159,0.42253,0.38259,0.82755,0.82907,0.83304,0.87413,0.82337,0.84033,0.81074,0.81391,0.61686,0.49092,0.81972,0.73347,0.60656,0.50742,0.36546,0.45698,0.32029,0.3815,0.27662,0.36341,0.82705,0.81808,0.46867,0.48277,0.44566,0.41848,0.48498,0.46457,0.41185,0.35024,0.81121,0.84633,0.78669,0.45743,0.44372,0.53432,0.40681,0.73772,0.46243,0.44261,0.86609,0.83956,0.75301,0.81675,0.80987,0.46662,0.45014,0.62488,0.46724,0.35966,0.82004,0.80584,0.81704,0.70313,0.79448,0.7976,0.82758,0.45811,0.45901,0.46612,0.82399,0.80521,0.82401,0.82412,0.83242,0.83664,0.86129,0.84883,0.81954,0.46093,0.81519,0.80735,0.83723,0.81944,0.81907,0.81203,0.89219,0.85039,0.78966,0.74946,0.70089,0.47299,0.51987,0.46137,0.45923,0.48422,0.467,0.39488,0.39031,0.41356,0.69582,0.64729,0.52827,0.43612,0.42292,0.41126,0.40096,0.41201,0.3485,0.36386,0.72576,0.70555,0.69562,0.40299,0.43129,0.43077,0.4122,0.43237,0.45575,0.43901,0.80941,0.72311,0.72984,0.42404,0.433,0.41893,0.36116,0.39218,0.35729,0.37552,0.83013,0.81879,0.82129,0.87044,0.834,0.87629,0.82978,0.83421,0.83575,0.83644,0.81655,0.82573,0.83776,0.8208,0.86072,0.85024,0.84125,0.87527,0.8801,0.67693,0.80806,0.8165,0.81841,0.81331,0.75572,0.81697,0.82487,0.80869,0.82503,0.81253,0.83733,0.8294,0.82117,0.83135,0.82771,0.82042,0.84084,0.83244,0.84262,0.78259,0.83583,0.81521,0.84468,0.84401,0.89915,0.86528,0.85665,0.83439,0.85903,0.76428,0.83733,0.72634,0.86556,0.84674,0.77411
