,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_0,default_comp_1,default_comp_2,default_comp_3,default_comp_4,default_comp_5,default_comp_6,default_comp_7,default_comp_8,default_comp_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb_0,default_pdb_1,default_pdb_2,default_pdb_3,default_pdb_4,default_pdb_5,default_pdb_6,default_pdb_7,default_pdb_8,default_pdb_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,iter_1_0,iter_1_1,iter_1_2,iter_1_3,iter_1_4,iter_1_5,iter_1_6,iter_1_7,iter_1_8,iter_1_9,iter_1_old_0,iter_1_old_1,iter_1_old_2,iter_1_old_3,iter_1_old_4,iter_1_old_5,iter_1_old_6,iter_1_old_7,iter_1_old_8,iter_1_old_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,pdb_iter_uniref_a3m_0,pdb_iter_uniref_a3m_1,pdb_iter_uniref_a3m_2,pdb_iter_uniref_a3m_3,pdb_iter_uniref_a3m_4,pdb_iter_uniref_a3m_5,pdb_iter_uniref_a3m_6,pdb_iter_uniref_a3m_7,pdb_iter_uniref_a3m_8,pdb_iter_uniref_a3m_9,spec_af_0,spec_af_1,spec_af_2,spec_af_3,spec_af_4,spec_af_5,spec_af_6,spec_af_7,spec_af_8,spec_af_9,spec_comp_0,spec_comp_1,spec_comp_2,spec_comp_3,spec_comp_4,spec_comp_5,spec_comp_6,spec_comp_7,spec_comp_8,spec_comp_9,spec_iter_uniprot_sto_0,spec_iter_uniprot_sto_1,spec_iter_uniprot_sto_2,spec_iter_uniprot_sto_3,spec_iter_uniprot_sto_4,spec_iter_uniprot_sto_5,spec_iter_uniprot_sto_6,spec_iter_uniprot_sto_7,spec_iter_uniprot_sto_8,spec_iter_uniprot_sto_9,spec_iter_uniref_a3m_0,spec_iter_uniref_a3m_1,spec_iter_uniref_a3m_2,spec_iter_uniref_a3m_3,spec_iter_uniref_a3m_4,spec_iter_uniref_a3m_5,spec_iter_uniref_a3m_6,spec_iter_uniref_a3m_7,spec_iter_uniref_a3m_8,spec_iter_uniref_a3m_9,spec_iter_uniref_sto_0,spec_iter_uniref_sto_1,spec_iter_uniref_sto_2,spec_iter_uniref_sto_3,spec_iter_uniref_sto_4,spec_iter_uniref_sto_5,spec_iter_uniref_sto_6,spec_iter_uniref_sto_7,spec_iter_uniref_sto_8,spec_iter_uniref_sto_9,spec_pdb70_0,spec_pdb70_1,spec_pdb70_2,spec_pdb70_3,spec_pdb70_4,spec_pdb70_5,spec_pdb70_6,spec_pdb70_7,spec_pdb70_8,spec_pdb70_9,spec_pdb_0,spec_pdb_1,spec_pdb_2,spec_pdb_3,spec_pdb_4,spec_pdb_5,spec_pdb_6,spec_pdb_7,spec_pdb_8,spec_pdb_9,spec_struct_0,spec_struct_1,spec_struct_2,spec_struct_3,spec_struct_4,spec_struct_5,spec_struct_6,spec_struct_7,spec_struct_8,spec_struct_9,uniclust_oxmatch_a3m_0,uniclust_oxmatch_a3m_1,uniclust_oxmatch_a3m_2,uniclust_oxmatch_a3m_3,uniclust_oxmatch_a3m_4,uniclust_oxmatch_a3m_5,uniclust_oxmatch_a3m_6,uniclust_oxmatch_a3m_7,uniclust_oxmatch_a3m_8,uniclust_oxmatch_a3m_9
0,1.0,0.98206,0.99041,0.9934,0.95681,0.94155,0.94152,0.94156,0.94165,0.9398,0.93994,0.94093,0.94125,0.94134,0.94206,0.98644,0.97425,0.94844,0.94584,0.95945,0.95899,0.94377,0.95672,0.94733,0.95384,0.99721,0.98897,0.98288,0.98166,0.95739,0.95462,0.94714,0.95852,0.94772,0.9582,0.99066,0.95814,0.94625,0.95278,0.94807,0.9483,0.95993,0.94884,0.96105,0.95739,0.99578,0.95975,0.94427,0.94753,0.95833,0.94394,0.95915,0.94963,0.94804,0.95124,0.94568,0.94984,0.95201,0.94863,0.94675,0.94542,0.95747,0.95617,0.95685,0.95412,0.99626,0.99475,0.96763,0.98205,0.94562,0.95925,0.95958,0.95807,0.95226,0.95463,0.96109,0.95747,0.9469,0.97557,0.948,0.94804,0.9471,0.97753,0.95455,0.95764,0.93756,0.94215,0.94046,0.92577,0.92551,0.9128,0.92305,0.81862,0.85928,0.8717,0.98876,0.99232,0.9923,0.94118,0.94173,0.84083,0.87855,0.88034,0.89082,0.8853,0.93287,0.88363,0.94492,0.87517,0.87258,0.94122,0.94104,0.94111,0.94471,0.9401,0.94009,0.94229,0.94219,0.94184,0.94174,0.94313,0.86391,0.86956,0.81897,0.85325,0.85876,0.87777,0.78877,0.85925,0.87632,0.97585,0.97042,0.97703,0.95951,0.97642,0.9675,0.97931,0.96295,0.95479,0.96823,0.9635,0.95572,0.88544,0.88835,0.84815,0.89318,0.89607,0.87126,0.87283,0.90181,0.97421,0.96975,0.97842,0.96803,0.96623,0.97934,0.95694,0.95583,0.94674,0.94484,0.86428,0.85679,0.83522,0.86138,0.86348,0.84774,0.86355,0.8662,0.86029,0.86014,0.93357,0.87281,0.85457,0.85558,0.86695,0.85177,0.81903,0.93572,0.86781,0.86541,0.95659,0.96667,0.88264,0.89611,0.95607,0.91224,0.82964,0.93951,0.93342,0.92549,0.84813,0.84449,0.85009,0.84873,0.8603,0.84773,0.8564,0.84991,0.92889,0.82156
1,0.98206,1.0,0.98474,0.98033,0.96098,0.94475,0.94477,0.94367,0.94338,0.94275,0.94287,0.94378,0.94404,0.94412,0.94487,0.97183,0.97423,0.94063,0.93764,0.95133,0.9524,0.94518,0.95394,0.93783,0.94632,0.98196,0.98111,0.99772,0.99579,0.95256,0.95903,0.94804,0.95249,0.94929,0.9566,0.97624,0.95368,0.93838,0.94611,0.93997,0.94137,0.95548,0.94606,0.95764,0.95082,0.97736,0.95325,0.9494,0.94014,0.95736,0.94569,0.9533,0.94215,0.93904,0.94265,0.9386,0.94463,0.94546,0.94348,0.93928,0.93779,0.95257,0.95437,0.955,0.94715,0.98141,0.98385,0.97211,0.99195,0.94737,0.96322,0.95478,0.95385,0.95723,0.95898,0.95449,0.95206,0.93882,0.97433,0.94057,0.9407,0.93993,0.97937,0.94898,0.95144,0.94877,0.95271,0.95111,0.93479,0.93829,0.92035,0.93658,0.82953,0.86721,0.87894,0.97857,0.97973,0.97977,0.94264,0.94295,0.84861,0.88508,0.88527,0.89813,0.89094,0.94084,0.8894,0.95123,0.88127,0.87909,0.94425,0.94409,0.94365,0.94612,0.94316,0.9431,0.94512,0.94503,0.94461,0.94454,0.94903,0.86534,0.87057,0.82541,0.85522,0.86066,0.88078,0.79589,0.86187,0.88012,0.96333,0.96586,0.97531,0.95816,0.97313,0.96686,0.97049,0.97309,0.95083,0.98247,0.96675,0.96055,0.88572,0.89159,0.85382,0.893,0.89703,0.87329,0.87566,0.90254,0.95689,0.95645,0.96138,0.96802,0.96809,0.96121,0.96326,0.96264,0.94047,0.93745,0.86469,0.85817,0.84087,0.86237,0.86472,0.85375,0.86886,0.86862,0.86576,0.86346,0.94198,0.87333,0.86,0.85733,0.86798,0.85412,0.82554,0.94298,0.87162,0.86885,0.96158,0.96609,0.88645,0.89748,0.95972,0.91591,0.83515,0.94551,0.93937,0.92789,0.85279,0.84898,0.85014,0.85121,0.86136,0.85048,0.85924,0.85224,0.93621,0.82295
2,0.99041,0.98474,1.0,0.99133,0.95674,0.94324,0.94325,0.94168,0.94136,0.94101,0.94117,0.94231,0.94242,0.94253,0.94326,0.98305,0.97225,0.94566,0.94254,0.9551,0.95094,0.94913,0.95677,0.94389,0.94945,0.98842,0.9781,0.98423,0.98373,0.94788,0.9524,0.95049,0.95356,0.95127,0.95291,0.98995,0.9553,0.94403,0.94986,0.94505,0.94578,0.95459,0.94736,0.95801,0.95278,0.99104,0.95645,0.9528,0.94485,0.95491,0.94942,0.95089,0.9466,0.94416,0.94613,0.94341,0.9471,0.94958,0.94686,0.94437,0.94289,0.94872,0.95296,0.95412,0.94856,0.9929,0.99446,0.97064,0.97542,0.94997,0.96164,0.9502,0.95006,0.95287,0.95582,0.9567,0.95385,0.94423,0.97312,0.94527,0.94529,0.94451,0.97556,0.94965,0.95378,0.93822,0.94298,0.94126,0.92772,0.92519,0.91385,0.92268,0.81206,0.85949,0.87214,0.99,0.99296,0.99232,0.94675,0.9471,0.83509,0.87414,0.87653,0.88731,0.8816,0.93402,0.88,0.94637,0.87056,0.86772,0.94266,0.94246,0.94194,0.94751,0.9415,0.94145,0.94362,0.94351,0.94313,0.94303,0.94573,0.86101,0.86766,0.81494,0.85187,0.85728,0.87318,0.78423,0.85626,0.87253,0.97165,0.97601,0.97136,0.95979,0.97338,0.96241,0.97308,0.96174,0.95109,0.96883,0.96807,0.96016,0.88422,0.88606,0.84369,0.89201,0.89254,0.86992,0.87158,0.90022,0.97174,0.96733,0.9756,0.9624,0.96008,0.97563,0.96078,0.95969,0.94344,0.9412,0.86134,0.85443,0.83203,0.85851,0.86148,0.8444,0.85931,0.86485,0.8563,0.858,0.93724,0.87104,0.85106,0.85426,0.86498,0.84973,0.81496,0.93817,0.86335,0.86016,0.96141,0.9735,0.87958,0.89238,0.963,0.90988,0.82503,0.94173,0.93765,0.92501,0.84496,0.8412,0.8463,0.8457,0.85778,0.84448,0.85087,0.8473,0.9329,0.81803
3,0.9934,0.98033,0.99133,1.0,0.95437,0.93116,0.93116,0.93134,0.93101,0.92858,0.92873,0.93105,0.93014,0.93029,0.93179,0.99153,0.98162,0.95447,0.95078,0.96105,0.95468,0.95214,0.96268,0.95267,0.95666,0.99306,0.98534,0.98166,0.98258,0.94806,0.94797,0.95254,0.95779,0.95259,0.95389,0.99591,0.95996,0.95304,0.95662,0.9542,0.95461,0.96046,0.9552,0.9635,0.95859,0.99544,0.96169,0.95122,0.95369,0.9585,0.95235,0.95411,0.95484,0.95376,0.95363,0.95201,0.95612,0.95641,0.95657,0.95304,0.95165,0.95139,0.95937,0.95922,0.95652,0.99639,0.99374,0.97388,0.97651,0.95213,0.96135,0.95099,0.95041,0.94924,0.95335,0.96146,0.96033,0.95371,0.9802,0.95372,0.95387,0.95224,0.98394,0.95654,0.9611,0.92278,0.92848,0.92606,0.91501,0.90881,0.89853,0.90761,0.79854,0.84468,0.85886,0.99315,0.99397,0.99501,0.94979,0.94992,0.82123,0.86045,0.86235,0.8754,0.86929,0.91741,0.86757,0.9325,0.85629,0.85359,0.93051,0.93025,0.93038,0.93928,0.92904,0.92899,0.93216,0.93201,0.93104,0.9309,0.92996,0.84291,0.8495,0.79787,0.83442,0.84028,0.85917,0.7667,0.8381,0.86065,0.97303,0.98064,0.97842,0.95354,0.97218,0.9705,0.97892,0.95533,0.9605,0.96262,0.95503,0.94744,0.86734,0.87137,0.82885,0.87569,0.87986,0.85358,0.85492,0.88802,0.97625,0.97357,0.98501,0.97122,0.96866,0.98444,0.96472,0.96415,0.95082,0.94862,0.84688,0.83556,0.81573,0.8436,0.84307,0.82626,0.84411,0.84795,0.84062,0.84065,0.91921,0.85307,0.83306,0.83708,0.84674,0.83225,0.79787,0.92123,0.85029,0.84687,0.94902,0.96914,0.86433,0.8802,0.9512,0.89728,0.80899,0.92723,0.92034,0.91497,0.82758,0.8243,0.82911,0.82859,0.83843,0.82669,0.83685,0.82987,0.91445,0.79858
4,0.95681,0.96098,0.95674,0.95437,1.0,0.95582,0.956,0.95643,0.95647,0.95517,0.95548,0.9568,0.95711,0.95736,0.95671,0.94796,0.9515,0.96818,0.95028,0.96164,0.98276,0.96001,0.98396,0.96251,0.97269,0.95975,0.95948,0.96166,0.96188,0.9893,0.99498,0.9667,0.9819,0.96784,0.98361,0.95125,0.96537,0.96437,0.97302,0.95842,0.95833,0.98991,0.97683,0.98649,0.9815,0.95252,0.96437,0.97802,0.96536,0.99065,0.96137,0.98487,0.96917,0.95738,0.96686,0.95494,0.95491,0.97233,0.95305,0.96365,0.95456,0.98374,0.98304,0.98573,0.97619,0.95748,0.95939,0.94953,0.95999,0.9667,0.97447,0.99007,0.98228,0.98315,0.99083,0.96554,0.96076,0.95613,0.95612,0.96766,0.96623,0.9573,0.9525,0.9792,0.9816,0.92198,0.92629,0.92258,0.91435,0.91017,0.89884,0.90808,0.80132,0.83851,0.8509,0.95491,0.95603,0.95587,0.95706,0.95783,0.82588,0.86122,0.86114,0.87601,0.86698,0.91511,0.86628,0.92313,0.85744,0.85467,0.9553,0.95502,0.95606,0.96156,0.95497,0.955,0.95754,0.95721,0.95827,0.95819,0.9266,0.84752,0.8495,0.80804,0.83443,0.83943,0.85716,0.77605,0.84269,0.85546,0.94107,0.93936,0.94262,0.93324,0.94519,0.93743,0.94056,0.93779,0.93721,0.94486,0.94526,0.93981,0.86444,0.87129,0.83365,0.87141,0.87364,0.85332,0.85726,0.88088,0.934,0.93409,0.93648,0.93849,0.93853,0.93647,0.93608,0.93858,0.94812,0.95337,0.85549,0.83711,0.82456,0.85274,0.84335,0.83512,0.84466,0.84873,0.84195,0.84421,0.92087,0.85145,0.84042,0.83643,0.84635,0.83299,0.80838,0.91943,0.8471,0.84455,0.9404,0.94395,0.86533,0.87385,0.93779,0.90084,0.81465,0.92199,0.91879,0.91213,0.83126,0.8299,0.83771,0.82977,0.84109,0.827,0.83455,0.83124,0.91594,0.80501
5,0.94155,0.94475,0.94324,0.93116,0.95582,1.0,0.99997,0.99847,0.99829,0.99841,0.99817,0.99095,0.99606,0.99613,0.99881,0.91837,0.92627,0.91828,0.9116,0.93072,0.93893,0.91749,0.94033,0.91872,0.92455,0.93959,0.9399,0.94584,0.94138,0.95487,0.95677,0.92438,0.94239,0.92648,0.96263,0.92931,0.93355,0.91477,0.92775,0.91445,0.9156,0.94163,0.92757,0.94988,0.93278,0.9325,0.93336,0.93311,0.91664,0.94977,0.91791,0.94086,0.91972,0.91268,0.92031,0.91131,0.91608,0.92637,0.91394,0.91689,0.91104,0.94565,0.93968,0.94554,0.92462,0.93883,0.94536,0.9224,0.94531,0.92504,0.95287,0.95671,0.95928,0.96042,0.94567,0.93612,0.92816,0.91311,0.93293,0.91861,0.917,0.91551,0.92705,0.92882,0.93283,0.93695,0.93905,0.94006,0.92866,0.93317,0.92135,0.93119,0.83931,0.86924,0.87811,0.93151,0.93818,0.93631,0.91573,0.91649,0.85888,0.88826,0.88847,0.89304,0.89146,0.9349,0.8907,0.93907,0.88642,0.88439,0.99962,0.99972,0.99821,0.97527,0.99897,0.99882,0.99878,0.9991,0.99533,0.99582,0.93885,0.87789,0.88019,0.84382,0.86596,0.87017,0.88541,0.8158,0.87499,0.88247,0.92324,0.90819,0.92767,0.93677,0.94421,0.91277,0.92164,0.94518,0.91044,0.94796,0.9428,0.93636,0.88415,0.8872,0.85758,0.888,0.89033,0.87521,0.88565,0.89301,0.91355,0.90706,0.9096,0.92011,0.9147,0.91362,0.91155,0.91022,0.91962,0.91836,0.8823,0.87102,0.85125,0.88025,0.87582,0.8692,0.87594,0.87857,0.87358,0.87605,0.93759,0.8817,0.87329,0.86754,0.8779,0.86554,0.84444,0.93737,0.87671,0.87495,0.93623,0.92523,0.88397,0.89008,0.93273,0.92632,0.84329,0.93125,0.92889,0.92453,0.8638,0.86301,0.86861,0.86201,0.87309,0.85996,0.8664,0.86319,0.93534,0.84221
6,0.94152,0.94477,0.94325,0.93116,0.956,0.99997,1.0,0.99867,0.99847,0.99861,0.99838,0.99122,0.99609,0.99619,0.99898,0.91837,0.92628,0.91842,0.91163,0.93078,0.93905,0.91755,0.9405,0.91884,0.92466,0.93959,0.93989,0.94585,0.94139,0.95508,0.95694,0.92444,0.94263,0.92655,0.96291,0.92934,0.93362,0.91492,0.92789,0.91451,0.91567,0.94179,0.92774,0.95011,0.93292,0.93252,0.93342,0.93329,0.91679,0.94998,0.91798,0.94098,0.91986,0.91272,0.92039,0.91138,0.91612,0.92652,0.91398,0.91706,0.91111,0.94574,0.9399,0.94576,0.92471,0.93886,0.94535,0.92239,0.9453,0.92513,0.9529,0.95694,0.95951,0.9607,0.9458,0.93619,0.92821,0.91318,0.93292,0.91876,0.91712,0.91558,0.92704,0.9289,0.93295,0.93695,0.93905,0.94009,0.9286,0.93318,0.92132,0.93121,0.83927,0.86913,0.878,0.93152,0.9382,0.93633,0.91579,0.91655,0.85888,0.8882,0.8884,0.89306,0.8915,0.93496,0.89075,0.93909,0.88641,0.88433,0.99958,0.99965,0.9984,0.97528,0.9991,0.99897,0.99899,0.99927,0.99542,0.99593,0.93889,0.8778,0.88011,0.84377,0.86583,0.87004,0.88532,0.81572,0.87495,0.88235,0.92318,0.90817,0.92761,0.93668,0.94419,0.91275,0.92157,0.94509,0.91041,0.94787,0.94281,0.93641,0.88406,0.88712,0.85759,0.88793,0.89025,0.87507,0.88562,0.89303,0.91349,0.90699,0.90959,0.92005,0.91465,0.91361,0.91151,0.91016,0.91959,0.9184,0.88221,0.87093,0.85128,0.88017,0.87573,0.86914,0.8759,0.87849,0.87353,0.876,0.93762,0.88161,0.87322,0.86742,0.8778,0.86539,0.84438,0.93737,0.87658,0.87481,0.93628,0.92527,0.88389,0.89,0.93273,0.92636,0.84328,0.93128,0.92895,0.92452,0.86369,0.8629,0.86854,0.86188,0.87303,0.85984,0.86628,0.86306,0.93531,0.8421
7,0.94156,0.94367,0.94168,0.93134,0.95643,0.99847,0.99867,1.0,0.99986,0.99858,0.99842,0.99177,0.99562,0.99583,0.99895,0.91827,0.92637,0.91939,0.91202,0.93111,0.93966,0.91738,0.94174,0.92004,0.92537,0.93955,0.93982,0.94513,0.94055,0.95618,0.95721,0.92435,0.94405,0.92641,0.96476,0.92939,0.93397,0.91591,0.92891,0.9152,0.91635,0.94278,0.929,0.95171,0.93364,0.93241,0.93372,0.93292,0.91781,0.95133,0.91779,0.94157,0.92077,0.91334,0.92101,0.91195,0.9166,0.92754,0.91451,0.91821,0.91168,0.94647,0.94138,0.94745,0.92544,0.93896,0.94565,0.92154,0.9454,0.92515,0.95296,0.95805,0.96119,0.96187,0.9457,0.93648,0.92856,0.91389,0.93302,0.91983,0.91797,0.91613,0.92713,0.9296,0.93378,0.93586,0.93798,0.93914,0.92767,0.9322,0.9203,0.93016,0.83869,0.86827,0.87706,0.93177,0.93842,0.93653,0.91556,0.9163,0.85808,0.88794,0.88815,0.8923,0.89103,0.93385,0.89029,0.93764,0.88564,0.88362,0.99822,0.99817,0.99878,0.97552,0.99856,0.99852,0.99915,0.9992,0.99521,0.99575,0.93779,0.87759,0.87985,0.84301,0.8655,0.8697,0.88513,0.81509,0.87431,0.88194,0.92346,0.90744,0.92812,0.93787,0.94486,0.91291,0.92181,0.94556,0.91047,0.94739,0.94188,0.93519,0.88384,0.88696,0.85669,0.88765,0.88998,0.87462,0.88503,0.89257,0.91372,0.90723,0.90971,0.92044,0.91489,0.91383,0.91082,0.90944,0.91993,0.91916,0.88215,0.87079,0.8503,0.88012,0.87556,0.86895,0.87529,0.87807,0.87297,0.87549,0.93634,0.88137,0.87298,0.86709,0.87761,0.86508,0.84364,0.93596,0.87621,0.87443,0.9351,0.92423,0.88378,0.88973,0.93124,0.92682,0.84246,0.93015,0.92766,0.92464,0.86335,0.86254,0.86849,0.86166,0.87289,0.85962,0.866,0.86283,0.93409,0.84164
8,0.94165,0.94338,0.94136,0.93101,0.95647,0.99829,0.99847,0.99986,1.0,0.99879,0.99866,0.99152,0.99597,0.99618,0.99875,0.91784,0.92592,0.91901,0.91169,0.93076,0.93965,0.91702,0.94141,0.92016,0.92514,0.93946,0.93976,0.94487,0.94027,0.95639,0.95737,0.92427,0.94382,0.92613,0.9645,0.92896,0.93364,0.91547,0.9285,0.91482,0.91592,0.94283,0.92875,0.9516,0.93346,0.93204,0.93335,0.93261,0.91737,0.9514,0.91738,0.94163,0.92035,0.91321,0.92079,0.91152,0.9162,0.92711,0.91406,0.91773,0.91127,0.94658,0.94112,0.94761,0.92537,0.93863,0.9455,0.92111,0.94537,0.92486,0.95274,0.95823,0.96118,0.96188,0.94585,0.93613,0.92819,0.91346,0.93266,0.91939,0.91755,0.9157,0.92687,0.92977,0.93358,0.93588,0.93798,0.93885,0.92749,0.93194,0.92014,0.92995,0.83827,0.86798,0.87683,0.93137,0.93807,0.93615,0.91516,0.9159,0.85761,0.88779,0.888,0.89224,0.89067,0.9335,0.88993,0.93727,0.88524,0.88333,0.99818,0.99813,0.99884,0.97582,0.99871,0.99871,0.99903,0.99908,0.99557,0.99611,0.93756,0.87767,0.87979,0.84276,0.8652,0.86942,0.88502,0.81467,0.87388,0.88162,0.92333,0.90706,0.92803,0.93769,0.94443,0.91253,0.92178,0.94537,0.91008,0.94744,0.9417,0.93502,0.88382,0.88693,0.85619,0.88767,0.88992,0.87451,0.88453,0.89225,0.91372,0.90718,0.90939,0.92041,0.91474,0.91335,0.91048,0.90933,0.91978,0.91899,0.88213,0.87069,0.84985,0.88001,0.8755,0.86876,0.87484,0.8776,0.8725,0.87497,0.93611,0.88131,0.87288,0.86671,0.87756,0.86496,0.84335,0.93565,0.87604,0.87432,0.93495,0.92394,0.88368,0.88972,0.93107,0.92648,0.84191,0.9298,0.92728,0.9245,0.86311,0.8623,0.86833,0.86139,0.87275,0.85946,0.86582,0.86257,0.93388,0.84149
9,0.9398,0.94275,0.94101,0.92858,0.95517,0.99841,0.99861,0.99858,0.99879,1.0,0.99996,0.99169,0.99652,0.99676,0.99843,0.91549,0.92337,0.91629,0.909,0.92827,0.93741,0.9151,0.93865,0.91757,0.92247,0.93742,0.93772,0.94382,0.93913,0.95478,0.95635,0.92242,0.94143,0.92429,0.96261,0.92664,0.93135,0.91264,0.926,0.91202,0.91318,0.94043,0.92604,0.94915,0.93096,0.92987,0.93102,0.93157,0.91463,0.94903,0.91544,0.93949,0.9176,0.91038,0.91807,0.90873,0.91346,0.92453,0.91122,0.91489,0.90851,0.94458,0.93856,0.94491,0.92263,0.93636,0.94324,0.91945,0.94359,0.92299,0.95099,0.95657,0.95933,0.96058,0.9445,0.9338,0.92568,0.91063,0.93018,0.91672,0.91478,0.91303,0.92434,0.92735,0.93109,0.93736,0.93928,0.94042,0.92853,0.93408,0.92147,0.93213,0.84087,0.87059,0.87913,0.92893,0.93576,0.9338,0.9132,0.91396,0.86007,0.88918,0.88944,0.89376,0.89212,0.93519,0.89136,0.9387,0.88685,0.88508,0.99838,0.99836,0.99872,0.9758,0.99975,0.9998,0.99892,0.9989,0.9963,0.99683,0.93882,0.87962,0.88174,0.8457,0.86695,0.87116,0.88667,0.81769,0.87591,0.88311,0.92161,0.9054,0.92607,0.93619,0.94285,0.91028,0.91989,0.94481,0.9078,0.94732,0.94174,0.93554,0.88537,0.88816,0.85864,0.88899,0.89116,0.87608,0.88614,0.89338,0.91175,0.90511,0.90672,0.91844,0.91274,0.91089,0.90908,0.90778,0.91738,0.91662,0.88372,0.87286,0.85258,0.88163,0.87759,0.87093,0.87681,0.87919,0.87452,0.87681,0.93792,0.88325,0.87497,0.86841,0.87958,0.86685,0.84624,0.9372,0.87779,0.87612,0.9354,0.92305,0.88504,0.89094,0.93135,0.92729,0.84456,0.93161,0.92927,0.92548,0.86488,0.86427,0.87009,0.86303,0.87464,0.8612,0.86754,0.86422,0.9354,0.844
