,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_0,default_comp_1,default_comp_2,default_comp_3,default_comp_4,default_comp_5,default_comp_6,default_comp_7,default_comp_8,default_comp_9,default_mul_newest_0,default_mul_newest_1,default_mul_newest_10,default_mul_newest_11,default_mul_newest_12,default_mul_newest_13,default_mul_newest_14,default_mul_newest_15,default_mul_newest_16,default_mul_newest_17,default_mul_newest_18,default_mul_newest_19,default_mul_newest_2,default_mul_newest_20,default_mul_newest_21,default_mul_newest_22,default_mul_newest_23,default_mul_newest_24,default_mul_newest_3,default_mul_newest_4,default_mul_newest_5,default_mul_newest_6,default_mul_newest_7,default_mul_newest_8,default_mul_newest_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb_0,default_pdb_1,default_pdb_2,default_pdb_3,default_pdb_4,default_pdb_5,default_pdb_6,default_pdb_7,default_pdb_8,default_pdb_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_10,default_uniref30_22_11,default_uniref30_22_12,default_uniref30_22_13,default_uniref30_22_14,default_uniref30_22_15,default_uniref30_22_16,default_uniref30_22_17,default_uniref30_22_18,default_uniref30_22_19,default_uniref30_22_2,default_uniref30_22_20,default_uniref30_22_21,default_uniref30_22_22,default_uniref30_22_23,default_uniref30_22_24,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,spec_comp_0,spec_comp_1,spec_comp_2,spec_comp_3,spec_comp_4,spec_comp_5,spec_comp_6,spec_comp_7,spec_iter_uniref_a3m_0,spec_iter_uniref_a3m_1,spec_iter_uniref_a3m_2,spec_iter_uniref_a3m_3,spec_iter_uniref_a3m_4,spec_iter_uniref_a3m_5,spec_iter_uniref_a3m_6,spec_iter_uniref_a3m_7,spec_iter_uniref_a3m_8,spec_iter_uniref_a3m_9,spec_pdb70_0,spec_pdb70_1,spec_pdb70_2,spec_pdb70_3,spec_pdb70_4,spec_pdb70_5,spec_pdb70_6,spec_pdb70_7,spec_pdb70_8,spec_pdb70_9,spec_pdb_0,spec_pdb_1,spec_pdb_2,spec_pdb_3,spec_pdb_4,spec_pdb_5,spec_pdb_6,spec_pdb_7,spec_pdb_8,spec_pdb_9
0,1.0,0.41784,0.82217,0.42256,0.84054,0.8307,0.8336,0.83447,0.83449,0.41325,0.82848,0.41214,0.82734,0.40909,0.41097,0.87713,0.41615,0.48091,0.46143,0.88173,0.50744,0.42629,0.81126,0.7812,0.50802,0.50697,0.94891,0.44153,0.81835,0.91733,0.41036,0.80303,0.81275,0.40457,0.86716,0.80362,0.7948,0.49854,0.415,0.43439,0.79731,0.81945,0.43529,0.50961,0.51578,0.51428,0.5129,0.88094,0.91804,0.51571,0.50205,0.89486,0.44834,0.88272,0.47369,0.77041,0.41924,0.91789,0.50218,0.73343,0.51518,0.47458,0.84203,0.8558,0.85574,0.72057,0.87451,0.71397,0.84919,0.82979,0.97422,0.4421,0.87606,0.89924,0.89177,0.50171,0.88923,0.78846,0.78186,0.87295,0.91534,0.92302,0.91471,0.89242,0.9507,0.49498,0.91697,0.80357,0.88046,0.81391,0.48741,0.4577,0.71209,0.48874,0.87231,0.46052,0.58924,0.38381,0.43836,0.34626,0.94843,0.89568,0.8504,0.84147,0.80788,0.85288,0.8291,0.85302,0.84648,0.82096,0.40567,0.80058,0.92395,0.82477,0.82329,0.79061,0.42331,0.41758,0.89094,0.88243,0.83318,0.85333,0.82007,0.82059,0.81714,0.85487,0.8604,0.85012,0.85497,0.84459,0.80448,0.35213,0.35208,0.85091,0.85346,0.83324,0.85304,0.89827,0.84815,0.89022,0.35135,0.3422,0.32196,0.79534,0.87413,0.81674,0.80207,0.40163,0.68485,0.6896,0.81782,0.68507,0.33069,0.85258,0.84907,0.84292,0.85481,0.84155,0.89709,0.77122,0.8795,0.36435,0.74731
1,0.41784,1.0,0.86752,0.89077,0.81178,0.37994,0.78496,0.38011,0.78562,0.37982,0.37898,0.78182,0.77927,0.77759,0.77693,0.42819,0.95627,0.8547,0.8039,0.48133,0.82567,0.94112,0.79008,0.8076,0.83813,0.82255,0.41803,0.8998,0.86951,0.82946,0.92585,0.85793,0.47253,0.90104,0.85065,0.84366,0.7926,0.8342,0.93934,0.89695,0.82407,0.83506,0.88168,0.8254,0.82756,0.82248,0.81571,0.4171,0.82862,0.82443,0.83928,0.41526,0.88331,0.80448,0.40205,0.7931,0.87507,0.78532,0.81176,0.76427,0.84072,0.81839,0.38582,0.39321,0.39174,0.34841,0.42422,0.72966,0.76149,0.77292,0.40895,0.9162,0.8764,0.82865,0.83486,0.84665,0.40599,0.80784,0.80861,0.42673,0.42634,0.42827,0.84297,0.41322,0.4177,0.85533,0.4284,0.81991,0.44492,0.81051,0.6944,0.40128,0.46966,0.77565,0.77267,0.77775,0.42445,0.3853,0.61461,0.519,0.42167,0.43026,0.4872,0.85211,0.51311,0.50328,0.51409,0.85414,0.49539,0.86635,0.87534,0.45811,0.42938,0.83597,0.52069,0.48433,0.87337,0.86613,0.80165,0.43161,0.86154,0.85267,0.86958,0.86409,0.87095,0.79743,0.38774,0.38409,0.80588,0.80895,0.77628,0.74641,0.74638,0.78493,0.39032,0.38285,0.39187,0.41072,0.39538,0.40679,0.73932,0.34304,0.67434,0.35972,0.83496,0.76815,0.36117,0.74728,0.32566,0.33288,0.38096,0.68872,0.69826,0.38402,0.38712,0.3856,0.81057,0.80657,0.41482,0.76943,0.41272,0.75801,0.75321
2,0.82217,0.86752,1.0,0.42802,0.79447,0.77066,0.7716,0.77262,0.77237,0.37296,0.76787,0.37366,0.7666,0.76417,0.37114,0.82643,0.86783,0.82324,0.41562,0.84475,0.39868,0.85989,0.78177,0.79067,0.81332,0.8017,0.80786,0.83395,0.85023,0.81961,0.84717,0.80286,0.85567,0.46733,0.86086,0.83781,0.78687,0.8062,0.85427,0.82839,0.83058,0.84215,0.82047,0.39777,0.40004,0.39782,0.39453,0.78429,0.81806,0.80305,0.81892,0.7927,0.83798,0.77785,0.77983,0.79611,0.8059,0.77956,0.78475,0.36039,0.81711,0.78502,0.76244,0.76859,0.75473,0.73865,0.78424,0.34611,0.37226,0.75591,0.81321,0.84455,0.86421,0.82325,0.83108,0.81494,0.39433,0.78523,0.78838,0.79855,0.81387,0.81551,0.82765,0.81022,0.81504,0.82964,0.81876,0.78888,0.80384,0.7781,0.39546,0.66241,0.70142,0.38042,0.76578,0.73018,0.60185,0.38307,0.60307,0.34038,0.81278,0.81225,0.84091,0.8099,0.43866,0.84634,0.85153,0.85029,0.84047,0.87537,0.85891,0.77844,0.81719,0.82118,0.43962,0.84161,0.8016,0.81256,0.79398,0.8275,0.84797,0.84335,0.85944,0.85859,0.85846,0.7783,0.382,0.78067,0.78412,0.78023,0.7708,0.35345,0.35498,0.37232,0.78568,0.78395,0.77844,0.81565,0.78505,0.40393,0.35375,0.34523,0.32236,0.72449,0.81896,0.36668,0.72594,0.72829,0.68696,0.698,0.77307,0.32774,0.33175,0.77985,0.78145,0.77953,0.7868,0.78609,0.81609,0.36591,0.82732,0.35532,0.76131
3,0.42409,0.89077,0.42802,1.0,0.82467,0.77916,0.38646,0.38697,0.78135,0.78144,0.38493,0.77644,0.77878,0.77305,0.38544,0.43585,0.8976,0.88558,0.7723,0.50428,0.83102,0.92462,0.38498,0.76923,0.85777,0.81461,0.81781,0.88664,0.46831,0.44413,0.42892,0.85216,0.81013,0.41621,0.47714,0.45561,0.44027,0.41559,0.88151,0.8804,0.44254,0.46333,0.87209,0.8229,0.82376,0.81905,0.8099,0.42607,0.43934,0.82459,0.86438,0.45225,0.90486,0.85849,0.42206,0.36645,0.91126,0.42271,0.89024,0.36218,0.42472,0.83588,0.38413,0.38863,0.40267,0.69719,0.44793,0.70069,0.76551,0.78301,0.41301,0.93153,0.49044,0.45285,0.4701,0.42407,0.40312,0.38203,0.3796,0.44824,0.83994,0.83709,0.4693,0.8422,0.82464,0.87323,0.83442,0.38984,0.82791,0.81027,0.72799,0.70311,0.5108,0.80913,0.43617,0.84459,0.40854,0.40686,0.37298,0.5421,0.82168,0.45796,0.5052,0.44254,0.82398,0.50772,0.49955,0.49986,0.50441,0.43496,0.82049,0.46946,0.82956,0.48088,0.49109,0.45838,0.88022,0.85066,0.44276,0.43103,0.48411,0.4668,0.45543,0.44782,0.81479,0.39275,0.80129,0.7974,0.39556,0.40064,0.75406,0.34309,0.71861,0.78121,0.80648,0.38789,0.4031,0.41104,0.40977,0.82521,0.34689,0.33093,0.64457,0.36545,0.41692,0.37975,0.37295,0.74117,0.65299,0.327,0.3873,0.3207,0.3217,0.39205,0.39802,0.78499,0.80821,0.40093,0.42048,0.35892,0.41438,0.7398,0.3457
4,0.84054,0.81178,0.79447,0.82466,1.0,0.80891,0.81236,0.81085,0.8109,0.39864,0.80676,0.39833,0.80948,0.39907,0.39516,0.87596,0.80893,0.87453,0.42532,0.83104,0.42769,0.81974,0.829,0.7853,0.83828,0.83071,0.83328,0.82243,0.80925,0.82736,0.80956,0.79256,0.79283,0.80179,0.80746,0.7851,0.77402,0.42625,0.81007,0.81006,0.77493,0.78479,0.80957,0.8429,0.84615,0.84119,0.83056,0.83765,0.83364,0.84135,0.42582,0.82504,0.85159,0.82932,0.84198,0.78129,0.79449,0.80991,0.83319,0.75065,0.42867,0.81264,0.81874,0.82531,0.80543,0.71404,0.80274,0.71998,0.78979,0.79685,0.83776,0.83402,0.82721,0.86302,0.86874,0.42331,0.85089,0.38229,0.38591,0.83664,0.84969,0.84489,0.8546,0.87884,0.83538,0.85844,0.84876,0.80832,0.81402,0.84555,0.43151,0.42857,0.42702,0.41975,0.80343,0.75623,0.57674,0.58238,0.64572,0.5252,0.82807,0.83344,0.81273,0.82097,0.39798,0.81758,0.40274,0.81438,0.81225,0.80389,0.39657,0.76898,0.8288,0.79625,0.40077,0.78146,0.39124,0.79453,0.812,0.8152,0.81566,0.81692,0.80881,0.80884,0.80824,0.84262,0.84078,0.83432,0.4197,0.83562,0.78328,0.74318,0.7463,0.82105,0.84886,0.40455,0.84971,0.86318,0.85951,0.43949,0.3449,0.33645,0.31595,0.41296,0.43389,0.83171,0.8175,0.77838,0.67345,0.68415,0.80915,0.32363,0.32674,0.83815,0.85222,0.83043,0.84851,0.41718,0.85381,0.77613,0.83906,0.77092,0.75063
5,0.8307,0.37996,0.77064,0.77916,0.80891,1.0,0.99781,0.99581,0.99608,0.98632,0.98884,0.97943,0.9878,0.9654,0.45511,0.81335,0.37741,0.81611,0.39472,0.39827,0.83996,0.80019,0.80759,0.78196,0.8174,0.85134,0.41069,0.80127,0.78977,0.84544,0.37919,0.38178,0.37805,0.37562,0.80773,0.78902,0.77165,0.41122,0.78521,0.39004,0.77815,0.78273,0.39144,0.41534,0.41555,0.85496,0.41262,0.41543,0.84966,0.411,0.82809,0.40125,0.79851,0.81572,0.80207,0.77071,0.37024,0.81515,0.79481,0.73844,0.40988,0.77814,0.78354,0.78369,0.79209,0.72559,0.38691,0.34201,0.39539,0.7858,0.84182,0.80209,0.80801,0.82324,0.81018,0.82023,0.83591,0.36976,0.7849,0.40125,0.40891,0.41243,0.82997,0.40493,0.4162,0.40054,0.4034,0.38561,0.41083,0.80503,0.71137,0.41512,0.40015,0.40074,0.78198,0.74613,0.57174,0.58912,0.65372,0.35011,0.84769,0.40775,0.38926,0.39297,0.37567,0.38883,0.38091,0.79633,0.38913,0.7833,0.37633,0.36671,0.40944,0.38217,0.37854,0.37008,0.38121,0.37501,0.82687,0.80453,0.7949,0.80184,0.7898,0.79153,0.78541,0.82221,0.82783,0.83839,0.82031,0.81656,0.80933,0.34791,0.74615,0.82283,0.39585,0.82271,0.3958,0.82785,0.3937,0.83777,0.34849,0.72074,0.31792,0.78041,0.39849,0.80912,0.7742,0.37308,0.32224,0.32774,0.7889,0.32416,0.32641,0.83092,0.82381,0.83681,0.3911,0.389,0.82735,0.36688,0.83063,0.36054,0.35083
6,0.8336,0.78496,0.77159,0.38519,0.81236,0.99781,1.0,0.9945,0.99515,0.98853,0.9877,0.97876,0.98881,0.9669,0.98944,0.39503,0.37731,0.39792,0.39582,0.3982,0.41533,0.3829,0.80805,0.78269,0.81845,0.41827,0.84674,0.80135,0.78999,0.8462,0.37918,0.38186,0.78382,0.77942,0.80743,0.78926,0.7716,0.41142,0.38117,0.39007,0.77816,0.78344,0.39151,0.85734,0.85436,0.41506,0.85544,0.41585,0.85034,0.41136,0.83091,0.40195,0.80046,0.81735,0.8046,0.77171,0.7418,0.81721,0.39403,0.7395,0.40965,0.78103,0.39202,0.78701,0.39889,0.72691,0.38731,0.34163,0.78773,0.78779,0.84449,0.38843,0.8095,0.82532,0.8132,0.40841,0.40704,0.78808,0.78573,0.80811,0.4095,0.413,0.83273,0.40521,0.41685,0.82718,0.40367,0.80215,0.4107,0.80673,0.41785,0.41503,0.67536,0.40157,0.78555,0.7458,0.57082,0.58702,0.37724,0.535,0.84809,0.40817,0.38945,0.39296,0.37566,0.38886,0.38079,0.79672,0.38929,0.78358,0.3764,0.36686,0.40998,0.38227,0.37852,0.37011,0.38134,0.37513,0.82773,0.8048,0.79538,0.80215,0.7901,0.79162,0.78592,0.39659,0.39825,0.8401,0.82309,0.81873,0.38645,0.34778,0.74684,0.40012,0.82934,0.82106,0.82184,0.83073,0.3938,0.84066,0.34887,0.72151,0.31801,0.78303,0.3988,0.81116,0.77736,0.78031,0.68286,0.32785,0.79074,0.32435,0.32669,0.83281,0.82636,0.83622,0.3915,0.81771,0.82996,0.36712,0.83164,0.36132,0.74536
7,0.83447,0.38011,0.77262,0.38697,0.81085,0.99581,0.9945,1.0,0.99935,0.45667,0.9905,0.98245,0.98728,0.96527,0.98699,0.81531,0.78248,0.39953,0.39519,0.39806,0.41783,0.38328,0.80665,0.78138,0.40085,0.42102,0.41269,0.80255,0.79111,0.84999,0.78362,0.77254,0.37883,0.7804,0.80948,0.78895,0.77134,0.85413,0.38268,0.39144,0.77825,0.78292,0.78902,0.41872,0.85777,0.41764,0.85815,0.41648,0.85417,0.85764,0.83222,0.81506,0.79974,0.40185,0.80713,0.77049,0.74411,0.82065,0.39432,0.73921,0.83731,0.3857,0.7896,0.78902,0.79789,0.72586,0.38865,0.72031,0.39834,0.39816,0.84773,0.38878,0.80918,0.82421,0.8123,0.4093,0.83822,0.78587,0.36785,0.8094,0.8447,0.41393,0.8341,0.40616,0.41848,0.82618,0.40539,0.80022,0.41262,0.80406,0.41883,0.41647,0.40052,0.40135,0.79022,0.75086,0.57403,0.37105,0.65547,0.35059,0.41256,0.40949,0.80652,0.78692,0.37759,0.39059,0.383,0.79832,0.3909,0.78408,0.37781,0.3682,0.41122,0.80545,0.38022,0.37101,0.38218,0.78826,0.83,0.80604,0.79714,0.80379,0.79132,0.79286,0.78703,0.39766,0.83097,0.83968,0.82341,0.81872,0.38619,0.74284,0.74525,0.82622,0.82782,0.82338,0.82016,0.83329,0.39518,0.84282,0.74021,0.7206,0.31764,0.78449,0.82311,0.81315,0.77894,0.78075,0.32315,0.32897,0.79075,0.3247,0.32759,0.83398,0.82616,0.8376,0.39155,0.81501,0.83162,0.76801,0.83161,0.7677,0.74397
8,0.83448,0.78562,0.77237,0.78135,0.8109,0.99608,0.99515,0.99935,1.0,0.98742,0.99106,0.98292,0.98858,0.96622,0.98791,0.81527,0.78224,0.81756,0.39516,0.39806,0.41784,0.80079,0.80622,0.78106,0.81964,0.85675,0.41272,0.80257,0.79103,0.85016,0.38024,0.38154,0.37866,0.78035,0.80936,0.78882,0.77137,0.41302,0.38246,0.39133,0.77817,0.78273,0.39272,0.86057,0.41843,0.85852,0.85816,0.4163,0.85435,0.85762,0.83228,0.40197,0.79959,0.40133,0.80709,0.77023,0.7438,0.82082,0.39372,0.73891,0.83731,0.38562,0.78971,0.78921,0.79825,0.72575,0.38855,0.72029,0.39852,0.39785,0.84782,0.80334,0.80898,0.82418,0.81229,0.4092,0.83836,0.7856,0.3677,0.4037,0.41109,0.41409,0.83422,0.40586,0.41863,0.82593,0.40531,0.79991,0.41228,0.80391,0.41811,0.41603,0.40011,0.40161,0.79014,0.75049,0.5737,0.58916,0.65504,0.35066,0.41254,0.40957,0.39058,0.39458,0.37729,0.39024,0.38262,0.79831,0.39077,0.784,0.37765,0.36804,0.41129,0.3837,0.38022,0.37068,0.38202,0.37555,0.41204,0.80589,0.79711,0.8038,0.79126,0.79282,0.78697,0.3976,0.83089,0.83919,0.82346,0.81875,0.38601,0.34742,0.74503,0.40048,0.8277,0.82283,0.82015,0.8334,0.81748,0.84279,0.34941,0.72045,0.31773,0.78458,0.82307,0.81306,0.77902,0.78102,0.32303,0.32896,0.79049,0.32461,0.32724,0.83377,0.82617,0.83716,0.39129,0.81485,0.83179,0.76761,0.83136,0.76738,0.35144
9,0.41333,0.37865,0.37296,0.78144,0.3992,0.98632,0.98853,0.45667,0.98742,1.0,0.99074,0.98448,0.99748,0.9736,0.45709,0.81448,0.37665,0.81778,0.75429,0.39793,0.41495,0.38179,0.38065,0.77792,0.81662,0.85034,0.41033,0.38749,0.38253,0.40841,0.78161,0.381,0.78243,0.77847,0.38988,0.3745,0.36903,0.84927,0.38154,0.78108,0.36954,0.37649,0.78551,0.41541,0.41556,0.41476,0.85245,0.83707,0.41029,0.85203,0.40839,0.8135,0.79903,0.81742,0.80538,0.76782,0.36941,0.39939,0.39222,0.73794,0.40921,0.38429,0.78595,0.78659,0.39743,0.72363,0.7807,0.71912,0.78788,0.7854,0.41991,0.38789,0.38965,0.40157,0.39901,0.82223,0.83524,0.36875,0.36695,0.40104,0.41048,0.83196,0.40707,0.40499,0.84078,0.82373,0.82555,0.38296,0.40839,0.37875,0.7091,0.69148,0.39969,0.40006,0.39913,0.75089,0.57333,0.37065,0.65593,0.53847,0.84729,0.40851,0.38905,0.78305,0.77834,0.3888,0.78805,0.38691,0.38949,0.37717,0.77955,0.76344,0.84324,0.38285,0.78423,0.77252,0.38093,0.37461,0.40935,0.39361,0.38722,0.38959,0.38264,0.38205,0.38129,0.82236,0.39692,0.83229,0.82105,0.39148,0.80409,0.73984,0.74303,0.3982,0.82514,0.81433,0.81795,0.8302,0.81633,0.838,0.73793,0.71874,0.31686,0.77992,0.82225,0.80712,0.7754,0.37399,0.32266,0.32737,0.78564,0.32351,0.69624,0.82799,0.82342,0.82907,0.81941,0.81345,0.82952,0.76303,0.3975,0.35897,0.34982
