,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,lewis_2,30504.937,30504.937,0.81,0.81,0.392,0.392
1,lewis_0,5437.162,5437.162,0.65,0.65,0.532,0.532
2,lewis_4,27394.561,27394.561,0.742,0.742,0.429,0.429
3,default_pdb_v2_6,-131.417,-131.417,0.316,0.316,0.565,0.565
4,default_pdb70_5,9.419,9.419,0.366,0.366,0.577,0.577
5,default_pdb70_v2_2,-961.233,-961.233,0.145,0.145,0.578,0.578
6,default_struct_v2_7,-328.797,-328.797,0.335,0.335,0.582,0.582
7,default_pdb_v2_3,-201.01,-201.01,0.276,0.276,0.576,0.576
8,default_struct_v2_5,-468.096,-468.096,0.228,0.228,0.574,0.574
9,default_struct_v2_4,-1132.292,-1132.292,0.109,0.109,0.573,0.573
10,default_struct_v2_0,-570.339,-570.339,0.196,0.196,0.572,0.572
11,default_pdb_v2_1,-56.383,-56.383,0.372,0.372,0.58,0.58
12,default_pdb70_3,-785.244,-785.244,0.131,0.131,0.574,0.574
13,default_comp_v2_4,-531.585,-531.585,0.314,0.314,0.571,0.571
14,unidist_uniprot_sto_0,-899.833,-899.833,0.121,0.121,0.58,0.58
15,Elo_0,348.177,348.177,0.402,0.402,0.559,0.559
16,default_pdb_v2_0,-281.839,-281.839,0.221,0.221,0.565,0.565
17,default_pdb70_v2_3,-579.853,-579.853,0.303,0.303,0.577,0.577
18,default_struct_v2_8,-185.549,-185.549,0.362,0.362,0.57,0.57
19,lewis_3,21256.212,21256.212,0.753,0.753,0.412,0.412
20,unidist_uniprot_img_2,-737.227,-737.227,0.185,0.185,0.567,0.567
21,default_img_6,-31.656,-31.656,0.368,0.368,0.572,0.572
22,unidist_uniprot_sto_9,-103.477,-103.477,0.384,0.384,0.537,0.537
23,default_img_2,-263.3,-263.3,0.288,0.288,0.571,0.571
24,default_multimer_0,-487.747,-487.747,0.139,0.139,0.564,0.564
25,default_pdb70_6,-1214.352,-1214.352,0.184,0.184,0.562,0.562
26,default_img_4,74.155,74.155,0.435,0.435,0.56,0.56
27,default_comp_v2_2,-1704.508,-1704.508,0.085,0.085,0.58,0.58
28,default_multimer_1,-45.957,-45.957,0.34,0.34,0.561,0.561
29,default_af_6,60.382,60.382,0.324,0.324,0.582,0.582
30,default_comp_v2_8,-1082.554,-1082.554,0.148,0.148,0.557,0.557
31,default_af_4,190.726,190.726,0.404,0.404,0.582,0.582
32,default_uniclust30_7,-39.607,-39.607,0.378,0.378,0.553,0.553
33,default_img_5,-208.743,-208.743,0.348,0.348,0.561,0.561
34,default_pdb70_v2_1,-218.037,-218.037,0.261,0.261,0.566,0.566
35,default_uniref30_22_14,125.533,125.533,0.449,0.449,0.543,0.543
36,default_struct_v2_9,-55.435,-55.435,0.282,0.282,0.567,0.567
37,default_pdb_v2_5,-2081.608,-2081.608,0.062,0.062,0.568,0.568
38,default_pdb_v2_2,-1222.745,-1222.745,0.156,0.156,0.569,0.569
39,default_pdb70_v2_5,-323.362,-323.362,0.333,0.333,0.571,0.571
