,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,default_multimer_0,11586.342,11586.342,0.938,0.938,0.697,0.697
1,iter_1_0,11706.915,11706.915,0.935,0.935,0.704,0.704
2,default_struct_0,11902.167,11902.167,0.931,0.931,0.692,0.692
3,default_struct_1,11056.709,11056.709,0.894,0.894,0.697,0.697
4,avg_refine_2,11612.011,11612.011,0.913,0.913,0.704,0.704
5,spec_iter_uniref_a3m_1,12055.973,12055.973,0.928,0.928,0.701,0.701
6,default_comp_0,11000.32,11000.32,0.956,0.956,0.697,0.697
7,avg_refine_3,11527.476,11527.476,0.924,0.924,0.697,0.697
8,spec_pdb_0,13066.39,13066.39,0.948,0.948,0.702,0.702
9,spec_iter_uniref_a3m_0,11097.454,11097.454,0.914,0.914,0.7,0.7
10,iter_1_1,10398.753,10398.753,0.912,0.912,0.69,0.69
11,default_img_1,10632.676,10632.676,0.9,0.9,0.691,0.691
12,iter_2_old_0,10951.699,10951.699,0.844,0.844,0.703,0.703
13,spec_struct_1,12307.337,12307.337,0.946,0.946,0.701,0.701
14,spec_struct_2,11822.114,11822.114,0.877,0.877,0.694,0.694
15,iter_1_2,8964.915,8964.915,0.824,0.824,0.696,0.696
16,spec_pdb_2,10844.539,10844.539,0.914,0.914,0.694,0.694
17,avg_refine_4,10304.382,10304.382,0.908,0.908,0.689,0.689
18,spec_struct_0,11863.548,11863.548,0.853,0.853,0.701,0.701
19,Elo_3,7603.666,7603.666,0.794,0.794,0.689,0.689
20,avg_refine_0,11945.724,11945.724,0.844,0.844,0.696,0.696
21,Elo_1,9709.234,9709.234,0.866,0.866,0.681,0.681
22,iter_1_3,8770.632,8770.632,0.844,0.844,0.698,0.698
23,spec_struct_3,10552.036,10552.036,0.919,0.919,0.699,0.699
24,Elo_2,8879.587,8879.587,0.871,0.871,0.685,0.685
25,spec_iter_uniref_a3m_2,10569.654,10569.654,0.881,0.881,0.696,0.696
26,iter_1_old_2,6827.395,6827.395,0.72,0.72,0.685,0.685
27,default_pdb_2,9434.693,9434.693,0.847,0.847,0.681,0.681
28,spec_comp_1,10143.146,10143.146,0.882,0.882,0.686,0.686
29,iter_2_old_1,8522.661,8522.661,0.817,0.817,0.678,0.678
30,iter_2_old_4,8306.971,8306.971,0.812,0.812,0.691,0.691
31,default_pdb_6,6718.865,6718.865,0.729,0.729,0.688,0.688
32,default_pdb_0,8448.971,8448.971,0.783,0.783,0.691,0.691
33,spec_pdb_3,11253.924,11253.924,0.924,0.924,0.687,0.687
34,iter_1_old_1,5682.381,5682.381,0.659,0.659,0.694,0.694
35,default_comp_4,9018.758,9018.758,0.793,0.793,0.687,0.687
36,iter_1_old_5,6633.125,6633.125,0.725,0.725,0.677,0.677
37,iter_1_old_0,5561.734,5561.734,0.637,0.637,0.687,0.687
38,default_mul_newest_0,12070.168,12070.168,0.905,0.905,0.686,0.686
39,spec_pdb70_1,8524.07,8524.07,0.768,0.768,0.676,0.676
40,iter_1_old_3,9541.475,9541.475,0.781,0.781,0.689,0.689
41,iter_2_old_8,6856.062,6856.062,0.759,0.759,0.668,0.668
42,iter_2_old_6,5446.02,5446.02,0.63,0.63,0.682,0.682
43,iter_1_old_4,9099.418,9099.418,0.774,0.774,0.684,0.684
44,default_img_6,6956.116,6956.116,0.766,0.766,0.688,0.688
45,spec_iter_uniref_a3m_5,10079.259,10079.259,0.851,0.851,0.692,0.692
46,spec_pdb_1,11743.66,11743.66,0.892,0.892,0.713,0.713
47,default_img_3,9611.494,9611.494,0.905,0.905,0.698,0.698
48,default_uniref30_22_2,10020.37,10020.37,0.941,0.941,0.682,0.682
49,default_pdb_4,8373.112,8373.112,0.826,0.826,0.693,0.693
50,default_uniref30_22_1,10192.499,10192.499,0.947,0.947,0.691,0.691
51,spec_iter_uniref_a3m_7,7529.165,7529.165,0.755,0.755,0.686,0.686
52,default_pdb_8,7822.883,7822.883,0.819,0.819,0.688,0.688
53,uniclust_oxmatch_a3m_6,7353.29,7353.29,0.809,0.809,0.694,0.694
54,iter_2_old_9,7298.195,7298.195,0.688,0.688,0.674,0.674
55,spec_pdb70_6,4893.808,4893.808,0.672,0.672,0.691,0.691
56,spec_comp_5,5214.434,5214.434,0.683,0.683,0.684,0.684
57,default_uniref30_22_7,9525.947,9525.947,0.871,0.871,0.676,0.676
58,default_mul_newest_20,8937.613,8937.613,0.903,0.903,0.661,0.661
59,default_uniref30_22_24,8653.141,8653.141,0.91,0.91,0.664,0.664
60,spec_pdb70_9,9437.206,9437.206,0.791,0.791,0.664,0.664
61,iter_1_6,8180.177,8180.177,0.869,0.869,0.674,0.674
62,spec_iter_uniref_a3m_3,9469.336,9469.336,0.859,0.859,0.696,0.696
63,iter_2_old_2,8472.417,8472.417,0.842,0.842,0.672,0.672
64,Elo_0,9926.711,9926.711,0.87,0.87,0.683,0.683
65,default_comp_3,8068.052,8068.052,0.77,0.77,0.674,0.674
66,iter_1_4,8192.726,8192.726,0.835,0.835,0.684,0.684
67,default_struct_4,8875.883,8875.883,0.833,0.833,0.686,0.686
68,default_struct_2,9564.178,9564.178,0.899,0.899,0.694,0.694
69,default_pdb70_0,7045.144,7045.144,0.732,0.732,0.688,0.688
70,default_pdb70_1,6574.454,6574.454,0.726,0.726,0.668,0.668
71,iter_1_5,6219.601,6219.601,0.749,0.749,0.683,0.683
72,default_comp_1,9117.499,9117.499,0.85,0.85,0.673,0.673
73,iter_1_old_7,7196.68,7196.68,0.765,0.765,0.666,0.666
74,default_img_5,8845.664,8845.664,0.827,0.827,0.689,0.689
75,default_comp_2,7697.89,7697.89,0.804,0.804,0.677,0.677
76,default_comp_5,6962.576,6962.576,0.756,0.756,0.673,0.673
77,spec_pdb70_2,9082.34,9082.34,0.824,0.824,0.694,0.694
78,default_img_8,7769.887,7769.887,0.794,0.794,0.68,0.68
79,default_pdb_7,7875.975,7875.975,0.799,0.799,0.654,0.654
80,iter_1_9,5906.711,5906.711,0.692,0.692,0.665,0.665
81,default_pdb70_7,6679.99,6679.99,0.734,0.734,0.667,0.667
82,iter_1_8,8554.769,8554.769,0.859,0.859,0.683,0.683
83,default_pdb70_2,8469.224,8469.224,0.797,0.797,0.677,0.677
84,default_struct_7,5019.903,5019.903,0.682,0.682,0.669,0.669
85,iter_2_old_5,8657.696,8657.696,0.858,0.858,0.683,0.683
86,default_img_7,6664.965,6664.965,0.752,0.752,0.684,0.684
87,default_pdb70_5,8139.286,8139.286,0.799,0.799,0.676,0.676
88,default_struct_3,8577.377,8577.377,0.802,0.802,0.69,0.69
89,spec_comp_3,6446.968,6446.968,0.778,0.778,0.694,0.694
90,default_struct_5,8188.009,8188.009,0.852,0.852,0.677,0.677
91,default_struct_8,5516.61,5516.61,0.673,0.673,0.673,0.673
92,iter_1_7,8807.294,8807.294,0.864,0.864,0.677,0.677
93,default_img_2,9198.882,9198.882,0.819,0.819,0.686,0.686
