,model,plddt
0,H1185TS158_4,0.8388374
1,H1185TS320_4,0.825725
2,H1185TS180_2,0.9118059
3,H1185TS434_4,0.8325753
4,H1185TS119_2,0.8296786
5,H1185TS158_5,0.84093225
6,H1185TS086_2,0.84093225
7,H1185TS098_1,0.86016303
8,H1185TS073_4,0.8344809
9,H1185TS035_1,0.8405823
10,H1185TS086_3,0.84028023
11,H1185TS333_1,0.9186319
12,H1185TS003_2,0.8345217
13,H1185TS086_1,0.84218705
14,H1185TS398_5,0.8364545
15,H1185TS125_2,0.8348541
16,H1185TS444_5,0.84210783
17,H1185TS360_1,0.83210754
18,H1185TS035_4,0.8405823
19,H1185TS399_2,0.8348541
20,H1185TS461_1,0.8540954
21,H1185TS248_1,0.8405823
22,H1185TS390_2,0.83990616
23,H1185TS125_4,0.8597277
24,H1185TS225_5,0.85251564
25,H1185TS091_4,0.945127
26,H1185TS423_3,0.8513815
27,H1185TS288_2,0.83710295
28,H1185TS188_3,0.82639974
29,H1185TS288_5,0.83710295
30,H1185TS248_5,0.8405823
31,H1185TS446_3,0.8459018
32,H1185TS003_4,0.84013605
33,H1185TS278_1,0.6921778
34,H1185TS447_5,0.19649251
35,H1185TS360_3,0.8294974
36,H1185TS333_4,0.93560874
37,H1185TS390_5,0.81828505
38,H1185TS227_2,0.83861434
39,H1185TS348_5,0.8306531
40,H1185TS185_5,0.78042376
41,H1185TS439_4,0.8449121
42,H1185TS229_3,0.89533097
43,H1185TS320_3,0.83287495
44,H1185TS054_2,0.8348541
45,H1185TS119_4,0.8307957
46,H1185TS180_4,0.9166786
47,H1185TS461_5,0.83386064
48,H1185TS434_2,0.83861434
49,H1185TS288_4,0.83710295
50,H1185TS298_3,0.83485734
51,H1185TS119_3,0.8318497
52,H1185TS447_1,0.19718231
53,H1185TS035_5,0.8405823
54,H1185TS229_5,0.8960897
55,H1185TS439_2,0.8966123
56,H1185TS227_1,0.8403553
57,H1185TS333_5,0.9292885
58,H1185TS433_3,0.81132835
59,H1185TS398_3,0.8364545
60,H1185TS239_4,0.8449121
61,H1185TS225_1,0.8312249
62,H1185TS374_2,0.8879106
63,H1185TS158_1,0.8384921
64,H1185TS368_5,0.9292885
65,H1185TS423_4,0.83593714
66,H1185TS125_5,0.8376712
67,H1185TS444_3,0.84210783
68,H1185TS367_5,0.84028023
69,H1185TS441_4,0.8210967
70,H1185TS374_5,0.8428967
71,H1185TS098_4,0.82113296
72,H1185TS074_3,0.8385733
73,H1185TS367_1,0.84140027
74,H1185TS074_2,0.8409651
75,H1185TS158_3,0.84218705
76,H1185TS248_2,0.8405823
77,H1185TS188_1,0.8332754
78,H1185TS348_4,0.84047663
79,H1185TS423_1,0.83533555
80,H1185TS368_2,0.9051649
81,H1185TS320_1,0.8364545
82,H1185TS165_1,0.8087984
83,H1185TS494_1,0.6605112
84,H1185TS461_2,0.8500693
85,H1185TS462_3,0.91328704
