,model,plddt
0,T1181TS493_5o,0.5468619
1,T1181TS073_1o,0.7886117
2,T1181TS071_3o,0.7988656
3,T1181TS433_4o,0.76247245
4,T1181TS367_2o,0.822021
5,T1181TS446_5o,0.7944893
6,T1181TS037_3o,0.6734296
7,T1181TS367_3o,0.79175884
8,T1181TS180_2o,0.8981141
9,T1181TS188_4o,0.6180675
10,T1181TS229_4o,0.78702426
11,T1181TS477_1o,0.78320175
12,T1181TS291_5o,0.0
13,T1181TS239_4o,0.78702426
14,T1181TS158_4o,0.83188784
15,T1181TS433_5o,0.76041716
16,T1181TS398_5o,0.77018315
17,T1181TS314_4o,0.7162503
18,T1181TS291_2o,0.0
19,T1181TS350_1o,0.0
20,T1181TS131_3o,0.70815426
21,T1181TS462_1o,0.82292485
22,T1181TS098_2o,0.8513284
23,T1181TS150_3o,0.62388885
24,T1181TS347_1o,0.77018315
25,T1181TS298_4o,0.6346708
26,T1181TS348_4o,0.6766808
27,T1181TS360_4o,0.62358004
28,T1181TS098_5o,0.6514736
29,T1181TS494_2o,0.674345
30,T1181TS304_3o,0.6729549
31,T1181TS188_3o,0.66996765
32,T1181TS188_5o,0.59334797
33,T1181TS278_2o,0.8114181
34,T1181TS347_2o,0.77018315
35,T1181TS423_1o,0.6748035
36,T1181TS304_2o,0.6729549
37,T1181TS119_2o,0.7694213
38,T1181TS374_1o,0.86378413
39,T1181TS399_4o,0.5658942
40,T1181TS439_4o,0.78702426
41,T1181TS003_1o,0.8316601
42,T1181TS229_5o,0.7115621
43,T1181TS086_5o,0.83188784
44,T1181TS185_2o,0.85571104
45,T1181TS360_1o,0.79386276
46,T1181TS493_3o,0.6850102
47,T1181TS131_2o,0.773585
48,T1181TS304_1o,0.6729549
49,T1181TS073_2o,0.6754207
50,T1181TS347_3o,0.77018315
51,T1181TS165_2o,0.72575086
52,T1181TS046_1o,0.6729549
53,T1181TS462_2o,0.82292485
54,T1181TS314_5o,0.6736722
55,T1181TS320_1o,0.83454233
56,T1181TS367_1o,0.8316601
57,T1181TS187_4o,0.6243459
58,T1181TS325_2o,0.77018315
59,T1181TS125_1o,0.7046984
60,T1181TS298_5o,0.6094416
61,T1181TS444_4o,0.77018315
62,T1181TS399_5o,0.5725616
63,T1181TS091_1o,0.6899238
64,T1181TS035_3o,0.6729549
65,T1181TS239_1o,0.84704465
66,T1181TS131_1o,0.7679162
67,T1181TS390_2o,0.72188514
68,T1181TS122_3o,0.0
69,T1181TS433_2o,0.78292054
70,T1181TS248_4o,0.6729549
71,T1181TS086_2o,0.8324817
72,T1181TS131_4o,0.7227687
73,T1181TS180_1o,0.9028531
74,T1181TS298_3o,0.6904352
75,T1181TS462_4o,0.79278696
76,T1181TS125_4o,0.5658942
77,T1181TS439_5o,0.7115621
78,T1181TS456_3o,0.77018315
79,T1181TS119_4o,0.7911957
80,T1181TS003_5o,0.83188784
81,T1181TS054_4o,0.5658942
82,T1181TS367_4o,0.8154491
83,T1181TS122_1o,0.0
84,T1181TS439_2o,0.84704465
85,T1181TS003_4o,0.8294633
86,T1181TS348_5o,0.6850102
87,T1181TS399_2o,0.66359895
88,T1181TS054_2o,0.66359895
89,T1181TS320_2o,0.7701143
90,T1181TS325_1o,0.77018315
91,T1181TS086_4o,0.8316601
92,T1181TS441_5o,0.76041716
93,T1181TS314_3o,0.6850102
94,T1181TS374_2o,0.8309994
95,T1181TS147_2o,0.6404897
96,T1181TS461_5o,0.7944893
97,T1181TS180_5o,0.84007746
98,T1181TS312_2o,0.0
99,T1181TS494_1o,0.6683215
100,T1181TS390_1o,0.76967347
101,T1181TS150_2o,0.62388885
102,T1181TS073_3o,0.7993539
103,T1181TS439_1o,0.84664726
104,T1181TS390_4o,0.71579504
105,T1181TS444_3o,0.77018315
106,T1181TS046_2o,0.6729549
107,T1181TS348_1o,0.7701143
108,T1181TS131_5o,0.6650605
109,T1181TS304_5o,0.6729549
110,T1181TS239_5o,0.7115621
111,T1181TS441_4o,0.76247245
112,T1181TS312_5o,0.0
113,T1181TS245_2o,0.7162503
114,T1181TS119_1o,0.7740145
115,T1181TS205_3o,0.6561706
116,T1181TS298_2o,0.67234856
117,T1181TS245_3o,0.7162503
118,T1181TS278_5o,0.7640681
119,T1181TS441_3o,0.75594985
120,T1181TS188_2o,0.6514736
121,T1181TS423_5o,0.60576475
122,T1181TS456_1o,0.77018315
123,T1181TS054_1o,0.7046984
124,T1181TS447_5o,0.22347854
125,T1181TS239_3o,0.81618625
126,T1181TS461_1o,0.82292485
127,T1181TS399_3o,0.70244545
128,T1181TS003_3o,0.8324817
129,T1181TS462_3o,0.79278696
130,T1181TS248_3o,0.6729549
131,T1181TS046_5o,0.6729549
132,T1181TS493_4o,0.5907041
133,T1181TS493_1o,0.7701143
134,T1181TS245_1o,0.7162503
135,T1181TS054_5o,0.5725616
136,T1181TS398_3o,0.77018315
137,T1181TS347_5o,0.77018315
138,T1181TS098_1o,0.68800354
139,T1181TS098_3o,0.68800354
140,T1181TS441_2o,0.78292054
141,T1181TS073_5o,0.7309488
142,T1181TS119_3o,0.8025398
143,T1181TS441_1o,0.800473
144,T1181TS165_4o,0.31094143
145,T1181TS433_3o,0.75594985
146,T1181TS037_1o,0.75070465
147,T1181TS398_1o,0.77018315
148,T1181TS312_3o,0.0
149,T1181TS035_5o,0.6729549
150,T1181TS374_3o,0.8478054
151,T1181TS399_1o,0.7046984
152,T1181TS461_3o,0.81734127
153,T1181TS180_4o,0.8767808
154,T1181TS374_5o,0.79775995
155,T1181TS385_1o,0.7162503
156,T1181TS229_1o,0.84704465
157,T1181TS494_5o,0.48609275
158,T1181TS348_2o,0.6187424
159,T1181TS278_4o,0.7922405
160,T1181TS091_4o,0.8264877
161,T1181TS447_2o,0.22311261
162,T1181TS423_3o,0.51846474
163,T1181TS119_5o,0.77278906
164,T1181TS158_2o,0.79175884
165,T1181TS439_3o,0.81618625
166,T1181TS074_4o,0.7886117
167,T1181TS147_1o,0.70630306
168,T1181TS494_3o,0.65678334
169,T1181TS187_2o,0.6748035
170,T1181TS035_4o,0.6729549
171,T1181TS298_1o,0.6161893
172,T1181TS037_4o,0.7062104
173,T1181TS071_4o,0.7966497
174,T1181TS447_4o,0.22332896
175,T1181TS367_5o,0.8228451
176,T1181TS291_4o,0.0
177,T1181TS314_1o,0.7701143
178,T1181TS205_2o,0.6160732
179,T1181TS360_5o,0.64077264
180,T1181TS086_3o,0.8217881
181,T1181TS150_1o,0.62388885
182,T1181TS350_2o,0.0
183,T1181TS423_4o,0.58686966
184,T1181TS462_5o,0.81734127
185,T1181TS165_3o,0.20514084
186,T1181TS325_5o,0.77018315
187,T1181TS446_4o,0.79386276
188,T1181TS350_4o,0.0
189,T1181TS390_5o,0.67321515
190,T1181TS003_2o,0.79175884
191,T1181TS037_2o,0.76629424
192,T1181TS122_2o,0.0
193,T1181TS374_4o,0.79386276
194,T1181TS037_5o,0.66428405
195,T1181TS494_4o,0.62150323
196,T1181TS248_5o,0.6729549
197,T1181TS091_3o,0.8057219
198,T1181TS350_3o,0.0
199,T1181TS456_4o,0.77018315
200,T1181TS071_5o,0.78911406
201,T1181TS350_5o,0.0
202,T1181TS035_2o,0.6729549
203,T1181TS288_5o,0.78861165
204,T1181TS122_5o,0.0
205,T1181TS325_3o,0.77018315
206,T1181TS325_4o,0.77018315
207,T1181TS446_1o,0.82292485
208,T1181TS205_4o,0.6110841
209,T1181TS091_2o,0.8233066
210,T1181TS071_1o,0.8135118
211,T1181TS320_3o,0.67529
212,T1181TS086_1o,0.79175884
213,T1181TS229_3o,0.81618625
214,T1181TS291_1o,0.0
215,T1181TS185_5o,0.8444423
216,T1181TS312_1o,0.0
217,T1181TS446_2o,0.79278696
218,T1181TS456_2o,0.77018315
219,T1181TS187_5o,0.51846474
220,T1181TS158_5o,0.7620962
221,T1181TS444_5o,0.77018315
222,T1181TS398_4o,0.77018315
223,T1181TS158_3o,0.8324817
224,T1181TS185_3o,0.8444423
225,T1181TS444_1o,0.77018315
226,T1181TS122_4o,0.0
227,T1181TS320_5o,0.65485126
228,T1181TS446_3o,0.81734127
229,T1181TS360_2o,0.61105746
230,T1181TS147_3o,0.7701143
231,T1181TS165_5o,0.3318202
232,T1181TS125_3o,0.70244545
233,T1181TS150_5o,0.62388885
234,T1181TS444_2o,0.77018315
235,T1181TS447_1o,0.21998155
236,T1181TS125_2o,0.66359895
237,T1181TS390_3o,0.6845611
238,T1181TS229_2o,0.84664726
239,T1181TS035_1o,0.6729549
240,T1181TS147_5o,0.60253483
241,T1181TS147_4o,0.54963297
242,T1181TS046_4o,0.6729549
243,T1181TS165_1o,0.76245594
244,T1181TS073_4o,0.71898466
245,T1181TS248_1o,0.6729549
246,T1181TS447_3o,0.22379206
247,T1181TS074_5o,0.6754207
248,T1181TS158_1o,0.8316601
249,T1181TS071_2o,0.80681765
250,T1181TS188_1o,0.68800354
251,T1181TS180_3o,0.86993426
252,T1181TS205_5o,0.0
253,T1181TS347_4o,0.77018315
