,model,icps,recall
0,H1167TS003_1,0.11352869352869353,0.0003173504125555363
1,H1167TS003_2,0.11014912280701754,0.00030292539380301196
2,H1167TS003_3,0.11204388888888885,0.0003173504125555363
3,H1167TS003_4,0.10957022222222222,0.0002957128844267497
4,H1167TS003_5,0.11538872011251755,0.00033898794068432293
5,H1167TS011_1,0.1118502222222222,0.0003173504125555363
6,H1167TS011_2,0.11306590476190474,0.0003173504125555363
7,H1167TS011_3,0.11259591894977167,0.0003173504125555363
8,H1167TS011_4,0.11539441520467834,0.0003317754313080607
9,H1167TS011_5,0.11601258611552727,0.0003173504125555363
10,H1167TS035_1,0.12152090643274854,0.0002740753562979632
11,H1167TS035_2,0.12030327080327079,0.0002885003750504876
12,H1167TS035_3,0.11921779100529097,0.00028128786567422536
13,H1167TS035_4,0.11713767806267804,0.0002885003750504876
14,H1167TS035_5,0.12339814814814813,0.0002885003750504876
15,H1167TS037_1,0.12387795031055898,0.00031013790317927414
16,H1167TS037_2,0.11448350630096364,0.0002957128844267497
17,H1167TS037_3,0.1122402128049899,0.0003317754313080607
18,H1167TS037_4,0.10765021021021019,0.00028128786567422536
19,H1167TS037_5,0.11378566269411339,0.0002885003750504876
20,H1167TS054_1,0.12312398496240601,0.0002885003750504876
21,H1167TS054_2,0.11564875000000001,0.00033898794068432293
22,H1167TS054_3,0.11404765291607395,0.0002885003750504876
23,H1167TS054_4,0.1133852925560157,0.00028128786567422536
24,H1167TS054_5,0.11139267658870777,0.00033898794068432293
25,H1167TS067_1,0.10356622807017542,0.00030292539380301196
26,H1167TS067_2,0.10143896103896101,0.0002957128844267497
27,H1167TS071_1,0.11949976608187134,0.00034620045006058506
28,H1167TS071_2,0.11726403508771928,0.00033898794068432293
29,H1167TS071_3,0.11652832207207205,0.0003317754313080607
30,H1167TS071_4,0.11818614202437729,0.0003245629219317985
31,H1167TS071_5,0.11713290598290597,0.00034620045006058506
32,H1167TS073_1,0.10261448028673832,0.00023080030004039005
33,H1167TS073_2,0.12322203389830509,0.0002524378281691766
34,H1167TS073_3,0.10912807017543857,0.00030292539380301196
35,H1167TS073_4,0.09542182539682538,0.0001370376781489816
36,H1167TS073_5,0.11935789473684211,0.00031013790317927414
37,H1167TS086_1,0.11352869352869353,0.0003173504125555363
38,H1167TS086_2,0.11204388888888885,0.0003173504125555363
39,H1167TS086_3,0.11538872011251755,0.00033898794068432293
40,H1167TS086_4,0.11193766233766234,0.00031013790317927414
41,H1167TS086_5,0.11346163570691432,0.00031013790317927414
42,H1167TS091_1,0.04886554232804233,0.00010818764064393284
43,H1167TS091_2,0.05250754604872252,9.376262189140845e-05
44,H1167TS091_3,0.07635850574712642,0.0002885003750504876
45,H1167TS091_4,0.046412293853073466,2.8850037505048756e-05
46,H1167TS091_5,0.07115821078431372,0.0001370376781489816
47,H1167TS092_1,0.11717923116615064,0.00033898794068432293
48,H1167TS098_1,0.06535992277992278,0.0004543880907045179
49,H1167TS098_2,0.0635926126126126,0.00044717558132825573
50,H1167TS098_3,0.0635926126126126,0.00044717558132825573
51,H1167TS098_4,0.0635926126126126,0.00044717558132825573
52,H1167TS098_5,0.0635926126126126,0.00044717558132825573
53,H1167TS119_1,0.11100819453697532,0.0003173504125555363
54,H1167TS119_2,0.11741614814814812,0.0003173504125555363
55,H1167TS119_3,0.11596979949874686,0.0003173504125555363
56,H1167TS119_4,0.11330920205920204,0.00030292539380301196
57,H1167TS119_5,0.1135099145299145,0.0003173504125555363
58,H1167TS125_1,0.12312398496240601,0.0002885003750504876
59,H1167TS125_2,0.11564875000000001,0.00033898794068432293
60,H1167TS125_3,0.11404765291607395,0.0002885003750504876
61,H1167TS125_4,0.1133852925560157,0.00028128786567422536
62,H1167TS125_5,0.11139267658870777,0.00033898794068432293
63,H1167TS131_1,0.11100819453697532,0.0003173504125555363
64,H1167TS131_2,0.11596979949874686,0.0003173504125555363
65,H1167TS131_3,0.11460929292929291,0.0003173504125555363
66,H1167TS131_4,0.11522702777777777,0.00031013790317927414
67,H1167TS131_5,0.11275238095238094,0.00031013790317927414
68,H1167TS133_1,0.11453818713450291,0.0003245629219317985
69,H1167TS133_2,0.11421085526315787,0.0003245629219317985
70,H1167TS133_3,0.11342683397683397,0.0003173504125555363
71,H1167TS133_4,0.11541304473304471,0.0003317754313080607
72,H1167TS133_5,0.11741538461538459,0.00033898794068432293
73,H1167TS147_1,0.12934523752983965,0.0003966880156944204
74,H1167TS147_2,0.13295925109150847,0.0003966880156944204
75,H1167TS147_3,0.1258199072039072,0.0003894755063181582
76,H1167TS147_4,0.13731959558823528,0.0003966880156944204
77,H1167TS147_5,0.13949475923852184,0.00038226299694189603
78,H1167TS150_1,0.1109537162162162,0.0002957128844267497
79,H1167TS150_2,0.11168,0.0003317754313080607
80,H1167TS150_3,0.11392487179487176,0.0003245629219317985
81,H1167TS150_4,0.10786317567567566,0.0002957128844267497
82,H1167TS150_5,0.11273939814814815,0.0003317754313080607
83,H1167TS158_1,0.11204388888888885,0.0003173504125555363
84,H1167TS158_2,0.11538872011251755,0.00033898794068432293
85,H1167TS158_3,0.11204388888888885,0.0003173504125555363
86,H1167TS158_4,0.11352869352869353,0.0003173504125555363
87,H1167TS158_5,0.11193766233766234,0.00031013790317927414
88,H1167TS165_1,0.10826238453500524,0.0004543880907045179
89,H1167TS165_2,0.1381038961038961,0.0004399630719519935
90,H1167TS165_3,0.1173927823860727,0.0004399630719519935
91,H1167TS165_4,0.10868200838200837,0.00040390052507068263
92,H1167TS165_5,0.11078447020933978,0.0004543880907045179
93,H1167TS169_1,0.06535992277992278,0.0004543880907045179
94,H1167TS169_2,0.0635926126126126,0.00044717558132825573
95,H1167TS169_3,0.0635926126126126,0.00044717558132825573
96,H1167TS169_4,0.0635926126126126,0.00044717558132825573
97,H1167TS169_5,0.0635926126126126,0.00044717558132825573
98,H1167TS180_1,0.10968174603174603,0.0003173504125555363
99,H1167TS180_2,0.11034,0.0003245629219317985
100,H1167TS180_3,0.10968603603603601,0.00031013790317927414
101,H1167TS180_4,0.1111605,0.0003173504125555363
102,H1167TS180_5,0.11194977777777776,0.00031013790317927414
103,H1167TS185_1,0.1207765020867785,0.00033898794068432293
104,H1167TS185_2,0.12545697609001402,0.00033898794068432293
105,H1167TS185_3,0.11265482723577235,0.0003173504125555363
106,H1167TS185_4,0.11062916666666667,0.00028128786567422536
107,H1167TS185_5,0.13369010782934834,0.0003245629219317985
108,H1167TS187_1,0.10316737451737451,0.0002957128844267497
109,H1167TS187_2,0.10690541856925417,0.00030292539380301196
110,H1167TS187_3,0.1066962222222222,0.00030292539380301196
111,H1167TS187_4,0.10691560846560845,0.0002957128844267497
112,H1167TS187_5,0.1225079611908559,0.0003173504125555363
113,H1167TS188_1,0.06588708938120703,0.0004616006000807801
114,H1167TS188_2,0.06562994652406418,0.0004616006000807801
115,H1167TS188_3,0.06535992277992278,0.0004543880907045179
116,H1167TS188_4,0.08438867724867725,0.00041111303444694476
117,H1167TS188_5,0.07723035714285714,0.00035341295943684724
118,H1167TS205_1,0.1119185917721519,0.0003173504125555363
119,H1167TS205_2,0.11219081871345027,0.0003173504125555363
120,H1167TS205_3,0.11263666666666666,0.0003317754313080607
121,H1167TS205_4,0.10981307926283772,0.0003317754313080607
122,H1167TS205_5,0.11365637352875861,0.0003245629219317985
123,H1167TS215_1,0.11662352941176468,0.00036783797818937166
124,H1167TS215_2,0.11315593869731799,0.00035341295943684724
125,H1167TS215_3,0.11278791666666665,0.0003245629219317985
126,H1167TS215_4,0.1013021645021645,0.0002957128844267497
127,H1167TS215_5,0.1101543209876543,0.0003317754313080607
128,H1167TS225_1,0.1080308703473087,0.0002740753562979632
129,H1167TS225_2,0.1116153841991342,0.0002740753562979632
130,H1167TS225_3,0.11146051656920077,0.00028128786567422536
131,H1167TS225_4,0.10830745833333331,0.0002740753562979632
132,H1167TS225_5,0.10444246208112873,0.00028128786567422536
133,H1167TS227_1,0.11453818713450291,0.0003245629219317985
134,H1167TS227_2,0.11421085526315787,0.0003245629219317985
135,H1167TS227_3,0.11342683397683397,0.0003173504125555363
136,H1167TS227_4,0.11541304473304471,0.0003317754313080607
137,H1167TS227_5,0.11741538461538459,0.00033898794068432293
138,H1167TS234_1,0.040900000000000006,0.0
139,H1167TS234_2,0.004301851851851852,0.0
