,model,icps,recall
0,T1124TS003_1o,0.24568055555555557,0.000732421875
1,T1124TS003_2o,0.24270873015873018,0.0007188585069444445
2,T1124TS003_3o,0.24067176470588234,0.0007052951388888889
3,T1124TS003_4o,0.24041535433070868,0.0006985134548611111
4,T1124TS003_5o,0.23944227642276422,0.0006781684027777778
5,T1124TS035_1o,0.2251724528301887,0.0006985134548611111
6,T1124TS035_2o,0.2047588850174216,0.0006985134548611111
7,T1124TS035_3o,0.21895943775100402,0.0006646050347222222
8,T1124TS035_4o,0.22705303643724697,0.0006646050347222222
9,T1124TS035_5o,0.24121532258064515,0.0006985134548611111
10,T1124TS037_1o,0.23465891472868217,0.0007256401909722222
11,T1124TS037_2o,0.240401581027668,0.0007120768229166666
12,T1124TS037_3o,0.23489800796812746,0.0006985134548611111
13,T1124TS037_4o,0.2411004016064257,0.0007120768229166666
14,T1124TS037_5o,0.241493359375,0.000732421875
15,T1124TS046_1o,0.2047588850174216,0.0006985134548611111
16,T1124TS046_2o,0.2251724528301887,0.0006985134548611111
17,T1124TS046_3o,0.21895943775100402,0.0006646050347222222
18,T1124TS046_4o,0.22705303643724697,0.0006646050347222222
19,T1124TS046_5o,0.24121532258064515,0.0006985134548611111
20,T1124TS054_1o,0.24309473684210525,0.0007052951388888889
21,T1124TS054_2o,0.23928333333333335,0.000732421875
22,T1124TS054_3o,0.23666363636363635,0.0007256401909722222
23,T1124TS054_4o,0.24286833976833977,0.0007256401909722222
24,T1124TS054_5o,0.2388215909090909,0.0007459852430555555
25,T1124TS071_1o,0.24398442622950822,0.0006917317708333334
26,T1124TS071_2o,0.24181800000000003,0.0006985134548611111
27,T1124TS071_3o,0.239295703125,0.0007188585069444445
28,T1124TS071_4o,0.2393991666666667,0.0006849500868055555
29,T1124TS071_5o,0.23606178861788618,0.0006917317708333334
30,T1124TS073_1o,0.23482109375,0.0007256401909722222
31,T1124TS073_2o,0.23689440298507464,0.0007595486111111111
32,T1124TS073_3o,0.23157120000000003,0.0006917317708333334
33,T1124TS073_4o,0.24873818897637795,0.0007527669270833334
34,T1124TS073_5o,0.23920368852459017,0.0006781684027777778
35,T1124TS086_1o,0.24067176470588234,0.0007052951388888889
36,T1124TS086_2o,0.24041535433070868,0.0006985134548611111
37,T1124TS086_3o,0.23944227642276422,0.0006781684027777778
38,T1124TS086_4o,0.23752580645161292,0.0006781684027777778
39,T1124TS086_5o,0.23686747967479677,0.00067138671875
40,T1124TS091_1o,0.21570162601626017,0.0006306966145833334
41,T1124TS091_2o,0.22203840000000002,0.0006578233506944445
42,T1124TS091_3o,0.23246404958677688,0.0006578233506944445
43,T1124TS091_4o,0.2256701550387597,0.00067138671875
44,T1124TS091_5o,0.2226122448979592,0.0006510416666666666
45,T1124TS098_1o,0.23883563218390805,0.0007256401909722222
46,T1124TS098_2o,0.2401018587360595,0.0007459852430555555
47,T1124TS098_3o,0.23545513307984792,0.0007256401909722222
48,T1124TS098_4o,0.12159321428571429,0.0008544921875
49,T1124TS098_5o,0.0009260869565217391,0.0
50,T1124TS119_1o,0.22138976377952757,0.00067138671875
51,T1124TS119_2o,0.208505076142132,0.00047471788194444444
52,T1124TS119_3o,0.22657400000000003,0.00067138671875
53,T1124TS119_4o,0.208505076142132,0.00047471788194444444
54,T1124TS119_5o,0.20489371727748695,0.0004475911458333333
55,T1124TS122_1o,0.2416506072874494,0.0006917317708333334
56,T1124TS122_2o,0.2416506072874494,0.0006917317708333334
57,T1124TS122_3o,0.2416506072874494,0.0006917317708333334
58,T1124TS122_4o,0.2416506072874494,0.0006917317708333334
59,T1124TS122_5o,0.2416506072874494,0.0006917317708333334
60,T1124TS125_1o,0.24309473684210525,0.0007052951388888889
61,T1124TS125_2o,0.23928333333333335,0.000732421875
62,T1124TS125_3o,0.23666363636363635,0.0007256401909722222
63,T1124TS125_4o,0.24286833976833977,0.0007256401909722222
64,T1124TS125_5o,0.2388215909090909,0.0007459852430555555
65,T1124TS131_1o,0.2158266666666667,0.00048828125
66,T1124TS131_2o,0.21739479166666667,0.00048828125
67,T1124TS131_3o,0.22657400000000003,0.00067138671875
68,T1124TS131_4o,0.23035583333333334,0.0006578233506944445
69,T1124TS131_5o,0.21692879581151833,0.00048828125
70,T1124TS147_1o,0.22315684647302905,0.0006306966145833334
71,T1124TS147_2o,0.23280124481327802,0.0006510416666666666
72,T1124TS147_3o,0.24306230158730158,0.0007120768229166666
73,T1124TS150_1o,0.24423992094861657,0.0007256401909722222
74,T1124TS150_2o,0.2546967611336033,0.000732421875
75,T1124TS150_3o,0.242591015625,0.0007120768229166666
76,T1124TS150_4o,0.2469526748971194,0.0006917317708333334
77,T1124TS150_5o,0.24485344129554656,0.0007052951388888889
78,T1124TS158_1o,0.24067176470588234,0.0007052951388888889
79,T1124TS158_2o,0.24041535433070868,0.0006985134548611111
80,T1124TS158_3o,0.23944227642276422,0.0006781684027777778
81,T1124TS158_4o,0.23752580645161292,0.0006781684027777778
82,T1124TS158_5o,0.23847439024390246,0.00067138671875
83,T1124TS165_1o,0.2636671826625387,0.0010172526041666667
84,T1124TS165_2o,0.23157350157728707,0.0008544921875
85,T1124TS165_3o,0.226611345646438,0.0010579427083333333
86,T1124TS165_4o,0.23986931216931215,0.0011121961805555555
87,T1124TS165_5o,0.25365159235668794,0.00091552734375
88,T1124TS169_1o,0.2333624521072797,0.0007188585069444445
89,T1124TS169_2o,0.22912393822393826,0.0007120768229166666
90,T1124TS169_3o,0.23883563218390805,0.0007256401909722222
91,T1124TS169_4o,0.23883563218390805,0.0007256401909722222
92,T1124TS169_5o,0.2354342412451362,0.0007120768229166666
93,T1124TS180_1o,0.2465476190476191,0.0007120768229166666
94,T1124TS180_2o,0.23900121951219513,0.00067138671875
95,T1124TS180_3o,0.238259756097561,0.00067138671875
96,T1124TS180_4o,0.2516058365758755,0.0007527669270833334
97,T1124TS180_5o,0.2424333333333333,0.0006917317708333334
98,T1124TS185_1o,0.22854375000000002,0.000732421875
99,T1124TS185_2o,0.23630078431372553,0.0007120768229166666
100,T1124TS185_3o,0.22854375000000002,0.000732421875
101,T1124TS185_4o,0.23630078431372553,0.0007120768229166666
102,T1124TS185_5o,0.23101320000000003,0.0006849500868055555
103,T1124TS187_1o,0.23211400778210117,0.0007120768229166666
104,T1124TS187_2o,0.24048801498127342,0.0007459852430555555
105,T1124TS187_3o,0.24538979591836735,0.0006985134548611111
106,T1124TS187_4o,0.21471046931407942,0.0006985134548611111
107,T1124TS187_5o,0.2151286259541985,0.0006442599826388889
108,T1124TS188_1o,0.2411248995983936,0.0007052951388888889
109,T1124TS188_2o,0.23883563218390805,0.0007256401909722222
110,T1124TS188_3o,0.2401018587360595,0.0007459852430555555
111,T1124TS188_4o,0.23545513307984792,0.0007256401909722222
112,T1124TS188_5o,0.2246865671641791,0.0007188585069444445
113,T1124TS205_1o,0.036243518518518515,7.459852430555556e-05
114,T1124TS205_2o,0.03728110599078341,8.138020833333333e-05
115,T1124TS205_3o,0.03728479262672811,8.138020833333333e-05
116,T1124TS205_4o,0.03728110599078341,8.138020833333333e-05
117,T1124TS205_5o,0.03709023255813954,8.138020833333333e-05
118,T1124TS229_1o,0.24124146341463415,0.0006985134548611111
119,T1124TS229_2o,0.234444776119403,0.0007392035590277778
120,T1124TS229_3o,0.2416506072874494,0.0006917317708333334
121,T1124TS229_4o,0.23777500000000001,0.0006917317708333334
122,T1124TS229_5o,0.22921623616236164,0.0007256401909722222
123,T1124TS239_1o,0.24124146341463415,0.0006985134548611111
124,T1124TS239_2o,0.234444776119403,0.0007392035590277778
125,T1124TS239_3o,0.2416506072874494,0.0006917317708333334
126,T1124TS239_4o,0.23777500000000001,0.0006917317708333334
127,T1124TS239_5o,0.22921623616236164,0.0007256401909722222
128,T1124TS248_1o,0.2382226720647773,0.0006917317708333334
129,T1124TS248_2o,0.24542128514056227,0.000732421875
130,T1124TS248_3o,0.21895943775100402,0.0006646050347222222
131,T1124TS248_4o,0.2251724528301887,0.0006985134548611111
132,T1124TS248_5o,0.21085125,0.00079345703125
133,T1124TS278_1o,0.2225815573770492,0.0006578233506944445
134,T1124TS278_2o,0.25341714285714284,0.0005154079861111111
135,T1124TS278_3o,0.3366065217391304,0.00037977430555555556
136,T1124TS278_4o,0.25939842105263156,0.0005967881944444445
137,T1124TS278_5o,0.18124583333333336,0.0006035698784722222
138,T1124TS288_1o,0.23734478764478767,0.0007459852430555555
139,T1124TS288_2o,0.24330150943396228,0.0007527669270833334
140,T1124TS288_3o,0.233265991902834,0.0006646050347222222
141,T1124TS288_4o,0.24866929133858268,0.0007459852430555555
142,T1124TS288_5o,0.2431404858299595,0.0007052951388888889
143,T1124TS298_1o,0.23494549019607844,0.0006985134548611111
144,T1124TS298_2o,0.2434722891566265,0.0006985134548611111
145,T1124TS298_3o,0.2471161943319838,0.0007188585069444445
146,T1124TS298_4o,0.23145588235294118,0.0007392035590277778
147,T1124TS298_5o,0.23726539923954373,0.0007188585069444445
148,T1124TS304_1o,0.2382226720647773,0.0006917317708333334
149,T1124TS304_2o,0.24542128514056227,0.000732421875
150,T1124TS304_3o,0.21895943775100402,0.0006646050347222222
151,T1124TS304_4o,0.2251724528301887,0.0006985134548611111
152,T1124TS304_5o,0.21085125,0.00079345703125
153,T1124TS320_1o,0.24435396825396824,0.0007188585069444445
154,T1124TS320_2o,0.25090203252032517,0.0007256401909722222
155,T1124TS320_3o,0.24436574803149605,0.0007120768229166666
156,T1124TS320_4o,0.24691934156378603,0.0006917317708333334
157,T1124TS320_5o,0.24962529182879384,0.0007595486111111111
158,T1124TS325_1o,0.2336307086614173,0.0007052951388888889
159,T1124TS325_2o,0.2336307086614173,0.0007052951388888889
160,T1124TS325_3o,0.2336307086614173,0.0007052951388888889
161,T1124TS325_4o,0.2336307086614173,0.0007052951388888889
162,T1124TS325_5o,0.2336307086614173,0.0007052951388888889
163,T1124TS338_1o,0.24423992094861657,0.0007256401909722222
164,T1124TS338_2o,0.24485344129554656,0.0007052951388888889
165,T1124TS338_3o,0.2546967611336033,0.000732421875
166,T1124TS338_4o,0.2469526748971194,0.0006917317708333334
167,T1124TS338_5o,0.242591015625,0.0007120768229166666
168,T1124TS347_1o,0.2336307086614173,0.0007052951388888889
169,T1124TS347_2o,0.2336307086614173,0.0007052951388888889
170,T1124TS347_3o,0.2336307086614173,0.0007052951388888889
171,T1124TS347_4o,0.2336307086614173,0.0007052951388888889
172,T1124TS347_5o,0.2336307086614173,0.0007052951388888889
173,T1124TS348_1o,0.2504828571428571,0.0007188585069444445
174,T1124TS348_2o,0.23650641509433967,0.000732421875
175,T1124TS348_3o,0.2322564705882353,0.0006917317708333334
176,T1124TS348_4o,0.24084756554307113,0.0007595486111111111
177,T1124TS348_5o,0.24691934156378603,0.0006917317708333334
178,T1124TS350_1o,0.23996201550387597,0.0007256401909722222
179,T1124TS350_2o,0.22362941176470585,0.0006781684027777778
180,T1124TS350_3o,0.22500739299610895,0.0006917317708333334
181,T1124TS350_4o,0.23996201550387597,0.0007256401909722222
182,T1124TS350_5o,0.22362941176470585,0.0006781684027777778
183,T1124TS352_1o,0.24485344129554656,0.0007052951388888889
184,T1124TS352_2o,0.24423992094861657,0.0007256401909722222
185,T1124TS352_3o,0.2469526748971194,0.0006917317708333334
186,T1124TS352_4o,0.2546967611336033,0.000732421875
187,T1124TS352_5o,0.242591015625,0.0007120768229166666
188,T1124TS360_1o,0.24962529182879384,0.0007595486111111111
189,T1124TS360_2o,0.23885077519379846,0.000732421875
190,T1124TS360_3o,0.23960820312499997,0.0007256401909722222
191,T1124TS360_4o,0.24356852589641434,0.0007188585069444445
192,T1124TS360_5o,0.22870192307692308,0.0006985134548611111
193,T1124TS367_1o,0.2457451612903226,0.0007120768229166666
194,T1124TS367_2o,0.2208361344537815,0.0006171332465277778
195,T1124TS367_3o,0.24568055555555557,0.000732421875
196,T1124TS367_4o,0.22150238095238098,0.0006781684027777778
197,T1124TS367_5o,0.23605103734439833,0.0006646050347222222
198,T1124TS374_1o,0.2322012,0.0006917317708333334
199,T1124TS374_2o,0.23459333333333332,0.0007120768229166666
200,T1124TS374_3o,0.23175099601593624,0.0006917317708333334
201,T1124TS374_4o,0.22960983606557378,0.0006578233506944445
202,T1124TS374_5o,0.23376053639846744,0.000732421875
203,T1124TS385_1o,0.24194618055555553,0.0008070203993055555
204,T1124TS390_1o,0.24435396825396824,0.0007188585069444445
205,T1124TS390_2o,0.25090203252032517,0.0007256401909722222
206,T1124TS390_3o,0.24436574803149605,0.0007120768229166666
207,T1124TS390_4o,0.24691934156378603,0.0006917317708333334
208,T1124TS390_5o,0.24962529182879384,0.0007595486111111111
209,T1124TS398_1o,0.2636671826625387,0.0010172526041666667
210,T1124TS398_2o,0.19077488789237668,0.00047471788194444444
211,T1124TS398_3o,0.10197984496124031,0.00014241536458333334
212,T1124TS398_4o,0.1847524193548387,0.0005289713541666666
213,T1124TS398_5o,0.2120174846625767,0.0008138020833333334
214,T1124TS399_1o,0.24309473684210525,0.0007052951388888889
215,T1124TS399_2o,0.23928333333333335,0.000732421875
216,T1124TS399_3o,0.23666363636363635,0.0007256401909722222
217,T1124TS399_4o,0.24286833976833977,0.0007256401909722222
218,T1124TS399_5o,0.2388215909090909,0.0007459852430555555
219,T1124TS423_1o,0.23211400778210117,0.0007120768229166666
220,T1124TS423_2o,0.24048801498127342,0.0007459852430555555
221,T1124TS423_3o,0.24538979591836735,0.0006985134548611111
222,T1124TS423_4o,0.21471046931407942,0.0006985134548611111
223,T1124TS423_5o,0.2151286259541985,0.0006442599826388889
224,T1124TS439_1o,0.016351807228915664,0.0
225,T1124TS439_2o,0.015509677419354839,0.0
226,T1124TS439_3o,0.015865168539325843,0.0
227,T1124TS439_4o,0.016872289156626502,0.0
228,T1124TS439_5o,0.24475240000000004,0.0007392035590277778
229,T1124TS444_1o,0.3568102639296188,0.001369900173611111
230,T1124TS444_2o,0.3186868656716418,0.0011528862847222222
231,T1124TS444_3o,0.27470063829787233,0.0015123155381944445
232,T1124TS444_4o,0.2451100806451613,0.0006510416666666666
233,T1124TS444_5o,0.3568102639296188,0.001369900173611111
234,T1124TS446_1o,0.2416506072874494,0.0006917317708333334
235,T1124TS446_2o,0.23928373983739837,0.0006781684027777778
236,T1124TS446_3o,0.24384574898785424,0.0007052951388888889
237,T1124TS446_4o,0.24129798387096774,0.0006985134548611111
238,T1124TS446_5o,0.2375293893129771,0.0007392035590277778
239,T1124TS447_1o,0.21995213675213676,0.0005900065104166666
240,T1124TS447_2o,0.23582342342342344,0.0006103515625
241,T1124TS447_3o,0.2361246511627907,0.0005967881944444445
242,T1124TS447_4o,0.15460279329608936,0.00031195746527777775
243,T1124TS447_5o,0.14216830601092897,0.00030517578125
244,T1124TS456_1o,0.2336307086614173,0.0007052951388888889
245,T1124TS456_2o,0.2336307086614173,0.0007052951388888889
246,T1124TS456_3o,0.2336307086614173,0.0007052951388888889
247,T1124TS456_4o,0.2336307086614173,0.0007052951388888889
248,T1124TS456_5o,0.2336307086614173,0.0007052951388888889
249,T1124TS460_1o,0.24485344129554656,0.0007052951388888889
250,T1124TS460_2o,0.2469526748971194,0.0006917317708333334
251,T1124TS460_3o,0.24423992094861657,0.0007256401909722222
252,T1124TS460_4o,0.2546967611336033,0.000732421875
253,T1124TS460_5o,0.242591015625,0.0007120768229166666
254,T1124TS461_1o,0.2416506072874494,0.0006917317708333334
255,T1124TS461_2o,0.23928373983739837,0.0006781684027777778
256,T1124TS461_3o,0.24384574898785424,0.0007052951388888889
257,T1124TS461_4o,0.24129798387096774,0.0006985134548611111
258,T1124TS461_5o,0.2375293893129771,0.0007392035590277778
259,T1124TS462_1o,0.2465476190476191,0.0007120768229166666
260,T1124TS462_2o,0.23900121951219513,0.00067138671875
261,T1124TS462_3o,0.238259756097561,0.00067138671875
262,T1124TS462_4o,0.2516058365758755,0.0007527669270833334
263,T1124TS462_5o,0.2424333333333333,0.0006917317708333334
264,T1124TS477_1o,0.07534655172413793,0.00014241536458333334
265,T1124TS494_1o,0.23088455598455598,0.0007052951388888889
266,T1124TS494_2o,0.2651588235294118,0.00048149956597222225
267,T1124TS494_3o,0.22102716049382715,0.00043402777777777775
268,T1124TS494_4o,0.13603364485981306,0.00016276041666666666
269,T1124TS494_5o,0.008146428571428572,0.0
