,model,DockQ
0,H1151TS439_1,0.31978
1,H1151TS312_4,0.22735
2,H1151TS239_1,0.21636
3,H1151TS312_1,0.19496
4,H1151TS312_2,0.18851
5,H1151TS312_3,0.15648
6,H1151TS312_5,0.15003
7,H1151TS494_3,0.13841
8,H1151TS147_5,0.11559
9,H1151TS439_3,0.10998
10,H1151TS239_3,0.10998
11,H1151TS147_3,0.10293
12,H1151TS147_1,0.10222
13,H1151TS314_3,0.08716
14,H1151TS147_4,0.08268
15,H1151TS444_1,0.07922
16,H1151TS185_2,0.07676
17,H1151TS187_1,0.07437
18,H1151TS423_1,0.07437
19,H1151TS234_2,0.07359
20,H1151TS234_1,0.07301
21,H1151TS234_4,0.06791
22,H1151TS187_3,0.06597
23,H1151TS423_3,0.06597
24,H1151TS444_4,0.0657
25,H1151TS314_2,0.0652
26,H1151TS234_3,0.06519
27,H1151TS314_1,0.06445
28,H1151TS494_4,0.06386
29,H1151TS234_5,0.05976
30,H1151TS444_5,0.05877
31,H1151TS444_2,0.05539
32,H1151TS398_1,0.05391
33,H1151TS398_4,0.05166
34,H1151TS398_5,0.05102
35,H1151TS165_4,0.05046
36,H1151TS091_4,0.04975
37,H1151TS169_1,0.04953
38,H1151TS147_2,0.04936
39,H1151TS314_4,0.04878
40,H1151TS165_3,0.04847
41,H1151TS180_4,0.04798
42,H1151TS494_5,0.0474
43,H1151TS011_4,0.04617
44,H1151TS434_4,0.04617
45,H1151TS248_1,0.04594
46,H1151TS035_3,0.04594
47,H1151TS441_4,0.04575
48,H1151TS433_4,0.04575
49,H1151TS423_2,0.04521
50,H1151TS187_2,0.04521
51,H1151TS097_2,0.04396
52,H1151TS188_3,0.04255
53,H1151TS091_5,0.04216
54,H1151TS291_3,0.04166
55,H1151TS350_3,0.04166
56,H1151TS225_5,0.04159
57,H1151TS374_3,0.04139
58,H1151TS215_1,0.04124
59,H1151TS350_5,0.04105
60,H1151TS291_5,0.04105
61,H1151TS073_3,0.04074
62,H1151TS257_3,0.04021
63,H1151TS180_1,0.03922
64,H1151TS447_2,0.03919
65,H1151TS091_1,0.03916
66,H1151TS169_2,0.03912
67,H1151TS098_3,0.03912
68,H1151TS433_5,0.03866
69,H1151TS441_5,0.03866
70,H1151TS067_1,0.03851
71,H1151TS185_1,0.0375
72,H1151TS185_5,0.03744
73,H1151TS462_2,0.03729
74,H1151TS444_3,0.03723
75,H1151TS385_1,0.03719
76,H1151TS245_1,0.03719
77,H1151TS180_3,0.03717
78,H1151TS165_5,0.03656
79,H1151TS205_5,0.03623
80,H1151TS398_2,0.03607
81,H1151TS188_1,0.03591
82,H1151TS073_2,0.03573
83,H1151TS169_4,0.03569
84,H1151TS188_5,0.03569
85,H1151TS098_2,0.03569
86,H1151TS374_2,0.03459
87,H1151TS215_4,0.03435
88,H1151TS248_5,0.03416
89,H1151TS374_4,0.03415
90,H1151TS462_5,0.03399
91,H1151TS257_5,0.03395
92,H1151TS367_3,0.03387
93,H1151TS367_5,0.03384
94,H1151TS086_5,0.03384
95,H1151TS003_4,0.03384
96,H1151TS158_5,0.03384
97,H1151TS225_4,0.03382
98,H1151TS073_1,0.03381
99,H1151TS169_5,0.03373
100,H1151TS462_4,0.03369
101,H1151TS098_5,0.03349
102,H1151TS278_4,0.03338
103,H1151TS374_1,0.03327
104,H1151TS131_2,0.03305
105,H1151TS298_5,0.03283
106,H1151TS298_4,0.03282
107,H1151TS205_4,0.03263
108,H1151TS054_3,0.0326
109,H1151TS399_3,0.0326
110,H1151TS125_3,0.0326
111,H1151TS097_3,0.03252
112,H1151TS091_3,0.03238
113,H1151TS073_5,0.03236
114,H1151TS434_1,0.03211
115,H1151TS011_1,0.03211
116,H1151TS447_4,0.03191
117,H1151TS447_5,0.03191
118,H1151TS447_1,0.03191
119,H1151TS131_5,0.0319
120,H1151TS248_3,0.03188
121,H1151TS074_3,0.03179
122,H1151TS288_3,0.03179
123,H1151TS298_2,0.03171
124,H1151TS086_4,0.03165
125,H1151TS131_1,0.03123
126,H1151TS119_3,0.03123
127,H1151TS180_2,0.03118
128,H1151TS227_2,0.03101
129,H1151TS133_2,0.03101
130,H1151TS433_1,0.03091
131,H1151TS441_1,0.03091
132,H1151TS462_3,0.03078
133,H1151TS086_2,0.03077
134,H1151TS350_4,0.03076
135,H1151TS291_4,0.03076
136,H1151TS205_2,0.03022
137,H1151TS071_1,0.03018
138,H1151TS091_2,0.02992
139,H1151TS398_3,0.02989
140,H1151TS439_5,0.02986
141,H1151TS239_5,0.02986
142,H1151TS278_1,0.02966
143,H1151TS180_5,0.02928
144,H1151TS291_2,0.02925
145,H1151TS350_2,0.02925
146,H1151TS350_1,0.0292
147,H1151TS291_1,0.0292
148,H1151TS257_1,0.02883
149,H1151TS131_3,0.02876
150,H1151TS423_4,0.0285
151,H1151TS187_4,0.0285
152,H1151TS119_2,0.02837
153,H1151TS071_5,0.02836
154,H1151TS248_4,0.02834
155,H1151TS433_2,0.02825
156,H1151TS441_2,0.02825
157,H1151TS133_3,0.02822
158,H1151TS227_3,0.02822
159,H1151TS367_4,0.02802
160,H1151TS071_2,0.028
161,H1151TS433_3,0.02799
162,H1151TS441_3,0.02799
163,H1151TS390_2,0.02791
164,H1151TS320_2,0.02791
165,H1151TS119_4,0.02791
166,H1151TS367_1,0.02787
167,H1151TS461_1,0.02785
168,H1151TS446_1,0.02785
169,H1151TS288_1,0.02775
170,H1151TS074_1,0.02775
171,H1151TS225_3,0.02775
172,H1151TS165_2,0.02774
173,H1151TS131_4,0.02767
174,H1151TS320_5,0.02744
175,H1151TS390_5,0.02744
176,H1151TS374_5,0.02734
177,H1151TS225_1,0.02716
178,H1151TS348_5,0.02707
179,H1151TS003_1,0.02667
180,H1151TS314_5,0.02651
181,H1151TS390_1,0.02651
182,H1151TS320_1,0.02651
183,H1151TS119_1,0.02651
184,H1151TS150_1,0.02651
185,H1151TS150_4,0.02576
186,H1151TS037_3,0.02548
187,H1151TS158_3,0.02547
188,H1151TS298_1,0.02543
189,H1151TS348_1,0.02536
190,H1151TS333_1,0.02487
191,H1151TS368_1,0.02487
192,H1151TS188_4,0.02484
193,H1151TS098_1,0.02484
194,H1151TS225_2,0.02481
195,H1151TS125_1,0.02478
196,H1151TS399_1,0.02478
197,H1151TS054_1,0.02478
198,H1151TS188_2,0.0247
199,H1151TS248_2,0.02458
200,H1151TS035_5,0.02458
201,H1151TS447_3,0.02448
202,H1151TS348_2,0.02422
203,H1151TS320_3,0.02391
204,H1151TS390_3,0.02391
205,H1151TS360_1,0.02391
206,H1151TS150_2,0.02385
207,H1151TS073_4,0.0237
208,H1151TS494_2,0.02352
209,H1151TS257_4,0.02313
210,H1151TS097_4,0.02296
211,H1151TS360_5,0.02286
212,H1151TS348_4,0.02282
213,H1151TS278_2,0.02268
214,H1151TS360_4,0.02265
215,H1151TS150_3,0.02225
216,H1151TS368_2,0.02183
217,H1151TS333_2,0.02183
218,H1151TS360_2,0.02166
219,H1151TS278_5,0.02161
220,H1151TS067_2,0.02155
221,H1151TS390_4,0.02154
222,H1151TS320_4,0.02154
223,H1151TS133_5,0.0214
224,H1151TS227_5,0.0214
225,H1151TS097_1,0.02136
226,H1151TS348_3,0.0213
227,H1151TS227_1,0.02126
228,H1151TS133_1,0.02126
229,H1151TS462_1,0.02125
230,H1151TS360_3,0.02124
231,H1151TS434_2,0.02118
232,H1151TS011_2,0.02118
233,H1151TS169_3,0.02087
234,H1151TS054_2,0.02067
235,H1151TS399_2,0.02067
236,H1151TS125_2,0.02067
237,H1151TS054_5,0.02046
