,model,DockQ
0,T1179TS374_2o,0.10964
1,T1179TS147_3o,0.10728
2,T1179TS037_4o,0.10506
3,T1179TS147_5o,0.07404
4,T1179TS374_1o,0.07239
5,T1179TS119_1o,0.06934
6,T1179TS147_2o,0.0693
7,T1179TS350_5o,0.06507
8,T1179TS291_5o,0.06507
9,T1179TS278_5o,0.06101
10,T1179TS291_1o,0.06009
11,T1179TS350_1o,0.06009
12,T1179TS350_4o,0.05417
13,T1179TS291_4o,0.05417
14,T1179TS073_1o,0.04911
15,T1179TS185_2o,0.04637
16,T1179TS439_2o,0.04527
17,T1179TS439_3o,0.04416
18,T1179TS187_4o,0.04416
19,T1179TS423_4o,0.04416
20,T1179TS367_4o,0.04275
21,T1179TS158_2o,0.04275
22,T1179TS003_3o,0.04275
23,T1179TS086_1o,0.04275
24,T1179TS091_5o,0.04249
25,T1179TS239_1o,0.04214
26,T1179TS439_5o,0.04214
27,T1179TS229_1o,0.04214
28,T1179TS423_5o,0.04203
29,T1179TS187_5o,0.04203
30,T1179TS091_1o,0.04172
31,T1179TS493_3o,0.03969
32,T1179TS037_2o,0.0377
33,T1179TS003_5o,0.03727
34,T1179TS185_3o,0.03694
35,T1179TS037_3o,0.03565
36,T1179TS205_2o,0.03541
37,T1179TS245_1o,0.03535
38,T1179TS385_1o,0.03535
39,T1179TS071_4o,0.03478
40,T1179TS360_2o,0.03434
41,T1179TS348_3o,0.03434
42,T1179TS147_4o,0.03384
43,T1179TS185_4o,0.03382
44,T1179TS320_4o,0.03373
45,T1179TS245_4o,0.03317
46,T1179TS071_5o,0.03312
47,T1179TS439_1o,0.03096
48,T1179TS350_3o,0.0305
49,T1179TS291_3o,0.0305
50,T1179TS298_3o,0.02886
51,T1179TS119_4o,0.02875
52,T1179TS150_2o,0.02869
53,T1179TS390_2o,0.0284
54,T1179TS054_5o,0.02781
55,T1179TS125_5o,0.02781
56,T1179TS399_5o,0.02781
57,T1179TS245_2o,0.02767
58,T1179TS229_2o,0.02733
59,T1179TS239_2o,0.02733
60,T1179TS131_1o,0.02695
61,T1179TS447_3o,0.02666
62,T1179TS205_5o,0.02635
63,T1179TS234_3o,0.02572
64,T1179TS003_4o,0.02565
65,T1179TS367_1o,0.02565
66,T1179TS003_2o,0.0252
67,T1179TS367_3o,0.0252
68,T1179TS158_5o,0.02511
69,T1179TS245_3o,0.02483
70,T1179TS091_3o,0.02474
71,T1179TS399_1o,0.02459
72,T1179TS125_1o,0.02459
73,T1179TS054_1o,0.02459
74,T1179TS314_4o,0.02443
75,T1179TS444_3o,0.0231
76,T1179TS074_4o,0.02299
77,T1179TS288_1o,0.02299
78,T1179TS288_5o,0.02299
79,T1179TS165_1o,0.02257
80,T1179TS234_1o,0.0225
81,T1179TS245_5o,0.02237
82,T1179TS423_2o,0.02232
83,T1179TS187_2o,0.02232
84,T1179TS086_2o,0.0223
85,T1179TS367_2o,0.0223
86,T1179TS158_1o,0.0223
87,T1179TS003_1o,0.0223
88,T1179TS439_4o,0.02202
89,T1179TS234_4o,0.02145
90,T1179TS298_2o,0.02084
91,T1179TS447_2o,0.02014
92,T1179TS288_3o,0.01988
93,T1179TS073_3o,0.01988
94,T1179TS447_1o,0.01972
95,T1179TS125_3o,0.01967
96,T1179TS399_3o,0.01967
97,T1179TS054_3o,0.01967
98,T1179TS091_2o,0.01942
99,T1179TS073_5o,0.01909
100,T1179TS493_5o,0.01904
101,T1179TS493_2o,0.0187
102,T1179TS447_5o,0.0183
103,T1179TS185_1o,0.01822
104,T1179TS131_5o,0.01791
105,T1179TS314_3o,0.01758
106,T1179TS119_2o,0.01749
107,T1179TS147_1o,0.01695
108,T1179TS314_1o,0.01674
109,T1179TS086_3o,0.01615
110,T1179TS158_3o,0.01615
111,T1179TS320_3o,0.01595
112,T1179TS091_4o,0.01567
