,H1106TS003_1,H1106TS003_2,H1106TS003_3,H1106TS003_4,H1106TS003_5,H1106TS035_1,H1106TS035_2,H1106TS035_3,H1106TS035_4,H1106TS035_5,H1106TS037_1,H1106TS037_2,H1106TS037_3,H1106TS037_4,H1106TS037_5,H1106TS054_1,H1106TS054_2,H1106TS054_3,H1106TS054_4,H1106TS054_5,H1106TS067_1,H1106TS067_2,H1106TS071_1,H1106TS071_2,H1106TS071_3,H1106TS071_4,H1106TS071_5,H1106TS073_1,H1106TS073_2,H1106TS073_3,H1106TS073_4,H1106TS073_5,H1106TS086_1,H1106TS086_2,H1106TS086_3,H1106TS086_4,H1106TS086_5,H1106TS091_1,H1106TS091_2,H1106TS091_3,H1106TS091_4,H1106TS091_5,H1106TS092_1,H1106TS097_1,H1106TS098_1,H1106TS098_2,H1106TS098_3,H1106TS098_4,H1106TS098_5,H1106TS119_1,H1106TS119_2,H1106TS119_3,H1106TS119_4,H1106TS119_5,H1106TS125_1,H1106TS125_2,H1106TS125_3,H1106TS125_4,H1106TS125_5,H1106TS131_1,H1106TS131_2,H1106TS131_3,H1106TS131_4,H1106TS131_5,H1106TS147_1,H1106TS147_2,H1106TS147_3,H1106TS147_4,H1106TS147_5,H1106TS150_1,H1106TS150_2,H1106TS150_3,H1106TS150_4,H1106TS150_5,H1106TS158_1,H1106TS158_2,H1106TS158_3,H1106TS158_4,H1106TS158_5,H1106TS165_1,H1106TS169_1,H1106TS169_2,H1106TS169_3,H1106TS169_4,H1106TS169_5,H1106TS180_1,H1106TS180_2,H1106TS180_3,H1106TS180_4,H1106TS180_5,H1106TS185_1,H1106TS185_2,H1106TS185_3,H1106TS185_4,H1106TS185_5,H1106TS187_1,H1106TS187_2,H1106TS187_3,H1106TS187_4,H1106TS187_5,H1106TS188_1,H1106TS188_2,H1106TS188_3,H1106TS188_4,H1106TS188_5,H1106TS201_1,H1106TS201_2,H1106TS201_3,H1106TS201_4,H1106TS201_5,H1106TS205_1,H1106TS205_2,H1106TS205_3,H1106TS205_4,H1106TS205_5,H1106TS215_1,H1106TS225_1,H1106TS225_2,H1106TS225_3,H1106TS225_4,H1106TS225_5,H1106TS227_1,H1106TS227_2,H1106TS227_3,H1106TS227_4,H1106TS227_5,H1106TS229_1,H1106TS229_2,H1106TS229_3,H1106TS229_4,H1106TS229_5,H1106TS234_1,H1106TS234_2,H1106TS234_3,H1106TS234_4,H1106TS234_5,H1106TS239_1,H1106TS239_2,H1106TS239_3,H1106TS239_4,H1106TS239_5,H1106TS245_1,H1106TS245_2,H1106TS245_3,H1106TS245_4,H1106TS245_5,H1106TS248_1,H1106TS248_2,H1106TS248_3,H1106TS248_4,H1106TS248_5,H1106TS257_1,H1106TS278_1,H1106TS278_2,H1106TS278_3,H1106TS278_4,H1106TS278_5,H1106TS288_1,H1106TS288_2,H1106TS288_3,H1106TS288_4,H1106TS288_5,H1106TS291_1,H1106TS291_2,H1106TS291_3,H1106TS291_4,H1106TS291_5,H1106TS298_1,H1106TS298_2,H1106TS298_3,H1106TS298_4,H1106TS298_5,H1106TS312_1,H1106TS312_2,H1106TS312_3,H1106TS312_4,H1106TS312_5,H1106TS315_1,H1106TS315_2,H1106TS315_3,H1106TS315_4,H1106TS315_5,H1106TS320_1,H1106TS320_2,H1106TS320_3,H1106TS320_4,H1106TS320_5,H1106TS333_1,H1106TS333_2,H1106TS333_3,H1106TS333_4,H1106TS333_5,H1106TS348_1,H1106TS348_2,H1106TS348_3,H1106TS348_4,H1106TS348_5,H1106TS350_1,H1106TS350_2,H1106TS350_3,H1106TS350_4,H1106TS350_5,H1106TS360_1,H1106TS360_2,H1106TS360_3,H1106TS360_4,H1106TS360_5,H1106TS367_1,H1106TS367_2,H1106TS367_3,H1106TS367_4,H1106TS367_5,H1106TS368_1,H1106TS368_2,H1106TS368_3,H1106TS368_4,H1106TS368_5,H1106TS370_1,H1106TS370_2,H1106TS370_3,H1106TS370_4,H1106TS370_5,H1106TS374_1,H1106TS374_2,H1106TS374_3,H1106TS374_4,H1106TS374_5,H1106TS385_1,H1106TS385_2,H1106TS385_3,H1106TS385_4,H1106TS385_5,H1106TS390_1,H1106TS390_2,H1106TS390_3,H1106TS390_4,H1106TS390_5,H1106TS398_1,H1106TS398_2,H1106TS398_3,H1106TS398_4,H1106TS398_5,H1106TS399_1,H1106TS399_2,H1106TS399_3,H1106TS399_4,H1106TS399_5,H1106TS423_1,H1106TS423_2,H1106TS423_3,H1106TS423_4,H1106TS423_5,H1106TS433_1,H1106TS433_2,H1106TS433_3,H1106TS433_4,H1106TS433_5,H1106TS434_1,H1106TS434_2,H1106TS434_3,H1106TS434_4,H1106TS434_5,H1106TS439_1,H1106TS439_2,H1106TS439_3,H1106TS439_4,H1106TS439_5,H1106TS441_1,H1106TS441_2,H1106TS441_3,H1106TS441_4,H1106TS441_5,H1106TS444_1,H1106TS444_2,H1106TS444_3,H1106TS444_4,H1106TS444_5,H1106TS446_1,H1106TS446_2,H1106TS446_3,H1106TS446_4,H1106TS446_5,H1106TS447_1,H1106TS447_2,H1106TS447_3,H1106TS447_4,H1106TS447_5,H1106TS461_1,H1106TS461_2,H1106TS461_3,H1106TS461_4,H1106TS461_5,H1106TS462_1,H1106TS462_2,H1106TS462_3,H1106TS462_4,H1106TS462_5,H1106TS477_1,H1106TS493_1,H1106TS493_2,H1106TS493_3,H1106TS493_4,H1106TS493_5,H1106TS494_1,H1106TS494_2,H1106TS494_3,H1106TS494_4,H1106TS494_5
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
