,H1129TS003_1,H1129TS003_2,H1129TS003_3,H1129TS003_4,H1129TS003_5,H1129TS011_1,H1129TS011_2,H1129TS011_3,H1129TS011_4,H1129TS011_5,H1129TS035_1,H1129TS035_2,H1129TS035_3,H1129TS035_4,H1129TS035_5,H1129TS037_1,H1129TS037_2,H1129TS037_3,H1129TS037_4,H1129TS037_5,H1129TS054_1,H1129TS054_2,H1129TS054_3,H1129TS054_4,H1129TS054_5,H1129TS071_1,H1129TS071_2,H1129TS071_3,H1129TS071_4,H1129TS071_5,H1129TS073_1,H1129TS073_2,H1129TS073_3,H1129TS073_4,H1129TS073_5,H1129TS086_1,H1129TS086_2,H1129TS086_3,H1129TS086_4,H1129TS086_5,H1129TS091_1,H1129TS091_2,H1129TS091_3,H1129TS091_4,H1129TS091_5,H1129TS092_1,H1129TS098_1,H1129TS098_2,H1129TS098_3,H1129TS098_4,H1129TS098_5,H1129TS119_1,H1129TS119_2,H1129TS119_3,H1129TS119_4,H1129TS119_5,H1129TS125_1,H1129TS125_2,H1129TS125_3,H1129TS125_4,H1129TS125_5,H1129TS131_1,H1129TS131_2,H1129TS131_3,H1129TS131_4,H1129TS131_5,H1129TS133_1,H1129TS133_2,H1129TS133_3,H1129TS133_4,H1129TS133_5,H1129TS147_1,H1129TS147_2,H1129TS147_3,H1129TS147_4,H1129TS147_5,H1129TS150_1,H1129TS150_2,H1129TS150_3,H1129TS150_4,H1129TS150_5,H1129TS158_1,H1129TS158_2,H1129TS158_3,H1129TS158_4,H1129TS158_5,H1129TS165_1,H1129TS165_2,H1129TS165_3,H1129TS165_4,H1129TS165_5,H1129TS169_1,H1129TS169_2,H1129TS169_3,H1129TS169_4,H1129TS169_5,H1129TS180_1,H1129TS180_2,H1129TS180_3,H1129TS180_4,H1129TS180_5,H1129TS185_1,H1129TS185_2,H1129TS185_3,H1129TS185_4,H1129TS185_5,H1129TS187_1,H1129TS187_2,H1129TS187_3,H1129TS187_4,H1129TS187_5,H1129TS188_1,H1129TS188_2,H1129TS188_3,H1129TS188_4,H1129TS188_5,H1129TS205_1,H1129TS205_2,H1129TS205_3,H1129TS205_4,H1129TS205_5,H1129TS215_1,H1129TS215_2,H1129TS215_3,H1129TS215_4,H1129TS215_5,H1129TS225_1,H1129TS225_2,H1129TS225_3,H1129TS225_4,H1129TS225_5,H1129TS227_1,H1129TS227_2,H1129TS227_3,H1129TS227_4,H1129TS227_5,H1129TS234_1,H1129TS234_2,H1129TS234_3,H1129TS234_4,H1129TS234_5,H1129TS239_1,H1129TS239_2,H1129TS239_3,H1129TS239_4,H1129TS239_5,H1129TS245_1,H1129TS245_2,H1129TS245_3,H1129TS245_4,H1129TS245_5,H1129TS248_1,H1129TS248_2,H1129TS248_3,H1129TS248_4,H1129TS248_5,H1129TS257_1,H1129TS257_2,H1129TS257_3,H1129TS257_4,H1129TS257_5,H1129TS278_1,H1129TS278_2,H1129TS278_3,H1129TS278_4,H1129TS278_5,H1129TS298_1,H1129TS298_2,H1129TS298_3,H1129TS298_4,H1129TS298_5,H1129TS312_1,H1129TS312_2,H1129TS312_3,H1129TS312_4,H1129TS312_5,H1129TS314_1,H1129TS314_2,H1129TS314_3,H1129TS314_4,H1129TS314_5,H1129TS317_1,H1129TS320_1,H1129TS320_2,H1129TS320_3,H1129TS320_4,H1129TS320_5,H1129TS333_1,H1129TS333_2,H1129TS333_3,H1129TS333_4,H1129TS333_5,H1129TS348_1,H1129TS348_2,H1129TS348_3,H1129TS348_4,H1129TS348_5,H1129TS350_1,H1129TS350_2,H1129TS350_3,H1129TS350_4,H1129TS350_5,H1129TS360_1,H1129TS360_2,H1129TS360_3,H1129TS360_4,H1129TS360_5,H1129TS367_1,H1129TS367_2,H1129TS367_3,H1129TS367_4,H1129TS367_5,H1129TS368_1,H1129TS368_2,H1129TS368_3,H1129TS368_4,H1129TS368_5,H1129TS374_1,H1129TS374_2,H1129TS374_3,H1129TS374_4,H1129TS374_5,H1129TS385_1,H1129TS390_1,H1129TS390_2,H1129TS390_3,H1129TS390_4,H1129TS390_5,H1129TS398_1,H1129TS398_2,H1129TS398_3,H1129TS398_4,H1129TS398_5,H1129TS399_1,H1129TS399_2,H1129TS399_3,H1129TS399_4,H1129TS399_5,H1129TS423_1,H1129TS423_2,H1129TS423_3,H1129TS423_4,H1129TS423_5,H1129TS433_1,H1129TS433_2,H1129TS433_3,H1129TS433_4,H1129TS433_5,H1129TS434_1,H1129TS434_2,H1129TS434_3,H1129TS434_4,H1129TS434_5,H1129TS439_1,H1129TS439_2,H1129TS439_3,H1129TS439_4,H1129TS439_5,H1129TS441_1,H1129TS441_2,H1129TS441_3,H1129TS441_4,H1129TS441_5,H1129TS444_1,H1129TS444_2,H1129TS444_3,H1129TS444_4,H1129TS444_5,H1129TS446_1,H1129TS446_2,H1129TS446_3,H1129TS446_4,H1129TS446_5,H1129TS447_1,H1129TS447_2,H1129TS447_3,H1129TS447_4,H1129TS447_5,H1129TS461_1,H1129TS461_2,H1129TS461_3,H1129TS461_4,H1129TS461_5,H1129TS462_1,H1129TS462_2,H1129TS462_3,H1129TS462_4,H1129TS462_5,H1129TS477_1,H1129TS493_1,H1129TS493_2,H1129TS493_3,H1129TS493_4,H1129TS493_5,H1129TS494_1,H1129TS494_2,H1129TS494_3,H1129TS494_4,H1129TS494_5
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
