,T1176TS003_1o,T1176TS003_2o,T1176TS003_3o,T1176TS003_4o,T1176TS003_5o,T1176TS035_1o,T1176TS035_2o,T1176TS035_3o,T1176TS035_4o,T1176TS035_5o,T1176TS037_1o,T1176TS037_2o,T1176TS037_3o,T1176TS037_4o,T1176TS037_5o,T1176TS054_1o,T1176TS054_2o,T1176TS054_3o,T1176TS054_4o,T1176TS054_5o,T1176TS071_1o,T1176TS071_2o,T1176TS071_3o,T1176TS071_4o,T1176TS071_5o,T1176TS073_1o,T1176TS073_2o,T1176TS073_3o,T1176TS073_4o,T1176TS073_5o,T1176TS086_1o,T1176TS086_2o,T1176TS086_3o,T1176TS086_4o,T1176TS086_5o,T1176TS091_1o,T1176TS091_2o,T1176TS091_3o,T1176TS091_4o,T1176TS091_5o,T1176TS098_1o,T1176TS098_2o,T1176TS098_3o,T1176TS098_4o,T1176TS098_5o,T1176TS119_1o,T1176TS119_2o,T1176TS119_3o,T1176TS119_4o,T1176TS119_5o,T1176TS125_1o,T1176TS125_2o,T1176TS125_3o,T1176TS125_4o,T1176TS125_5o,T1176TS131_1o,T1176TS131_2o,T1176TS131_3o,T1176TS131_4o,T1176TS131_5o,T1176TS147_1o,T1176TS147_2o,T1176TS147_3o,T1176TS147_4o,T1176TS147_5o,T1176TS150_1o,T1176TS150_2o,T1176TS150_3o,T1176TS150_4o,T1176TS150_5o,T1176TS158_1o,T1176TS158_2o,T1176TS158_3o,T1176TS158_4o,T1176TS158_5o,T1176TS165_1o,T1176TS165_2o,T1176TS165_3o,T1176TS165_4o,T1176TS165_5o,T1176TS169_1o,T1176TS169_2o,T1176TS169_3o,T1176TS169_4o,T1176TS169_5o,T1176TS180_1o,T1176TS180_2o,T1176TS180_3o,T1176TS180_4o,T1176TS180_5o,T1176TS185_1o,T1176TS185_2o,T1176TS185_3o,T1176TS185_4o,T1176TS185_5o,T1176TS187_1o,T1176TS187_2o,T1176TS187_3o,T1176TS187_4o,T1176TS187_5o,T1176TS188_1o,T1176TS188_2o,T1176TS188_3o,T1176TS188_4o,T1176TS188_5o,T1176TS205_1o,T1176TS205_2o,T1176TS205_3o,T1176TS205_4o,T1176TS205_5o,T1176TS234_1o,T1176TS234_2o,T1176TS234_3o,T1176TS234_4o,T1176TS239_1o,T1176TS239_2o,T1176TS239_3o,T1176TS239_4o,T1176TS239_5o,T1176TS245_1o,T1176TS248_1o,T1176TS248_2o,T1176TS248_3o,T1176TS248_4o,T1176TS248_5o,T1176TS278_1o,T1176TS278_2o,T1176TS278_3o,T1176TS278_4o,T1176TS278_5o,T1176TS288_1o,T1176TS288_2o,T1176TS288_3o,T1176TS288_4o,T1176TS288_5o,T1176TS291_1o,T1176TS291_2o,T1176TS291_3o,T1176TS291_4o,T1176TS291_5o,T1176TS298_1o,T1176TS298_2o,T1176TS298_3o,T1176TS298_4o,T1176TS298_5o,T1176TS314_1o,T1176TS314_2o,T1176TS314_3o,T1176TS314_4o,T1176TS314_5o,T1176TS320_1o,T1176TS320_2o,T1176TS320_3o,T1176TS320_4o,T1176TS320_5o,T1176TS348_1o,T1176TS348_2o,T1176TS348_3o,T1176TS348_4o,T1176TS348_5o,T1176TS350_1o,T1176TS350_2o,T1176TS350_3o,T1176TS350_4o,T1176TS350_5o,T1176TS360_1o,T1176TS360_2o,T1176TS360_3o,T1176TS360_4o,T1176TS360_5o,T1176TS367_1o,T1176TS367_2o,T1176TS367_3o,T1176TS367_4o,T1176TS367_5o,T1176TS374_1o,T1176TS374_2o,T1176TS374_3o,T1176TS374_4o,T1176TS374_5o,T1176TS385_1o,T1176TS390_1o,T1176TS390_2o,T1176TS390_3o,T1176TS390_4o,T1176TS390_5o,T1176TS398_1o,T1176TS398_2o,T1176TS398_3o,T1176TS398_4o,T1176TS398_5o,T1176TS399_1o,T1176TS399_2o,T1176TS399_3o,T1176TS399_4o,T1176TS399_5o,T1176TS423_1o,T1176TS423_2o,T1176TS423_3o,T1176TS423_4o,T1176TS423_5o,T1176TS433_1o,T1176TS433_2o,T1176TS433_3o,T1176TS433_4o,T1176TS433_5o,T1176TS439_1o,T1176TS439_2o,T1176TS439_3o,T1176TS439_4o,T1176TS439_5o,T1176TS441_1o,T1176TS441_2o,T1176TS441_3o,T1176TS441_4o,T1176TS441_5o,T1176TS444_1o,T1176TS444_2o,T1176TS444_3o,T1176TS444_4o,T1176TS444_5o,T1176TS446_1o,T1176TS446_2o,T1176TS446_3o,T1176TS446_4o,T1176TS446_5o,T1176TS447_1o,T1176TS447_2o,T1176TS447_3o,T1176TS447_4o,T1176TS447_5o,T1176TS461_1o,T1176TS461_2o,T1176TS461_3o,T1176TS461_4o,T1176TS461_5o,T1176TS462_1o,T1176TS462_2o,T1176TS462_3o,T1176TS462_4o,T1176TS462_5o,T1176TS477_1o,T1176TS477_2o,T1176TS477_3o,T1176TS493_1o,T1176TS493_2o,T1176TS493_3o,T1176TS493_4o,T1176TS493_5o,T1176TS494_1o,T1176TS494_2o,T1176TS494_3o,T1176TS494_4o,T1176TS494_5o
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
