,T1181TS003_1o,T1181TS003_2o,T1181TS003_3o,T1181TS003_4o,T1181TS003_5o,T1181TS035_1o,T1181TS035_2o,T1181TS035_3o,T1181TS035_4o,T1181TS035_5o,T1181TS037_1o,T1181TS037_2o,T1181TS037_3o,T1181TS037_4o,T1181TS037_5o,T1181TS046_1o,T1181TS046_2o,T1181TS046_3o,T1181TS046_4o,T1181TS046_5o,T1181TS054_1o,T1181TS054_2o,T1181TS054_3o,T1181TS054_4o,T1181TS054_5o,T1181TS071_1o,T1181TS071_2o,T1181TS071_3o,T1181TS071_4o,T1181TS071_5o,T1181TS073_1o,T1181TS073_2o,T1181TS073_3o,T1181TS073_4o,T1181TS073_5o,T1181TS074_4o,T1181TS074_5o,T1181TS086_1o,T1181TS086_2o,T1181TS086_3o,T1181TS086_4o,T1181TS086_5o,T1181TS091_1o,T1181TS091_2o,T1181TS091_3o,T1181TS091_4o,T1181TS091_5o,T1181TS098_1o,T1181TS098_2o,T1181TS098_3o,T1181TS098_4o,T1181TS098_5o,T1181TS119_1o,T1181TS119_2o,T1181TS119_3o,T1181TS119_4o,T1181TS119_5o,T1181TS122_1o,T1181TS122_2o,T1181TS122_3o,T1181TS122_4o,T1181TS122_5o,T1181TS125_1o,T1181TS125_2o,T1181TS125_3o,T1181TS125_4o,T1181TS125_5o,T1181TS131_1o,T1181TS131_2o,T1181TS131_3o,T1181TS131_4o,T1181TS131_5o,T1181TS147_1o,T1181TS147_2o,T1181TS147_3o,T1181TS147_4o,T1181TS147_5o,T1181TS150_1o,T1181TS150_2o,T1181TS150_3o,T1181TS150_4o,T1181TS150_5o,T1181TS158_1o,T1181TS158_2o,T1181TS158_3o,T1181TS158_4o,T1181TS158_5o,T1181TS165_1o,T1181TS165_2o,T1181TS165_3o,T1181TS165_4o,T1181TS165_5o,T1181TS180_1o,T1181TS180_2o,T1181TS180_3o,T1181TS180_4o,T1181TS180_5o,T1181TS185_1o,T1181TS185_2o,T1181TS185_3o,T1181TS185_4o,T1181TS185_5o,T1181TS187_2o,T1181TS187_3o,T1181TS187_4o,T1181TS187_5o,T1181TS188_1o,T1181TS188_2o,T1181TS188_3o,T1181TS188_4o,T1181TS188_5o,T1181TS205_1o,T1181TS205_2o,T1181TS205_3o,T1181TS205_4o,T1181TS205_5o,T1181TS229_1o,T1181TS229_2o,T1181TS229_3o,T1181TS229_4o,T1181TS229_5o,T1181TS239_1o,T1181TS239_2o,T1181TS239_3o,T1181TS239_4o,T1181TS239_5o,T1181TS245_1o,T1181TS245_2o,T1181TS245_3o,T1181TS245_4o,T1181TS245_5o,T1181TS248_1o,T1181TS248_2o,T1181TS248_3o,T1181TS248_4o,T1181TS248_5o,T1181TS278_1o,T1181TS278_2o,T1181TS278_3o,T1181TS278_4o,T1181TS278_5o,T1181TS288_5o,T1181TS291_1o,T1181TS291_2o,T1181TS291_3o,T1181TS291_4o,T1181TS291_5o,T1181TS298_1o,T1181TS298_2o,T1181TS298_3o,T1181TS298_4o,T1181TS298_5o,T1181TS304_1o,T1181TS304_2o,T1181TS304_3o,T1181TS304_4o,T1181TS304_5o,T1181TS312_1o,T1181TS312_2o,T1181TS312_3o,T1181TS312_4o,T1181TS312_5o,T1181TS314_1o,T1181TS314_2o,T1181TS314_3o,T1181TS314_4o,T1181TS314_5o,T1181TS320_1o,T1181TS320_2o,T1181TS320_3o,T1181TS320_4o,T1181TS320_5o,T1181TS325_1o,T1181TS325_2o,T1181TS325_3o,T1181TS325_4o,T1181TS325_5o,T1181TS347_1o,T1181TS347_2o,T1181TS347_3o,T1181TS347_4o,T1181TS347_5o,T1181TS348_1o,T1181TS348_2o,T1181TS348_3o,T1181TS348_4o,T1181TS348_5o,T1181TS350_1o,T1181TS350_2o,T1181TS350_3o,T1181TS350_4o,T1181TS350_5o,T1181TS360_1o,T1181TS360_2o,T1181TS360_3o,T1181TS360_4o,T1181TS360_5o,T1181TS367_1o,T1181TS367_2o,T1181TS367_3o,T1181TS367_4o,T1181TS367_5o,T1181TS374_1o,T1181TS374_2o,T1181TS374_3o,T1181TS374_4o,T1181TS374_5o,T1181TS385_1o,T1181TS390_1o,T1181TS390_2o,T1181TS390_3o,T1181TS390_4o,T1181TS390_5o,T1181TS398_1o,T1181TS398_2o,T1181TS398_3o,T1181TS398_4o,T1181TS398_5o,T1181TS399_1o,T1181TS399_2o,T1181TS399_3o,T1181TS399_4o,T1181TS399_5o,T1181TS423_1o,T1181TS423_2o,T1181TS423_3o,T1181TS423_4o,T1181TS423_5o,T1181TS433_1o,T1181TS433_2o,T1181TS433_3o,T1181TS433_4o,T1181TS433_5o,T1181TS439_1o,T1181TS439_2o,T1181TS439_3o,T1181TS439_4o,T1181TS439_5o,T1181TS441_1o,T1181TS441_2o,T1181TS441_3o,T1181TS441_4o,T1181TS441_5o,T1181TS444_1o,T1181TS444_2o,T1181TS444_3o,T1181TS444_4o,T1181TS444_5o,T1181TS446_1o,T1181TS446_2o,T1181TS446_3o,T1181TS446_4o,T1181TS446_5o,T1181TS447_1o,T1181TS447_2o,T1181TS447_3o,T1181TS447_4o,T1181TS447_5o,T1181TS456_1o,T1181TS456_2o,T1181TS456_3o,T1181TS456_4o,T1181TS461_1o,T1181TS461_2o,T1181TS461_3o,T1181TS461_4o,T1181TS461_5o,T1181TS462_1o,T1181TS462_2o,T1181TS462_3o,T1181TS462_4o,T1181TS462_5o,T1181TS477_1o,T1181TS493_1o,T1181TS493_2o,T1181TS493_3o,T1181TS493_4o,T1181TS493_5o,T1181TS494_1o,T1181TS494_2o,T1181TS494_3o,T1181TS494_4o,T1181TS494_5o
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
