,model,score,score_norm
0,H1166TS003_1,0.821,0.82080078125
1,H1166TS003_2,0.8076,0.8076171875
2,H1166TS003_3,0.7866,0.78662109375
3,H1166TS003_4,0.777,0.77685546875
4,H1166TS003_5,0.8228,0.82275390625
5,H1166TS011_1,0.764,0.76416015625
6,H1166TS011_2,0.772,0.77197265625
7,H1166TS011_3,0.7695,0.76953125
8,H1166TS011_4,0.758,0.7578125
9,H1166TS011_5,0.768,0.76806640625
10,H1166TS035_1,0.819,0.81884765625
11,H1166TS035_2,0.8037,0.8037109375
12,H1166TS035_3,0.774,0.77392578125
13,H1166TS035_4,0.7305,0.73046875
14,H1166TS035_5,0.779,0.77880859375
15,H1166TS037_1,0.797,0.796875
16,H1166TS037_2,0.8027,0.802734375
17,H1166TS037_3,0.8066,0.806640625
18,H1166TS037_4,0.7744,0.7744140625
19,H1166TS037_5,0.7393,0.7392578125
20,H1166TS054_1,0.854,0.85400390625
21,H1166TS054_2,0.859,0.85888671875
22,H1166TS054_3,0.844,0.84423828125
23,H1166TS054_4,0.82,0.81982421875
24,H1166TS054_5,0.8022,0.80224609375
25,H1166TS067_1,0.639,0.5837736609077123
26,H1166TS067_2,0.647,0.5909091678401214
27,H1166TS071_1,0.764,0.76416015625
28,H1166TS071_2,0.734,0.73388671875
29,H1166TS071_3,0.7676,0.767578125
30,H1166TS071_4,0.763,0.76318359375
31,H1166TS071_5,0.743,0.7431640625
32,H1166TS073_1,0.8086,0.80859375
33,H1166TS073_2,0.7695,0.76953125
34,H1166TS073_3,0.761,0.76123046875
35,H1166TS073_4,0.737,0.73681640625
36,H1166TS073_5,0.75,0.75
37,H1166TS086_1,0.8228,0.82275390625
38,H1166TS086_2,0.768,0.76806640625
39,H1166TS086_3,0.821,0.82080078125
40,H1166TS086_4,0.8076,0.8076171875
41,H1166TS086_5,0.7866,0.78662109375
42,H1166TS091_1,0.689,0.68896484375
43,H1166TS091_2,0.6777,0.677734375
44,H1166TS091_3,0.6646,0.66455078125
45,H1166TS091_4,0.659,0.6591796875
46,H1166TS091_5,0.537,0.537109375
47,H1166TS092_1,0.788,0.7880859375
48,H1166TS098_1,0.845,0.84521484375
49,H1166TS098_2,0.704,0.7041015625
50,H1166TS098_3,0.8066,0.806640625
51,H1166TS098_4,0.784,0.7841796875
52,H1166TS098_5,0.845,0.84521484375
53,H1166TS119_1,0.7275,0.7275390625
54,H1166TS119_2,0.811,0.81103515625
55,H1166TS119_3,0.7764,0.7763671875
56,H1166TS119_4,0.7827,0.78271484375
57,H1166TS119_5,0.755,0.7548828125
58,H1166TS125_1,0.854,0.85400390625
59,H1166TS125_2,0.859,0.85888671875
60,H1166TS125_3,0.844,0.84423828125
61,H1166TS125_4,0.82,0.81982421875
62,H1166TS125_5,0.8022,0.80224609375
63,H1166TS131_1,0.811,0.81103515625
64,H1166TS131_2,0.7827,0.78271484375
65,H1166TS131_3,0.7812,0.78125
66,H1166TS131_4,0.7275,0.7275390625
67,H1166TS131_5,0.7646,0.7646484375
68,H1166TS133_1,0.788,0.7880859375
69,H1166TS133_2,0.7725,0.7724609375
70,H1166TS133_3,0.769,0.76904296875
71,H1166TS133_4,0.769,0.76904296875
72,H1166TS133_5,0.7695,0.76953125
73,H1166TS147_1,0.708,0.7080078125
74,H1166TS147_2,0.708,0.7080078125
75,H1166TS147_3,0.7075,0.70751953125
76,H1166TS147_4,0.7065,0.70654296875
77,H1166TS147_5,0.7065,0.70654296875
78,H1166TS150_1,0.76,0.759765625
79,H1166TS150_2,0.759,0.7587890625
80,H1166TS150_3,0.7583,0.75830078125
81,H1166TS150_4,0.758,0.7578125
82,H1166TS150_5,0.7603,0.76025390625
83,H1166TS158_1,0.821,0.82080078125
84,H1166TS158_2,0.777,0.77685546875
85,H1166TS158_3,0.7812,0.78125
86,H1166TS158_4,0.784,0.7841796875
87,H1166TS158_5,0.7866,0.78662109375
88,H1166TS165_1,0.475,0.47509765625
89,H1166TS165_2,0.4846,0.484619140625
90,H1166TS165_3,0.5747,0.57470703125
91,H1166TS165_4,0.4756,0.4755859375
92,H1166TS165_5,0.715,0.71484375
93,H1166TS169_1,0.8066,0.806640625
94,H1166TS169_2,0.818,0.81787109375
95,H1166TS169_3,0.845,0.84521484375
96,H1166TS169_4,0.7783,0.7783203125
97,H1166TS169_5,0.8213,0.8212890625
98,H1166TS180_1,0.802,0.8017578125
99,H1166TS180_2,0.7915,0.79150390625
100,H1166TS180_3,0.7964,0.79638671875
101,H1166TS180_4,0.803,0.80322265625
102,H1166TS180_5,0.805,0.80517578125
103,H1166TS185_1,0.849,0.84912109375
104,H1166TS185_2,0.845,0.84521484375
105,H1166TS185_3,0.8325,0.83251953125
106,H1166TS185_4,0.857,0.85693359375
107,H1166TS185_5,0.836,0.8359375
108,H1166TS187_1,0.803,0.80322265625
109,H1166TS187_2,0.7964,0.79638671875
110,H1166TS187_3,0.8154,0.8154296875
111,H1166TS187_4,0.769,0.76904296875
112,H1166TS187_5,0.771,0.77099609375
113,H1166TS188_1,0.705,0.705078125
114,H1166TS188_2,0.705,0.705078125
115,H1166TS188_3,0.7046,0.70458984375
116,H1166TS188_4,0.8213,0.8212890625
117,H1166TS188_5,0.7783,0.7783203125
118,H1166TS205_1,0.703,0.703125
119,H1166TS205_2,0.703,0.7019064124783363
120,H1166TS205_3,0.705,0.705078125
121,H1166TS205_4,0.7036,0.70361328125
122,H1166TS205_5,0.7017,0.70166015625
123,H1166TS225_1,0.8394,0.83935546875
124,H1166TS225_2,0.821,0.82080078125
