,model,interface_size_norm,model_size_norm
0,H1172TS003_1,0.21756487025948104,1.0
1,H1172TS003_2,0.22255489021956087,1.0
2,H1172TS003_3,0.21656686626746507,1.0
3,H1172TS003_4,0.19461077844311378,1.0
4,H1172TS003_5,0.2125748502994012,1.0
5,H1172TS011_1,0.03493013972055888,0.18263473053892215
6,H1172TS011_2,0.03592814371257485,0.18263473053892215
7,H1172TS011_3,0.03493013972055888,0.18263473053892215
8,H1172TS011_4,0.03592814371257485,0.18263473053892215
9,H1172TS011_5,0.03592814371257485,0.18263473053892215
10,H1172TS035_1,0.19760479041916168,1.0
11,H1172TS035_2,0.18762475049900199,1.0
12,H1172TS035_3,0.18063872255489022,1.0
13,H1172TS035_4,0.22055888223552894,1.0
14,H1172TS035_5,0.18562874251497005,1.0
15,H1172TS046_1,0.19760479041916168,1.0
16,H1172TS046_2,0.18762475049900199,1.0
17,H1172TS046_3,0.18063872255489022,1.0
18,H1172TS046_4,0.22055888223552894,1.0
19,H1172TS046_5,0.18562874251497005,1.0
20,H1172TS054_1,0.2375249500998004,1.0
21,H1172TS054_2,0.18662674650698602,1.0
22,H1172TS054_3,0.21656686626746507,1.0
23,H1172TS054_4,0.21057884231536927,1.0
24,H1172TS054_5,0.10079840319361277,1.0
25,H1172TS067_1,0.8053892215568862,1.0
26,H1172TS067_2,0.8143712574850299,1.0
27,H1172TS071_1,0.1906187624750499,1.0
28,H1172TS071_2,0.18263473053892215,1.0
29,H1172TS071_3,0.16966067864271456,1.0
30,H1172TS071_4,0.17864271457085829,1.0
31,H1172TS071_5,0.1686626746506986,1.0
32,H1172TS073_1,0.6467065868263473,1.0
33,H1172TS073_2,0.6467065868263473,1.0
34,H1172TS073_3,0.6506986027944112,1.0
35,H1172TS073_4,0.7524950099800399,1.0
36,H1172TS073_5,0.6516966067864272,1.0
37,H1172TS086_1,0.22255489021956087,1.0
38,H1172TS086_2,0.21756487025948104,1.0
39,H1172TS086_3,0.21656686626746507,1.0
40,H1172TS086_4,0.2125748502994012,1.0
41,H1172TS086_5,0.19760479041916168,1.0
42,H1172TS092_1,0.22854291417165667,1.0
43,H1172TS097_1,0.03293413173652695,0.18263473053892215
44,H1172TS097_2,0.033932135728542916,0.18263473053892215
45,H1172TS097_3,0.03293413173652695,0.18263473053892215
46,H1172TS097_4,0.033932135728542916,0.18263473053892215
47,H1172TS097_5,0.03493013972055888,0.18263473053892215
48,H1172TS098_1,0.17365269461077845,1.0
49,H1172TS098_2,0.05089820359281437,1.0
50,H1172TS098_3,0.2684630738522954,1.0
51,H1172TS098_4,0.12075848303393213,1.0
52,H1172TS098_5,0.11976047904191617,1.0
53,H1172TS119_1,0.4810379241516966,1.0
54,H1172TS119_2,0.469061876247505,1.0
55,H1172TS119_3,0.4121756487025948,1.0
56,H1172TS119_4,0.4181636726546906,1.0
57,H1172TS119_5,0.4481037924151697,1.0
58,H1172TS122_1,0.23552894211576847,1.0
59,H1172TS122_2,0.23552894211576847,1.0
60,H1172TS122_3,0.23552894211576847,1.0
61,H1172TS122_4,0.23552894211576847,1.0
62,H1172TS122_5,0.23552894211576847,1.0
63,H1172TS125_1,0.2375249500998004,1.0
64,H1172TS125_2,0.18662674650698602,1.0
65,H1172TS125_3,0.21656686626746507,1.0
66,H1172TS125_4,0.21057884231536927,1.0
67,H1172TS125_5,0.10079840319361277,1.0
68,H1172TS131_1,0.18463073852295409,1.0
69,H1172TS131_2,0.124750499001996,1.0
70,H1172TS131_3,0.18263473053892215,1.0
71,H1172TS131_4,0.18662674650698602,1.0
72,H1172TS131_5,0.15269461077844312,1.0
73,H1172TS133_1,0.03493013972055888,0.18263473053892215
74,H1172TS133_2,0.03592814371257485,0.18263473053892215
75,H1172TS133_3,0.03493013972055888,0.18263473053892215
76,H1172TS133_4,0.03592814371257485,0.18263473053892215
77,H1172TS133_5,0.03592814371257485,0.18263473053892215
78,H1172TS147_1,0.21157684630738524,1.0
79,H1172TS147_2,0.18762475049900199,1.0
80,H1172TS147_3,0.2155688622754491,1.0
81,H1172TS147_4,0.22355289421157684,1.0
82,H1172TS147_5,0.21956087824351297,1.0
83,H1172TS158_1,0.22255489021956087,1.0
84,H1172TS158_2,0.21756487025948104,1.0
85,H1172TS158_3,0.21656686626746507,1.0
86,H1172TS158_4,0.218562874251497,1.0
87,H1172TS158_5,0.19760479041916168,1.0
88,H1172TS165_1,0.49500998003992014,1.0
89,H1172TS165_2,0.5259481037924152,1.0
90,H1172TS165_3,0.4540918163672655,1.0
91,H1172TS165_4,0.499001996007984,1.0
92,H1172TS165_5,0.5219560878243513,1.0
93,H1172TS169_1,0.17265469061876249,1.0
94,H1172TS169_2,0.15169660678642716,1.0
95,H1172TS169_3,0.11776447105788423,1.0
96,H1172TS169_4,0.17065868263473055,1.0
97,H1172TS169_5,0.2055888223552894,1.0
98,H1172TS180_1,0.21656686626746507,1.0
99,H1172TS180_2,0.2025948103792415,1.0
100,H1172TS180_3,0.1966067864271457,1.0
101,H1172TS180_4,0.21157684630738524,1.0
102,H1172TS180_5,0.22255489021956087,1.0
103,H1172TS185_1,0.24251497005988024,1.0
104,H1172TS185_2,0.24151696606786427,1.0
105,H1172TS185_3,0.23652694610778444,1.0
106,H1172TS185_4,0.35528942115768464,1.0
107,H1172TS185_5,0.3522954091816367,1.0
108,H1172TS188_1,0.15169660678642716,1.0
109,H1172TS188_2,0.17265469061876249,1.0
110,H1172TS188_3,0.17065868263473055,1.0
111,H1172TS188_4,0.11776447105788423,1.0
112,H1172TS188_5,0.2055888223552894,1.0
113,H1172TS199_1,0.21656686626746507,1.0
114,H1172TS205_1,0.5608782435129741,1.0
115,H1172TS205_2,0.34331337325349304,1.0
116,H1172TS205_3,0.4780439121756487,1.0
117,H1172TS205_4,0.4171656686626746,1.0
118,H1172TS205_5,0.468063872255489,1.0
119,H1172TS227_1,0.03493013972055888,0.18263473053892215
120,H1172TS227_2,0.03592814371257485,0.18263473053892215
121,H1172TS227_3,0.03493013972055888,0.18263473053892215
122,H1172TS227_4,0.03592814371257485,0.18263473053892215
123,H1172TS227_5,0.03592814371257485,0.18263473053892215
124,H1172TS229_1,0.20459081836327345,1.0
125,H1172TS229_2,0.19161676646706588,1.0
126,H1172TS229_3,0.19860279441117765,1.0
127,H1172TS229_4,0.18762475049900199,1.0
128,H1172TS229_5,0.19760479041916168,1.0
129,H1172TS245_1,0.4590818363273453,1.0
130,H1172TS248_1,0.19760479041916168,1.0
131,H1172TS248_2,0.18762475049900199,1.0
132,H1172TS248_3,0.18063872255489022,1.0
133,H1172TS248_4,0.22055888223552894,1.0
134,H1172TS248_5,0.18562874251497005,1.0
135,H1172TS257_1,0.38223552894211577,1.0
136,H1172TS257_2,0.2954091816367265,1.0
137,H1172TS257_3,0.3183632734530938,1.0
138,H1172TS257_4,0.31037924151696605,1.0
139,H1172TS257_5,0.3582834331337325,1.0
140,H1172TS288_1,0.6467065868263473,1.0
141,H1172TS288_2,0.6467065868263473,1.0
142,H1172TS288_3,0.6506986027944112,1.0
143,H1172TS288_4,0.7524950099800399,1.0
144,H1172TS288_5,0.6516966067864272,1.0
145,H1172TS291_1,0.405189620758483,1.0
146,H1172TS291_2,0.4001996007984032,1.0
147,H1172TS291_3,0.3962075848303393,1.0
148,H1172TS291_4,0.4311377245508982,1.0
149,H1172TS291_5,0.42015968063872255,1.0
150,H1172TS298_1,0.21457085828343314,1.0
151,H1172TS298_2,0.2055888223552894,1.0
152,H1172TS298_3,0.22554890219560877,1.0
153,H1172TS298_4,0.20159680638722555,1.0
154,H1172TS298_5,0.21457085828343314,1.0
155,H1172TS304_1,0.19760479041916168,1.0
156,H1172TS304_2,0.18762475049900199,1.0
157,H1172TS304_3,0.18063872255489022,1.0
158,H1172TS304_4,0.22055888223552894,1.0
159,H1172TS304_5,0.18562874251497005,1.0
160,H1172TS312_1,0.3383233532934132,0.9845309381237525
161,H1172TS312_2,0.34231536926147704,0.9845309381237525
162,H1172TS312_3,0.36726546906187624,0.9820359281437125
163,H1172TS312_4,0.36826347305389223,0.9820359281437125
164,H1172TS312_5,0.250499001996008,0.9850299401197605
165,H1172TS314_1,0.21157684630738524,1.0
166,H1172TS314_2,0.22255489021956087,1.0
167,H1172TS314_3,0.22255489021956087,1.0
168,H1172TS314_4,0.21656686626746507,1.0
169,H1172TS314_5,0.23253493013972057,1.0
170,H1172TS320_1,0.21656686626746507,1.0
171,H1172TS320_2,0.1966067864271457,1.0
172,H1172TS320_3,0.21157684630738524,1.0
173,H1172TS320_4,0.22255489021956087,1.0
174,H1172TS320_5,0.22255489021956087,1.0
175,H1172TS325_1,0.21656686626746507,1.0
176,H1172TS325_2,0.21656686626746507,1.0
177,H1172TS325_3,0.21656686626746507,1.0
178,H1172TS325_4,0.21656686626746507,1.0
179,H1172TS333_1,0.0,0.18263473053892215
180,H1172TS333_2,0.0,0.18263473053892215
181,H1172TS333_3,0.0,0.18263473053892215
182,H1172TS333_4,0.0,0.18263473053892215
183,H1172TS333_5,0.0,0.18263473053892215
184,H1172TS347_1,0.21656686626746507,1.0
185,H1172TS347_2,0.21656686626746507,1.0
186,H1172TS347_3,0.21656686626746507,1.0
187,H1172TS347_4,0.21656686626746507,1.0
188,H1172TS348_1,0.21457085828343314,1.0
189,H1172TS348_2,0.21656686626746507,1.0
190,H1172TS348_3,0.22255489021956087,1.0
191,H1172TS348_4,0.22255489021956087,1.0
192,H1172TS348_5,0.21357285429141717,1.0
193,H1172TS350_1,0.405189620758483,1.0
194,H1172TS350_2,0.4001996007984032,1.0
195,H1172TS350_3,0.3962075848303393,1.0
196,H1172TS350_4,0.4311377245508982,1.0
197,H1172TS350_5,0.42015968063872255,1.0
198,H1172TS360_1,0.1966067864271457,1.0
199,H1172TS360_2,0.20059880239520958,1.0
200,H1172TS360_3,0.19161676646706588,1.0
201,H1172TS360_4,0.18263473053892215,1.0
202,H1172TS360_5,0.17664670658682635,1.0
203,H1172TS367_1,0.21756487025948104,1.0
204,H1172TS367_2,0.2275449101796407,1.0
205,H1172TS367_3,0.22255489021956087,1.0
206,H1172TS367_4,0.19461077844311378,1.0
207,H1172TS367_5,0.2125748502994012,1.0
208,H1172TS368_1,0.0,0.18263473053892215
209,H1172TS368_2,0.0,0.18263473053892215
210,H1172TS368_3,0.0,0.18263473053892215
211,H1172TS368_4,0.0,0.18263473053892215
212,H1172TS368_5,0.0,0.18263473053892215
213,H1172TS374_1,0.20958083832335328,1.0
214,H1172TS374_2,0.22055888223552894,1.0
215,H1172TS374_3,0.21357285429141717,1.0
216,H1172TS374_4,0.2155688622754491,1.0
217,H1172TS374_5,0.2215568862275449,1.0
218,H1172TS385_1,0.4590818363273453,1.0
219,H1172TS390_1,0.21656686626746507,1.0
220,H1172TS390_2,0.2025948103792415,1.0
221,H1172TS390_3,0.1966067864271457,1.0
222,H1172TS390_4,0.21157684630738524,1.0
223,H1172TS390_5,0.22255489021956087,1.0
224,H1172TS399_1,0.2375249500998004,1.0
225,H1172TS399_2,0.18662674650698602,1.0
226,H1172TS399_3,0.21656686626746507,1.0
227,H1172TS399_4,0.21057884231536927,1.0
228,H1172TS399_5,0.10079840319361277,1.0
229,H1172TS434_1,0.03493013972055888,0.18263473053892215
230,H1172TS434_2,0.03592814371257485,0.18263473053892215
231,H1172TS434_3,0.03493013972055888,0.18263473053892215
232,H1172TS434_4,0.03592814371257485,0.18263473053892215
233,H1172TS434_5,0.03592814371257485,0.18263473053892215
234,H1172TS439_1,0.20459081836327345,1.0
235,H1172TS439_2,0.19161676646706588,1.0
236,H1172TS439_3,0.19860279441117765,1.0
237,H1172TS439_4,0.18762475049900199,1.0
238,H1172TS439_5,0.19760479041916168,1.0
239,H1172TS444_1,0.47305389221556887,1.0
240,H1172TS444_2,0.2245508982035928,1.0
241,H1172TS444_3,0.45808383233532934,1.0
242,H1172TS444_4,0.25748502994011974,1.0
243,H1172TS444_5,0.468063872255489,1.0
244,H1172TS446_1,0.23552894211576847,1.0
245,H1172TS446_2,0.21756487025948104,1.0
246,H1172TS446_3,0.1936127744510978,1.0
