,model,interface_size_norm,model_size_norm
0,T1174TS003_1o,2.5798816568047336,1.0
1,T1174TS003_2o,2.5719921104536487,1.0
2,T1174TS003_3o,2.601577909270217,1.0
3,T1174TS003_4o,2.5562130177514795,1.0
4,T1174TS003_5o,2.6508875739644973,1.0
5,T1174TS011_1o,2.5719921104536487,1.0
6,T1174TS011_2o,2.6449704142011834,1.0
7,T1174TS011_3o,2.489151873767258,1.0
8,T1174TS011_4o,2.7928994082840237,1.0
9,T1174TS011_5o,2.3254437869822486,1.0
10,T1174TS035_1o,2.544378698224852,1.0
11,T1174TS035_2o,4.834319526627219,1.0
12,T1174TS035_3o,2.5384615384615383,1.0
13,T1174TS035_4o,2.5226824457593686,1.0
14,T1174TS035_5o,2.560157790927022,1.0
15,T1174TS037_1o,2.621301775147929,1.0
16,T1174TS037_2o,2.668639053254438,1.0
17,T1174TS037_3o,2.155818540433925,1.0
18,T1174TS037_4o,2.1321499013806706,1.0
19,T1174TS037_5o,2.7948717948717947,1.0
20,T1174TS054_1o,2.3767258382642997,1.0
21,T1174TS054_2o,2.7317554240631163,1.0
22,T1174TS054_3o,2.8698224852071004,1.0
23,T1174TS054_4o,2.8678500986193294,1.0
24,T1174TS054_5o,2.5877712031558184,1.0
25,T1174TS071_1o,2.603550295857988,1.0
26,T1174TS071_2o,2.4635108481262327,1.0
27,T1174TS071_3o,2.6351084812623276,1.0
28,T1174TS071_4o,2.437869822485207,1.0
29,T1174TS071_5o,2.5305719921104535,1.0
30,T1174TS073_1o,2.7041420118343193,1.0
31,T1174TS073_2o,2.094674556213018,1.0
32,T1174TS073_3o,1.8027613412228798,1.0
33,T1174TS073_4o,1.8264299802761341,1.0
34,T1174TS073_5o,1.9723865877712032,1.0
35,T1174TS074_1o,2.7830374753451674,1.0
36,T1174TS074_2o,2.126232741617357,1.0
37,T1174TS074_3o,1.913214990138067,1.0
38,T1174TS074_4o,1.8323471400394478,1.0
39,T1174TS074_5o,1.982248520710059,1.0
40,T1174TS086_1o,2.5719921104536487,1.0
41,T1174TS086_2o,2.6252465483234713,1.0
42,T1174TS086_3o,2.6508875739644973,1.0
43,T1174TS086_4o,2.6666666666666665,1.0
44,T1174TS086_5o,2.5562130177514795,1.0
45,T1174TS091_1o,3.0138067061143983,1.0
46,T1174TS091_2o,3.1676528599605525,1.0
47,T1174TS091_3o,3.06508875739645,1.0
48,T1174TS091_4o,3.027613412228797,1.0
49,T1174TS091_5o,3.2169625246548326,1.0
50,T1174TS098_1o,2.662721893491124,1.0
51,T1174TS098_2o,2.7297830374753453,1.0
52,T1174TS098_3o,2.497041420118343,1.0
53,T1174TS098_4o,0.5739644970414202,1.0
54,T1174TS098_5o,0.4339250493096647,1.0
55,T1174TS119_1o,2.554240631163708,1.0
56,T1174TS119_2o,2.6232741617357003,1.0
57,T1174TS119_3o,2.1775147928994083,1.0
58,T1174TS119_4o,2.224852071005917,1.0
59,T1174TS119_5o,2.717948717948718,1.0
60,T1174TS125_1o,2.3767258382642997,1.0
61,T1174TS125_2o,2.7317554240631163,1.0
