,model,tmscore
0,H1106TS348_3,0.93266
1,H1106TS312_3,0.60255
2,H1106TS037_2,0.93244
3,H1106TS423_2,0.93084
4,H1106TS205_3,0.85178
5,H1106TS348_4,0.93347
6,H1106TS423_3,0.93407
7,H1106TS205_4,0.896
8,H1106TS312_4,0.67852
9,H1106TS037_3,0.93428
10,H1106TS348_5,0.85528
11,H1106TS423_4,0.93265
12,H1106TS205_5,0.84296
13,H1106TS188_4,0.84629
14,H1106TS037_4,0.92445
15,H1106TS350_1,0.85153
16,H1106TS423_5,0.89581
17,H1106TS215_1,0.9232
18,H1106TS125_2,0.61035
19,H1106TS350_2,0.85194
20,H1106TS037_5,0.93553
21,H1106TS433_1,0.93611
22,H1106TS225_1,0.84175
23,H1106TS125_3,0.9322
24,H1106TS350_3,0.85425
25,H1106TS433_2,0.93487
26,H1106TS054_1,0.93742
27,H1106TS125_4,0.92068
28,H1106TS225_2,0.8492
29,H1106TS433_3,0.93562
30,H1106TS350_4,0.84793
31,H1106TS054_2,0.92617
32,H1106TS225_3,0.83997
33,H1106TS125_5,0.61358
34,H1106TS350_5,0.90999
35,H1106TS433_4,0.93481
36,H1106TS131_1,0.93335
37,H1106TS054_3,0.93487
38,H1106TS225_4,0.9342
39,H1106TS131_2,0.93375
40,H1106TS433_5,0.93486
41,H1106TS360_1,0.92594
42,H1106TS054_4,0.92567
43,H1106TS225_5,0.80243
44,H1106TS434_1,0.87227
45,H1106TS131_3,0.9321
46,H1106TS360_2,0.92293
47,H1106TS054_5,0.93221
48,H1106TS227_1,0.80756
49,H1106TS131_4,0.93394
50,H1106TS434_2,0.84944
51,H1106TS360_3,0.9255
52,H1106TS067_1,0.6398
53,H1106TS227_2,0.80844
54,H1106TS131_5,0.9327
55,H1106TS067_2,0.65511
56,H1106TS434_3,0.84753
57,H1106TS360_4,0.92813
58,H1106TS147_1,0.83347
59,H1106TS227_3,0.80885
60,H1106TS071_1,0.91497
61,H1106TS434_4,0.85417
62,H1106TS360_5,0.92185
63,H1106TS147_2,0.83467
64,H1106TS071_2,0.91027
65,H1106TS434_5,0.85578
66,H1106TS227_4,0.80933
67,H1106TS367_1,0.9112
68,H1106TS439_1,0.91057
69,H1106TS071_3,0.90715
70,H1106TS147_3,0.8242
71,H1106TS227_5,0.80803
72,H1106TS071_4,0.90415
73,H1106TS147_4,0.85853
74,H1106TS439_2,0.93299
75,H1106TS367_2,0.93211
76,H1106TS229_1,0.8516
77,H1106TS071_5,0.91602
78,H1106TS147_5,0.83748
79,H1106TS439_3,0.93211
80,H1106TS367_3,0.93166
81,H1106TS229_2,0.93378
82,H1106TS073_1,0.84668
83,H1106TS439_4,0.84959
84,H1106TS367_4,0.9322
85,H1106TS229_3,0.92631
86,H1106TS150_1,0.9342
87,H1106TS073_2,0.8681
88,H1106TS439_5,0.85472
89,H1106TS229_4,0.92573
90,H1106TS367_5,0.9125
91,H1106TS150_2,0.93301
92,H1106TS441_1,0.93611
93,H1106TS073_3,0.83632
94,H1106TS229_5,0.85463
95,H1106TS368_1,0.32227
96,H1106TS150_3,0.93396
97,H1106TS441_2,0.93487
