,model,tmscore
0,T1161TS360_2,0.43087
1,T1161TS374_1,0.58562
2,T1161TS150_3,0.42501
3,T1161TS291_3,0.88263
4,T1161TS074_5,0.41606
5,T1161TS291_2,0.44144
6,T1161TS439_3,0.42699
7,T1161TS439_4,0.44006
8,T1161TS180_1,0.57632
9,T1161TS399_5,0.43873
10,T1161TS444_3,0.43122
11,T1161TS493_3,0.36971
12,T1161TS390_2,0.43914
13,T1161TS125_1,0.429
14,T1161TS291_1,0.41662
15,T1161TS399_1,0.429
16,T1161TS187_5,0.44061
17,T1161TS091_1,0.42188
18,T1161TS125_3,0.43913
19,T1161TS462_1,0.57632
20,T1161TS225_5,0.43712
21,T1161TS188_5,0.43836
22,T1161TS239_2,0.44062
23,T1161TS158_1,0.43707
24,T1161TS147_2,0.43997
25,T1161TS312_2,0.31986
26,T1161TS298_4,0.43817
27,T1161TS054_4,0.44186
28,T1161TS150_5,0.43196
29,T1161TS423_4,0.40711
30,T1161TS248_5,0.55376
31,T1161TS291_5,0.44411
32,T1161TS054_1,0.429
33,T1161TS147_5,0.42444
34,T1161TS074_1,0.44163
35,T1161TS150_2,0.41445
36,T1161TS314_1,0.68844
37,T1161TS165_3,0.42168
38,T1161TS398_1,0.4447
39,T1161TS158_4,0.4378
40,T1161TS315_5,0.4403
41,T1161TS320_3,0.43937
42,T1161TS494_2,0.57886
43,T1161TS071_5,0.41371
44,T1161TS071_4,0.43856
45,T1161TS288_2,0.43074
46,T1161TS348_3,0.43372
47,T1161TS086_3,0.43928
48,T1161TS374_2,0.57487
49,T1161TS423_5,0.44061
50,T1161TS477_1,0.4365
51,T1161TS312_1,0.32783
52,T1161TS185_1,0.45342
53,T1161TS003_5,0.43955
54,T1161TS348_1,0.41512
55,T1161TS205_2,0.44154
56,T1161TS098_2,0.43915
57,T1161TS278_3,0.50981
58,T1161TS188_4,0.43871
59,T1161TS320_2,0.43914
60,T1161TS398_3,0.41487
61,T1161TS399_2,0.44057
62,T1161TS071_3,0.4367
63,T1161TS165_5,0.44603
64,T1161TS205_4,0.44322
65,T1161TS119_1,0.41732
66,T1161TS086_4,0.44094
67,T1161TS312_4,0.33127
68,T1161TS314_4,0.44066
69,T1161TS188_2,0.43915
70,T1161TS003_1,0.44062
71,T1161TS288_1,0.44163
72,T1161TS187_2,0.44829
73,T1161TS147_4,0.4314
74,T1161TS239_1,0.43752
75,T1161TS071_2,0.59341
76,T1161TS091_2,0.41645
77,T1161TS461_3,0.57326
78,T1161TS158_2,0.43802
79,T1161TS447_3,0.57067
80,T1161TS350_3,0.88263
81,T1161TS086_5,0.43853
82,T1161TS314_2,0.65295
83,T1161TS446_3,0.57326
84,T1161TS225_4,0.45268
85,T1161TS367_3,0.43784
86,T1161TS180_3,0.58485
87,T1161TS205_1,0.41727
88,T1161TS248_4,0.44512
89,T1161TS054_3,0.43913
90,T1161TS461_2,0.5861
91,T1161TS073_4,0.42542
92,T1161TS493_1,0.42287
93,T1161TS147_3,0.43062
94,T1161TS278_1,0.43837
95,T1161TS225_1,0.43687
96,T1161TS187_4,0.40711
97,T1161TS229_2,0.44062
98,T1161TS073_5,0.42807
99,T1161TS229_1,0.43752
100,T1161TS288_3,0.41663
101,T1161TS037_4,0.58189
102,T1161TS119_3,0.43395
103,T1161TS131_5,0.43255
104,T1161TS462_5,0.55686
105,T1161TS225_3,0.42851
106,T1161TS035_5,0.41534
107,T1161TS091_3,0.4196
108,T1161TS147_1,0.42613
109,T1161TS298_3,0.43969
110,T1161TS447_4,0.57067
111,T1161TS398_5,0.45999
112,T1161TS320_1,0.44066
113,T1161TS423_3,0.44196
114,T1161TS439_5,0.43211
115,T1161TS248_1,0.57157
116,T1161TS360_3,0.43511
117,T1161TS119_5,0.57621
118,T1161TS165_4,0.44218
119,T1161TS493_2,0.41767
120,T1161TS367_5,0.43811
121,T1161TS360_4,0.43881
122,T1161TS165_2,0.46201
123,T1161TS278_4,0.43991
124,T1161TS444_4,0.43547
125,T1161TS003_4,0.4378
126,T1161TS494_1,0.57989
127,T1161TS447_5,0.57067
128,T1161TS180_2,0.57324
129,T1161TS165_1,0.41337
130,T1161TS288_5,0.41606
131,T1161TS320_4,0.43883
132,T1161TS185_3,0.44899
133,T1161TS367_4,0.43796
134,T1161TS098_5,0.43836
