,T1115TS003_1o,T1115TS003_2o,T1115TS003_3o,T1115TS003_4o,T1115TS003_5o,T1115TS035_1o,T1115TS035_2o,T1115TS035_3o,T1115TS035_4o,T1115TS035_5o,T1115TS054_1o,T1115TS054_2o,T1115TS054_3o,T1115TS054_4o,T1115TS054_5o,T1115TS071_1o,T1115TS071_2o,T1115TS071_3o,T1115TS071_4o,T1115TS071_5o,T1115TS086_1o,T1115TS086_2o,T1115TS086_3o,T1115TS086_4o,T1115TS086_5o,T1115TS091_1o,T1115TS091_2o,T1115TS091_3o,T1115TS091_4o,T1115TS091_5o,T1115TS098_1o,T1115TS098_2o,T1115TS098_3o,T1115TS098_4o,T1115TS098_5o,T1115TS119_1o,T1115TS119_2o,T1115TS119_3o,T1115TS119_4o,T1115TS119_5o,T1115TS125_1o,T1115TS125_2o,T1115TS125_3o,T1115TS125_4o,T1115TS125_5o,T1115TS131_1o,T1115TS131_2o,T1115TS131_3o,T1115TS131_4o,T1115TS131_5o,T1115TS147_1o,T1115TS147_2o,T1115TS147_3o,T1115TS147_4o,T1115TS147_5o,T1115TS150_1o,T1115TS150_2o,T1115TS150_3o,T1115TS150_4o,T1115TS150_5o,T1115TS158_1o,T1115TS158_2o,T1115TS158_3o,T1115TS158_4o,T1115TS158_5o,T1115TS165_1o,T1115TS165_2o,T1115TS165_3o,T1115TS165_4o,T1115TS165_5o,T1115TS169_1o,T1115TS169_2o,T1115TS169_3o,T1115TS169_4o,T1115TS169_5o,T1115TS180_1o,T1115TS180_2o,T1115TS180_3o,T1115TS180_4o,T1115TS180_5o,T1115TS185_1o,T1115TS185_2o,T1115TS185_3o,T1115TS185_4o,T1115TS185_5o,T1115TS187_1o,T1115TS187_2o,T1115TS187_3o,T1115TS187_4o,T1115TS187_5o,T1115TS188_1o,T1115TS188_2o,T1115TS188_3o,T1115TS188_4o,T1115TS188_5o,T1115TS234_1o,T1115TS239_1o,T1115TS239_2o,T1115TS239_3o,T1115TS239_4o,T1115TS239_5o,T1115TS248_1o,T1115TS248_2o,T1115TS248_3o,T1115TS248_4o,T1115TS248_5o,T1115TS278_1o,T1115TS278_2o,T1115TS278_3o,T1115TS278_4o,T1115TS278_5o,T1115TS288_1o,T1115TS288_2o,T1115TS288_3o,T1115TS288_4o,T1115TS288_5o,T1115TS298_1o,T1115TS298_2o,T1115TS298_3o,T1115TS298_4o,T1115TS298_5o,T1115TS320_1o,T1115TS320_2o,T1115TS320_3o,T1115TS320_4o,T1115TS348_1o,T1115TS348_2o,T1115TS348_3o,T1115TS348_4o,T1115TS348_5o,T1115TS352_1o,T1115TS352_2o,T1115TS352_3o,T1115TS352_4o,T1115TS352_5o,T1115TS360_1o,T1115TS360_2o,T1115TS360_3o,T1115TS360_4o,T1115TS360_5o,T1115TS367_1o,T1115TS367_2o,T1115TS367_3o,T1115TS367_4o,T1115TS367_5o,T1115TS374_1o,T1115TS374_2o,T1115TS374_3o,T1115TS374_4o,T1115TS374_5o,T1115TS385_1o,T1115TS390_1o,T1115TS390_2o,T1115TS390_3o,T1115TS390_4o,T1115TS390_5o,T1115TS397_1o,T1115TS397_2o,T1115TS397_3o,T1115TS397_4o,T1115TS397_5o,T1115TS399_1o,T1115TS399_2o,T1115TS399_3o,T1115TS399_4o,T1115TS399_5o,T1115TS423_1o,T1115TS423_2o,T1115TS423_3o,T1115TS423_4o,T1115TS423_5o,T1115TS439_1o,T1115TS439_2o,T1115TS439_3o,T1115TS439_4o,T1115TS439_5o,T1115TS461_1o,T1115TS462_1o,T1115TS462_2o,T1115TS462_3o,T1115TS462_4o,T1115TS462_5o,T1115TS494_1o,T1115TS494_2o,T1115TS494_3o,T1115TS494_4o,T1115TS494_5o
0,1.0,0.78277,0.90365,0.65399,0.70305,0.23494,0.30031,0.26388,0.26378,0.34045,0.11473,0.26424,0.18529,0.13991,0.16751,0.1048,0.10825,0.09867,0.09937,0.09786,0.89977,0.90578,0.91016,0.94373,0.96061,0.34062,0.28108,0.33616,0.34351,0.33609,0.35264,0.35264,0.14207,0.14207,0.35227,0.22556,0.25051,0.14289,0.25082,0.1372,0.11473,0.26424,0.18529,0.13991,0.16751,0.38099,0.26076,0.23548,0.2243,0.29764,0.3523,0.18081,0.86174,0.38309,0.35872,0.30809,0.30094,0.29094,0.34283,0.35639,0.94373,0.96061,0.94909,0.89977,0.90578,0.30847,0.31354,0.32116,0.30847,0.38859,0.35264,0.14207,0.35264,0.14207,0.14207,0.42121,0.24999,0.33714,0.24603,0.20653,0.37574,0.36868,0.36798,0.3839,0.36663,0.18906,0.22593,0.23018,0.21146,0.21799,0.31558,0.31558,0.31558,0.31482,0.35227,0.21586,0.29336,0.19735,0.21213,0.24604,0.16212,0.27037,0.23494,0.30031,0.26388,0.26432,0.1683,0.17074,0.09436,0.33514,0.14717,0.20956,0.18195,0.17746,0.1799,0.17495,0.35227,0.31482,0.29898,0.3137,0.31337,0.33074,0.32311,0.18021,0.34903,0.33797,0.33141,0.35721,0.36123,0.34366,0.29672,0.2917,0.28433,0.33443,0.32304,0.29858,0.29904,0.23957,0.30227,0.28499,0.95688,0.75139,0.91528,0.64536,0.70701,0.39241,0.39015,0.38543,0.38128,0.39603,0.04846,0.46245,0.43447,0.44835,0.43964,0.44753,0.31928,0.31489,0.30893,0.32421,0.30244,0.11473,0.26424,0.18529,0.13991,0.16751,0.58323,0.59005,0.40861,0.61256,0.55012,0.21213,0.18295,0.19735,0.27954,0.24604,0.83956,0.11275,0.1125,0.11184,0.11238,0.108,0.3384,0.33761,0.33753,0.29912,0.35806
1,0.78277,1.0,0.78217,0.49242,0.57633,0.21881,0.27196,0.11368,0.2381,0.33114,0.12013,0.26454,0.1927,0.14803,0.15828,0.10847,0.11134,0.10244,0.097,0.09821,0.74803,0.80026,0.79828,0.78147,0.80225,0.34716,0.26332,0.34494,0.35349,0.3422,0.33722,0.33722,0.09017,0.09017,0.33287,0.24472,0.22102,0.14427,0.22268,0.14034,0.12013,0.26454,0.1927,0.14803,0.15828,0.3808,0.26501,0.22796,0.19837,0.29263,0.37502,0.18892,0.67291,0.38902,0.38078,0.33035,0.32317,0.2974,0.3644,0.36144,0.78147,0.80225,0.78139,0.74803,0.80026,0.29831,0.29946,0.30146,0.29831,0.36944,0.33722,0.09017,0.33722,0.09017,0.09017,0.39277,0.24441,0.35145,0.25862,0.2099,0.34618,0.34682,0.35196,0.35509,0.3431,0.19559,0.21994,0.22859,0.21928,0.22071,0.30696,0.30696,0.30696,0.30684,0.33287,0.19759,0.31971,0.19667,0.21568,0.27343,0.15239,0.23878,0.21881,0.27196,0.11368,0.28518,0.16899,0.16815,0.08567,0.30131,0.14955,0.22175,0.19069,0.18652,0.19133,0.18679,0.33266,0.30685,0.30583,0.30636,0.32198,0.38035,0.33606,0.18286,0.36345,0.3649,0.37164,0.38258,0.3904,0.37074,0.32854,0.32838,0.32606,0.35844,0.35383,0.30327,0.30825,0.26146,0.35493,0.30313,0.80151,0.91062,0.78217,0.49527,0.56432,0.37972,0.37741,0.37029,0.37843,0.3819,0.08765,0.43121,0.36583,0.4063,0.37594,0.4081,0.29088,0.29459,0.28332,0.31261,0.30808,0.12013,0.26454,0.1927,0.14803,0.15828,0.44883,0.52606,0.37372,0.47029,0.46516,0.21568,0.18506,0.19667,0.31628,0.27343,0.76692,0.10908,0.10897,0.1096,0.11039,0.10676,0.30907,0.30547,0.31114,0.29081,0.31881
2,0.90365,0.78217,1.0,0.63343,0.67847,0.24287,0.30432,0.26814,0.27337,0.35634,0.11352,0.25941,0.18968,0.14651,0.16406,0.11103,0.10805,0.10312,0.10169,0.09377,0.94001,0.93992,0.93349,0.90766,0.91369,0.33901,0.28016,0.32494,0.3277,0.32151,0.35127,0.35127,0.08508,0.08508,0.35185,0.22247,0.24502,0.15187,0.25292,0.13889,0.11352,0.25941,0.18968,0.14651,0.16406,0.37387,0.26225,0.22519,0.22678,0.28149,0.36627,0.17717,0.85288,0.38116,0.35461,0.31638,0.29244,0.29435,0.35543,0.36211,0.90766,0.91369,0.90164,0.94001,0.93992,0.31161,0.31507,0.31351,0.31161,0.37719,0.35127,0.08508,0.35127,0.08508,0.08508,0.42066,0.25892,0.34665,0.24099,0.19396,0.37121,0.3662,0.36868,0.37899,0.36893,0.19495,0.23179,0.22952,0.21933,0.22157,0.31825,0.31825,0.31825,0.31744,0.35185,0.21836,0.30431,0.19147,0.2058,0.2555,0.15381,0.26494,0.24287,0.30432,0.26814,0.27548,0.16926,0.16712,0.09284,0.34115,0.14326,0.21836,0.18406,0.16619,0.16804,0.16558,0.35185,0.31744,0.30671,0.3155,0.30687,0.34139,0.33835,0.18202,0.36421,0.3591,0.36257,0.3587,0.37452,0.34372,0.2924,0.29258,0.28747,0.33444,0.33117,0.29217,0.29623,0.24329,0.31068,0.28504,0.90802,0.75745,0.94394,0.63109,0.6715,0.38556,0.38399,0.39804,0.38199,0.37615,0.04766,0.46494,0.43073,0.44126,0.43313,0.4434,0.32204,0.31747,0.31171,0.33656,0.29934,0.11352,0.25941,0.18968,0.14651,0.16406,0.57341,0.60575,0.40799,0.60508,0.5458,0.2058,0.18569,0.19147,0.29218,0.2555,0.78486,0.10698,0.10665,0.11262,0.10743,0.10396,0.33915,0.33693,0.34202,0.30388,0.35429
3,0.65399,0.49242,0.63343,1.0,0.86696,0.20109,0.23402,0.21243,0.23667,0.28368,0.11092,0.22011,0.17194,0.13839,0.16767,0.10631,0.10561,0.10504,0.09836,0.10001,0.6494,0.63147,0.63531,0.65497,0.65492,0.26228,0.22983,0.2637,0.26951,0.26546,0.29037,0.29037,0.12524,0.12524,0.28417,0.1853,0.19847,0.14476,0.20306,0.13736,0.11092,0.22011,0.17194,0.13839,0.16767,0.34652,0.24754,0.20742,0.20246,0.26838,0.27537,0.16546,0.69527,0.29161,0.27599,0.25687,0.22745,0.25241,0.27821,0.28465,0.65497,0.65492,0.65079,0.6494,0.63147,0.2696,0.26582,0.26588,0.2696,0.31138,0.29037,0.12524,0.29037,0.12524,0.12524,0.41064,0.28678,0.29439,0.21719,0.16769,0.30363,0.30163,0.3045,0.30551,0.29808,0.19734,0.22654,0.21746,0.21616,0.2079,0.25188,0.25188,0.25188,0.25148,0.28417,0.19709,0.25829,0.19248,0.20383,0.19577,0.1395,0.23566,0.20109,0.23402,0.21243,0.23304,0.16795,0.16706,0.09262,0.28542,0.14859,0.19614,0.16482,0.16316,0.16748,0.16515,0.28417,0.25148,0.23913,0.25115,0.23932,0.26604,0.2443,0.1619,0.28414,0.27872,0.27782,0.27913,0.28837,0.26817,0.23055,0.2213,0.22627,0.26158,0.25575,0.24271,0.24911,0.21666,0.26525,0.24504,0.64116,0.46724,0.63596,0.95795,0.88095,0.31847,0.32242,0.32819,0.33218,0.33133,0.08992,0.4347,0.47068,0.45641,0.45335,0.45097,0.27804,0.28447,0.27036,0.29415,0.25629,0.11092,0.22011,0.17194,0.13839,0.16767,0.57653,0.42349,0.40365,0.54818,0.42277,0.20383,0.18274,0.19248,0.24653,0.19577,0.59032,0.11127,0.11041,0.11196,0.11125,0.10892,0.28104,0.28119,0.28726,0.26031,0.3046
4,0.70305,0.57675,0.67847,0.86696,1.0,0.21906,0.26693,0.23771,0.23601,0.30796,0.1153,0.22965,0.17358,0.14065,0.16656,0.10935,0.10832,0.09623,0.10017,0.09744,0.7046,0.68747,0.69075,0.71457,0.71036,0.287,0.247,0.2719,0.29031,0.26575,0.2978,0.2978,0.14085,0.14085,0.29811,0.20248,0.21946,0.14814,0.20954,0.1383,0.1153,0.22965,0.17358,0.14065,0.16656,0.34262,0.25411,0.22029,0.20217,0.27766,0.29553,0.1344,0.73296,0.32268,0.2983,0.26211,0.2508,0.26678,0.29153,0.3012,0.71457,0.71036,0.70936,0.7046,0.68747,0.2723,0.26853,0.27156,0.2723,0.32407,0.2978,0.14085,0.2978,0.14085,0.14085,0.43946,0.26823,0.30078,0.23341,0.17993,0.31869,0.31758,0.31435,0.32026,0.3138,0.20001,0.22699,0.2237,0.21649,0.2121,0.26577,0.26577,0.26577,0.26343,0.29811,0.19469,0.26918,0.19323,0.20573,0.21926,0.14574,0.2305,0.21906,0.26693,0.23771,0.24856,0.17169,0.16687,0.09026,0.29364,0.14941,0.20587,0.17196,0.16787,0.17215,0.16636,0.29811,0.26343,0.25535,0.2637,0.25615,0.30343,0.28175,0.16238,0.30967,0.30672,0.30813,0.30465,0.30958,0.2964,0.25042,0.24209,0.24166,0.28138,0.28033,0.26662,0.26006,0.22733,0.29156,0.25941,0.69942,0.54385,0.69513,0.87348,0.9542,0.34387,0.33347,0.34001,0.34506,0.34343,0.05315,0.43653,0.47196,0.47891,0.46215,0.46853,0.28328,0.2813,0.27359,0.29298,0.26837,0.1153,0.22965,0.17358,0.14065,0.16656,0.55592,0.45112,0.4043,0.51782,0.44112,0.20573,0.18408,0.19323,0.25923,0.21926,0.63518,0.10809,0.1079,0.11203,0.10844,0.10452,0.28818,0.28875,0.2943,0.26691,0.31015
5,0.24631,0.21911,0.23404,0.21377,0.21575,1.0,0.73684,0.78655,0.72808,0.0932,0.2485,0.19495,0.37955,0.26196,0.19857,0.07543,0.05407,0.05254,0.05392,0.05714,0.2257,0.22862,0.22849,0.23894,0.23188,0.10299,0.63803,0.10515,0.09922,0.10207,0.1773,0.1773,0.12575,0.12575,0.17096,0.37838,0.23088,0.17901,0.22778,0.17995,0.2485,0.19495,0.37955,0.26196,0.19857,0.22246,0.08121,0.28813,0.0836,0.09093,0.11578,0.24701,0.25475,0.12001,0.18647,0.17152,0.09595,0.24958,0.09897,0.10819,0.23894,0.23188,0.2316,0.2257,0.22862,0.45117,0.4237,0.48123,0.45117,0.35107,0.1773,0.12575,0.1773,0.12575,0.12575,0.18019,0.12761,0.15549,0.08986,0.21141,0.17633,0.18485,0.14123,0.15691,0.18446,0.12244,0.12994,0.14199,0.1332,0.13406,0.15701,0.15701,0.15701,0.15918,0.17096,0.33075,0.23383,0.12525,0.13734,0.09392,0.07845,0.72359,1.0,0.73684,0.78655,0.21894,0.11722,0.06827,0.07373,0.23832,0.06174,0.1542,0.13409,0.13622,0.13516,0.13443,0.17096,0.15918,0.12121,0.16138,0.11827,0.10027,0.11814,0.25205,0.14302,0.10482,0.10373,0.10745,0.10665,0.10717,0.09579,0.095,0.09565,0.09692,0.09829,0.17355,0.17785,0.22655,0.17928,0.17101,0.24139,0.20748,0.22906,0.20421,0.21983,0.16157,0.16703,0.1638,0.31292,0.16325,0.05678,0.19269,0.16654,0.18278,0.1724,0.19063,0.22419,0.2131,0.21476,0.19823,0.15958,0.2485,0.19495,0.37955,0.26196,0.19857,0.24425,0.29347,0.23464,0.24885,0.25999,0.13734,0.11727,0.12525,0.2377,0.09392,0.24872,0.08732,0.08378,0.08523,0.08373,0.07321,0.21476,0.21399,0.20943,0.23511,0.2172
6,0.30241,0.26236,0.30432,0.24088,0.27098,0.73684,1.0,0.87868,0.86027,0.12998,0.19027,0.39009,0.37927,0.25222,0.18119,0.06642,0.07659,0.0777,0.06652,0.06535,0.27694,0.29563,0.29977,0.27378,0.29343,0.35162,0.73627,0.33959,0.15522,0.34624,0.21479,0.21479,0.10857,0.10857,0.21805,0.43173,0.25074,0.23499,0.25092,0.23596,0.19027,0.39009,0.37927,0.25222,0.18119,0.27202,0.29387,0.26475,0.25738,0.32653,0.36457,0.21054,0.31779,0.15068,0.14385,0.22323,0.13916,0.70731,0.13913,0.19488,0.27378,0.29343,0.29521,0.27694,0.29563,0.67608,0.62699,0.67569,0.67608,0.54897,0.21479,0.10857,0.21479,0.10857,0.10857,0.21688,0.15821,0.21035,0.26781,0.26073,0.23185,0.22408,0.21184,0.69343,0.73714,0.15693,0.17116,0.17187,0.17271,0.1646,0.21818,0.21818,0.21818,0.21738,0.21805,0.24335,0.28643,0.15998,0.17448,0.15403,0.19276,0.85346,0.73684,1.0,0.87868,0.25424,0.13703,0.14233,0.06482,0.21745,0.12696,0.19399,0.16483,0.16481,0.16714,0.16531,0.21691,0.21738,0.20496,0.21649,0.16332,0.27943,0.18068,0.16421,0.41405,0.14942,0.14859,0.14709,0.15133,0.14685,0.15086,0.27329,0.26834,0.27263,0.1434,0.23513,0.22374,0.2475,0.2125,0.21211,0.30597,0.26963,0.29025,0.23052,0.25809,0.47786,0.47301,0.17174,0.47921,0.15984,0.08357,0.2354,0.21547,0.21846,0.22025,0.22041,0.23541,0.23911,0.23154,0.23321,0.18665,0.19027,0.39009,0.37927,0.25222,0.18119,0.29982,0.36079,0.29196,0.31465,0.32889,0.17448,0.15032,0.15998,0.28042,0.15403,0.31532,0.10339,0.10123,0.10176,0.09922,0.0788,0.23754,0.239,0.2454,0.72778,0.60613
7,0.24527,0.25533,0.27056,0.21239,0.21737,0.78661,0.87863,1.0,0.80807,0.11707,0.2096,0.27761,0.38669,0.23428,0.17995,0.06116,0.07785,0.05256,0.05572,0.05964,0.2672,0.26948,0.27123,0.11606,0.26602,0.15541,0.7175,0.15503,0.1418,0.12182,0.21828,0.21828,0.10194,0.10194,0.21534,0.4073,0.25097,0.21797,0.25002,0.23721,0.2096,0.27761,0.38669,0.23428,0.17995,0.09534,0.26864,0.24005,0.0801,0.28954,0.16669,0.19556,0.13164,0.15971,0.15774,0.21572,0.15228,0.23849,0.16584,0.18409,0.11606,0.26602,0.26674,0.2672,0.26948,0.23578,0.23288,0.23763,0.23578,0.46367,0.21828,0.10194,0.21828,0.10194,0.10194,0.18917,0.1302,0.17254,0.24841,0.22695,0.23565,0.22959,0.23419,0.23231,0.23652,0.14523,0.15232,0.14038,0.15587,0.14025,0.20617,0.20617,0.20617,0.20362,0.21534,0.24899,0.09479,0.15115,0.15782,0.14781,0.08133,0.79998,0.78661,0.87863,1.0,0.25793,0.12087,0.12305,0.06976,0.22853,0.11262,0.16938,0.1428,0.14211,0.15284,0.14253,0.21484,0.21203,0.19336,0.21219,0.15033,0.13135,0.17325,0.0774,0.17224,0.15537,0.1443,0.14375,0.16492,0.15031,0.13379,0.14053,0.14343,0.15044,0.16174,0.20756,0.16684,0.22846,0.09334,0.19066,0.1232,0.24927,0.26805,0.20673,0.22331,0.17296,0.175,0.1729,0.17385,0.14597,0.07957,0.20881,0.17077,0.20171,0.17296,0.20276,0.23908,0.23465,0.23667,0.22795,0.19785,0.2096,0.27761,0.38669,0.23428,0.17995,0.13832,0.34169,0.12417,0.29422,0.29959,0.15782,0.13732,0.15115,0.09119,0.14781,0.28873,0.05448,0.0526,0.05345,0.05508,0.06948,0.23433,0.23464,0.24428,0.24196,0.22156
8,0.27038,0.23875,0.27495,0.22442,0.2364,0.728,0.86027,0.80807,1.0,0.21627,0.19497,0.28253,0.33886,0.20595,0.18717,0.05981,0.06995,0.07958,0.06145,0.06082,0.2671,0.27152,0.2674,0.24954,0.25228,0.25963,0.68362,0.1242,0.12509,0.26162,0.20952,0.20952,0.09661,0.09661,0.21393,0.44461,0.24682,0.23343,0.24535,0.23104,0.19497,0.28253,0.33886,0.20595,0.18717,0.26936,0.30796,0.252,0.24503,0.29181,0.28758,0.20409,0.29017,0.15031,0.27435,0.23076,0.278,0.62915,0.13852,0.18923,0.24954,0.25228,0.26877,0.2671,0.27152,0.62117,0.57826,0.23913,0.62117,0.47787,0.20952,0.09661,0.20952,0.09661,0.09661,0.1965,0.13167,0.17727,0.24937,0.22691,0.21083,0.21954,0.20731,0.60114,0.22362,0.15554,0.14937,0.15341,0.15278,0.14318,0.21443,0.21443,0.21443,0.21339,0.21393,0.25971,0.26599,0.16019,0.16397,0.13596,0.19575,0.93663,0.728,0.86027,0.80807,0.22276,0.11713,0.12725,0.0655,0.23086,0.12925,0.15607,0.17381,0.17085,0.17305,0.17385,0.21313,0.21339,0.202,0.21226,0.14772,0.10989,0.36201,0.15688,0.34952,0.13204,0.13909,0.13678,0.26891,0.12335,0.11644,0.19156,0.11479,0.11445,0.13511,0.20519,0.19533,0.24085,0.19081,0.18899,0.27818,0.23003,0.26712,0.21423,0.24542,0.15285,0.16295,0.15584,0.43482,0.14834,0.08735,0.21461,0.19358,0.19906,0.17282,0.20105,0.23759,0.2424,0.23422,0.24161,0.1923,0.19497,0.28253,0.33886,0.20595,0.18717,0.25947,0.31394,0.29592,0.26945,0.33247,0.16397,0.14255,0.16019,0.26347,0.13596,0.28967,0.09114,0.08803,0.0865,0.08485,0.07707,0.23558,0.23555,0.23788,0.24312,0.22522
9,0.35277,0.34402,0.36042,0.28089,0.30796,0.10015,0.15258,0.11394,0.21657,1.0,0.12302,0.4851,0.18369,0.17028,0.15707,0.1083,0.10294,0.10483,0.10642,0.06962,0.34254,0.38269,0.35385,0.36598,0.35096,0.48837,0.10499,0.49223,0.49882,0.49533,0.50734,0.50734,0.09426,0.09426,0.50224,0.38685,0.18801,0.12129,0.19201,0.1098,0.12302,0.4851,0.18369,0.17028,0.15707,0.27246,0.21118,0.23775,0.21545,0.2476,0.54417,0.19838,0.35158,0.4621,0.49022,0.37162,0.47435,0.25681,0.66348,0.51931,0.36598,0.35096,0.34587,0.34254,0.38269,0.24199,0.25936,0.24675,0.24199,0.46438,0.50734,0.09426,0.50734,0.09426,0.09426,0.26137,0.1892,0.28325,0.23183,0.23705,0.27398,0.25185,0.30614,0.32375,0.27389,0.14063,0.15607,0.17233,0.15864,0.18058,0.3871,0.3871,0.3871,0.38498,0.50224,0.11342,0.24167,0.14947,0.16285,0.36298,0.16522,0.1996,0.10015,0.15258,0.11394,0.30845,0.13802,0.13825,0.07239,0.23262,0.11323,0.17675,0.14349,0.14523,0.14149,0.12982,0.50224,0.38498,0.39106,0.36933,0.503,0.45691,0.42242,0.18733,0.3627,0.61975,0.60801,0.66454,0.65768,0.66723,0.49821,0.53427,0.52707,0.6913,0.6635,0.30632,0.30369,0.24576,0.28859,0.31629,0.37671,0.35411,0.35445,0.28303,0.31455,0.53399,0.54036,0.55738,0.52566,0.54568,0.09244,0.2681,0.25526,0.26457,0.26352,0.27099,0.25166,0.24351,0.24693,0.20418,0.27666,0.12302,0.4851,0.18369,0.17028,0.15707,0.33025,0.46064,0.31857,0.38434,0.40919,0.16285,0.13524,0.14947,0.22458,0.36298,0.33136,0.09571,0.09727,0.10516,0.09802,0.10034,0.26,0.23137,0.23726,0.22765,0.29406
