,H1111TS003_1,H1111TS003_2,H1111TS003_3,H1111TS003_4,H1111TS003_5,H1111TS035_1,H1111TS035_2,H1111TS035_3,H1111TS035_4,H1111TS035_5,H1111TS037_1,H1111TS037_2,H1111TS037_3,H1111TS037_4,H1111TS037_5,H1111TS054_1,H1111TS054_2,H1111TS054_3,H1111TS054_4,H1111TS054_5,H1111TS086_1,H1111TS086_2,H1111TS086_3,H1111TS086_4,H1111TS086_5,H1111TS091_1,H1111TS091_2,H1111TS091_3,H1111TS091_4,H1111TS091_5,H1111TS092_1,H1111TS097_2,H1111TS097_3,H1111TS097_4,H1111TS097_5,H1111TS098_1,H1111TS098_2,H1111TS098_3,H1111TS098_4,H1111TS098_5,H1111TS119_1,H1111TS119_2,H1111TS119_3,H1111TS119_4,H1111TS119_5,H1111TS125_1,H1111TS125_2,H1111TS125_3,H1111TS125_4,H1111TS125_5,H1111TS147_1,H1111TS147_2,H1111TS147_3,H1111TS150_1,H1111TS150_2,H1111TS150_3,H1111TS150_4,H1111TS150_5,H1111TS158_1,H1111TS158_2,H1111TS158_3,H1111TS158_4,H1111TS158_5,H1111TS165_1,H1111TS169_1,H1111TS169_2,H1111TS169_3,H1111TS169_4,H1111TS169_5,H1111TS180_1,H1111TS180_2,H1111TS180_3,H1111TS180_4,H1111TS180_5,H1111TS185_1,H1111TS185_2,H1111TS185_3,H1111TS185_4,H1111TS185_5,H1111TS187_1,H1111TS187_2,H1111TS187_3,H1111TS187_4,H1111TS187_5,H1111TS188_1,H1111TS188_2,H1111TS188_3,H1111TS188_4,H1111TS188_5,H1111TS225_1,H1111TS225_2,H1111TS227_1,H1111TS227_2,H1111TS227_3,H1111TS227_4,H1111TS227_5,H1111TS234_1,H1111TS234_2,H1111TS234_3,H1111TS234_4,H1111TS234_5,H1111TS239_1,H1111TS239_2,H1111TS239_3,H1111TS239_4,H1111TS239_5,H1111TS245_1,H1111TS245_2,H1111TS245_3,H1111TS245_4,H1111TS245_5,H1111TS248_1,H1111TS248_2,H1111TS248_3,H1111TS248_4,H1111TS248_5,H1111TS257_1,H1111TS278_2,H1111TS278_3,H1111TS278_4,H1111TS278_5,H1111TS288_1,H1111TS288_2,H1111TS288_3,H1111TS288_4,H1111TS288_5,H1111TS298_1,H1111TS298_2,H1111TS298_3,H1111TS298_4,H1111TS298_5,H1111TS320_1,H1111TS320_2,H1111TS320_3,H1111TS320_4,H1111TS320_5,H1111TS333_1,H1111TS333_2,H1111TS333_3,H1111TS333_4,H1111TS333_5,H1111TS348_1,H1111TS348_3,H1111TS348_5,H1111TS360_1,H1111TS360_2,H1111TS360_3,H1111TS360_4,H1111TS360_5,H1111TS367_1,H1111TS367_2,H1111TS367_3,H1111TS367_4,H1111TS367_5,H1111TS368_1,H1111TS368_2,H1111TS368_3,H1111TS368_4,H1111TS368_5,H1111TS374_1,H1111TS374_2,H1111TS374_3,H1111TS374_4,H1111TS374_5,H1111TS385_1,H1111TS385_2,H1111TS385_3,H1111TS385_4,H1111TS385_5,H1111TS390_1,H1111TS390_2,H1111TS390_3,H1111TS390_4,H1111TS390_5,H1111TS397_1,H1111TS397_2,H1111TS397_3,H1111TS397_4,H1111TS397_5,H1111TS399_1,H1111TS399_2,H1111TS399_3,H1111TS399_4,H1111TS399_5,H1111TS423_1,H1111TS423_2,H1111TS423_3,H1111TS423_4,H1111TS433_1,H1111TS433_2,H1111TS433_3,H1111TS433_4,H1111TS433_5,H1111TS434_1,H1111TS434_2,H1111TS439_1,H1111TS439_2,H1111TS439_3,H1111TS439_4,H1111TS439_5,H1111TS441_1,H1111TS441_2,H1111TS441_3,H1111TS441_4,H1111TS441_5,H1111TS444_1,H1111TS444_2,H1111TS444_3,H1111TS444_4,H1111TS444_5,H1111TS446_1,H1111TS446_2,H1111TS446_3,H1111TS446_4,H1111TS446_5,H1111TS461_1,H1111TS461_2,H1111TS461_3,H1111TS461_4,H1111TS461_5,H1111TS462_1,H1111TS462_2,H1111TS462_3,H1111TS462_4,H1111TS462_5,H1111TS494_1,H1111TS494_2,H1111TS494_3,H1111TS494_4
0,1.0,0.995,0.99467,0.99453,0.99596,0.74657,0.71497,0.78254,0.74536,0.73122,0.05195,0.05565,0.06072,0.05331,0.05763,0.14869,0.16251,0.22544,0.3062,0.21742,0.99463,0.9949,0.99485,0.99541,0.99513,0.71402,0.71384,0.71136,0.68812,0.70654,0.08439,0.05285,0.05049,0.05641,0.05834,0.21522,0.21493,0.2154,0.21522,0.21493,0.75842,0.75772,0.75816,0.75911,0.75742,0.14869,0.16251,0.22544,0.3062,0.21742,0.81903,0.81674,0.81759,0.2475,0.30525,0.24035,0.23736,0.28977,0.77663,0.77576,0.78041,0.7756,0.77647,0.66948,0.04548,0.04424,0.04007,0.04016,0.04277,0.44099,0.06084,0.07002,0.06672,0.06235,0.41974,0.28742,0.45986,0.42261,0.49216,0.05774,0.0645,0.05759,0.08782,0.08417,0.21493,0.21522,0.2154,0.2154,0.20931,0.54405,0.54564,0.07165,0.06603,0.07624,0.05846,0.07262,0.41154,0.39721,0.39277,0.38864,0.4486,0.54343,0.54359,0.54427,0.54875,0.55361,0.05742,0.06108,0.05916,0.05678,0.05938,0.71638,0.74622,0.59639,0.74426,0.73021,0.61405,0.75518,0.75595,0.75595,0.75595,0.55791,0.55659,0.55483,0.55715,0.55712,0.20931,0.31928,0.3556,0.19309,0.47073,0.60544,0.59837,0.59763,0.60553,0.60464,0.08447,0.08829,0.09278,0.07386,0.06665,0.72542,0.61875,0.71674,0.20931,0.31928,0.3556,0.19309,0.47073,0.99513,0.99647,0.99541,0.99401,0.99397,0.08447,0.08829,0.09278,0.07386,0.06665,0.85858,0.87972,0.8676,0.85646,0.87795,0.05742,0.06108,0.05916,0.05678,0.05938,0.07755,0.06077,0.05626,0.08567,0.06553,0.76671,0.76956,0.76448,0.76828,0.76115,0.14869,0.16251,0.22544,0.3062,0.21742,0.18679,0.22055,0.20693,0.33482,0.06182,0.06217,0.06715,0.07038,0.06988,0.54561,0.54405,0.6927,0.68764,0.6831,0.69552,0.68976,0.06182,0.06217,0.06715,0.07038,0.06988,0.72605,0.70797,0.71992,0.70945,0.72496,0.05089,0.05222,0.06472,0.05029,0.06122,0.57536,0.05222,0.06472,0.05029,0.06122,0.06417,0.06084,0.07002,0.06672,0.06235,0.62813,0.62949,0.69003,0.70549
1,0.995,1.0,0.99358,0.99547,0.99404,0.74698,0.71693,0.77713,0.74782,0.73049,0.05187,0.05561,0.06064,0.05317,0.05762,0.13601,0.1459,0.22542,0.3048,0.20285,0.99332,0.99453,0.99434,0.99434,0.99711,0.71146,0.71081,0.71721,0.68493,0.70344,0.08428,0.05262,0.05038,0.05616,0.05811,0.21549,0.21443,0.21729,0.21549,0.21443,0.76076,0.76086,0.76018,0.76193,0.76128,0.13601,0.1459,0.22542,0.3048,0.20285,0.81659,0.81467,0.8154,0.24777,0.3006,0.23983,0.23668,0.29017,0.78043,0.7821,0.78286,0.77923,0.77528,0.66847,0.04533,0.039,0.04211,0.03769,0.0424,0.44128,0.0606,0.06819,0.06612,0.06216,0.41976,0.28607,0.46004,0.42233,0.49042,0.0577,0.06427,0.05754,0.08796,0.08404,0.21443,0.21549,0.21729,0.21729,0.21183,0.54166,0.54324,0.07155,0.06443,0.07639,0.06711,0.07207,0.40899,0.42998,0.39104,0.42304,0.4021,0.54097,0.54133,0.54194,0.5463,0.55114,0.05731,0.06079,0.05907,0.05683,0.05922,0.716,0.74628,0.59687,0.74669,0.72948,0.6122,0.75539,0.75523,0.75523,0.75523,0.55566,0.55431,0.55246,0.55499,0.55495,0.21183,0.31831,0.34907,0.19277,0.46911,0.60448,0.59512,0.59405,0.60593,0.59022,0.08395,0.08777,0.07338,0.0727,0.0661,0.72069,0.61542,0.71167,0.21183,0.31831,0.34907,0.19277,0.46911,0.99711,0.99435,0.99434,0.99271,0.99504,0.08395,0.08777,0.07338,0.0727,0.0661,0.86213,0.88258,0.87083,0.86046,0.88091,0.05731,0.06079,0.05907,0.05683,0.05922,0.07496,0.06936,0.06439,0.0854,0.06539,0.76641,0.76931,0.76413,0.76819,0.76019,0.13601,0.1459,0.22542,0.3048,0.20285,0.19022,0.2025,0.22736,0.33502,0.06094,0.06221,0.06651,0.07183,0.06941,0.54324,0.54165,0.68774,0.68245,0.67757,0.69028,0.68487,0.06094,0.06221,0.06651,0.07183,0.06941,0.72152,0.70258,0.71507,0.70387,0.72036,0.05075,0.05189,0.06335,0.05017,0.06103,0.57495,0.05189,0.06335,0.05017,0.06103,0.06333,0.0606,0.06819,0.06612,0.06216,0.62651,0.6277,0.69026,0.70477
2,0.99467,0.99358,1.0,0.99501,0.99526,0.74827,0.71666,0.78043,0.74732,0.7321,0.05198,0.05554,0.06054,0.05319,0.05749,0.13587,0.16567,0.22619,0.27211,0.20035,0.995,0.99536,0.99565,0.99606,0.99285,0.71667,0.71615,0.72477,0.69852,0.70958,0.08775,0.05284,0.05108,0.05621,0.05824,0.21658,0.21078,0.22206,0.21658,0.21078,0.76068,0.75963,0.75981,0.76137,0.76076,0.13587,0.16567,0.22619,0.27211,0.20035,0.81629,0.81519,0.81543,0.24734,0.30293,0.24041,0.23805,0.29198,0.77593,0.77741,0.78198,0.7748,0.77747,0.6727,0.04462,0.03876,0.04023,0.03652,0.03618,0.44108,0.06105,0.06987,0.06677,0.06224,0.4193,0.28787,0.4594,0.4222,0.4926,0.05777,0.06464,0.05758,0.08807,0.08468,0.21078,0.21658,0.22206,0.22206,0.19014,0.54561,0.54722,0.0714,0.0648,0.07925,0.0586,0.07125,0.4124,0.39605,0.39554,0.39662,0.41161,0.54517,0.54535,0.54604,0.55037,0.55526,0.05728,0.06095,0.05902,0.0566,0.05923,0.71713,0.74792,0.59811,0.74623,0.73105,0.61523,0.75868,0.75811,0.75811,0.75811,0.55933,0.55814,0.55636,0.55869,0.55864,0.19014,0.32135,0.35827,0.19264,0.47437,0.60588,0.59875,0.59818,0.60602,0.60516,0.08428,0.08818,0.07366,0.07355,0.06672,0.72395,0.62025,0.71565,0.19014,0.32135,0.35827,0.19264,0.47437,0.99285,0.99434,0.99606,0.99441,0.99389,0.08428,0.08818,0.07366,0.07355,0.06672,0.85959,0.88261,0.8707,0.85752,0.88062,0.05728,0.06095,0.05902,0.0566,0.05923,0.07712,0.06073,0.05623,0.07434,0.06559,0.7677,0.77136,0.76573,0.76974,0.76319,0.13587,0.16567,0.22619,0.27211,0.20035,0.22329,0.19604,0.18515,0.22658,0.06196,0.06237,0.06468,0.07068,0.06996,0.54722,0.54561,0.69307,0.68826,0.68377,0.69545,0.69066,0.06196,0.06237,0.06468,0.07068,0.06996,0.72494,0.70784,0.7191,0.70938,0.72433,0.05109,0.05215,0.06348,0.05037,0.06242,0.57555,0.05215,0.06348,0.05037,0.06242,0.06376,0.06105,0.06987,0.06677,0.06224,0.57429,0.5754,0.69362,0.70814
3,0.99453,0.99547,0.99501,1.0,0.9952,0.74506,0.71531,0.78132,0.74621,0.7303,0.0519,0.05552,0.06051,0.0531,0.05755,0.13668,0.17268,0.22605,0.29501,0.19832,0.99442,0.99572,0.99548,0.99658,0.99419,0.71406,0.71263,0.72054,0.69513,0.70552,0.08436,0.05256,0.05043,0.05607,0.05801,0.21501,0.21337,0.21677,0.21501,0.21337,0.7571,0.75649,0.75648,0.75673,0.75661,0.13668,0.17268,0.22605,0.29501,0.19832,0.81666,0.81571,0.81615,0.24805,0.30493,0.24037,0.23941,0.2927,0.77713,0.77677,0.78096,0.7773,0.77569,0.66898,0.04362,0.04509,0.04564,0.04036,0.04206,0.44092,0.06039,0.06986,0.06599,0.0619,0.41942,0.28576,0.45983,0.42247,0.49128,0.05773,0.05475,0.05757,0.08769,0.08397,0.21337,0.21501,0.21677,0.21677,0.21224,0.54282,0.5445,0.0716,0.06587,0.07611,0.05824,0.07213,0.41179,0.4299,0.39407,0.42296,0.41194,0.54233,0.54266,0.5433,0.54773,0.55255,0.0572,0.06069,0.05891,0.05669,0.05912,0.71445,0.74475,0.59455,0.74519,0.72936,0.61282,0.75505,0.75519,0.75519,0.75519,0.55705,0.55556,0.5537,0.55642,0.5562,0.21224,0.32831,0.35846,0.19348,0.4708,0.60168,0.59372,0.59318,0.60141,0.60303,0.0839,0.08827,0.07338,0.07369,0.06646,0.7253,0.44787,0.71513,0.21224,0.32831,0.35846,0.19348,0.4708,0.99419,0.99479,0.99658,0.9944,0.99537,0.0839,0.08827,0.07338,0.07369,0.06646,0.85709,0.87976,0.86755,0.85503,0.87805,0.0572,0.06069,0.05891,0.05669,0.05912,0.07731,0.06059,0.05628,0.07384,0.06551,0.76506,0.7682,0.76307,0.76694,0.75973,0.13668,0.17268,0.22605,0.29501,0.19832,0.18756,0.20222,0.227,0.28484,0.0615,0.06226,0.06705,0.06958,0.06953,0.5445,0.54282,0.69213,0.68729,0.68258,0.69453,0.68962,0.0615,0.06226,0.06705,0.06958,0.06953,0.72539,0.70802,0.71938,0.70954,0.72378,0.05074,0.05185,0.06444,0.05028,0.06092,0.57406,0.05185,0.06444,0.05028,0.06092,0.06334,0.06039,0.06986,0.06599,0.0619,0.62661,0.62792,0.69031,0.70587
4,0.99596,0.99404,0.99526,0.9952,1.0,0.74812,0.7181,0.77916,0.74683,0.73098,0.05179,0.0552,0.06034,0.05279,0.05727,0.13615,0.15675,0.22641,0.29267,0.20312,0.99584,0.9968,0.99609,0.99561,0.99364,0.71294,0.71313,0.71978,0.68777,0.70616,0.08447,0.05263,0.05037,0.05604,0.05808,0.21564,0.21338,0.21536,0.21564,0.21338,0.76522,0.76567,0.76529,0.76579,0.76532,0.13615,0.15675,0.22641,0.29267,0.20312,0.81786,0.81646,0.81741,0.24774,0.30229,0.24083,0.23889,0.29121,0.78147,0.78185,0.78503,0.77939,0.78011,0.6706,0.04517,0.04502,0.0401,0.03687,0.04208,0.4419,0.06087,0.06997,0.06672,0.06174,0.41937,0.28786,0.46,0.42246,0.4933,0.05764,0.06451,0.05747,0.08773,0.08412,0.21338,0.21564,0.21536,0.21536,0.21488,0.54576,0.54741,0.08856,0.06605,0.07931,0.0584,0.07225,0.41203,0.39499,0.39041,0.38862,0.41384,0.54531,0.54559,0.54624,0.55059,0.55548,0.05698,0.06075,0.05878,0.05631,0.05906,0.71645,0.74815,0.59654,0.74798,0.72995,0.61472,0.76196,0.76016,0.76016,0.76016,0.55964,0.55833,0.5564,0.55905,0.55892,0.21488,0.33264,0.35602,0.19261,0.47186,0.60877,0.60557,0.60515,0.60878,0.6082,0.08341,0.0881,0.09247,0.07365,0.06662,0.72538,0.45886,0.71639,0.21488,0.33264,0.35602,0.19261,0.47186,0.99364,0.99488,0.99561,0.99574,0.99536,0.08341,0.0881,0.09247,0.07365,0.06662,0.86343,0.88601,0.87363,0.86092,0.88413,0.05698,0.06075,0.05878,0.05631,0.05906,0.07751,0.06074,0.05624,0.07393,0.06552,0.77191,0.77482,0.76941,0.77387,0.76567,0.13615,0.15675,0.22641,0.29267,0.20312,0.22062,0.20147,0.21685,0.38767,0.06161,0.06229,0.06717,0.07034,0.06965,0.54741,0.54576,0.6926,0.68806,0.68372,0.69528,0.69106,0.06161,0.06229,0.06717,0.07034,0.06965,0.72455,0.70803,0.71817,0.70963,0.72339,0.051,0.05183,0.06447,0.0502,0.0608,0.57372,0.05183,0.06447,0.0502,0.0608,0.06388,0.06087,0.06997,0.06672,0.06174,0.631,0.6323,0.69477,0.71074
5,0.74657,0.74698,0.74827,0.74506,0.74812,1.0,0.97125,0.69267,0.99276,0.92754,0.04902,0.05068,0.05596,0.04916,0.05248,0.12205,0.31116,0.22942,0.25359,0.22015,0.74811,0.74572,0.74853,0.7436,0.74304,0.71075,0.71366,0.70702,0.70559,0.71342,0.07337,0.04938,0.04775,0.05201,0.05397,0.23694,0.20628,0.21804,0.23694,0.20628,0.68714,0.68633,0.68609,0.68677,0.68709,0.12205,0.31116,0.22942,0.25359,0.22015,0.68124,0.68092,0.68116,0.41661,0.24737,0.37312,0.18163,0.26622,0.69843,0.70003,0.70303,0.69543,0.69677,0.65901,0.04694,0.04264,0.0415,0.039,0.04512,0.40492,0.05579,0.06107,0.05927,0.05668,0.36287,0.39785,0.43172,0.40579,0.43813,0.05223,0.05039,0.05207,0.06098,0.06039,0.20628,0.23694,0.21804,0.21804,0.20561,0.5131,0.51735,0.06276,0.05808,0.05387,0.05471,0.06264,0.38884,0.38131,0.37106,0.36149,0.38823,0.51061,0.5081,0.50952,0.5253,0.52068,0.05208,0.05678,0.05424,0.05298,0.05403,0.97146,0.99993,0.73156,0.99277,0.92015,0.75769,0.70307,0.69629,0.69629,0.69629,0.54779,0.53057,0.52982,0.53902,0.54105,0.20561,0.23464,0.23301,0.19391,0.52541,0.58797,0.581,0.58014,0.58738,0.58878,0.05851,0.06079,0.06502,0.06282,0.05921,0.5194,0.41446,0.66652,0.20561,0.23464,0.23301,0.19391,0.52541,0.74304,0.74802,0.7436,0.74933,0.74982,0.05851,0.06079,0.06502,0.06282,0.05921,0.82142,0.82368,0.81515,0.82249,0.82447,0.05208,0.05678,0.05424,0.05298,0.05403,0.05229,0.05928,0.05661,0.05856,0.05101,0.68772,0.6894,0.68577,0.68949,0.68323,0.12205,0.31116,0.22942,0.25359,0.22015,0.2307,0.20488,0.18004,0.37851,0.05702,0.05453,0.05483,0.06297,0.06294,0.51738,0.51312,0.59686,0.59185,0.58919,0.59493,0.59051,0.05702,0.05453,0.05483,0.06297,0.06294,0.66453,0.62394,0.66113,0.62449,0.66494,0.04747,0.04922,0.05629,0.04716,0.0544,0.51407,0.04922,0.05629,0.04716,0.0544,0.05739,0.05579,0.06107,0.05927,0.05668,0.61226,0.61226,0.71549,0.66313
6,0.71497,0.71693,0.71666,0.71531,0.7181,0.97125,1.0,0.69478,0.96679,0.95401,0.05068,0.05199,0.05601,0.05017,0.05277,0.1278,0.30787,0.21009,0.25128,0.22239,0.71703,0.71406,0.71658,0.7137,0.71152,0.70989,0.71121,0.70535,0.70565,0.71052,0.07665,0.05067,0.04834,0.05273,0.05345,0.24703,0.24303,0.21795,0.24703,0.24303,0.64177,0.64208,0.64189,0.64227,0.64179,0.1278,0.30787,0.21009,0.25128,0.22239,0.65966,0.65791,0.6587,0.41091,0.24569,0.37524,0.18085,0.26931,0.67251,0.67246,0.67509,0.67153,0.6723,0.63712,0.03892,0.0426,0.0445,0.03927,0.04808,0.38973,0.05069,0.05533,0.0535,0.05198,0.40093,0.39313,0.41839,0.40225,0.41955,0.05527,0.05003,0.05475,0.06044,0.05965,0.24303,0.24703,0.21795,0.21795,0.2408,0.49176,0.4976,0.06125,0.05733,0.0532,0.05322,0.0619,0.32259,0.37293,0.36205,0.35915,0.37869,0.48907,0.48597,0.48796,0.50409,0.50006,0.05326,0.05621,0.0542,0.05396,0.05378,0.99953,0.97093,0.74871,0.96607,0.95363,0.76362,0.65415,0.64916,0.64916,0.64916,0.52587,0.50976,0.50974,0.51723,0.52111,0.2408,0.22811,0.24506,0.22296,0.50894,0.57266,0.5678,0.56698,0.57203,0.5718,0.05786,0.0598,0.06377,0.06181,0.0584,0.52404,0.40521,0.65159,0.2408,0.22811,0.24506,0.22296,0.50894,0.71152,0.71738,0.7137,0.71772,0.71887,0.05786,0.0598,0.06377,0.06181,0.0584,0.76677,0.77156,0.76113,0.76867,0.77194,0.05326,0.05621,0.0542,0.05396,0.05378,0.05159,0.05919,0.05713,0.05759,0.05017,0.64698,0.64701,0.64321,0.64828,0.63981,0.1278,0.30787,0.21009,0.25128,0.22239,0.21756,0.20132,0.19436,0.2882,0.05532,0.05499,0.05475,0.06444,0.06386,0.49763,0.49176,0.57594,0.57113,0.56851,0.57305,0.56915,0.05532,0.05499,0.05475,0.06444,0.06386,0.66376,0.61056,0.66065,0.61088,0.66496,0.04802,0.05452,0.05586,0.04709,0.05394,0.49698,0.05452,0.05586,0.04709,0.05394,0.05241,0.05069,0.05533,0.0535,0.05198,0.57922,0.58174,0.66018,0.62173
7,0.78254,0.77694,0.77953,0.78132,0.77916,0.69265,0.69477,1.0,0.70174,0.74746,0.05501,0.05879,0.06336,0.05635,0.06128,0.13921,0.17366,0.2231,0.31566,0.20438,0.77798,0.77603,0.77497,0.7822,0.77711,0.78269,0.781,0.7909,0.76391,0.7602,0.0695,0.0545,0.05343,0.07647,0.07762,0.22231,0.21513,0.21871,0.22231,0.21513,0.67991,0.67995,0.67997,0.68056,0.67971,0.13921,0.17366,0.2231,0.31566,0.20438,0.78032,0.77848,0.78081,0.26781,0.32259,0.21577,0.22747,0.27566,0.67557,0.6772,0.67115,0.67384,0.67561,0.68114,0.04575,0.04558,0.04783,0.04835,0.04895,0.47664,0.05368,0.05645,0.05524,0.05505,0.43292,0.32921,0.46619,0.4406,0.50771,0.06268,0.07595,0.06272,0.08577,0.08401,0.21513,0.22231,0.21871,0.21871,0.209,0.57681,0.58431,0.06138,0.05785,0.07915,0.05501,0.06808,0.4152,0.39306,0.38085,0.38177,0.42091,0.57372,0.57347,0.57329,0.5812,0.58817,0.05908,0.07942,0.05925,0.0589,0.07874,0.69379,0.69219,0.60423,0.70055,0.74624,0.60889,0.69166,0.69264,0.69264,0.69264,0.59814,0.59641,0.59159,0.59387,0.59675,0.209,0.2976,0.30786,0.18583,0.43048,0.54193,0.53838,0.53927,0.54158,0.54119,0.08289,0.08426,0.0869,0.06405,0.06014,0.76552,0.6738,0.75527,0.209,0.2976,0.30786,0.18583,0.43048,0.77711,0.77636,0.7822,0.77652,0.77992,0.08289,0.08426,0.0869,0.06405,0.06014,0.7382,0.73266,0.7168,0.73771,0.73249,0.05908,0.07942,0.05925,0.0589,0.07874,0.07845,0.05612,0.05703,0.0826,0.07689,0.69216,0.69228,0.691,0.69235,0.68971,0.13921,0.17366,0.2231,0.31566,0.20438,0.20191,0.19927,0.21276,0.26362,0.0578,0.07078,0.07134,0.07316,0.06997,0.58432,0.57681,0.70408,0.69773,0.6926,0.70271,0.69603,0.0578,0.07078,0.07134,0.07316,0.06997,0.85311,0.78771,0.8542,0.78294,0.85233,0.05001,0.05102,0.06007,0.0491,0.08026,0.56913,0.05102,0.06007,0.0491,0.08026,0.05484,0.05368,0.05645,0.05524,0.05505,0.64241,0.643,0.64492,0.64836
8,0.74536,0.74782,0.74732,0.74621,0.74683,0.99276,0.96679,0.70168,1.0,0.92851,0.04961,0.05087,0.05635,0.04948,0.05247,0.11459,0.30868,0.22922,0.20008,0.21874,0.74871,0.7467,0.74937,0.74438,0.74154,0.72118,0.72201,0.71646,0.71552,0.72066,0.07381,0.0495,0.048,0.05226,0.05425,0.23567,0.23523,0.3471,0.23567,0.23523,0.68306,0.68286,0.68269,0.68319,0.68268,0.11459,0.30868,0.22922,0.20008,0.21874,0.68271,0.68207,0.68196,0.41848,0.24813,0.37393,0.18077,0.26544,0.69595,0.69731,0.70036,0.69298,0.69458,0.66297,0.04495,0.04278,0.04276,0.03916,0.04534,0.40513,0.05591,0.06134,0.05564,0.05685,0.36265,0.39838,0.43555,0.40616,0.44083,0.05236,0.05053,0.05232,0.06162,0.06101,0.23523,0.23567,0.3471,0.3471,0.23638,0.51609,0.52034,0.06295,0.05817,0.05398,0.05363,0.06295,0.38966,0.38127,0.38773,0.38588,0.38987,0.51364,0.51131,0.51253,0.5284,0.52362,0.05274,0.05687,0.05443,0.05342,0.05414,0.96646,0.99241,0.73427,0.99927,0.92257,0.76488,0.69932,0.69288,0.69288,0.69288,0.55087,0.53359,0.5326,0.54214,0.54419,0.23638,0.23641,0.23638,0.21543,0.52937,0.58714,0.58079,0.5799,0.59146,0.58492,0.0589,0.06132,0.06585,0.06314,0.05956,0.52627,0.41695,0.66633,0.23638,0.23641,0.23638,0.21543,0.52937,0.74154,0.74871,0.74438,0.75008,0.75064,0.0589,0.06132,0.06585,0.06314,0.05956,0.81842,0.8202,0.81093,0.81963,0.82085,0.05274,0.05687,0.05443,0.05342,0.05414,0.05239,0.05952,0.05669,0.05886,0.05103,0.68387,0.68578,0.68218,0.68588,0.68102,0.11459,0.30868,0.22922,0.20008,0.21874,0.21816,0.16506,0.18736,0.36833,0.05752,0.05529,0.05548,0.06343,0.0634,0.52038,0.51611,0.60038,0.59539,0.59253,0.59925,0.59415,0.05752,0.05529,0.05548,0.06343,0.0634,0.67095,0.62565,0.66738,0.62592,0.67098,0.04753,0.04934,0.05655,0.04705,0.05467,0.51596,0.04934,0.05655,0.04705,0.05467,0.05764,0.05591,0.06134,0.05564,0.05685,0.61189,0.61305,0.70633,0.6608
9,0.73122,0.73049,0.7321,0.7303,0.73098,0.92754,0.95401,0.74746,0.92851,1.0,0.05065,0.05264,0.05801,0.05045,0.05469,0.16938,0.30461,0.23512,0.26345,0.22096,0.72914,0.72603,0.72816,0.72746,0.72669,0.73177,0.73331,0.7265,0.72065,0.72417,0.07236,0.05059,0.0486,0.0526,0.05486,0.24464,0.24225,0.24333,0.24464,0.24225,0.63063,0.63099,0.63086,0.63128,0.63078,0.16938,0.30461,0.23512,0.26345,0.22096,0.6773,0.67791,0.6803,0.39952,0.25922,0.35631,0.21557,0.26825,0.67681,0.67947,0.67646,0.67696,0.67771,0.62923,0.04817,0.04408,0.0434,0.04225,0.04088,0.38455,0.05119,0.05527,0.05322,0.05252,0.39507,0.38844,0.4295,0.39492,0.42017,0.055,0.05139,0.05503,0.06179,0.06104,0.24225,0.24464,0.24333,0.24333,0.24246,0.49111,0.49626,0.06254,0.05796,0.05406,0.05259,0.06373,0.38953,0.38192,0.36948,0.3769,0.3849,0.48822,0.48569,0.48702,0.50354,0.4985,0.05368,0.05766,0.05476,0.05538,0.05459,0.95371,0.92716,0.75938,0.92757,0.99909,0.74529,0.64071,0.63985,0.63985,0.63985,0.52533,0.50894,0.50839,0.51651,0.51977,0.24246,0.24975,0.25872,0.22541,0.49405,0.57607,0.56218,0.56139,0.57486,0.5739,0.0592,0.07687,0.06512,0.06389,0.06023,0.5548,0.41117,0.66837,0.24246,0.24975,0.25872,0.22541,0.49405,0.72669,0.72901,0.72746,0.72985,0.73163,0.0592,0.07687,0.06512,0.06389,0.06023,0.74922,0.75555,0.74418,0.75055,0.75618,0.05368,0.05766,0.05476,0.05538,0.05459,0.0523,0.05868,0.05657,0.05852,0.05022,0.63622,0.63717,0.63281,0.63746,0.63008,0.16938,0.30461,0.23512,0.26345,0.22096,0.24779,0.17455,0.17668,0.28252,0.05359,0.05887,0.05816,0.06852,0.06716,0.49629,0.49113,0.58786,0.58196,0.57866,0.58601,0.57997,0.05359,0.05887,0.05816,0.06852,0.06716,0.70246,0.63128,0.69999,0.63099,0.7055,0.04495,0.04564,0.05774,0.04761,0.05503,0.4947,0.04564,0.05774,0.04761,0.05503,0.05272,0.05119,0.05527,0.05322,0.05252,0.56907,0.57008,0.62856,0.6119
