,T1121TS003_1o,T1121TS003_2o,T1121TS003_3o,T1121TS003_4o,T1121TS003_5o,T1121TS035_1o,T1121TS035_2o,T1121TS035_3o,T1121TS035_4o,T1121TS035_5o,T1121TS037_1o,T1121TS037_2o,T1121TS037_3o,T1121TS037_4o,T1121TS037_5o,T1121TS054_1o,T1121TS054_2o,T1121TS054_3o,T1121TS054_4o,T1121TS054_5o,T1121TS071_1o,T1121TS071_2o,T1121TS071_3o,T1121TS071_4o,T1121TS071_5o,T1121TS086_1o,T1121TS086_2o,T1121TS086_3o,T1121TS086_4o,T1121TS086_5o,T1121TS091_1o,T1121TS091_2o,T1121TS091_3o,T1121TS091_4o,T1121TS091_5o,T1121TS098_1o,T1121TS098_2o,T1121TS098_3o,T1121TS098_4o,T1121TS098_5o,T1121TS119_1o,T1121TS119_2o,T1121TS119_3o,T1121TS119_4o,T1121TS119_5o,T1121TS125_1o,T1121TS125_2o,T1121TS125_3o,T1121TS125_4o,T1121TS125_5o,T1121TS131_1o,T1121TS131_2o,T1121TS131_3o,T1121TS131_4o,T1121TS131_5o,T1121TS147_1o,T1121TS147_2o,T1121TS147_3o,T1121TS147_4o,T1121TS147_5o,T1121TS150_1o,T1121TS150_2o,T1121TS150_3o,T1121TS150_4o,T1121TS150_5o,T1121TS158_1o,T1121TS158_2o,T1121TS158_3o,T1121TS158_4o,T1121TS158_5o,T1121TS165_1o,T1121TS165_2o,T1121TS165_3o,T1121TS165_4o,T1121TS169_1o,T1121TS169_2o,T1121TS169_3o,T1121TS169_4o,T1121TS169_5o,T1121TS180_1o,T1121TS180_2o,T1121TS180_3o,T1121TS180_4o,T1121TS180_5o,T1121TS185_1o,T1121TS185_2o,T1121TS185_3o,T1121TS185_4o,T1121TS185_5o,T1121TS187_1o,T1121TS187_2o,T1121TS187_3o,T1121TS187_4o,T1121TS187_5o,T1121TS188_1o,T1121TS188_2o,T1121TS188_3o,T1121TS188_4o,T1121TS188_5o,T1121TS205_1o,T1121TS205_2o,T1121TS205_3o,T1121TS205_4o,T1121TS205_5o,T1121TS234_1o,T1121TS239_1o,T1121TS239_2o,T1121TS239_3o,T1121TS239_4o,T1121TS239_5o,T1121TS248_1o,T1121TS248_2o,T1121TS248_3o,T1121TS248_4o,T1121TS248_5o,T1121TS278_1o,T1121TS278_2o,T1121TS278_3o,T1121TS278_4o,T1121TS278_5o,T1121TS288_1o,T1121TS288_2o,T1121TS288_3o,T1121TS288_4o,T1121TS288_5o,T1121TS298_1o,T1121TS298_2o,T1121TS298_3o,T1121TS298_4o,T1121TS298_5o,T1121TS312_1o,T1121TS312_2o,T1121TS312_3o,T1121TS312_4o,T1121TS312_5o,T1121TS314_1o,T1121TS314_2o,T1121TS314_3o,T1121TS314_4o,T1121TS314_5o,T1121TS320_1o,T1121TS320_2o,T1121TS320_3o,T1121TS320_4o,T1121TS320_5o,T1121TS348_1o,T1121TS348_2o,T1121TS348_3o,T1121TS348_4o,T1121TS348_5o,T1121TS350_1o,T1121TS350_2o,T1121TS350_3o,T1121TS350_4o,T1121TS350_5o,T1121TS360_1o,T1121TS360_2o,T1121TS360_3o,T1121TS360_4o,T1121TS360_5o,T1121TS367_1o,T1121TS367_2o,T1121TS367_3o,T1121TS367_4o,T1121TS367_5o,T1121TS374_1o,T1121TS374_2o,T1121TS374_3o,T1121TS374_4o,T1121TS374_5o,T1121TS385_1o,T1121TS390_1o,T1121TS390_2o,T1121TS390_3o,T1121TS390_4o,T1121TS390_5o,T1121TS398_1o,T1121TS398_2o,T1121TS398_3o,T1121TS398_4o,T1121TS398_5o,T1121TS399_1o,T1121TS399_2o,T1121TS399_3o,T1121TS399_4o,T1121TS399_5o,T1121TS423_1o,T1121TS423_2o,T1121TS423_3o,T1121TS423_4o,T1121TS423_5o,T1121TS439_1o,T1121TS439_2o,T1121TS439_3o,T1121TS439_4o,T1121TS439_5o,T1121TS444_1o,T1121TS444_2o,T1121TS444_3o,T1121TS444_4o,T1121TS444_5o,T1121TS446_1o,T1121TS446_2o,T1121TS446_3o,T1121TS446_4o,T1121TS446_5o,T1121TS447_1o,T1121TS447_2o,T1121TS447_3o,T1121TS447_4o,T1121TS447_5o,T1121TS461_1o,T1121TS461_2o,T1121TS461_3o,T1121TS461_4o,T1121TS461_5o,T1121TS462_1o,T1121TS462_2o,T1121TS462_3o,T1121TS462_4o,T1121TS462_5o,T1121TS493_1o,T1121TS493_2o,T1121TS493_3o,T1121TS493_4o,T1121TS493_5o,T1121TS494_1o,T1121TS494_2o,T1121TS494_3o,T1121TS494_4o,T1121TS494_5o
0,1.0,0.9766,0.98527,0.98743,0.993,0.79669,0.98398,0.86336,0.76443,0.91958,0.84147,0.97381,0.72685,0.53055,0.82783,0.92571,0.94399,0.8128,0.83227,0.5496,0.86778,0.84315,0.86674,0.83808,0.82059,0.98571,0.98487,0.98857,0.98726,0.97975,0.54556,0.5687,0.58942,0.55169,0.5698,0.98656,0.98228,0.90128,0.3545,0.42399,0.78558,0.98873,0.95238,0.61004,0.58061,0.92571,0.94399,0.8128,0.83227,0.5496,0.78558,0.86521,0.87149,0.58091,0.81195,0.72444,0.92173,0.7428,0.60096,0.77804,0.95124,0.80243,0.87355,0.76399,0.73867,0.98571,0.98487,0.98726,0.98857,0.97975,0.95909,0.97716,0.91727,0.20535,0.90128,0.79305,0.58367,0.90128,0.81711,0.9854,0.96619,0.93211,0.95452,0.92037,0.69314,0.72319,0.75167,0.66771,0.80622,0.76347,0.8609,0.98312,0.73229,0.66864,0.79272,0.9405,0.95734,0.98656,0.86899,0.71516,0.61337,0.98777,0.71431,0.7844,0.41837,0.97664,0.59207,0.55722,0.80051,0.60541,0.79669,0.98398,0.86336,0.76443,0.91958,0.51182,0.64885,0.91032,0.53959,0.82511,0.84168,0.74605,0.92156,0.54582,0.55377,0.98338,0.9894,0.99017,0.97829,0.96379,0.95317,0.95952,0.96012,0.96492,0.93074,0.7299,0.95238,0.50745,0.52126,0.50623,0.95238,0.98174,0.98873,0.95495,0.97178,0.96853,0.73084,0.73787,0.78493,0.57484,0.80485,0.83766,0.93788,0.96919,0.77952,0.87638,0.84898,0.84757,0.95238,0.80215,0.98022,0.97055,0.98385,0.99067,0.9761,0.74794,0.77284,0.75446,0.93573,0.8404,0.64585,0.95238,0.98174,0.98873,0.95495,0.97178,0.93154,0.76361,0.83875,0.51822,0.94941,0.92571,0.94399,0.8128,0.83227,0.5496,0.76347,0.8609,0.98312,0.66864,0.94946,0.80051,0.87175,0.86139,0.58683,0.76395,0.49637,0.52891,0.88294,0.49345,0.44484,0.95894,0.54095,0.56148,0.98636,0.58061,0.50258,0.48831,0.49095,0.47499,0.48544,0.95894,0.54095,0.56148,0.98636,0.58061,0.99249,0.98524,0.96188,0.92072,0.92695,0.93057,0.70042,0.56294,0.84793,0.59036,0.98592,0.63463,0.32901,0.5441,0.55941
1,0.9766,1.0,0.98264,0.99352,0.99136,0.78994,0.98646,0.81524,0.74131,0.89993,0.82915,0.98074,0.74453,0.53486,0.79548,0.93218,0.96266,0.84649,0.8362,0.55534,0.8705,0.84582,0.87156,0.83474,0.81946,0.99213,0.99608,0.99195,0.9955,0.99793,0.54972,0.57135,0.59137,0.55353,0.57166,0.9926,0.99221,0.90247,0.36181,0.42811,0.77926,0.98678,0.96923,0.6081,0.58465,0.93218,0.96266,0.84649,0.8362,0.55534,0.77926,0.85857,0.85593,0.58427,0.85615,0.75003,0.94422,0.75158,0.60161,0.81381,0.96926,0.83786,0.87962,0.76578,0.76059,0.99213,0.99608,0.9955,0.99195,0.99793,0.95369,0.9661,0.95946,0.20865,0.90247,0.82602,0.58682,0.90247,0.84288,0.98671,0.96646,0.91315,0.95812,0.90899,0.72378,0.71173,0.77611,0.68092,0.84354,0.76143,0.90154,0.99646,0.77281,0.69292,0.81924,0.96252,0.9456,0.9926,0.92765,0.74305,0.63183,0.99634,0.69057,0.78632,0.41962,0.93101,0.59103,0.55474,0.79518,0.60707,0.78994,0.98646,0.81524,0.74131,0.89993,0.51701,0.65827,0.89518,0.54345,0.79953,0.87644,0.78183,0.94337,0.5502,0.55705,0.97776,0.98267,0.99418,0.9959,0.94789,0.96643,0.97058,0.97089,0.98304,0.95047,0.75755,0.96923,0.5085,0.52259,0.50731,0.96923,0.96922,0.98678,0.95729,0.98812,0.9783,0.75754,0.76132,0.81729,0.57765,0.79814,0.82667,0.93465,0.96803,0.7807,0.9138,0.88295,0.87987,0.96923,0.83816,0.98804,0.96773,0.99322,0.99456,0.99793,0.75674,0.7636,0.74626,0.92278,0.81903,0.64147,0.96923,0.96922,0.98678,0.95729,0.98812,0.89451,0.7908,0.85386,0.51885,0.97231,0.93218,0.96266,0.84649,0.8362,0.55534,0.76143,0.90154,0.99646,0.69292,0.95737,0.79518,0.8726,0.85618,0.58988,0.77134,0.50025,0.53316,0.91534,0.49734,0.4484,0.93404,0.54488,0.56548,0.9741,0.58465,0.50641,0.49319,0.49499,0.47868,0.48939,0.93404,0.54488,0.56548,0.9741,0.58465,0.98091,0.98112,0.93941,0.92596,0.94948,0.93031,0.72463,0.56521,0.87299,0.59709,0.99207,0.6326,0.33016,0.54786,0.56456
2,0.98527,0.98264,1.0,0.9949,0.9844,0.82069,0.99911,0.8427,0.76751,0.88918,0.86845,0.95672,0.75554,0.52975,0.80742,0.8986,0.92509,0.81003,0.8073,0.54892,0.83727,0.81503,0.83788,0.8089,0.79468,0.99689,0.99017,0.99632,0.99024,0.98526,0.54367,0.56495,0.58546,0.54735,0.56533,0.98418,0.99682,0.94236,0.35238,0.42201,0.80935,0.9939,0.93353,0.60837,0.57957,0.8986,0.92509,0.81003,0.8073,0.54892,0.80935,0.8952,0.89196,0.58762,0.81393,0.72117,0.90194,0.76888,0.6003,0.7774,0.93312,0.80164,0.91672,0.7913,0.73478,0.99689,0.99017,0.99024,0.99632,0.98526,0.92709,0.98339,0.92292,0.20594,0.94236,0.79266,0.58098,0.94236,0.80864,0.998,0.99244,0.95769,0.98668,0.95236,0.73061,0.70829,0.75108,0.66387,0.80841,0.74125,0.85917,0.98286,0.75113,0.67429,0.79024,0.92323,0.96328,0.98418,0.88976,0.71725,0.61848,0.98948,0.69434,0.80982,0.4222,0.96647,0.59369,0.55908,0.82648,0.60295,0.82069,0.99911,0.8427,0.76751,0.88918,0.51383,0.67207,0.87422,0.53841,0.83281,0.83602,0.75114,0.96574,0.54504,0.55269,0.99912,0.99937,0.98472,0.9889,0.98077,0.93709,0.94464,0.94556,0.9681,0.91013,0.73822,0.93353,0.50821,0.52231,0.50706,0.93353,0.95395,0.9939,0.92745,0.96843,0.94892,0.731,0.73615,0.78331,0.57331,0.82698,0.864,0.9717,0.99448,0.80689,0.86839,0.84187,0.83752,0.93353,0.8011,0.99223,0.98094,0.99344,0.99198,0.98202,0.77867,0.79128,0.77179,0.90218,0.85357,0.66129,0.93353,0.95395,0.9939,0.92745,0.96843,0.90191,0.76968,0.81988,0.5177,0.96719,0.8986,0.92509,0.81003,0.8073,0.54892,0.74125,0.85917,0.98286,0.67429,0.98329,0.82648,0.91273,0.89717,0.58392,0.74839,0.49494,0.52773,0.87123,0.49191,0.44406,0.91712,0.54028,0.5597,0.99279,0.57957,0.50132,0.48895,0.48994,0.47443,0.48448,0.91712,0.54028,0.5597,0.99279,0.57957,0.98781,0.98854,0.97793,0.96074,0.91144,0.90654,0.70215,0.56064,0.84487,0.59161,0.99749,0.63514,0.33027,0.54321,0.55841
3,0.98743,0.99352,0.9949,1.0,0.99375,0.80267,0.9973,0.82929,0.75374,0.89594,0.84335,0.97407,0.74724,0.53046,0.8002,0.92222,0.94829,0.82716,0.82427,0.55088,0.85765,0.83375,0.8579,0.8243,0.80853,0.99959,0.99907,0.99975,0.99902,0.99582,0.54583,0.56618,0.5873,0.5484,0.56662,0.99337,0.99786,0.91847,0.35491,0.4229,0.79205,0.99361,0.95631,0.60726,0.58246,0.92222,0.94829,0.82716,0.82427,0.55088,0.79205,0.86848,0.86722,0.58575,0.83267,0.73157,0.92256,0.75454,0.5987,0.7921,0.95572,0.81904,0.8922,0.77508,0.74617,0.99959,0.99907,0.99902,0.99975,0.99582,0.94555,0.98032,0.94566,0.20613,0.91847,0.80724,0.5828,0.91847,0.82518,0.99662,0.98185,0.93463,0.97275,0.92896,0.72169,0.70757,0.76229,0.67383,0.82716,0.75155,0.87945,0.99522,0.7597,0.68171,0.80318,0.94736,0.95305,0.99337,0.90974,0.72842,0.62369,0.99843,0.69482,0.79429,0.41878,0.95312,0.59134,0.55547,0.80717,0.60342,0.80267,0.9973,0.82929,0.75374,0.89594,0.51503,0.66104,0.88576,0.53942,0.81184,0.85488,0.76407,0.95077,0.54623,0.55418,0.99174,0.99475,0.99527,0.9942,0.96288,0.95758,0.96364,0.9644,0.98037,0.93443,0.74975,0.95631,0.50903,0.52293,0.50788,0.95631,0.96731,0.99361,0.94772,0.98231,0.96943,0.74144,0.7474,0.79902,0.57795,0.80912,0.83966,0.95036,0.98221,0.78967,0.89263,0.86284,0.85924,0.95631,0.81984,0.99205,0.97363,0.99662,0.99838,0.99353,0.7633,0.77547,0.75808,0.92118,0.82982,0.64997,0.95631,0.96731,0.99361,0.94772,0.98231,0.89835,0.78249,0.83659,0.51901,0.97678,0.92222,0.94829,0.82716,0.82427,0.55088,0.75155,0.87945,0.99522,0.68171,0.97027,0.80717,0.88833,0.87129,0.58576,0.75981,0.49503,0.52853,0.89802,0.49202,0.44448,0.93324,0.54136,0.56182,0.98691,0.58246,0.50151,0.49004,0.49031,0.47483,0.48491,0.93324,0.54136,0.56182,0.98691,0.58246,0.98884,0.98841,0.95871,0.9427,0.93709,0.9231,0.71232,0.56183,0.85857,0.59477,0.99879,0.63477,0.32826,0.54437,0.55979
4,0.993,0.99136,0.9844,0.99375,1.0,0.78804,0.98604,0.83553,0.75068,0.92336,0.82895,0.98918,0.7345,0.53157,0.81305,0.94361,0.96716,0.84015,0.84588,0.55245,0.88223,0.85608,0.8819,0.84755,0.83066,0.99123,0.99491,0.99337,0.99631,0.99442,0.54889,0.56985,0.59132,0.55207,0.57067,0.99704,0.98921,0.89491,0.35779,0.42546,0.77635,0.99281,0.97389,0.61059,0.58503,0.94361,0.96716,0.84015,0.84588,0.55245,0.77635,0.85871,0.86295,0.58273,0.84139,0.74144,0.94229,0.74348,0.60208,0.80053,0.97317,0.8277,0.87428,0.76106,0.75517,0.99123,0.99491,0.99631,0.99337,0.99442,0.96956,0.97849,0.94886,0.20734,0.89491,0.81729,0.58621,0.89491,0.83878,0.98789,0.96454,0.91753,0.95485,0.91037,0.70502,0.72029,0.76898,0.68151,0.83128,0.76778,0.89372,0.99676,0.75647,0.68433,0.81392,0.96341,0.95767,0.99704,0.90842,0.73308,0.6259,0.99642,0.7039,0.78141,0.41643,0.95323,0.5925,0.55531,0.7917,0.60743,0.78804,0.98604,0.83553,0.75068,0.92336,0.51507,0.64972,0.91496,0.54081,0.80994,0.87199,0.76887,0.93059,0.54761,0.55585,0.97954,0.98685,0.9992,0.9883,0.95611,0.97234,0.97718,0.97761,0.98145,0.95345,0.75019,0.97389,0.51095,0.52489,0.50975,0.97389,0.9878,0.99281,0.97116,0.99065,0.98556,0.74936,0.75617,0.80788,0.58067,0.79968,0.82761,0.93098,0.96618,0.77576,0.90539,0.87572,0.87481,0.97389,0.82811,0.98871,0.97393,0.99303,0.99777,0.99291,0.74656,0.76329,0.7458,0.94531,0.82794,0.64181,0.97389,0.9878,0.99281,0.97116,0.99065,0.91741,0.78352,0.85455,0.52236,0.96725,0.94361,0.96716,0.84015,0.84588,0.55245,0.76778,0.89372,0.99676,0.68433,0.95182,0.7917,0.86492,0.85234,0.58933,0.77536,0.49614,0.52986,0.91131,0.49325,0.44578,0.96028,0.54246,0.56413,0.98452,0.58503,0.5025,0.49034,0.49133,0.47538,0.48586,0.96028,0.54246,0.56413,0.98452,0.58503,0.99347,0.98966,0.94921,0.92087,0.95128,0.93488,0.71281,0.56433,0.87266,0.59705,0.99108,0.63236,0.32863,0.5457,0.56168
5,0.79653,0.78994,0.82069,0.80268,0.78804,1.0,0.81498,0.79126,0.87716,0.73254,0.97323,0.76905,0.82971,0.52368,0.74877,0.73628,0.7492,0.68899,0.6832,0.53452,0.7007,0.68699,0.70174,0.68001,0.66974,0.80687,0.79646,0.80468,0.79482,0.79123,0.51936,0.54704,0.56436,0.53458,0.55039,0.79046,0.81023,0.90531,0.32707,0.41225,0.98804,0.80508,0.75432,0.59334,0.55247,0.73628,0.7492,0.68899,0.6832,0.53452,0.98804,0.88998,0.85459,0.61476,0.69334,0.63166,0.7419,0.94361,0.5866,0.67927,0.75269,0.68705,0.89499,0.97598,0.63709,0.80687,0.79646,0.79482,0.80468,0.79123,0.74981,0.79787,0.74805,0.19882,0.90531,0.68018,0.56061,0.90531,0.69123,0.81257,0.83295,0.88189,0.83992,0.88994,0.79242,0.65014,0.65868,0.59665,0.70491,0.65281,0.71699,0.78816,0.68619,0.61982,0.6816,0.75153,0.80258,0.79046,0.74852,0.63463,0.57756,0.79575,0.65037,0.97936,0.4526,0.81773,0.59132,0.57825,0.9991,0.58147,1.0,0.81498,0.79126,0.87716,0.73254,0.50608,0.79335,0.72593,0.53022,0.8877,0.69815,0.6575,0.83482,0.53544,0.53875,0.82688,0.8188,0.78975,0.80325,0.83804,0.76181,0.76254,0.76271,0.77216,0.73757,0.66491,0.75432,0.47875,0.49329,0.47777,0.75432,0.76718,0.80508,0.74706,0.77705,0.76338,0.63729,0.63645,0.67335,0.53318,0.97435,0.97318,0.87261,0.84021,0.98991,0.72598,0.71165,0.70337,0.75432,0.68819,0.80435,0.81099,0.80338,0.79903,0.79041,0.95657,0.98577,0.96254,0.752,0.87311,0.77144,0.75432,0.76718,0.80508,0.74706,0.77705,0.77382,0.69267,0.69252,0.48221,0.78057,0.73628,0.7492,0.68899,0.6832,0.53452,0.65281,0.71699,0.78816,0.61982,0.8389,0.9991,0.93353,0.95374,0.56322,0.64278,0.49087,0.52178,0.72627,0.48777,0.44512,0.74282,0.53217,0.54209,0.80951,0.55247,0.49746,0.48033,0.4857,0.4708,0.48031,0.74282,0.53217,0.54209,0.80951,0.55247,0.79736,0.80099,0.84552,0.85783,0.74834,0.77021,0.64555,0.54492,0.74945,0.5632,0.80974,0.62565,0.34234,0.53397,0.54231
6,0.98398,0.98646,0.99911,0.9973,0.98604,0.81499,1.0,0.83432,0.76239,0.88623,0.86011,0.96037,0.756,0.53039,0.80157,0.90455,0.93071,0.81377,0.81137,0.54969,0.84179,0.81967,0.84275,0.81088,0.79616,0.99881,0.99367,0.9982,0.99351,0.98884,0.54354,0.56515,0.58593,0.54799,0.56599,0.98634,0.99809,0.93734,0.35296,0.42274,0.80432,0.99317,0.93904,0.60726,0.58033,0.90455,0.93071,0.81377,0.81137,0.54969,0.80432,0.88535,0.88158,0.58781,0.82066,0.72409,0.90617,0.76588,0.59884,0.78207,0.9386,0.80673,0.91032,0.78634,0.73667,0.99881,0.99367,0.99351,0.9982,0.98884,0.9298,0.9819,0.93148,0.20587,0.93734,0.79626,0.58113,0.93734,0.81329,0.99867,0.99185,0.95183,0.98478,0.94668,0.72987,0.70622,0.75378,0.66713,0.81545,0.74339,0.86465,0.98652,0.75465,0.67762,0.7934,0.9296,0.95697,0.98634,0.89782,0.72052,0.62055,0.99243,0.69243,0.80594,0.42096,0.96001,0.59239,0.55717,0.82068,0.60234,0.81499,1.0,0.83432,0.76239,0.88623,0.51437,0.66946,0.8734,0.53914,0.823,0.84058,0.75538,0.96367,0.54565,0.55317,0.99775,0.99804,0.9871,0.99122,0.97396,0.94208,0.94916,0.95003,0.9725,0.91628,0.74226,0.93904,0.50785,0.52175,0.50671,0.93904,0.95484,0.99317,0.93121,0.97173,0.9536,0.7336,0.73797,0.78757,0.57441,0.82074,0.85556,0.96655,0.99222,0.80154,0.87575,0.84814,0.84358,0.93904,0.80718,0.99195,0.97667,0.99449,0.99366,0.98578,0.77495,0.78645,0.76753,0.90551,0.84279,0.65741,0.93904,0.95484,0.99317,0.93121,0.97173,0.89558,0.77494,0.82319,0.51738,0.97271,0.90455,0.93071,0.81377,0.81137,0.54969,0.74339,0.86465,0.98652,0.67762,0.98196,0.82068,0.90739,0.88984,0.58408,0.74938,0.49531,0.52853,0.87979,0.49232,0.44523,0.91857,0.54094,0.56042,0.99018,0.58033,0.50173,0.4892,0.49048,0.47509,0.48511,0.91857,0.54094,0.56042,0.99018,0.58033,0.98653,0.98756,0.97166,0.95822,0.91944,0.90962,0.70608,0.56053,0.84753,0.59239,0.99856,0.63554,0.32935,0.54387,0.5588
7,0.86336,0.81524,0.8427,0.82929,0.83553,0.79126,0.83432,1.0,0.81269,0.83712,0.8376,0.81664,0.68887,0.52066,0.91729,0.79625,0.79569,0.71852,0.75711,0.53519,0.77266,0.76371,0.77681,0.76953,0.75849,0.82987,0.82267,0.83178,0.82473,0.81557,0.52956,0.5568,0.57809,0.54511,0.56204,0.82628,0.82601,0.82322,0.33355,0.4159,0.77795,0.83655,0.79958,0.617,0.55937,0.79625,0.79569,0.71852,0.75711,0.53519,0.77795,0.8425,0.85972,0.57547,0.71521,0.66446,0.77754,0.72571,0.60516,0.68759,0.80011,0.71196,0.80539,0.75224,0.67757,0.82987,0.82267,0.82473,0.83178,0.81557,0.82269,0.83586,0.75813,0.20024,0.82322,0.7042,0.57372,0.82322,0.72902,0.83388,0.83125,0.86277,0.825,0.84759,0.63896,0.75826,0.67211,0.61762,0.7008,0.72601,0.73712,0.81984,0.65993,0.62829,0.70461,0.78906,0.84456,0.82628,0.727,0.66174,0.58704,0.82768,0.79334,0.77643,0.39809,0.9036,0.61188,0.5755,0.79126,0.60381,0.79126,0.83432,1.0,0.81269,0.83712,0.50222,0.6442,0.82462,0.52897,0.90084,0.73025,0.67903,0.79496,0.53615,0.54648,0.84617,0.84872,0.83059,0.82189,0.86309,0.79097,0.79682,0.79731,0.79407,0.78243,0.65042,0.79958,0.46896,0.48309,0.46769,0.79958,0.84115,0.83655,0.8108,0.80822,0.8124,0.66994,0.67693,0.70339,0.54826,0.8138,0.83365,0.83938,0.83835,0.76354,0.75141,0.74146,0.73899,0.79958,0.71188,0.82516,0.83803,0.82566,0.83186,0.81172,0.7268,0.77617,0.75621,0.81894,0.89113,0.64661,0.79958,0.84115,0.83655,0.8108,0.80822,0.87036,0.6763,0.74439,0.46701,0.78453,0.79625,0.79569,0.71852,0.75711,0.53519,0.72601,0.73712,0.81984,0.62829,0.82288,0.79126,0.81381,0.82792,0.57712,0.70894,0.48693,0.51824,0.75151,0.48397,0.43863,0.83708,0.53192,0.54737,0.84999,0.55937,0.49292,0.47941,0.48184,0.46618,0.47643,0.83708,0.53192,0.54737,0.84999,0.55937,0.84799,0.8368,0.87252,0.81853,0.77961,0.81695,0.66208,0.55639,0.7412,0.56512,0.83156,0.62915,0.33105,0.53475,0.54366
8,0.76443,0.74131,0.76751,0.75374,0.75069,0.87716,0.76239,0.81268,1.0,0.7149,0.86545,0.73641,0.73121,0.51603,0.76261,0.72329,0.71574,0.65763,0.67928,0.52465,0.69475,0.68269,0.68367,0.67443,0.66992,0.75678,0.74969,0.75734,0.75015,0.74249,0.51202,0.53884,0.5556,0.52761,0.54278,0.74941,0.75584,0.79758,0.32746,0.40659,0.86742,0.75891,0.71984,0.5922,0.5393,0.72329,0.71574,0.65763,0.67928,0.52465,0.86742,0.80179,0.78926,0.59769,0.65336,0.60597,0.71508,0.82009,0.5827,0.64584,0.72194,0.65204,0.78127,0.85053,0.61576,0.75678,0.74969,0.75015,0.75734,0.74249,0.73059,0.7531,0.70643,0.1944,0.79758,0.64375,0.55174,0.79758,0.64319,0.76116,0.76758,0.80561,0.76698,0.80136,0.67236,0.64436,0.63266,0.57634,0.67011,0.63859,0.66584,0.7415,0.63245,0.59497,0.6511,0.71743,0.75211,0.74941,0.6953,0.61101,0.55885,0.7506,0.711,0.85893,0.43675,0.79118,0.59784,0.59338,0.86891,0.57554,0.87716,0.76239,0.81268,1.0,0.7149,0.49804,0.72571,0.72525,0.52233,0.88608,0.66453,0.62736,0.74927,0.52755,0.53368,0.77259,0.76814,0.74878,0.75052,0.77964,0.72675,0.72793,0.72789,0.73198,0.71003,0.63799,0.71984,0.46677,0.48114,0.46573,0.71984,0.74142,0.75891,0.72413,0.72817,0.73176,0.61359,0.61462,0.64033,0.52268,0.88334,0.86136,0.78933,0.77234,0.85449,0.6845,0.6718,0.67267,0.71984,0.65094,0.75026,0.75243,0.74783,0.7545,0.74217,0.81286,0.90477,0.90788,0.7148,0.83895,0.7732,0.71984,0.74142,0.75891,0.72413,0.72817,0.75175,0.65742,0.67344,0.46117,0.73102,0.72329,0.71574,0.65763,0.67928,0.52465,0.63859,0.66584,0.7415,0.59497,0.76288,0.86891,0.80962,0.83084,0.55429,0.62786,0.4852,0.51376,0.69633,0.48214,0.43832,0.73557,0.52492,0.53225,0.76673,0.5393,0.49129,0.47194,0.4799,0.46428,0.47443,0.73557,0.52492,0.53225,0.76673,0.5393,0.7576,0.7528,0.78914,0.77143,0.70526,0.7357,0.60282,0.5392,0.68789,0.54811,0.75668,0.61523,0.34363,0.52653,0.53223
9,0.91958,0.89993,0.88918,0.89594,0.92336,0.73254,0.88623,0.83712,0.7149,1.0,0.7713,0.93757,0.69953,0.53301,0.84729,0.92902,0.93173,0.84907,0.89139,0.55475,0.91739,0.89306,0.91475,0.89816,0.87804,0.89251,0.89813,0.89636,0.90166,0.90512,0.56332,0.58515,0.60651,0.56503,0.58411,0.91982,0.89227,0.81153,0.3631,0.4343,0.71983,0.91312,0.93033,0.62719,0.59101,0.92902,0.93173,0.84907,0.89139,0.55475,0.71983,0.82854,0.84758,0.5651,0.82981,0.75093,0.91299,0.70289,0.61773,0.78386,0.92988,0.81504,0.81756,0.71639,0.7642,0.89251,0.89813,0.90166,0.89636,0.90512,0.95258,0.89996,0.87925,0.2088,0.81153,0.81271,0.59764,0.81153,0.84495,0.89086,0.86454,0.83615,0.86132,0.83068,0.6556,0.77898,0.75685,0.70734,0.79071,0.81258,0.88829,0.90997,0.737,0.68455,0.80836,0.91861,0.92303,0.91982,0.84376,0.73223,0.63134,0.90248,0.73384,0.74082,0.39099,0.89186,0.60018,0.55871,0.7356,0.62622,0.73254,0.88623,0.83712,0.7149,1.0,0.5135,0.63009,0.98388,0.54246,0.80087,0.89302,0.7656,0.85015,0.54982,0.55993,0.88222,0.89452,0.91609,0.89422,0.89241,0.91865,0.91971,0.91953,0.89827,0.91651,0.71891,0.93033,0.49257,0.50743,0.49119,0.93033,0.95514,0.91312,0.95289,0.92694,0.93174,0.75197,0.76562,0.80435,0.58191,0.76196,0.77831,0.84547,0.87055,0.72506,0.87476,0.85779,0.87328,0.93033,0.81522,0.90858,0.9153,0.90662,0.90896,0.90563,0.69524,0.71116,0.69436,0.94549,0.82646,0.62374,0.93033,0.95514,0.91312,0.95289,0.92694,0.92332,0.74697,0.86398,0.50694,0.86835,0.92902,0.93173,0.84907,0.89139,0.55475,0.81258,0.88829,0.90997,0.68455,0.86278,0.7356,0.78858,0.78832,0.60146,0.80977,0.49964,0.531,0.87376,0.49663,0.44484,0.96029,0.54349,0.56808,0.91041,0.59101,0.50522,0.49336,0.49402,0.47749,0.48832,0.96029,0.54349,0.56808,0.91041,0.59101,0.92432,0.91633,0.87604,0.83679,0.9014,0.88849,0.74275,0.57521,0.86484,0.6018,0.89446,0.6068,0.33339,0.54727,0.56665
