,model,GNN_sum_score,GNN_pcadscore,voromqa_dark
0,H1143TS180_4.pdb,0.6651118446139919,0.895,0.702
1,H1143TS225_1.pdb,0.6838291036671318,0.875,0.697
2,H1143TS494_2.pdb,0.6119124803164885,0.896,0.701
3,H1143TS158_1.pdb,0.5780476397914199,0.834,0.696
4,H1143TS225_2.pdb,0.6818415768599335,0.919,0.695
5,H1143TS350_1.pdb,0.5758338311715404,0.819,0.691
6,H1143TS374_3.pdb,0.5658590300745291,0.81,0.698
7,H1143TS494_1.pdb,0.6446794350096589,0.831,0.693
8,H1143TS312_1.pdb,0.5532792552595491,0.816,0.693
9,H1143TS367_2.pdb,0.5699925902726879,0.868,0.699
10,H1143TS477_1.pdb,0.6162983757083377,0.862,0.703
11,H1143TS248_1.pdb,0.5848597790636852,0.864,0.691
12,H1143TS169_5.pdb,0.5525909358647746,0.835,0.696
13,H1143TS133_1.pdb,0.5601285615928345,0.795,0.698
14,H1143TS462_2.pdb,0.5456075366054559,0.87,0.702
15,H1143TS462_3.pdb,0.5115940278363068,0.824,0.7
16,H1143TS312_5.pdb,0.5668802132952043,0.802,0.691
17,H1143TS073_1.pdb,0.6324618568481495,0.812,0.703
18,H1143TS444_2.pdb,0.5623363578940196,0.784,0.694
19,H1143TS441_4.pdb,0.5105599090208648,0.694,0.701
20,H1143TS494_4.pdb,0.5767251118701209,0.832,0.694
21,H1143TS073_4.pdb,0.5165509113126513,0.89,0.703
22,H1143TS119_1.pdb,0.4115158859124267,0.544,0.695
23,H1143TS205_1.pdb,0.5499152718542775,0.724,0.689
24,H1143TS037_3.pdb,0.5894282303140744,0.86,0.694
25,H1143TS494_5.pdb,0.11719812831053297,0.169,0.695
26,H1143TS315_1.pdb,1.0,0.652,0.421
27,H1143TS374_5.pdb,0.45267275805646157,0.542,0.703
28,H1143TS447_2.pdb,0.5870218453044975,0.673,0.693
29,H1143TS119_3.pdb,0.3219793427661148,0.413,0.693
30,H1143TS073_2.pdb,0.5542825837156167,0.612,0.694
31,H1143TS444_4.pdb,0.20670952903321368,0.248,0.7
32,H1143TS037_4.pdb,0.6221837069442827,0.815,0.689
33,H1143TS073_5.pdb,0.490414086607633,0.84,0.697
34,H1143TS447_4.pdb,0.270823620250291,0.355,0.682
35,H1143TS447_1.pdb,0.5220345103449231,0.654,0.696
36,H1143TS097_3.pdb,0.3287832834219786,0.482,0.687
37,H1143TS165_2.pdb,0.21405967973289272,0.379,0.675
38,H1143TS493_4.pdb,0.4207160088552345,0.603,0.689
39,H1143TS147_2.pdb,0.5990384662684326,0.737,0.674
40,H1143TS447_5.pdb,0.48363528837540043,0.62,0.69
41,H1143TS444_3.pdb,0.333504957703338,0.47,0.695
42,H1143TS165_3.pdb,0.17573369873655678,0.361,0.68
43,H1143TS165_1.pdb,0.2752944168697646,0.428,0.679
44,H1143TS447_3.pdb,0.3977411172090598,0.499,0.693
45,H1143TS494_3.pdb,0.5150627713400421,0.669,0.695
46,H1143TS360_1.pdb,0.5451580702351781,0.818,0.701
47,H1143TS188_5.pdb,0.5396972451373551,0.804,0.699
48,H1143TS462_5.pdb,0.4795243199202147,0.81,0.695
49,H1143TS462_4.pdb,0.43562091128167874,0.729,0.701
50,H1143TS071_1.pdb,0.3770780531966314,0.547,0.701
51,H1143TS071_2.pdb,0.26958562917366513,0.338,0.696
52,H1143TS312_3.pdb,0.5198902988687185,0.73,0.692
53,H1143TS071_4.pdb,0.21705235691091437,0.228,0.695
54,H1143TS439_2.pdb,0.43669237934961647,0.605,0.691
55,H1143TS071_3.pdb,0.18265005153285888,0.179,0.688
56,H1143TS150_2.pdb,0.4137145726398324,0.61,0.696
57,H1143TS133_3.pdb,0.317931776944434,0.463,0.694
58,H1143TS071_5.pdb,0.18017862416649677,0.17,0.689
59,H1143TS399_1.pdb,0.26524765013989576,0.324,0.696
60,H1143TS385_2.pdb,0.4773347427665885,0.677,0.695
61,H1143TS288_3.pdb,0.29039845457902747,0.398,0.695
62,H1143TS278_5.pdb,0.3932120193173978,0.565,0.696
63,H1143TS133_5.pdb,0.2799574254959844,0.355,0.69
64,H1143TS385_1.pdb,0.47197667366099744,0.69,0.695
65,H1143TS439_3.pdb,0.2377813742375059,0.253,0.686
66,H1143TS461_3.pdb,0.3073652179347102,0.43,0.696
67,H1143TS350_3.pdb,0.4422209796763587,0.763,0.689
68,H1143TS423_4.pdb,0.2664100317541523,0.333,0.696
69,H1143TS461_4.pdb,0.23486048050086625,0.264,0.696
70,H1143TS423_5.pdb,0.24165494719999941,0.273,0.695
71,H1143TS461_5.pdb,0.3074371835675678,0.449,0.699
72,H1143TS444_5.pdb,0.5156131717877958,0.673,0.692
73,H1143TS288_4.pdb,0.16787778450064322,0.157,0.696
