,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,H1151TS434_4,2379.849,2379.849,0.848,0.848,0.593,0.593
1,H1151TS227_4,2445.25,2445.25,0.868,0.868,0.596,0.596
2,H1151TS462_2,2278.705,2278.705,0.832,0.832,0.594,0.594
3,H1151TS390_3,2238.378,2238.378,0.793,0.793,0.587,0.587
4,H1151TS360_2,2073.118,2073.118,0.822,0.822,0.586,0.586
5,H1151TS071_2,2076.364,2076.364,0.795,0.795,0.584,0.584
6,H1151TS348_1,2100.998,2100.998,0.78,0.78,0.586,0.586
7,H1151TS205_1,2169.711,2169.711,0.813,0.813,0.598,0.598
8,H1151TS227_1,2277.657,2277.657,0.787,0.787,0.593,0.593
9,H1151TS434_3,2037.429,2037.429,0.795,0.795,0.586,0.586
10,H1151TS374_3,1965.952,1965.952,0.761,0.761,0.592,0.592
11,H1151TS350_1,1696.873,1696.873,0.885,0.885,0.58,0.58
12,H1151TS444_3,2269.736,2269.736,0.91,0.91,0.603,0.603
13,H1151TS288_5,1755.037,1755.037,0.753,0.753,0.587,0.587
14,H1151TS288_3,1945.844,1945.844,0.741,0.741,0.585,0.585
15,H1151TS423_4,1762.637,1762.637,0.766,0.766,0.588,0.588
16,H1151TS423_5,1940.461,1940.461,0.792,0.792,0.591,0.591
17,H1151TS035_2,1626.138,1626.138,0.815,0.815,0.591,0.591
18,H1151TS350_2,1609.714,1609.714,0.804,0.804,0.578,0.578
19,H1151TS493_2,1963.592,1963.592,0.83,0.83,0.577,0.577
20,H1151TS494_2,1989.835,1989.835,0.857,0.857,0.581,0.581
21,H1151TS494_1,1807.226,1807.226,0.839,0.839,0.583,0.583
22,H1151TS399_1,1685.249,1685.249,0.721,0.721,0.586,0.586
23,H1151TS385_1,1819.485,1819.485,0.707,0.707,0.593,0.593
24,H1151TS374_5,1647.44,1647.44,0.673,0.673,0.596,0.596
25,H1151TS097_2,976.936,976.936,0.582,0.582,0.591,0.591
26,H1151TS037_5,1544.809,1544.809,0.846,0.846,0.578,0.578
27,H1151TS185_1,1417.804,1417.804,0.667,0.667,0.606,0.606
28,H1151TS037_2,1285.327,1285.327,0.838,0.838,0.577,0.577
29,H1151TS447_2,2902.932,2902.932,0.895,0.895,0.616,0.616
30,H1151TS444_5,890.158,890.158,0.634,0.634,0.596,0.596
31,H1151TS225_4,952.316,952.316,0.516,0.516,0.583,0.583
32,H1151TS447_5,1648.785,1648.785,0.643,0.643,0.595,0.595
33,H1151TS447_3,2154.504,2154.504,0.76,0.76,0.613,0.613
34,H1151TS444_1,325.529,325.529,0.433,0.433,0.596,0.596
35,H1151TS097_3,1301.968,1301.968,0.688,0.688,0.573,0.573
36,H1151TS225_1,696.415,696.415,0.402,0.402,0.566,0.566
37,H1151TS147_5,1330.572,1330.572,0.671,0.671,0.603,0.603
38,H1151TS147_4,2257.299,2257.299,0.82,0.82,0.619,0.619
39,H1151TS147_2,2701.893,2701.893,0.854,0.854,0.64,0.64
40,H1151TS147_3,1599.15,1599.15,0.633,0.633,0.588,0.588
41,H1151TS147_1,1516.445,1516.445,0.685,0.685,0.613,0.613
42,H1151TS073_3,355.162,355.162,0.51,0.51,0.57,0.57
43,H1151TS091_4,434.713,434.713,0.526,0.526,0.586,0.586
44,H1151TS257_5,186.396,186.396,0.441,0.441,0.577,0.577
45,H1151TS091_1,327.859,327.859,0.478,0.478,0.568,0.568
46,H1151TS257_4,-208.442,-208.442,0.327,0.327,0.579,0.579
47,H1151TS314_1,-55.69,-55.69,0.454,0.454,0.59,0.59
48,H1151TS091_3,-223.826,-223.826,0.378,0.378,0.569,0.569
49,H1151TS477_1,1821.096,1821.096,0.8,0.8,0.582,0.582
50,H1151TS367_2,1941.706,1941.706,0.777,0.777,0.589,0.589
51,H1151TS350_5,1423.295,1423.295,0.791,0.791,0.58,0.58
52,H1151TS434_5,1937.955,1937.955,0.741,0.741,0.584,0.584
53,H1151TS158_1,2100.376,2100.376,0.758,0.758,0.581,0.581
54,H1151TS288_4,1686.46,1686.46,0.768,0.768,0.581,0.581
55,H1151TS071_1,1777.912,1777.912,0.751,0.751,0.575,0.575
56,H1151TS278_1,1668.919,1668.919,0.688,0.688,0.585,0.585
57,H1151TS439_2,1418.795,1418.795,0.692,0.692,0.573,0.573
58,H1151TS288_2,1522.456,1522.456,0.647,0.647,0.577,0.577
59,H1151TS399_4,1713.756,1713.756,0.723,0.723,0.59,0.59
60,H1151TS205_3,1541.885,1541.885,0.663,0.663,0.588,0.588
61,H1151TS441_1,1539.75,1539.75,0.731,0.731,0.592,0.592
62,H1151TS439_3,1062.986,932.4438596491228,0.66,0.5789473684210527,0.599,0.525438596491228
63,H1151TS350_3,1361.954,1361.954,0.774,0.774,0.575,0.575
64,H1151TS188_4,1669.134,1669.134,0.649,0.649,0.586,0.586
65,H1151TS374_2,536.853,536.853,0.453,0.453,0.578,0.578
66,H1151TS441_5,1389.586,1389.586,0.698,0.698,0.593,0.593
