,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,T1160TS298_4o,7567.305,7567.305,0.963,0.963,0.692,0.692
1,T1160TS360_2o,7363.35,7363.35,0.938,0.938,0.688,0.688
2,T1160TS205_1o,7881.597,7881.597,0.965,0.965,0.673,0.673
3,T1160TS494_1o,7289.439,7289.439,0.933,0.933,0.694,0.694
4,T1160TS150_4o,7145.403,7145.403,0.95,0.95,0.675,0.675
5,T1160TS374_4o,7817.425,7817.425,0.94,0.94,0.701,0.701
6,T1160TS462_5o,6344.087,6344.087,0.947,0.947,0.7,0.7
7,T1160TS248_5o,6967.166,6967.166,0.95,0.95,0.688,0.688
8,T1160TS288_3o,7165.417,7165.417,0.971,0.971,0.689,0.689
9,T1160TS444_1o,7442.105,7442.105,0.889,0.889,0.696,0.696
10,T1160TS205_5o,7595.858,7595.858,0.968,0.968,0.653,0.653
11,T1160TS205_3o,7054.35,7054.35,0.921,0.921,0.684,0.684
12,T1160TS461_2o,7038.476,7038.476,0.955,0.955,0.678,0.678
13,T1160TS248_2o,7038.907,7038.907,0.928,0.928,0.676,0.676
14,T1160TS444_2o,7454.67,7454.67,0.932,0.932,0.642,0.642
15,T1160TS073_2o,7354.943,7354.943,0.968,0.968,0.677,0.677
16,T1160TS147_5o,9179.655,9179.655,0.996,0.996,0.734,0.734
17,T1160TS205_2o,8458.948,8458.948,0.959,0.959,0.687,0.687
18,T1160TS278_5o,6320.85,6320.85,0.941,0.941,0.688,0.688
19,T1160TS348_1o,7124.54,7124.54,0.969,0.969,0.654,0.654
20,T1160TS278_3o,8645.873,8645.873,0.998,0.998,0.68,0.68
21,T1160TS314_3o,5577.186,5577.186,0.966,0.966,0.68,0.68
22,T1160TS374_2o,7323.04,7323.04,0.936,0.936,0.667,0.667
23,T1160TS147_2o,7882.498,7882.498,0.946,0.946,0.682,0.682
24,T1160TS205_4o,7598.541,7598.541,0.969,0.969,0.675,0.675
