,model,GNN_sum_score,GNN_pcadscore,voromqa_dark
0,T1179TS119_5o.pdb,1.0,0.866,0.646
1,T1179TS374_3o.pdb,0.9429584769311825,0.74,0.636
2,T1179TS131_2o.pdb,0.9173474229282511,0.723,0.592
3,T1179TS374_4o.pdb,0.8946757572185514,0.726,0.635
4,T1179TS239_4o.pdb,0.9088247559100628,0.79,0.617
5,T1179TS350_2o.pdb,0.8612660777834533,0.736,0.565
6,T1179TS278_1o.pdb,0.8602856620161878,0.878,0.677
7,T1179TS288_5o.pdb,0.8099939032969093,0.762,0.663
8,T1179TS073_1o.pdb,0.8557732567252804,0.84,0.67
9,T1179TS439_1o.pdb,0.6977128279618549,0.635,0.656
10,T1179TS374_2o.pdb,0.6970469648938908,0.63,0.646
11,T1179TS185_1o.pdb,0.7661739871466458,0.801,0.67
12,T1179TS439_2o.pdb,0.770536488746872,0.743,0.635
13,T1179TS248_1o.pdb,0.7843614284452817,0.522,0.607
14,T1179TS423_1o.pdb,0.7569437561183563,0.526,0.587
15,T1179TS185_2o.pdb,0.7711143869095377,0.822,0.651
16,T1179TS119_4o.pdb,0.5959661626640945,0.334,0.642
17,T1179TS086_4o.pdb,0.8330006553005193,0.635,0.623
18,T1179TS367_2o.pdb,0.7284226354572929,0.672,0.657
19,T1179TS278_4o.pdb,0.7534193716297547,0.712,0.683
20,T1179TS119_1o.pdb,0.5293925309260863,0.108,0.653
21,T1179TS278_3o.pdb,0.7119520308189821,0.645,0.655
22,T1179TS288_3o.pdb,0.7104102789653604,0.67,0.657
23,T1179TS119_3o.pdb,0.6014076919859408,0.334,0.654
24,T1179TS119_2o.pdb,0.6116878403517245,0.394,0.669
25,T1179TS158_3o.pdb,0.5764521920034746,0.282,0.661
26,T1179TS073_2o.pdb,0.8814129986103911,0.773,0.628
27,T1179TS439_4o.pdb,0.705260994240031,0.615,0.653
28,T1179TS278_2o.pdb,0.7402182138054202,0.746,0.674
29,T1179TS423_4o.pdb,0.794532233307265,0.721,0.635
30,T1179TS439_3o.pdb,0.7116751230431294,0.629,0.643
31,T1179TS367_3o.pdb,0.6642195776417039,0.524,0.657
32,T1179TS288_2o.pdb,0.7886056717506326,0.632,0.607
33,T1179TS131_1o.pdb,0.6504007642215212,0.472,0.625
34,T1179TS071_3o.pdb,0.6088556830525597,0.419,0.574
35,T1179TS091_2o.pdb,0.8288438698981305,0.795,0.566
36,T1179TS239_5o.pdb,0.5377631394936653,0.29,0.589
37,T1179TS185_5o.pdb,0.7118082111563329,0.673,0.641
38,T1179TS071_2o.pdb,0.5696208425280319,0.353,0.556
39,T1179TS037_3o.pdb,0.522804922823682,0.246,0.618
40,T1179TS071_1o.pdb,0.5374550088239533,0.323,0.586
41,T1179TS037_2o.pdb,0.6779257520429025,0.536,0.644
42,T1179TS288_4o.pdb,0.690328043186459,0.554,0.657
43,T1179TS494_3o.pdb,0.7265867799985888,0.656,0.536
44,T1179TS091_3o.pdb,0.7851298327357044,0.703,0.576
45,T1179TS314_4o.pdb,0.532782855547007,0.055,0.67
46,T1179TS073_5o.pdb,0.6142389493559591,0.391,0.621
47,T1179TS494_4o.pdb,0.5966420390281948,0.274,0.66
48,T1179TS091_1o.pdb,0.7541786076279346,0.664,0.587
49,T1179TS447_1o.pdb,0.8420686033310898,0.873,0.586
50,T1179TS367_1o.pdb,0.5571569506006498,0.194,0.642
51,T1179TS374_1o.pdb,0.6175156632034182,0.383,0.64
52,T1179TS239_2o.pdb,0.5409381993727537,0.119,0.634
53,T1179TS367_5o.pdb,0.588276246982808,0.308,0.623
