,T1113TS003_1o,T1113TS003_2o,T1113TS003_3o,T1113TS003_4o,T1113TS003_5o,T1113TS035_1o,T1113TS035_2o,T1113TS035_3o,T1113TS035_4o,T1113TS035_5o,T1113TS037_1o,T1113TS037_2o,T1113TS037_3o,T1113TS037_4o,T1113TS037_5o,T1113TS054_1o,T1113TS054_2o,T1113TS054_3o,T1113TS054_4o,T1113TS054_5o,T1113TS071_1o,T1113TS071_2o,T1113TS071_3o,T1113TS071_4o,T1113TS071_5o,T1113TS073_1o,T1113TS073_2o,T1113TS073_3o,T1113TS073_4o,T1113TS073_5o,T1113TS086_1o,T1113TS086_2o,T1113TS086_3o,T1113TS086_4o,T1113TS086_5o,T1113TS091_1o,T1113TS091_2o,T1113TS091_3o,T1113TS091_4o,T1113TS091_5o,T1113TS098_1o,T1113TS098_2o,T1113TS098_3o,T1113TS098_4o,T1113TS098_5o,T1113TS119_1o,T1113TS119_2o,T1113TS119_3o,T1113TS119_4o,T1113TS119_5o,T1113TS125_1o,T1113TS125_2o,T1113TS125_3o,T1113TS125_4o,T1113TS125_5o,T1113TS131_1o,T1113TS131_2o,T1113TS131_3o,T1113TS131_4o,T1113TS131_5o,T1113TS147_1o,T1113TS147_2o,T1113TS147_3o,T1113TS147_4o,T1113TS147_5o,T1113TS150_1o,T1113TS150_2o,T1113TS150_3o,T1113TS150_4o,T1113TS150_5o,T1113TS158_1o,T1113TS158_2o,T1113TS158_3o,T1113TS158_4o,T1113TS158_5o,T1113TS165_1o,T1113TS165_2o,T1113TS165_3o,T1113TS165_4o,T1113TS165_5o,T1113TS169_1o,T1113TS169_2o,T1113TS169_3o,T1113TS169_4o,T1113TS169_5o,T1113TS180_1o,T1113TS180_2o,T1113TS180_3o,T1113TS180_4o,T1113TS180_5o,T1113TS185_1o,T1113TS185_2o,T1113TS185_3o,T1113TS185_4o,T1113TS185_5o,T1113TS187_1o,T1113TS187_2o,T1113TS187_3o,T1113TS187_4o,T1113TS187_5o,T1113TS188_1o,T1113TS188_2o,T1113TS188_3o,T1113TS188_4o,T1113TS188_5o,T1113TS201_1o,T1113TS201_2o,T1113TS201_3o,T1113TS201_4o,T1113TS201_5o,T1113TS234_1o,T1113TS239_1o,T1113TS239_2o,T1113TS239_3o,T1113TS239_4o,T1113TS239_5o,T1113TS248_1o,T1113TS248_2o,T1113TS248_3o,T1113TS248_4o,T1113TS248_5o,T1113TS278_1o,T1113TS278_2o,T1113TS278_3o,T1113TS278_4o,T1113TS278_5o,T1113TS288_1o,T1113TS288_2o,T1113TS288_3o,T1113TS288_4o,T1113TS288_5o,T1113TS298_1o,T1113TS298_2o,T1113TS298_3o,T1113TS298_4o,T1113TS298_5o,T1113TS312_1o,T1113TS312_2o,T1113TS312_3o,T1113TS312_4o,T1113TS312_5o,T1113TS320_1o,T1113TS320_2o,T1113TS320_3o,T1113TS320_4o,T1113TS320_5o,T1113TS348_1o,T1113TS348_2o,T1113TS348_3o,T1113TS348_4o,T1113TS348_5o,T1113TS350_1o,T1113TS350_2o,T1113TS350_3o,T1113TS350_4o,T1113TS350_5o,T1113TS360_1o,T1113TS360_2o,T1113TS360_3o,T1113TS360_4o,T1113TS360_5o,T1113TS367_1o,T1113TS367_2o,T1113TS367_3o,T1113TS367_4o,T1113TS367_5o,T1113TS374_1o,T1113TS374_2o,T1113TS374_3o,T1113TS374_4o,T1113TS374_5o,T1113TS385_1o,T1113TS390_1o,T1113TS390_2o,T1113TS390_3o,T1113TS390_4o,T1113TS390_5o,T1113TS398_1o,T1113TS398_2o,T1113TS398_3o,T1113TS398_4o,T1113TS398_5o,T1113TS399_1o,T1113TS399_2o,T1113TS399_3o,T1113TS399_4o,T1113TS399_5o,T1113TS423_1o,T1113TS423_2o,T1113TS423_3o,T1113TS423_4o,T1113TS423_5o,T1113TS439_1o,T1113TS439_2o,T1113TS439_3o,T1113TS439_4o,T1113TS439_5o,T1113TS444_1o,T1113TS444_2o,T1113TS444_3o,T1113TS444_4o,T1113TS444_5o,T1113TS446_1o,T1113TS446_2o,T1113TS446_3o,T1113TS446_4o,T1113TS446_5o,T1113TS447_1o,T1113TS447_2o,T1113TS447_3o,T1113TS447_4o,T1113TS447_5o,T1113TS461_1o,T1113TS461_2o,T1113TS461_3o,T1113TS461_4o,T1113TS461_5o,T1113TS462_1o,T1113TS462_2o,T1113TS462_3o,T1113TS462_4o,T1113TS462_5o,T1113TS477_1o,T1113TS493_1o,T1113TS493_2o,T1113TS493_3o,T1113TS493_4o,T1113TS493_5o,T1113TS494_1o,T1113TS494_2o,T1113TS494_3o,T1113TS494_4o,T1113TS494_5o
0,1.0,0.99331,0.99781,0.99432,0.99399,0.97912,0.5135,0.51097,0.62562,0.59239,0.99531,0.78475,0.52306,0.63072,0.96137,0.98789,0.97404,0.98548,0.98272,0.98513,0.97548,0.98192,0.97609,0.98594,0.97973,0.95761,0.95786,0.95145,0.93708,0.94794,0.99432,0.99387,0.99355,0.99399,0.99554,0.96217,0.96241,0.94385,0.94866,0.96829,0.99891,0.44696,0.34047,0.94436,0.99891,0.99806,0.98871,0.99457,0.99141,0.9883,0.9848,0.98038,0.97901,0.97312,0.98032,0.99806,0.99141,0.97314,0.98629,0.98099,0.99435,0.9878,0.9881,0.99433,0.98646,0.99457,0.98841,0.98872,0.9948,0.98685,0.99432,0.99399,0.99355,0.99387,0.99824,0.43517,0.50609,0.45292,0.50675,0.44625,0.96833,0.99891,0.99891,0.94436,0.93294,0.97261,0.97838,0.9772,0.97438,0.97169,0.96833,0.95315,0.95668,0.93854,0.90683,0.94971,0.98365,0.98605,0.9562,0.98039,0.99891,0.93294,0.93614,0.93124,0.94436,0.98879,0.98458,0.98606,0.98746,0.98709,0.39186,0.9833,0.9878,0.98362,0.99751,0.99443,0.99742,0.95412,0.91545,0.62562,0.59239,0.98572,0.95293,0.91986,0.89542,0.9327,0.98626,0.98469,0.75337,0.99742,0.98037,0.99885,0.98505,0.97733,0.98323,0.98786,0.97173,0.97314,0.96169,0.95922,0.96925,0.99457,0.98841,0.98872,0.9948,0.98685,0.98791,0.98685,0.98266,0.98599,0.98629,0.9859,0.98227,0.97648,0.9824,0.99561,0.98254,0.98323,0.98406,0.9822,0.98629,0.99745,0.99648,0.99701,0.9953,0.99601,0.98615,0.98892,0.98596,0.89398,0.98609,0.9225,0.99457,0.98841,0.98872,0.9948,0.98685,0.43695,0.43584,0.45811,0.45928,0.44585,0.98789,0.97404,0.98548,0.98272,0.98513,0.94971,0.98365,0.98605,0.9562,0.98039,0.98774,0.98629,0.9127,0.98389,0.98917,0.97745,0.99,0.98703,0.98745,0.97835,0.98871,0.9883,0.98566,0.98629,0.97806,0.49684,0.49736,0.49927,0.49991,0.98556,0.98871,0.9883,0.98566,0.98629,0.97806,0.98471,0.98666,0.98735,0.98644,0.98586,0.93913,0.86087,0.81333,0.87707,0.84497,0.55962,0.98779,0.98753,0.54368,0.36538,0.34104
1,0.99331,1.0,0.99317,0.9956,0.99492,0.98523,0.51437,0.51237,0.6349,0.60077,0.99236,0.79665,0.5298,0.6257,0.96361,0.98188,0.97097,0.97996,0.98276,0.98534,0.97443,0.98081,0.97306,0.98978,0.9812,0.9534,0.94657,0.93557,0.91856,0.95247,0.9956,0.99945,0.99588,0.99492,0.98932,0.95772,0.96126,0.94049,0.94111,0.96695,0.99191,0.44627,0.33866,0.95607,0.99191,0.99347,0.98689,0.99402,0.99741,0.98789,0.97843,0.98279,0.9776,0.97284,0.98377,0.99347,0.99741,0.97113,0.99098,0.97965,0.99365,0.98559,0.97887,0.98856,0.98273,0.99402,0.98623,0.97983,0.98931,0.98347,0.9956,0.99492,0.99588,0.99945,0.99162,0.43805,0.5048,0.45281,0.50635,0.44711,0.96162,0.99191,0.99191,0.95607,0.94792,0.96103,0.97011,0.96764,0.96267,0.95976,0.96162,0.94147,0.94528,0.92682,0.89083,0.9351,0.9862,0.98282,0.94964,0.97712,0.99191,0.94792,0.94966,0.94664,0.95607,0.98697,0.9865,0.98704,0.98417,0.98576,0.39149,0.98582,0.98637,0.96558,0.99382,0.98383,0.99633,0.96718,0.89653,0.6349,0.60077,0.98715,0.96499,0.93686,0.91392,0.94895,0.98713,0.97215,0.76444,0.99266,0.97812,0.99253,0.97723,0.97606,0.9781,0.98019,0.97673,0.9721,0.95848,0.95587,0.96995,0.99402,0.98623,0.97983,0.98931,0.98347,0.98515,0.98347,0.98297,0.98082,0.98205,0.98419,0.97134,0.97308,0.97932,0.99662,0.98241,0.9781,0.98184,0.97946,0.98205,0.99326,0.99355,0.9963,0.99488,0.99283,0.98775,0.99808,0.99252,0.87896,0.98358,0.92056,0.99402,0.98623,0.97983,0.98931,0.98347,0.4376,0.43675,0.45735,0.45846,0.44559,0.98188,0.97097,0.97996,0.98276,0.98534,0.9351,0.9862,0.98282,0.94964,0.97712,0.98574,0.98592,0.9251,0.98567,0.98544,0.96762,0.98171,0.98001,0.98232,0.96985,0.98689,0.98789,0.98723,0.98592,0.96525,0.49391,0.49404,0.49635,0.49752,0.97417,0.98689,0.98789,0.98723,0.98592,0.96525,0.9745,0.97989,0.9799,0.97767,0.97659,0.94022,0.87236,0.81125,0.89171,0.84952,0.57643,0.98588,0.98038,0.5318,0.36385,0.34204
2,0.99781,0.99317,1.0,0.99555,0.99615,0.97876,0.51581,0.51391,0.6249,0.60002,0.99619,0.79739,0.5247,0.63212,0.95755,0.98967,0.96798,0.98345,0.97856,0.9821,0.97515,0.97718,0.97123,0.98309,0.97763,0.95432,0.95445,0.95153,0.9388,0.94543,0.99555,0.99427,0.99511,0.99615,0.99692,0.95434,0.95472,0.93312,0.93836,0.96024,0.99835,0.4486,0.34178,0.95182,0.99835,0.9977,0.98782,0.99225,0.9908,0.98767,0.98364,0.97702,0.97383,0.96704,0.97541,0.9977,0.9908,0.97002,0.98558,0.97641,0.99207,0.98729,0.98993,0.99619,0.98601,0.99225,0.98785,0.99056,0.9967,0.9864,0.99555,0.99615,0.99511,0.99427,0.99938,0.43688,0.51182,0.45304,0.51241,0.44653,0.97417,0.99835,0.99835,0.95182,0.93893,0.9738,0.98118,0.97814,0.97308,0.97321,0.97417,0.95886,0.96141,0.94552,0.91078,0.95538,0.98418,0.98856,0.95681,0.97563,0.99835,0.93893,0.9439,0.93613,0.95182,0.98815,0.98217,0.98645,0.98797,0.98812,0.39331,0.9839,0.98647,0.98162,0.99668,0.99598,0.99737,0.95127,0.9109,0.6249,0.60002,0.98381,0.95806,0.92675,0.90145,0.93219,0.98571,0.983,0.76283,0.9971,0.97451,0.99838,0.98112,0.97158,0.98051,0.98598,0.96603,0.96767,0.96708,0.96535,0.96332,0.99225,0.98785,0.99056,0.9967,0.9864,0.98444,0.9864,0.98042,0.9842,0.98481,0.9881,0.97997,0.97078,0.97798,0.9951,0.97851,0.98051,0.98043,0.97795,0.98481,0.99754,0.99783,0.99787,0.99703,0.99797,0.98599,0.98828,0.98465,0.9006,0.98837,0.92503,0.99225,0.98785,0.99056,0.9967,0.9864,0.43608,0.43637,0.45932,0.45968,0.44675,0.98967,0.96798,0.98345,0.97856,0.9821,0.95538,0.98418,0.98856,0.95681,0.97563,0.98803,0.98803,0.90643,0.98518,0.98862,0.98234,0.99084,0.98869,0.98623,0.98337,0.98782,0.98767,0.98583,0.98803,0.97685,0.49787,0.49763,0.49958,0.50056,0.98831,0.98782,0.98767,0.98583,0.98803,0.97685,0.98544,0.98875,0.98832,0.98665,0.98676,0.94387,0.8515,0.81131,0.87861,0.848,0.56316,0.98556,0.98405,0.5442,0.36556,0.34191
3,0.99432,0.9956,0.99555,1.0,0.99925,0.98694,0.51892,0.51644,0.62923,0.605,0.99508,0.80313,0.53002,0.62605,0.96109,0.98574,0.96751,0.9787,0.97925,0.98377,0.97653,0.97647,0.96771,0.98846,0.98268,0.95,0.94766,0.93887,0.92211,0.94756,1.0,0.99612,0.99932,0.99925,0.99181,0.95488,0.95898,0.93846,0.93935,0.96336,0.99473,0.44828,0.33991,0.95885,0.99473,0.99553,0.98789,0.99215,0.9968,0.98873,0.97843,0.98363,0.9743,0.96884,0.98022,0.99553,0.9968,0.96544,0.99532,0.9751,0.9918,0.9842,0.98735,0.99381,0.98734,0.99215,0.9848,0.98797,0.99424,0.98779,1.0,0.99925,0.99932,0.99612,0.9943,0.43905,0.50718,0.45346,0.51044,0.44466,0.96879,0.99473,0.99473,0.95885,0.94997,0.96294,0.97292,0.9694,0.96377,0.96233,0.96879,0.94996,0.95319,0.93524,0.89526,0.93991,0.98938,0.98721,0.94949,0.97398,0.99473,0.94997,0.95217,0.94849,0.95885,0.98815,0.98651,0.98956,0.98791,0.98801,0.39294,0.98792,0.98709,0.9699,0.99626,0.98964,0.9979,0.9656,0.89679,0.62923,0.605,0.98743,0.96746,0.93902,0.91605,0.94726,0.98885,0.97604,0.76766,0.99573,0.97403,0.99545,0.97845,0.97132,0.97638,0.98166,0.97351,0.97166,0.95699,0.95458,0.96928,0.99215,0.98481,0.98797,0.99424,0.98779,0.98366,0.98779,0.9856,0.98048,0.98124,0.98573,0.97244,0.96799,0.97582,0.99631,0.97939,0.97638,0.97997,0.97712,0.98124,0.99642,0.99713,0.9965,0.99597,0.9966,0.98947,0.99472,0.99083,0.8823,0.98853,0.93013,0.99215,0.98481,0.98797,0.99424,0.98779,0.43633,0.43687,0.45886,0.45876,0.44684,0.98574,0.96751,0.9787,0.97925,0.98377,0.93991,0.98938,0.98721,0.94949,0.97398,0.98681,0.98834,0.92183,0.98773,0.98683,0.97685,0.98772,0.98739,0.98721,0.97951,0.98789,0.98873,0.98955,0.98834,0.97007,0.49542,0.49789,0.50003,0.50132,0.98231,0.98789,0.98873,0.98955,0.98834,0.97007,0.97845,0.98438,0.98355,0.98144,0.98054,0.94498,0.86596,0.81341,0.88348,0.85509,0.56435,0.98759,0.98162,0.53672,0.36514,0.34223
4,0.99399,0.99492,0.99615,0.99925,1.0,0.98577,0.51926,0.5168,0.62549,0.60723,0.99408,0.8088,0.53249,0.62519,0.95721,0.98673,0.96325,0.97722,0.9761,0.98062,0.97574,0.97333,0.96445,0.98577,0.98011,0.94998,0.94874,0.94203,0.92665,0.94543,0.99925,0.99596,0.99957,1.0,0.99401,0.94954,0.95316,0.93148,0.93364,0.95839,0.99443,0.44818,0.34098,0.96001,0.99443,0.99428,0.98768,0.99011,0.99537,0.9881,0.97748,0.9797,0.97043,0.96412,0.9762,0.99428,0.99537,0.96314,0.99304,0.97232,0.98991,0.98337,0.98783,0.99424,0.98627,0.99011,0.98393,0.98832,0.99459,0.98661,0.99925,1.0,0.99957,0.99596,0.99498,0.43756,0.50937,0.45385,0.51261,0.44486,0.9715,0.99443,0.99443,0.96001,0.94995,0.96366,0.97418,0.97011,0.96316,0.96331,0.9715,0.95302,0.95587,0.9376,0.89684,0.94363,0.98947,0.9891,0.94977,0.97063,0.99443,0.94995,0.95304,0.94784,0.96001,0.98767,0.98501,0.98949,0.98825,0.98882,0.39296,0.98826,0.98717,0.97007,0.99586,0.9908,0.99701,0.96275,0.89494,0.62549,0.60723,0.9863,0.97026,0.94246,0.91924,0.94515,0.98853,0.97548,0.77252,0.9957,0.97052,0.99532,0.97721,0.96737,0.97456,0.9814,0.96868,0.96846,0.96034,0.95859,0.96533,0.99011,0.98393,0.98832,0.99459,0.98661,0.98084,0.98661,0.98249,0.97886,0.9799,0.98662,0.97159,0.96466,0.97301,0.99504,0.97619,0.97456,0.97726,0.97411,0.9799,0.99641,0.99734,0.99614,0.99625,0.99722,0.98923,0.99303,0.9896,0.88683,0.98946,0.92919,0.99011,0.98393,0.98832,0.99459,0.98661,0.43621,0.43729,0.45912,0.45967,0.44656,0.98673,0.96325,0.97722,0.9761,0.98062,0.94363,0.98947,0.9891,0.94977,0.97063,0.98802,0.98933,0.91874,0.98849,0.98747,0.9796,0.98858,0.98741,0.98569,0.98189,0.98768,0.9881,0.98935,0.98933,0.96969,0.49896,0.4977,0.49977,0.50119,0.98371,0.98768,0.9881,0.98935,0.98933,0.96969,0.97926,0.98544,0.9844,0.98178,0.98132,0.94782,0.86103,0.81387,0.88484,0.85743,0.56208,0.98631,0.97942,0.53687,0.36512,0.34194
5,0.97912,0.98523,0.97876,0.98694,0.98577,1.0,0.51551,0.51405,0.63332,0.60188,0.97856,0.79837,0.52633,0.61677,0.95285,0.96607,0.95715,0.96235,0.96905,0.97167,0.97949,0.96645,0.95593,0.98103,0.98766,0.95743,0.94768,0.93275,0.91301,0.96095,0.98694,0.98393,0.98722,0.98577,0.97604,0.94438,0.9528,0.93221,0.9301,0.96015,0.9788,0.45126,0.34043,0.95794,0.9788,0.98057,0.99214,0.97917,0.9882,0.99425,0.96132,0.97535,0.96379,0.95985,0.97047,0.98057,0.9882,0.95121,0.98875,0.96315,0.97857,0.96948,0.96584,0.97402,0.97574,0.97917,0.97032,0.96674,0.97463,0.97601,0.98694,0.98577,0.98722,0.98393,0.97768,0.43816,0.50866,0.45268,0.50671,0.44417,0.96349,0.9788,0.9788,0.95794,0.95559,0.94554,0.95605,0.95284,0.94853,0.94573,0.96349,0.93969,0.94342,0.9128,0.87926,0.91867,0.99809,0.98902,0.93118,0.96183,0.9788,0.95559,0.95418,0.95606,0.95794,0.99251,0.99536,0.99673,0.99068,0.99181,0.39276,0.9969,0.99339,0.94747,0.98234,0.96889,0.98409,0.98672,0.88041,0.63332,0.60188,0.99654,0.98287,0.95735,0.93671,0.9591,0.99693,0.96045,0.77268,0.98055,0.96258,0.97994,0.96669,0.9609,0.96094,0.96925,0.97344,0.96057,0.93897,0.93494,0.96089,0.97917,0.97032,0.96674,0.97463,0.97601,0.97074,0.97601,0.97486,0.9642,0.9662,0.98872,0.95738,0.95575,0.96299,0.98304,0.96967,0.96094,0.96856,0.96466,0.9662,0.9812,0.97956,0.98049,0.98015,0.9783,0.99681,0.98732,0.98358,0.86972,0.98952,0.91689,0.97917,0.97032,0.96674,0.97463,0.97601,0.43613,0.43786,0.45802,0.45829,0.44758,0.96607,0.95715,0.96235,0.96905,0.97167,0.91867,0.99809,0.98902,0.93118,0.96183,0.99038,0.99258,0.9469,0.99561,0.99009,0.95344,0.97043,0.97142,0.97751,0.95692,0.99214,0.99425,0.99738,0.99258,0.95538,0.49718,0.4955,0.4967,0.49841,0.95885,0.99214,0.99425,0.99738,0.99258,0.95538,0.97356,0.98092,0.98113,0.97856,0.97668,0.94098,0.87623,0.80971,0.88104,0.85673,0.57492,0.99323,0.9622,0.51414,0.36433,0.34184
6,0.5135,0.51341,0.51581,0.51892,0.51926,0.51551,1.0,0.53654,0.33883,0.43179,0.51335,0.49474,0.39191,0.41708,0.51722,0.51653,0.50045,0.50782,0.50724,0.51149,0.51131,0.50464,0.49874,0.51446,0.51405,0.48971,0.489,0.48854,0.48757,0.49095,0.51892,0.51506,0.51886,0.51926,0.51565,0.506,0.50848,0.50549,0.50048,0.50312,0.51447,0.45215,0.3395,0.51812,0.51447,0.51381,0.50976,0.50981,0.51609,0.51144,0.50946,0.51286,0.50474,0.50047,0.50922,0.51381,0.51609,0.49817,0.51837,0.50479,0.50945,0.51032,0.51403,0.51585,0.51531,0.50981,0.51,0.51465,0.51515,0.51568,0.51892,0.51926,0.51886,0.51506,0.51531,0.44034,0.45683,0.46252,0.46222,0.46731,0.51041,0.51447,0.51447,0.51812,0.51888,0.50595,0.51173,0.5078,0.50291,0.50746,0.51041,0.51076,0.5103,0.5094,0.49875,0.51125,0.51575,0.51321,0.50618,0.50353,0.51447,0.51888,0.51831,0.5187,0.51812,0.5094,0.51091,0.51334,0.51212,0.51235,0.36859,0.51319,0.50996,0.50654,0.51387,0.51477,0.51507,0.51495,0.48372,0.33883,0.43179,0.51112,0.51954,0.51912,0.51894,0.52031,0.51232,0.50801,0.48104,0.51417,0.50443,0.51487,0.50991,0.50225,0.50678,0.51194,0.50813,0.51183,0.50977,0.51107,0.51109,0.50981,0.51,0.51466,0.51515,0.51568,0.50888,0.51568,0.51446,0.50927,0.5088,0.50935,0.50538,0.50012,0.50501,0.51329,0.5078,0.50678,0.50842,0.50597,0.5088,0.51445,0.51672,0.51458,0.51628,0.51694,0.51281,0.51603,0.51706,0.50056,0.51294,0.53252,0.50981,0.51,0.51466,0.51515,0.51568,0.44466,0.47193,0.46038,0.45794,0.47817,0.51653,0.50045,0.50782,0.50724,0.51149,0.51125,0.51575,0.51321,0.50618,0.50353,0.51076,0.51322,0.50534,0.51295,0.50917,0.51597,0.51351,0.51111,0.51143,0.51518,0.50976,0.51144,0.51392,0.51322,0.50983,0.47283,0.47107,0.47099,0.47224,0.51453,0.50976,0.51144,0.51392,0.51322,0.50983,0.50754,0.51054,0.50948,0.50781,0.50836,0.50927,0.49101,0.47212,0.48583,0.494,0.34293,0.50954,0.50746,0.37921,0.42067,0.35332
7,0.51097,0.51237,0.51391,0.51708,0.5168,0.51405,0.53654,1.0,0.33522,0.43987,0.51116,0.49524,0.41614,0.40854,0.51009,0.51494,0.49817,0.50506,0.5044,0.50678,0.5093,0.50225,0.49745,0.51281,0.51325,0.48479,0.48217,0.48336,0.48212,0.48767,0.51708,0.51238,0.51689,0.5168,0.51301,0.50442,0.50787,0.50475,0.50102,0.50321,0.51268,0.43429,0.36092,0.51728,0.51268,0.51206,0.50818,0.50753,0.51527,0.50943,0.50721,0.51102,0.50222,0.49814,0.50504,0.51206,0.51527,0.49649,0.51808,0.50204,0.50703,0.50773,0.51172,0.51272,0.51347,0.50753,0.50815,0.51224,0.51313,0.51381,0.51708,0.5168,0.51689,0.51238,0.51311,0.49439,0.48783,0.51022,0.51082,0.47507,0.50853,0.51268,0.51268,0.51728,0.51797,0.50383,0.50926,0.5058,0.50167,0.50598,0.50853,0.50792,0.50794,0.50691,0.49899,0.50913,0.51336,0.51198,0.50505,0.50093,0.51268,0.51797,0.51811,0.51786,0.51728,0.50814,0.50837,0.51183,0.50956,0.51034,0.38207,0.51154,0.50726,0.50491,0.51213,0.51293,0.51344,0.51147,0.48229,0.33522,0.43987,0.50938,0.51766,0.51689,0.51513,0.51707,0.5105,0.50689,0.47794,0.51257,0.50152,0.51315,0.50691,0.49978,0.50451,0.50978,0.50953,0.50288,0.5092,0.50776,0.50258,0.50753,0.50815,0.51224,0.51313,0.51381,0.50691,0.51381,0.51336,0.50695,0.5065,0.50794,0.50266,0.49745,0.50276,0.51021,0.50605,0.50451,0.50593,0.50395,0.5065,0.51308,0.51439,0.51202,0.5139,0.51458,0.51082,0.51407,0.51577,0.49403,0.51084,0.52583,0.50753,0.50815,0.51224,0.51313,0.51381,0.48363,0.48533,0.47384,0.47594,0.50164,0.51494,0.49817,0.50506,0.5044,0.50678,0.50913,0.51336,0.51198,0.50505,0.50093,0.50822,0.51126,0.50138,0.51143,0.50724,0.51305,0.51118,0.51097,0.51431,0.51478,0.50818,0.50943,0.5116,0.51126,0.50939,0.5085,0.51027,0.51295,0.49353,0.51327,0.50818,0.50943,0.5116,0.51126,0.50939,0.50488,0.50774,0.5064,0.50512,0.50573,0.50552,0.48565,0.46621,0.49319,0.49619,0.32379,0.50773,0.50538,0.3518,0.35847,0.35723
8,0.62248,0.6349,0.6249,0.62923,0.62549,0.63332,0.33883,0.33522,1.0,0.39943,0.62916,0.47247,0.38513,0.39774,0.63633,0.61285,0.62066,0.61967,0.62716,0.63325,0.62534,0.62683,0.62169,0.62873,0.62931,0.60925,0.59222,0.57769,0.55929,0.61752,0.62923,0.63179,0.62848,0.62549,0.61425,0.61305,0.61548,0.60323,0.59542,0.62016,0.62528,0.39272,0.43025,0.61698,0.62528,0.63396,0.62466,0.63667,0.63653,0.62661,0.61704,0.62935,0.62384,0.62649,0.62793,0.63396,0.63653,0.61981,0.63642,0.62509,0.63644,0.62351,0.60854,0.62196,0.61966,0.63667,0.6253,0.60745,0.62251,0.61861,0.62923,0.62549,0.62848,0.63179,0.62281,0.35055,0.39189,0.38786,0.38213,0.37113,0.61175,0.62528,0.62528,0.61698,0.62471,0.59872,0.60134,0.60382,0.6024,0.59678,0.61175,0.59135,0.59495,0.58102,0.5493,0.57482,0.63004,0.61938,0.61043,0.62319,0.62528,0.62471,0.62043,0.62647,0.61698,0.62492,0.63213,0.62695,0.62246,0.6323,0.45874,0.628,0.62498,0.60026,0.62112,0.61647,0.62795,0.6374,0.54945,1.0,0.39943,0.63098,0.61533,0.59821,0.58311,0.63391,0.62834,0.61105,0.46268,0.62905,0.6247,0.62098,0.61691,0.62472,0.61877,0.6179,0.62984,0.6204,0.60871,0.60366,0.62358,0.63667,0.6253,0.60745,0.62251,0.61861,0.62895,0.61861,0.62508,0.62073,0.622,0.63126,0.61009,0.6202,0.62326,0.62981,0.62813,0.61877,0.62603,0.62433,0.622,0.62068,0.62689,0.63032,0.62666,0.62131,0.62833,0.63799,0.62895,0.53367,0.62021,0.63201,0.63667,0.6253,0.60745,0.62251,0.61861,0.42079,0.41171,0.41959,0.41693,0.41823,0.61285,0.62066,0.61967,0.62716,0.63325,0.57482,0.63004,0.61938,0.61043,0.62319,0.62097,0.62889,0.61714,0.62765,0.62318,0.59826,0.61637,0.61734,0.62454,0.60542,0.62466,0.62661,0.62838,0.62889,0.60369,0.32594,0.32535,0.32605,0.3257,0.60294,0.62466,0.62661,0.62838,0.62889,0.60369,0.6174,0.6172,0.62177,0.6218,0.61884,0.62371,0.6199,0.57244,0.60037,0.56935,0.89668,0.62846,0.62127,0.64109,0.45691,0.42765
9,0.59239,0.60077,0.60002,0.605,0.60723,0.60057,0.43179,0.43987,0.39943,1.0,0.59475,0.74561,0.88782,0.46577,0.57135,0.59888,0.57459,0.58519,0.58438,0.59028,0.59319,0.58134,0.57358,0.59341,0.5905,0.57584,0.57759,0.57635,0.57476,0.5807,0.605,0.60269,0.60723,0.60723,0.60528,0.55596,0.56223,0.55419,0.54914,0.56849,0.59471,0.39521,0.33593,0.63032,0.59471,0.59623,0.59125,0.58906,0.60296,0.59315,0.58628,0.59197,0.57837,0.5757,0.58528,0.59623,0.60296,0.57891,0.60337,0.58222,0.5893,0.59373,0.59608,0.59782,0.59546,0.58906,0.59397,0.59675,0.59799,0.59623,0.605,0.60723,0.60723,0.60269,0.59901,0.40186,0.46733,0.41793,0.52572,0.40505,0.60359,0.59471,0.59471,0.63032,0.62635,0.58411,0.59227,0.58716,0.57774,0.58382,0.60359,0.59078,0.59047,0.59296,0.55928,0.588,0.60332,0.60085,0.57942,0.57867,0.59471,0.62635,0.63095,0.62291,0.63032,0.59035,0.5901,0.59912,0.59454,0.59851,0.35665,0.60214,0.59241,0.57996,0.59503,0.59471,0.5956,0.60044,0.54755,0.39943,1.0,0.59422,0.62903,0.6466,0.65511,0.60644,0.5969,0.57935,0.77096,0.59556,0.57782,0.59708,0.58137,0.57711,0.58286,0.5868,0.57328,0.58316,0.61308,0.61108,0.57965,0.58906,0.59397,0.59675,0.59799,0.59623,0.58473,0.59623,0.59089,0.58607,0.5885,0.59763,0.57927,0.57282,0.58062,0.59765,0.58432,0.58286,0.58557,0.58206,0.5885,0.59682,0.59753,0.59858,0.6003,0.60033,0.59863,0.60232,0.60103,0.58075,0.59976,0.59191,0.58906,0.59397,0.59675,0.59799,0.59623,0.39966,0.39447,0.4174,0.41693,0.40071,0.59888,0.57459,0.58519,0.58438,0.59028,0.588,0.60332,0.60085,0.57942,0.57867,0.59777,0.60041,0.59157,0.60299,0.59308,0.60024,0.59465,0.59114,0.58496,0.60308,0.59125,0.59315,0.59908,0.60041,0.58022,0.3835,0.38622,0.38655,0.38924,0.59492,0.59125,0.59315,0.59908,0.60041,0.58022,0.58561,0.59339,0.58953,0.58545,0.58676,0.5927,0.58767,0.55724,0.59776,0.59425,0.39249,0.58819,0.57843,0.42319,0.34401,0.34169
