,model,af_plddt_avg,af_plddt_avg_norm,icps,recall,dproqa,dproqa_norm,pairwise,GNN_sum_score,GNN_pcadscore,voromqa_dark,GNN_sum_score_norm,GNN_pcadscore_norm,voromqa_dark_norm
0,H1151TS239_1,0.94057405,0.7631850843889671,0.0152777777777777,0.0,0.21636,0.1755552631578947,0.7279976582278481,0.0,0.0,0.0,0.0,0.0,0.0
1,H1151TS234_4,0.47550744,0.4755074381828308,0.0159434782608695,0.0,0.06791,0.06791,0.5544147784810126,-921.396,0.035,0.536,-921.396,0.035,0.536
2,H1151TS147_3,0.8253772,0.8253772258758545,0.0118716666666666,0.0,0.10293,0.10293,0.6706320253164556,1599.15,0.633,0.588,1599.15,0.633,0.588
3,H1151TS314_5,0.8305074,0.8305073976516724,0.0108,0.0,0.02651,0.02651,0.8108091455696202,0.0,0.0,0.0,0.0,0.0,0.0
4,H1151TS073_3,0.8153641,0.8153641223907471,0.0097146341463414,0.0,0.04074,0.04074,0.7352724367088607,355.162,0.51,0.57,355.162,0.51,0.57
5,H1151TS314_4,0.0,0.0,0.0046,0.0,0.04878,0.04878,0.5041628797468355,1711.789,0.77,0.61,1711.789,0.77,0.61
6,H1151TS398_1,0.830057,0.8300570249557495,0.0074782608695652,0.0,0.05391,0.05391,0.484814746835443,-825.131,0.268,0.582,-825.131,0.268,0.582
7,H1151TS462_4,0.8521764,0.8521764278411865,0.0111766666666666,0.0,0.03369,0.03369,0.8053172784810126,0.0,0.0,0.0,0.0,0.0,0.0
8,H1151TS086_5,0.83080274,0.8308027386665344,0.0104548387096774,0.0,0.03384,0.03384,0.8156989556962024,0.0,0.0,0.0,0.0,0.0,0.0
9,H1151TS367_5,0.83080274,0.8308027386665344,0.0104548387096774,0.0,0.03384,0.03384,0.8156989556962024,0.0,0.0,0.0,0.0,0.0,0.0
10,H1151TS423_3,0.7769408,0.7769408226013184,0.0019666666666666,0.0,0.06597,0.06597,0.48858642405063285,-767.195,0.061,0.576,-767.195,0.061,0.576
11,H1151TS098_1,0.8305048,0.8305047750473022,0.0085586206896551,0.0,0.02484,0.02484,0.7813858227848101,0.0,0.0,0.0,0.0,0.0,0.0
12,H1151TS374_1,0.84133416,0.8413341641426086,0.0097914285714285,0.0,0.03327,0.03327,0.8014532278481014,870.865,0.625,0.586,870.865,0.625,0.586
13,H1151TS291_3,0.0,0.0,0.0102958333333333,0.0,0.04166,0.04166,0.8054451582278481,0.0,0.0,0.0,0.0,0.0,0.0
14,H1151TS003_5,0.83359694,0.83359694480896,0.0106137931034482,0.0,0.01734,0.01734,0.8111081012658228,0.0,0.0,0.0,0.0,0.0,0.0
15,H1151TS035_5,0.82970655,0.8297065496444702,0.0108,0.0,0.02458,0.02458,0.8157688291139241,0.0,0.0,0.0,0.0,0.0,0.0
16,H1151TS037_4,0.8032,0.8032000064849854,0.0117483870967741,0.0,0.01524,0.01524,0.6932952848101266,1254.5,0.582,0.567,1254.5,0.582,0.567
17,H1151TS288_3,0.8153641,0.8153641223907471,0.009515625,0.0,0.03179,0.03179,0.7747069936708861,1945.844,0.741,0.585,1945.844,0.741,0.585
18,H1151TS169_4,0.8321531,0.8321530818939209,0.0108,0.0,0.03569,0.03569,0.815527658227848,0.0,0.0,0.0,0.0,0.0,0.0
19,H1151TS125_3,0.8278811,0.8278810977935791,0.0106137931034482,0.0,0.0326,0.0326,0.8170257911392406,0.0,0.0,0.0,0.0,0.0,0.0
20,H1151TS248_1,0.831218,0.8312180042266846,0.0108,0.0,0.04594,0.04594,0.8111047784810128,0.0,0.0,0.0,0.0,0.0,0.0
21,H1151TS447_4,0.18235746,0.1823574602603912,0.0091045454545454,0.0,0.03191,0.03191,0.7320941455696203,0.0,0.0,0.0,0.0,0.0,0.0
