ID jury_score GNN_sum_score GNN_pcadscore voromqa_dark voromqa_light voromqa_energy gen_voromqa_energy clash_score area rank_2018 rank_2020 redundancy
iter_2_v1_4.pdb 0.800 5807.018 0.933 0.590 0.433 -1581.870 -1298.460 0 1928.970 8 8 0
iter_3_v1_0.pdb 0.799 5883.640 0.909 0.591 0.431 -1629.950 -1355.280 0 1954.790 6 6 0.829
default_pdb70_v2_8.pdb 0.796 5190.723 0.872 0.578 0.387 -1492.740 -1240.310 0 1820.750 79 71 0.781
default_uniref30_v1_7.pdb 0.783 5609.328 0.889 0.577 0.390 -1481.140 -1209.940 0 1860.370 80 82 0.849
default_comp_v2_7.pdb 0.779 5555.218 0.911 0.572 0.381 -1402.270 -1163.210 0 1814.930 307 252 0.899
iter_3_v1_5.pdb 0.775 5446.742 0.855 0.580 0.386 -1437 -1222.450 0 1850.970 142 153 0.891
iter_5_v1_1.pdb 0.771 5512.898 0.911 0.572 0.381 -1438.240 -1234.110 0 1817.300 185 151 0.836
iter_5_v1_0.pdb 0.769 5676.365 0.904 0.571 0.388 -1464.130 -1244.830 0 1806.840 97 120 0.899
iter_3_v1_3.pdb 0.769 6191.149 0.889 0.608 0.446 -1632.550 -1343.290 0 2072.130 5 5 0.792
spec_comp_v2_0.pdb 0.764 5227.408 0.905 0.562 0.384 -1411.740 -1226.250 0 1788.070 249 256 0.870
spec_iter_uniref_sto_v1_8.pdb 0.751 4377.147 0.809 0.575 0.390 -1566.360 -1265.770 0 1844.710 15 14 0.894
default_af_v2_1.pdb 0.750 5796.031 0.927 0.580 0.386 -1463.950 -1233.520 0 1783.020 108 103 0.818
default_af_v2_6.pdb 0.742 5600.884 0.863 0.579 0.381 -1388.520 -1183.120 0 1759.310 347 310 0.898
spec_af_v1_1.pdb 0.740 5598.010 0.895 0.587 0.426 -1570.210 -1291.520 0 1834.260 9 9 0.829
str_af_v2_8.pdb 0.740 5085.764 0.833 0.575 0.381 -1408.310 -1170.860 0 1728.150 279 223 0.850
str_af_v2_7.pdb 0.735 5807.179 0.878 0.582 0.387 -1466.030 -1220.770 0 1849.070 99 98 0.876
iter_2_v1_3.pdb 0.732 4508.201 0.860 0.563 0.386 -1395.170 -1200.680 0 1745.330 330 313 0.858
default_uniref30_v1_3.pdb 0.732 4924.451 0.880 0.573 0.379 -1353.030 -1156.380 0 1667.660 417 382 0.876
iter_5_v1_6.pdb 0.724 4935.887 0.859 0.561 0.369 -1334.760 -1148.640 0 1678.430 443 422 0.851
spec_colab_iter_v1_6.pdb 0.703 4900.304 0.859 0.558 0.372 -1317.680 -1114.260 0 1639.620 464 459 0.888
iter_1_v1_7.pdb 0.079 4730.493 0.871 0.563 0.371 -1402.810 -1168.170 0 1717.990 342 280 0.889
iter_2_v1_6.pdb 0.079 4505.255 0.852 0.566 0.380 -1468.800 -1201.960 0 1754.530 157 164 0.897
iter_1_v1_8.pdb 0.079 4465.539 0.805 0.574 0.380 -1404.610 -1195.520 0 1720.500 305 242 0.881
iter_3_v1_6.pdb 0.078 4830.879 0.858 0.566 0.378 -1470.050 -1226 0 1770.060 172 170 0.891
spec_af_v2_8.pdb 0.076 4921.369 0.835 0.575 0.382 -1424.800 -1215.930 0 1772.100 224 185 0.894
