,T1192TS003_1o,T1192TS003_2o,T1192TS003_3o,T1192TS003_4o,T1192TS003_5o,T1192TS035_1o,T1192TS035_2o,T1192TS035_3o,T1192TS035_4o,T1192TS035_5o,T1192TS037_1o,T1192TS037_2o,T1192TS037_3o,T1192TS037_4o,T1192TS037_5o,T1192TS054_1o,T1192TS054_2o,T1192TS054_3o,T1192TS054_4o,T1192TS054_5o,T1192TS071_1o,T1192TS071_2o,T1192TS071_4o,T1192TS071_5o,T1192TS073_1o,T1192TS073_2o,T1192TS073_3o,T1192TS073_4o,T1192TS073_5o,T1192TS074_1o,T1192TS074_2o,T1192TS086_1o,T1192TS086_2o,T1192TS086_3o,T1192TS086_4o,T1192TS086_5o,T1192TS098_1o,T1192TS098_2o,T1192TS098_3o,T1192TS098_4o,T1192TS098_5o,T1192TS119_1o,T1192TS119_2o,T1192TS119_3o,T1192TS119_4o,T1192TS119_5o,T1192TS125_1o,T1192TS125_2o,T1192TS125_3o,T1192TS125_4o,T1192TS125_5o,T1192TS131_1o,T1192TS131_2o,T1192TS131_3o,T1192TS131_4o,T1192TS131_5o,T1192TS147_1o,T1192TS150_1o,T1192TS150_2o,T1192TS150_3o,T1192TS150_4o,T1192TS150_5o,T1192TS158_1o,T1192TS158_2o,T1192TS158_3o,T1192TS158_4o,T1192TS158_5o,T1192TS165_1o,T1192TS165_2o,T1192TS165_3o,T1192TS165_4o,T1192TS165_5o,T1192TS169_1o,T1192TS169_2o,T1192TS169_3o,T1192TS169_4o,T1192TS169_5o,T1192TS180_1o,T1192TS180_2o,T1192TS180_3o,T1192TS180_4o,T1192TS180_5o,T1192TS185_1o,T1192TS185_2o,T1192TS185_3o,T1192TS185_4o,T1192TS185_5o,T1192TS187_1o,T1192TS187_2o,T1192TS187_3o,T1192TS187_4o,T1192TS187_5o,T1192TS188_1o,T1192TS188_2o,T1192TS188_3o,T1192TS188_4o,T1192TS188_5o,T1192TS205_1o,T1192TS205_2o,T1192TS205_3o,T1192TS205_4o,T1192TS205_5o,T1192TS229_1o,T1192TS229_2o,T1192TS229_3o,T1192TS229_4o,T1192TS229_5o,T1192TS239_1o,T1192TS239_2o,T1192TS239_3o,T1192TS239_4o,T1192TS239_5o,T1192TS248_1o,T1192TS248_2o,T1192TS248_3o,T1192TS248_4o,T1192TS248_5o,T1192TS278_1o,T1192TS278_2o,T1192TS278_3o,T1192TS278_4o,T1192TS278_5o,T1192TS288_4o,T1192TS288_5o,T1192TS291_1o,T1192TS291_2o,T1192TS291_3o,T1192TS291_4o,T1192TS291_5o,T1192TS298_1o,T1192TS298_2o,T1192TS298_3o,T1192TS298_4o,T1192TS298_5o,T1192TS320_1o,T1192TS320_2o,T1192TS320_3o,T1192TS320_4o,T1192TS320_5o,T1192TS348_1o,T1192TS348_2o,T1192TS348_3o,T1192TS348_4o,T1192TS348_5o,T1192TS350_1o,T1192TS350_2o,T1192TS350_3o,T1192TS350_4o,T1192TS350_5o,T1192TS360_1o,T1192TS360_2o,T1192TS360_3o,T1192TS360_4o,T1192TS360_5o,T1192TS367_1o,T1192TS367_2o,T1192TS367_3o,T1192TS367_4o,T1192TS367_5o,T1192TS374_1o,T1192TS374_2o,T1192TS374_3o,T1192TS374_4o,T1192TS374_5o,T1192TS390_1o,T1192TS390_2o,T1192TS390_3o,T1192TS390_4o,T1192TS390_5o,T1192TS398_1o,T1192TS398_2o,T1192TS398_3o,T1192TS398_4o,T1192TS398_5o,T1192TS399_1o,T1192TS399_2o,T1192TS399_3o,T1192TS399_4o,T1192TS399_5o,T1192TS423_1o,T1192TS423_2o,T1192TS423_3o,T1192TS423_4o,T1192TS423_5o,T1192TS439_1o,T1192TS439_2o,T1192TS439_3o,T1192TS439_4o,T1192TS439_5o,T1192TS444_1o,T1192TS444_2o,T1192TS444_3o,T1192TS444_4o,T1192TS444_5o,T1192TS446_1o,T1192TS446_2o,T1192TS446_3o,T1192TS446_4o,T1192TS446_5o,T1192TS447_1o,T1192TS447_2o,T1192TS447_3o,T1192TS447_4o,T1192TS447_5o,T1192TS462_1o,T1192TS462_2o,T1192TS462_3o,T1192TS462_4o,T1192TS462_5o,T1192TS477_1o,T1192TS494_1o,T1192TS494_2o,T1192TS494_3o,T1192TS494_4o,T1192TS494_5o
0,1.0,0.99459,0.9966,0.55276,0.55148,0.49031,0.4874,0.49081,0.48666,0.46077,0.529,0.51561,0.51236,0.51616,0.51215,0.10277,0.11953,0.09042,0.12173,0.09546,0.43883,0.4384,0.24342,0.26354,0.46062,0.46689,0.46074,0.46668,0.46863,0.46061,0.46686,0.53608,0.52035,0.49697,0.55148,0.55276,0.47344,0.47767,0.41243,0.47767,0.47344,0.54981,0.54984,0.5516,0.5504,0.54781,0.10277,0.11953,0.09042,0.12173,0.09546,0.26303,0.24966,0.259,0.26731,0.24544,0.413,0.51882,0.52281,0.54609,0.53342,0.51472,0.53608,0.52035,0.49672,0.55148,0.55276,0.57414,0.57032,0.59032,0.45888,0.57164,0.4244,0.4244,0.4244,0.4244,0.38109,0.41054,0.41079,0.41139,0.41138,0.39939,0.49029,0.48825,0.49214,0.48948,0.48926,0.09892,0.09968,0.09727,0.097,0.09904,0.38109,0.4244,0.4244,0.4244,0.4244,0.52728,0.5334,0.52142,0.52555,0.5324,0.46633,0.48899,0.44696,0.37034,0.45694,0.46633,0.48899,0.44696,0.37034,0.45694,0.49031,0.4874,0.49081,0.48666,0.46077,0.46282,0.23,0.42069,0.46125,0.53322,0.46062,0.46062,0.48793,0.48958,0.48529,0.48542,0.48763,0.51691,0.55157,0.52163,0.52557,0.51519,0.54991,0.4632,0.46571,0.46791,0.46692,0.51382,0.52531,0.53216,0.52087,0.52655,0.48793,0.48958,0.48529,0.48542,0.48763,0.51519,0.51691,0.52557,0.55157,0.52163,1.0,0.99459,0.9966,0.55276,0.55148,0.546,0.55234,0.51886,0.51632,0.49831,0.54991,0.25516,0.24982,0.2661,0.23762,0.46472,0.47779,0.52558,0.56587,0.45909,0.10277,0.11953,0.09042,0.12173,0.09546,0.10402,0.09873,0.10024,0.10716,0.10544,0.44696,0.48899,0.46633,0.37034,0.45694,0.496,0.49612,0.48286,0.49554,0.49583,0.26841,0.30235,0.31402,0.30529,0.28926,0.15931,0.15145,0.15045,0.15539,0.15539,0.41243,0.41327,0.41323,0.41184,0.39465,0.39701,0.4777,0.4707,0.44198,0.43132,0.34348
1,0.99459,1.0,0.99411,0.55123,0.5499,0.48958,0.48662,0.48996,0.48506,0.4597,0.52707,0.51583,0.51255,0.51685,0.51404,0.10225,0.12164,0.09059,0.11599,0.10301,0.43728,0.43743,0.21976,0.26335,0.46055,0.4663,0.46065,0.46611,0.4684,0.46054,0.4663,0.54195,0.518,0.49662,0.5499,0.55123,0.47376,0.47816,0.41289,0.47816,0.47376,0.54773,0.54654,0.54997,0.54974,0.54787,0.10225,0.12164,0.09059,0.11599,0.10301,0.26236,0.24966,0.26088,0.26865,0.2461,0.41254,0.51968,0.52303,0.54647,0.53456,0.51503,0.54195,0.518,0.49534,0.5499,0.55123,0.57473,0.57126,0.58955,0.45701,0.57094,0.42387,0.42387,0.42387,0.42387,0.38061,0.4108,0.41044,0.41142,0.41152,0.39896,0.49139,0.48617,0.4926,0.49013,0.48959,0.09906,0.0997,0.09728,0.09703,0.09895,0.38061,0.42387,0.42387,0.42387,0.42387,0.52902,0.53497,0.52203,0.52735,0.53358,0.46646,0.48908,0.44697,0.37033,0.4575,0.46646,0.48908,0.44697,0.37033,0.4575,0.48958,0.48662,0.48996,0.48506,0.4597,0.46274,0.2291,0.42022,0.46111,0.53227,0.46055,0.46055,0.48788,0.48974,0.48724,0.48536,0.48564,0.51759,0.55266,0.52123,0.52615,0.51591,0.54781,0.46328,0.46579,0.46787,0.46691,0.51015,0.52729,0.53045,0.52836,0.53231,0.48788,0.48974,0.48724,0.48536,0.48564,0.51591,0.51759,0.52615,0.55266,0.52123,0.99459,1.0,0.99411,0.55123,0.5499,0.54875,0.55145,0.51858,0.51468,0.49862,0.54781,0.25552,0.21516,0.26472,0.22709,0.46447,0.4758,0.52896,0.56772,0.45825,0.10225,0.12164,0.09059,0.11599,0.10301,0.10321,0.09849,0.09993,0.10676,0.10575,0.44697,0.48908,0.46646,0.37033,0.4575,0.49588,0.49644,0.48341,0.49575,0.49562,0.26609,0.30389,0.31537,0.30347,0.28877,0.16788,0.15055,0.15137,0.15655,0.15655,0.41289,0.41251,0.41343,0.41248,0.39453,0.39653,0.47753,0.47017,0.44207,0.42983,0.34347
2,0.9966,0.99411,1.0,0.54992,0.5486,0.48965,0.48695,0.49047,0.48575,0.45824,0.52747,0.51542,0.51268,0.51642,0.51314,0.1022,0.13096,0.08972,0.12459,0.10598,0.43789,0.35488,0.21974,0.26389,0.46056,0.4664,0.46069,0.46633,0.46829,0.46055,0.4664,0.53728,0.51959,0.49589,0.5486,0.54992,0.47353,0.47767,0.41236,0.47767,0.47353,0.54621,0.54621,0.55543,0.54977,0.5482,0.1022,0.13096,0.08972,0.12459,0.10598,0.22144,0.2496,0.25957,0.26787,0.24563,0.41301,0.52026,0.52336,0.54723,0.53371,0.51631,0.53728,0.51959,0.4939,0.5486,0.54992,0.57224,0.56853,0.58762,0.45778,0.56926,0.42503,0.42503,0.42503,0.42503,0.38148,0.41034,0.41069,0.41179,0.41156,0.39969,0.49075,0.48753,0.49338,0.48908,0.49055,0.09898,0.10035,0.09745,0.09713,0.09982,0.38148,0.42503,0.42503,0.42503,0.42503,0.52809,0.53408,0.52285,0.52686,0.5322,0.46637,0.48899,0.44697,0.37036,0.45696,0.46637,0.48899,0.44697,0.37036,0.45696,0.48965,0.48695,0.49047,0.48575,0.45824,0.46273,0.22989,0.42065,0.46115,0.53126,0.46056,0.46056,0.48724,0.48883,0.48369,0.48439,0.48482,0.51812,0.55093,0.52102,0.52632,0.51512,0.54578,0.46325,0.46574,0.46788,0.46691,0.51184,0.52494,0.52995,0.52311,0.5256,0.48724,0.48883,0.48369,0.48439,0.48482,0.51512,0.51812,0.52632,0.55093,0.52102,0.9966,0.99411,1.0,0.54992,0.5486,0.54378,0.5506,0.51774,0.51559,0.4972,0.54578,0.25528,0.21732,0.26708,0.2393,0.46352,0.47743,0.52536,0.56278,0.46044,0.1022,0.13096,0.08972,0.12459,0.10598,0.10295,0.09856,0.10021,0.10728,0.10559,0.44697,0.48899,0.46637,0.37036,0.45696,0.49598,0.49635,0.48291,0.49571,0.49586,0.26686,0.30158,0.31315,0.30436,0.28682,0.15956,0.14706,0.14909,0.15593,0.15593,0.41236,0.41254,0.41352,0.41186,0.39539,0.39674,0.47657,0.47166,0.44192,0.42897,0.34351
3,0.55276,0.55123,0.54992,1.0,0.59644,0.51833,0.52184,0.51597,0.50199,0.49828,0.55676,0.5695,0.55554,0.55251,0.57015,0.1018,0.13736,0.08876,0.12856,0.08311,0.46192,0.43659,0.2497,0.2765,0.46294,0.47018,0.46452,0.47013,0.47064,0.46294,0.47015,0.53425,0.50188,0.50664,0.59644,1.0,0.47882,0.4833,0.40837,0.4833,0.47882,0.57979,0.58282,0.57308,0.57762,0.57911,0.1018,0.13736,0.08876,0.12856,0.08311,0.26225,0.25599,0.25337,0.2624,0.22294,0.41255,0.5116,0.53564,0.55416,0.54666,0.52417,0.53425,0.50188,0.50496,0.59644,1.0,0.56651,0.58029,0.58042,0.51264,0.57456,0.41333,0.41333,0.41333,0.41333,0.37035,0.40693,0.40748,0.40662,0.40682,0.39711,0.48134,0.4836,0.49155,0.48953,0.48217,0.10015,0.10054,0.10181,0.09904,0.10505,0.37035,0.41333,0.41333,0.41333,0.41333,0.53755,0.54776,0.52844,0.53597,0.54424,0.4594,0.50855,0.4462,0.36986,0.45542,0.4594,0.50855,0.4462,0.36986,0.45542,0.51833,0.52184,0.51597,0.50199,0.49828,0.46214,0.2354,0.41828,0.46219,0.5737,0.46294,0.46294,0.49714,0.49915,0.49391,0.49085,0.49654,0.54829,0.56625,0.54077,0.52523,0.55015,0.63625,0.46,0.46334,0.46702,0.46627,0.53852,0.5316,0.52743,0.53141,0.52568,0.49714,0.49915,0.49391,0.49085,0.49654,0.55015,0.54829,0.52523,0.56625,0.54077,0.55276,0.55123,0.54992,1.0,0.59644,0.62684,0.59398,0.56712,0.53814,0.54158,0.63625,0.25546,0.25506,0.26492,0.2364,0.54326,0.45639,0.57458,0.58456,0.5155,0.1018,0.13736,0.08876,0.12856,0.08311,0.10751,0.10927,0.0985,0.11489,0.1092,0.4462,0.50855,0.4594,0.36986,0.45542,0.48965,0.48787,0.47984,0.49024,0.4881,0.30922,0.31154,0.31764,0.30921,0.28496,0.16525,0.14777,0.15656,0.15499,0.15499,0.40837,0.40961,0.40983,0.40846,0.39514,0.39887,0.48827,0.46942,0.44104,0.43802,0.343
4,0.55148,0.5499,0.5486,0.59644,1.0,0.51063,0.51232,0.50603,0.49378,0.49688,0.55643,0.55518,0.555,0.54558,0.55665,0.0945,0.13117,0.08681,0.12242,0.0779,0.45272,0.4426,0.22298,0.26471,0.46551,0.47221,0.46742,0.47217,0.47171,0.46563,0.47217,0.52846,0.49843,0.5059,1.0,0.59644,0.47821,0.48143,0.40677,0.48143,0.47821,0.58618,0.58719,0.57714,0.58189,0.58315,0.0945,0.13117,0.08681,0.12242,0.0779,0.26502,0.2611,0.25498,0.27399,0.25372,0.4126,0.50728,0.53641,0.54321,0.54608,0.5124,0.52846,0.49843,0.50564,1.0,0.59644,0.55781,0.56637,0.57222,0.52725,0.56688,0.40867,0.40867,0.40867,0.40867,0.37257,0.40576,0.40587,0.40569,0.40579,0.39695,0.48028,0.48288,0.49118,0.48898,0.47888,0.09624,0.09592,0.10221,0.10025,0.10094,0.37257,0.40867,0.40867,0.40867,0.40867,0.53799,0.54614,0.53204,0.53838,0.54236,0.45927,0.50583,0.44619,0.36988,0.45533,0.45927,0.50583,0.44619,0.36988,0.45533,0.51063,0.51232,0.50603,0.49378,0.49688,0.46191,0.23821,0.41912,0.46245,0.5658,0.46551,0.46551,0.49586,0.49732,0.49326,0.49157,0.49566,0.54062,0.57251,0.53409,0.51675,0.551,0.59099,0.45942,0.46317,0.46706,0.46642,0.52805,0.52062,0.52698,0.51871,0.51906,0.49586,0.49732,0.49326,0.49157,0.49566,0.551,0.54062,0.51675,0.57251,0.53409,0.55148,0.5499,0.5486,0.59644,1.0,0.59801,0.59803,0.5473,0.53029,0.52902,0.59099,0.25778,0.26376,0.24388,0.24499,0.54777,0.45521,0.56874,0.57187,0.52862,0.0945,0.13117,0.08681,0.12242,0.0779,0.10804,0.08751,0.10108,0.10576,0.112,0.44619,0.50583,0.45927,0.36988,0.45533,0.48486,0.48374,0.47769,0.48487,0.48371,0.30127,0.30343,0.33621,0.28778,0.30958,0.1575,0.14575,0.14669,0.15677,0.15677,0.40677,0.40636,0.40801,0.40632,0.39292,0.39922,0.48401,0.46927,0.44092,0.43537,0.34302
5,0.49031,0.48958,0.48965,0.51833,0.51063,1.0,0.94112,0.91221,0.6439,0.52291,0.50759,0.52061,0.52329,0.52303,0.51844,0.11519,0.16451,0.11227,0.13401,0.15171,0.45698,0.43658,0.23998,0.25447,0.44458,0.44627,0.44227,0.44558,0.44823,0.44451,0.44597,0.50073,0.47017,0.46735,0.51063,0.51833,0.47976,0.50318,0.42586,0.50318,0.47976,0.55102,0.55102,0.55368,0.55541,0.54948,0.11519,0.16451,0.11227,0.13401,0.15171,0.26177,0.26407,0.24776,0.2685,0.27979,0.40751,0.52715,0.5034,0.56035,0.51987,0.50793,0.50073,0.47017,0.46662,0.51063,0.51833,0.49255,0.47395,0.49899,0.44251,0.46247,0.43707,0.43707,0.43707,0.43707,0.40071,0.42135,0.42796,0.42267,0.41968,0.42067,0.46582,0.46287,0.46929,0.47056,0.46647,0.10866,0.10834,0.10535,0.1079,0.10317,0.40071,0.43707,0.43707,0.43707,0.43707,0.48453,0.51484,0.5022,0.49792,0.49268,0.44472,0.49304,0.42294,0.35099,0.43383,0.44472,0.49304,0.42294,0.35099,0.43383,1.0,0.94112,0.91221,0.6439,0.52291,0.43941,0.30287,0.40865,0.4396,0.52318,0.44458,0.44458,0.45592,0.45649,0.45871,0.45483,0.45735,0.56258,0.50197,0.55541,0.54373,0.49498,0.50895,0.44181,0.4429,0.44522,0.44412,0.48035,0.47088,0.49157,0.48709,0.49107,0.45592,0.45649,0.45871,0.45483,0.45735,0.49498,0.56258,0.54373,0.50197,0.55541,0.49031,0.48958,0.48965,0.51833,0.51063,0.50476,0.5206,0.51968,0.52403,0.52797,0.50895,0.25415,0.26702,0.25532,0.17495,0.45402,0.4556,0.49099,0.46768,0.44498,0.11519,0.16451,0.11227,0.13401,0.15171,0.11446,0.10281,0.10147,0.10732,0.11295,0.42294,0.49304,0.44472,0.35099,0.43383,0.47943,0.48036,0.47624,0.48248,0.48414,0.29675,0.27834,0.3141,0.3156,0.26193,0.17969,0.17915,0.17589,0.18813,0.18813,0.42586,0.44224,0.43489,0.42472,0.42787,0.38306,0.44211,0.46462,0.42085,0.41861,0.32519
6,0.4874,0.48662,0.48695,0.52184,0.51232,0.94112,1.0,0.84533,0.62707,0.52046,0.5109,0.52365,0.52524,0.52192,0.52026,0.11785,0.16477,0.10667,0.12498,0.14409,0.45129,0.43289,0.24094,0.25739,0.44229,0.44308,0.43975,0.44299,0.44679,0.44224,0.44301,0.4971,0.46922,0.46567,0.51232,0.52184,0.47696,0.49903,0.4199,0.49903,0.47696,0.55822,0.55934,0.56193,0.56235,0.55658,0.11785,0.16477,0.10667,0.12498,0.14409,0.26252,0.26456,0.24803,0.27257,0.27597,0.40635,0.52632,0.51313,0.56116,0.52351,0.50744,0.4971,0.46922,0.46512,0.51232,0.52184,0.49348,0.47957,0.50512,0.44119,0.468,0.43781,0.43781,0.43781,0.43781,0.22406,0.41682,0.42188,0.41724,0.41484,0.41765,0.46367,0.45997,0.46944,0.46952,0.46493,0.11294,0.1098,0.10475,0.10776,0.10337,0.22406,0.43781,0.43781,0.43781,0.43781,0.49049,0.517,0.50736,0.49842,0.49562,0.44122,0.49132,0.42083,0.34898,0.43,0.44122,0.49132,0.42083,0.34898,0.43,0.94112,1.0,0.84533,0.62707,0.52046,0.43732,0.30638,0.40569,0.43745,0.52238,0.44229,0.44229,0.45477,0.45533,0.45692,0.4529,0.45561,0.55437,0.50976,0.55115,0.53446,0.49949,0.51244,0.43769,0.4399,0.443,0.44193,0.48171,0.46897,0.49188,0.48772,0.49065,0.45477,0.45533,0.45692,0.4529,0.45561,0.49949,0.55437,0.53446,0.50976,0.55115,0.4874,0.48662,0.48695,0.52184,0.51232,0.50538,0.52056,0.52228,0.5251,0.52713,0.51244,0.25395,0.26931,0.2555,0.1783,0.45406,0.45454,0.49478,0.47346,0.44491,0.11785,0.16477,0.10667,0.12498,0.14409,0.11289,0.09611,0.10178,0.10736,0.11397,0.42083,0.49132,0.44122,0.34898,0.43,0.4767,0.47826,0.47558,0.47991,0.4821,0.2988,0.27447,0.31443,0.31705,0.26966,0.18221,0.17915,0.17576,0.18886,0.18886,0.4199,0.43554,0.42745,0.41937,0.42341,0.38053,0.4401,0.46255,0.41899,0.41644,0.32331
7,0.49081,0.48996,0.49047,0.51597,0.50603,0.91221,0.84533,1.0,0.65499,0.50906,0.50489,0.52308,0.52855,0.52133,0.51663,0.11338,0.17019,0.11694,0.12965,0.11952,0.46354,0.43845,0.24239,0.25352,0.44309,0.44415,0.44067,0.44408,0.44697,0.44302,0.44397,0.49304,0.46966,0.46728,0.50603,0.51597,0.45946,0.49793,0.42691,0.49793,0.45946,0.53589,0.53708,0.53506,0.53768,0.53272,0.11338,0.17019,0.11694,0.12965,0.11952,0.25622,0.25627,0.24506,0.26548,0.28002,0.40655,0.53804,0.49821,0.53401,0.49986,0.51142,0.49304,0.46966,0.46672,0.50603,0.51597,0.48935,0.4726,0.49603,0.44468,0.46985,0.43219,0.43219,0.43219,0.43219,0.22235,0.4243,0.42862,0.42598,0.42375,0.42831,0.46295,0.46081,0.46806,0.46887,0.46403,0.10429,0.10484,0.10075,0.10723,0.10246,0.22235,0.43219,0.43219,0.43219,0.43219,0.47432,0.49802,0.49027,0.48061,0.47795,0.44278,0.48262,0.42132,0.34927,0.43151,0.44278,0.48262,0.42132,0.34927,0.43151,0.91221,0.84533,1.0,0.65499,0.50906,0.43792,0.30449,0.40646,0.43819,0.51965,0.44309,0.44309,0.45571,0.45615,0.4582,0.45399,0.45659,0.57752,0.49677,0.54443,0.5493,0.49038,0.50578,0.43929,0.44122,0.4436,0.44238,0.4757,0.47201,0.49377,0.4898,0.49429,0.45571,0.45615,0.4582,0.45399,0.45659,0.49038,0.57752,0.5493,0.49677,0.54443,0.49081,0.48996,0.49047,0.51597,0.50603,0.50411,0.51836,0.51336,0.5235,0.53165,0.50578,0.24979,0.26542,0.25188,0.17712,0.4593,0.44054,0.48876,0.46283,0.4476,0.11338,0.17019,0.11694,0.12965,0.11952,0.11531,0.10712,0.10314,0.10802,0.11212,0.42132,0.48262,0.44278,0.34927,0.43151,0.47267,0.47351,0.46911,0.47585,0.47743,0.29477,0.29112,0.31139,0.31506,0.26561,0.18248,0.17686,0.17694,0.18475,0.18475,0.42691,0.42723,0.4313,0.42673,0.43734,0.38059,0.44078,0.46464,0.41977,0.41864,0.3236
8,0.48666,0.48506,0.48575,0.50199,0.49378,0.6439,0.62707,0.65499,1.0,0.50878,0.49737,0.50582,0.51901,0.51583,0.50834,0.14619,0.17382,0.14468,0.14464,0.21478,0.47532,0.45696,0.24267,0.26162,0.4539,0.4547,0.45335,0.45475,0.45458,0.45384,0.45464,0.49216,0.47565,0.47561,0.49378,0.50199,0.49031,0.50407,0.4673,0.50407,0.49031,0.49274,0.49292,0.49757,0.50107,0.49344,0.14619,0.17382,0.14468,0.14464,0.21478,0.26266,0.25055,0.24859,0.25719,0.26499,0.41153,0.52712,0.51158,0.52258,0.51251,0.53245,0.49216,0.47565,0.47524,0.49378,0.50199,0.48403,0.48037,0.49602,0.4528,0.47078,0.49473,0.49473,0.49473,0.49473,0.43516,0.4669,0.47,0.46781,0.46491,0.46759,0.46387,0.46695,0.47205,0.47477,0.46898,0.10673,0.10365,0.10592,0.10923,0.0972,0.43516,0.49473,0.49473,0.49473,0.49473,0.46246,0.48644,0.48189,0.47335,0.47018,0.45086,0.47166,0.43191,0.35904,0.44125,0.45086,0.47166,0.43191,0.35904,0.44125,0.6439,0.62707,0.65499,1.0,0.50878,0.44769,0.28735,0.41773,0.4488,0.50777,0.4539,0.4539,0.46389,0.46392,0.46647,0.46029,0.46448,0.53108,0.48002,0.56102,0.51473,0.48355,0.49829,0.44812,0.45043,0.45396,0.45291,0.47838,0.46576,0.48727,0.48527,0.485,0.46389,0.46392,0.46647,0.46029,0.46448,0.48355,0.53108,0.51473,0.48002,0.56102,0.48666,0.48506,0.48575,0.50199,0.49378,0.49363,0.50125,0.51678,0.52543,0.52171,0.49829,0.21147,0.26165,0.25032,0.20526,0.46962,0.42006,0.50145,0.47737,0.45453,0.14619,0.17382,0.14468,0.14464,0.21478,0.11292,0.10476,0.1064,0.10588,0.10377,0.43191,0.47166,0.45086,0.35904,0.44125,0.48107,0.4818,0.47978,0.48373,0.48451,0.29448,0.28029,0.31223,0.32248,0.28104,0.16825,0.18075,0.17653,0.19389,0.19389,0.4673,0.473,0.47432,0.46813,0.46874,0.38999,0.44925,0.47292,0.42754,0.4302,0.33318
9,0.46077,0.4597,0.45824,0.49828,0.49688,0.52291,0.52046,0.50906,0.50878,1.0,0.49381,0.49151,0.4976,0.49853,0.49282,0.0866,0.14425,0.08842,0.11932,0.09273,0.43839,0.34443,0.23427,0.22717,0.41511,0.4161,0.41373,0.4164,0.42087,0.41505,0.41604,0.46023,0.44191,0.45041,0.49688,0.49828,0.44581,0.44182,0.38491,0.44182,0.44581,0.49988,0.49975,0.49803,0.50062,0.49679,0.0866,0.14425,0.08842,0.11932,0.09273,0.24847,0.25313,0.24267,0.25089,0.24166,0.392,0.49145,0.46157,0.50157,0.45996,0.47861,0.46023,0.44191,0.44874,0.49688,0.49828,0.46554,0.44562,0.46709,0.45357,0.44032,0.40688,0.40688,0.40688,0.40688,0.35938,0.39317,0.39741,0.39151,0.38818,0.39495,0.42775,0.42781,0.43399,0.43495,0.43013,0.09918,0.0997,0.1031,0.10658,0.11319,0.35938,0.40688,0.40688,0.40688,0.40688,0.43228,0.45497,0.46779,0.45162,0.42718,0.41187,0.42598,0.39591,0.32581,0.40238,0.41187,0.42598,0.39591,0.32581,0.40238,0.52291,0.52046,0.50906,0.50878,1.0,0.41274,0.32313,0.38285,0.41362,0.48676,0.41511,0.41511,0.43917,0.43862,0.44035,0.43419,0.43986,0.44685,0.48336,0.49233,0.5135,0.50007,0.49504,0.40936,0.41178,0.41593,0.41449,0.4524,0.44173,0.4557,0.44812,0.45018,0.43917,0.43862,0.44035,0.43419,0.43986,0.50007,0.44685,0.5135,0.48336,0.49233,0.46077,0.4597,0.45824,0.49828,0.49688,0.48959,0.49213,0.49979,0.48291,0.50603,0.49504,0.2418,0.2517,0.23254,0.15643,0.46852,0.39853,0.47969,0.439,0.45709,0.0866,0.14425,0.08842,0.11932,0.09273,0.10039,0.0955,0.09539,0.09848,0.09462,0.39591,0.42598,0.41187,0.32581,0.40238,0.45541,0.45521,0.45675,0.45999,0.46052,0.25681,0.27241,0.32365,0.30194,0.23719,0.14235,0.15554,0.17703,0.16609,0.16609,0.38491,0.39212,0.39417,0.39445,0.40751,0.35727,0.42455,0.43493,0.39598,0.40229,0.30193
