,T1192TS003_1o,T1192TS003_2o,T1192TS003_3o,T1192TS003_4o,T1192TS003_5o,T1192TS035_1o,T1192TS035_2o,T1192TS035_3o,T1192TS035_4o,T1192TS035_5o,T1192TS037_1o,T1192TS037_2o,T1192TS037_3o,T1192TS037_4o,T1192TS037_5o,T1192TS054_1o,T1192TS054_2o,T1192TS054_3o,T1192TS054_4o,T1192TS054_5o,T1192TS071_1o,T1192TS071_2o,T1192TS071_4o,T1192TS071_5o,T1192TS073_1o,T1192TS073_2o,T1192TS073_3o,T1192TS073_4o,T1192TS073_5o,T1192TS074_1o,T1192TS074_2o,T1192TS086_1o,T1192TS086_2o,T1192TS086_3o,T1192TS086_4o,T1192TS086_5o,T1192TS098_1o,T1192TS098_2o,T1192TS098_3o,T1192TS098_4o,T1192TS098_5o,T1192TS119_1o,T1192TS119_2o,T1192TS119_3o,T1192TS119_4o,T1192TS119_5o,T1192TS125_1o,T1192TS125_2o,T1192TS125_3o,T1192TS125_4o,T1192TS125_5o,T1192TS131_1o,T1192TS131_2o,T1192TS131_3o,T1192TS131_4o,T1192TS131_5o,T1192TS147_1o,T1192TS150_1o,T1192TS150_2o,T1192TS150_3o,T1192TS150_4o,T1192TS150_5o,T1192TS158_1o,T1192TS158_2o,T1192TS158_3o,T1192TS158_4o,T1192TS158_5o,T1192TS165_1o,T1192TS165_2o,T1192TS165_3o,T1192TS165_4o,T1192TS165_5o,T1192TS169_1o,T1192TS169_2o,T1192TS169_3o,T1192TS169_4o,T1192TS169_5o,T1192TS180_1o,T1192TS180_2o,T1192TS180_3o,T1192TS180_4o,T1192TS180_5o,T1192TS185_1o,T1192TS185_2o,T1192TS185_3o,T1192TS185_4o,T1192TS185_5o,T1192TS187_1o,T1192TS187_2o,T1192TS187_3o,T1192TS187_4o,T1192TS187_5o,T1192TS188_1o,T1192TS188_2o,T1192TS188_3o,T1192TS188_4o,T1192TS188_5o,T1192TS205_1o,T1192TS205_2o,T1192TS205_3o,T1192TS205_4o,T1192TS205_5o,T1192TS229_1o,T1192TS229_2o,T1192TS229_3o,T1192TS229_4o,T1192TS229_5o,T1192TS239_1o,T1192TS239_2o,T1192TS239_3o,T1192TS239_4o,T1192TS239_5o,T1192TS248_1o,T1192TS248_2o,T1192TS248_3o,T1192TS248_4o,T1192TS248_5o,T1192TS278_1o,T1192TS278_2o,T1192TS278_3o,T1192TS278_4o,T1192TS278_5o,T1192TS288_4o,T1192TS288_5o,T1192TS291_1o,T1192TS291_2o,T1192TS291_3o,T1192TS291_4o,T1192TS291_5o,T1192TS298_1o,T1192TS298_2o,T1192TS298_3o,T1192TS298_4o,T1192TS298_5o,T1192TS320_1o,T1192TS320_2o,T1192TS320_3o,T1192TS320_4o,T1192TS320_5o,T1192TS348_1o,T1192TS348_2o,T1192TS348_3o,T1192TS348_4o,T1192TS348_5o,T1192TS350_1o,T1192TS350_2o,T1192TS350_3o,T1192TS350_4o,T1192TS350_5o,T1192TS360_1o,T1192TS360_2o,T1192TS360_3o,T1192TS360_4o,T1192TS360_5o,T1192TS367_1o,T1192TS367_2o,T1192TS367_3o,T1192TS367_4o,T1192TS367_5o,T1192TS374_1o,T1192TS374_2o,T1192TS374_3o,T1192TS374_4o,T1192TS374_5o,T1192TS390_1o,T1192TS390_2o,T1192TS390_3o,T1192TS390_4o,T1192TS390_5o,T1192TS398_1o,T1192TS398_2o,T1192TS398_3o,T1192TS398_4o,T1192TS398_5o,T1192TS399_1o,T1192TS399_2o,T1192TS399_3o,T1192TS399_4o,T1192TS399_5o,T1192TS423_1o,T1192TS423_2o,T1192TS423_3o,T1192TS423_4o,T1192TS423_5o,T1192TS439_1o,T1192TS439_2o,T1192TS439_3o,T1192TS439_4o,T1192TS439_5o,T1192TS444_1o,T1192TS444_2o,T1192TS444_3o,T1192TS444_4o,T1192TS444_5o,T1192TS446_1o,T1192TS446_2o,T1192TS446_3o,T1192TS446_4o,T1192TS446_5o,T1192TS447_1o,T1192TS447_2o,T1192TS447_3o,T1192TS447_4o,T1192TS447_5o,T1192TS462_1o,T1192TS462_2o,T1192TS462_3o,T1192TS462_4o,T1192TS462_5o,T1192TS477_1o,T1192TS494_1o,T1192TS494_2o,T1192TS494_3o,T1192TS494_4o,T1192TS494_5o
0,1.0,0.99459,0.9966,0.55782,0.49681,0.51843,0.51753,0.5171,0.51105,0.48533,0.53927,0.53817,0.53532,0.53673,0.52926,0.08136,0.13966,0.10521,0.12508,0.11095,0.4264,0.25018,0.19363,0.18888,0.46987,0.47388,0.4701,0.47369,0.47608,0.46986,0.47386,0.55516,0.52057,0.50237,0.49681,0.55782,0.50522,0.51473,0.43534,0.51473,0.50522,0.57061,0.57054,0.57136,0.56732,0.5696,0.08136,0.13966,0.10521,0.12508,0.11095,0.20995,0.17836,0.22031,0.23318,0.26229,0.41178,0.53613,0.5382,0.57026,0.55497,0.53331,0.55516,0.52057,0.50187,0.49681,0.55782,0.55931,0.56295,0.56334,0.45284,0.54495,0.43793,0.43793,0.43793,0.43793,0.39367,0.43455,0.43441,0.4348,0.43497,0.42596,0.49487,0.49376,0.49635,0.49513,0.49574,0.06025,0.10706,0.06574,0.06464,0.06811,0.39367,0.43793,0.43793,0.43793,0.43793,0.53164,0.54177,0.52134,0.52986,0.5412,0.46635,0.49777,0.44696,0.37034,0.46175,0.46635,0.49777,0.44696,0.37034,0.46175,0.51843,0.51753,0.5171,0.51105,0.48533,0.46282,0.26224,0.43223,0.46125,0.54725,0.46987,0.46987,0.49425,0.49499,0.49234,0.49223,0.49318,0.54046,0.57419,0.5372,0.54433,0.53468,0.54626,0.46434,0.46569,0.4679,0.46691,0.52165,0.53164,0.53469,0.53012,0.53484,0.49425,0.49499,0.49234,0.49223,0.49318,0.53468,0.54046,0.54433,0.57419,0.5372,1.0,0.99459,0.9966,0.55782,0.49681,0.55148,0.55595,0.48065,0.38955,0.51909,0.54626,0.20066,0.23923,0.24653,0.22744,0.47893,0.47229,0.53317,0.55241,0.45466,0.08136,0.13966,0.10521,0.12508,0.11095,0.08849,0.07673,0.08202,0.07248,0.08917,0.44696,0.49777,0.46635,0.37034,0.46175,0.49595,0.4951,0.48718,0.49587,0.49484,0.27555,0.28851,0.25779,0.27766,0.28422,0.15989,0.15607,0.15809,0.15787,0.15787,0.43534,0.43788,0.4369,0.43555,0.42184,0.40413,0.48372,0.47744,0.44197,0.44865,0.34348
1,0.99459,1.0,0.99411,0.55772,0.49578,0.51798,0.51698,0.51642,0.51038,0.48509,0.48696,0.53659,0.53469,0.53585,0.52894,0.08138,0.13859,0.10505,0.13205,0.12133,0.42557,0.25015,0.1933,0.18909,0.46973,0.47371,0.46995,0.47352,0.47597,0.46973,0.4737,0.55954,0.51316,0.50246,0.49578,0.55772,0.50563,0.51512,0.43542,0.51512,0.50563,0.56827,0.56839,0.57026,0.57046,0.56932,0.08138,0.13859,0.10505,0.13205,0.12133,0.21067,0.17793,0.22055,0.23374,0.26282,0.41144,0.53705,0.53842,0.57074,0.55568,0.53363,0.55954,0.51316,0.50064,0.49578,0.55772,0.55846,0.56229,0.56177,0.45173,0.54341,0.43769,0.43769,0.43769,0.43769,0.39339,0.43458,0.43441,0.4348,0.43494,0.4257,0.49527,0.49433,0.49644,0.49505,0.4958,0.0601,0.10714,0.06788,0.06488,0.06826,0.39339,0.43769,0.43769,0.43769,0.43769,0.53319,0.54314,0.52276,0.53141,0.54262,0.46646,0.49776,0.44697,0.37033,0.46189,0.46646,0.49776,0.44697,0.37033,0.46189,0.51798,0.51698,0.51642,0.51038,0.48509,0.46274,0.26175,0.43212,0.4611,0.54758,0.46973,0.46973,0.49377,0.49415,0.49104,0.49109,0.49215,0.54107,0.57452,0.5367,0.54455,0.53483,0.54453,0.46446,0.46577,0.46784,0.4669,0.52147,0.53038,0.53251,0.52983,0.53304,0.49377,0.49415,0.49104,0.49109,0.49215,0.53483,0.54107,0.54455,0.57452,0.5367,0.99459,1.0,0.99411,0.55772,0.49578,0.5504,0.55427,0.47982,0.39203,0.51792,0.54453,0.16638,0.19965,0.24558,0.22789,0.47766,0.47109,0.5318,0.55122,0.45353,0.08138,0.13859,0.10505,0.13205,0.12133,0.08882,0.07653,0.08232,0.07285,0.0888,0.44697,0.49776,0.46646,0.37033,0.46189,0.49603,0.49521,0.48719,0.49592,0.49494,0.27753,0.29036,0.25584,0.27899,0.28398,0.15981,0.15586,0.16092,0.15883,0.15883,0.43542,0.43799,0.43685,0.43552,0.42147,0.40396,0.48291,0.47688,0.44206,0.44768,0.34347
2,0.9966,0.99411,1.0,0.55664,0.4953,0.51837,0.51743,0.51696,0.51103,0.48537,0.48746,0.53681,0.53564,0.53685,0.52938,0.08136,0.1476,0.10523,0.1311,0.1209,0.42605,0.25004,0.19332,0.18926,0.46956,0.4735,0.46979,0.47331,0.47582,0.46956,0.47349,0.55552,0.5204,0.50227,0.4953,0.55664,0.50533,0.51488,0.43548,0.51488,0.50533,0.56747,0.56724,0.57172,0.56685,0.56833,0.08136,0.1476,0.10523,0.1311,0.1209,0.21021,0.17873,0.2207,0.23412,0.26287,0.41176,0.53749,0.53869,0.57123,0.55468,0.53436,0.55552,0.5204,0.50123,0.4953,0.55664,0.5575,0.56165,0.56152,0.45241,0.54315,0.43853,0.43853,0.43853,0.43853,0.39396,0.43462,0.43454,0.43493,0.43506,0.42601,0.49518,0.49428,0.49653,0.49496,0.49585,0.05973,0.10758,0.06587,0.06515,0.06872,0.39396,0.43853,0.43853,0.43853,0.43853,0.53229,0.5422,0.52209,0.53068,0.54147,0.46636,0.49777,0.44697,0.37036,0.46177,0.46636,0.49777,0.44697,0.37036,0.46177,0.51837,0.51743,0.51696,0.51103,0.48537,0.46273,0.26212,0.43218,0.46115,0.54886,0.46956,0.46956,0.49242,0.49429,0.49092,0.49015,0.49277,0.541,0.57326,0.53642,0.54505,0.53439,0.54406,0.46438,0.46572,0.46786,0.4669,0.52168,0.5273,0.53384,0.53042,0.53648,0.49242,0.49429,0.49092,0.49015,0.49277,0.53439,0.541,0.54505,0.57326,0.53642,0.9966,0.99411,1.0,0.55664,0.4953,0.55152,0.55394,0.47943,0.39124,0.51843,0.54406,0.16785,0.20069,0.24635,0.22852,0.47829,0.47181,0.5324,0.55106,0.45419,0.08136,0.1476,0.10523,0.1311,0.1209,0.08784,0.07673,0.08147,0.07324,0.08909,0.44697,0.49777,0.46636,0.37036,0.46177,0.49603,0.49521,0.48729,0.49594,0.49488,0.27607,0.28871,0.25436,0.27883,0.28426,0.15982,0.15596,0.16078,0.15782,0.15782,0.43548,0.43796,0.43678,0.43568,0.42193,0.40397,0.48223,0.47733,0.44192,0.44797,0.34351
3,0.55779,0.55772,0.5566,1.0,0.59042,0.54334,0.54531,0.53833,0.525,0.49437,0.51423,0.51855,0.56957,0.5196,0.51339,0.08181,0.14588,0.13316,0.1358,0.10391,0.44601,0.27774,0.23398,0.27433,0.47194,0.47631,0.47273,0.47631,0.47779,0.47194,0.47628,0.54841,0.50446,0.50812,0.59042,1.0,0.50671,0.50785,0.43108,0.50785,0.50671,0.57978,0.58194,0.57527,0.57788,0.57882,0.08181,0.14588,0.13316,0.1358,0.10391,0.24885,0.21812,0.20267,0.25879,0.27862,0.41267,0.53912,0.55416,0.55827,0.55674,0.53322,0.54841,0.50446,0.50871,0.59042,1.0,0.57521,0.5843,0.59064,0.49547,0.58052,0.43768,0.43768,0.43768,0.43768,0.39327,0.43041,0.43037,0.43049,0.4304,0.42323,0.48737,0.4905,0.4953,0.49369,0.48965,0.06227,0.06507,0.06044,0.08423,0.06824,0.39327,0.43768,0.43768,0.43768,0.43768,0.52352,0.538,0.51476,0.52221,0.53647,0.46231,0.49884,0.4462,0.36986,0.45963,0.46231,0.49884,0.4462,0.36986,0.45963,0.54334,0.54531,0.53833,0.525,0.49437,0.46214,0.26784,0.4312,0.46218,0.51856,0.47194,0.47194,0.50059,0.5016,0.49767,0.49436,0.498,0.55566,0.56415,0.56301,0.54918,0.55098,0.6306,0.46183,0.46334,0.46702,0.46626,0.53624,0.52854,0.53171,0.52309,0.53025,0.50059,0.5016,0.49767,0.49436,0.498,0.55098,0.55566,0.54918,0.56415,0.56301,0.55779,0.55772,0.5566,1.0,0.59042,0.61302,0.53276,0.46034,0.55541,0.55815,0.6306,0.20586,0.24511,0.22006,0.2463,0.52649,0.4646,0.57585,0.58517,0.4981,0.08181,0.14588,0.13316,0.1358,0.10391,0.07356,0.0754,0.06568,0.12167,0.06199,0.4462,0.49884,0.46231,0.36986,0.45963,0.49795,0.49668,0.4896,0.49834,0.49694,0.2957,0.26601,0.26852,0.25709,0.29264,0.17135,0.16592,0.14805,0.14701,0.14701,0.43108,0.43318,0.43229,0.43098,0.42045,0.40612,0.48902,0.4758,0.44101,0.45626,0.343
4,0.49681,0.49576,0.49526,0.59042,1.0,0.4826,0.48371,0.47901,0.47324,0.50221,0.41474,0.5036,0.45957,0.50206,0.56593,0.08726,0.14944,0.12508,0.12939,0.10315,0.44798,0.33245,0.21035,0.1912,0.42393,0.42823,0.42486,0.42822,0.42789,0.42394,0.42821,0.48476,0.45132,0.45465,1.0,0.59042,0.45257,0.457,0.39017,0.457,0.45257,0.51676,0.51447,0.51086,0.51232,0.51403,0.08726,0.14944,0.12508,0.12939,0.10315,0.24408,0.20653,0.20271,0.26909,0.21573,0.36498,0.48138,0.49542,0.48992,0.49516,0.53348,0.48476,0.45132,0.4578,1.0,0.59042,0.50423,0.51274,0.5174,0.50817,0.51326,0.39924,0.39924,0.39924,0.39924,0.36252,0.38956,0.38934,0.38969,0.38974,0.38331,0.37746,0.44025,0.44378,0.44241,0.37855,0.06809,0.08521,0.06449,0.08425,0.08867,0.36252,0.39924,0.39924,0.39924,0.39924,0.47405,0.48455,0.46598,0.47284,0.48419,0.41237,0.44161,0.39766,0.33072,0.4103,0.41237,0.44161,0.39766,0.33072,0.4103,0.4826,0.48371,0.47901,0.47324,0.50221,0.41255,0.24524,0.3892,0.41298,0.5082,0.42393,0.42393,0.44726,0.44753,0.44675,0.44436,0.44588,0.50782,0.50079,0.50117,0.48488,0.54776,0.53252,0.41197,0.41331,0.4166,0.41607,0.46979,0.52228,0.47272,0.46234,0.52505,0.44726,0.44753,0.44675,0.44436,0.44588,0.54776,0.50782,0.48488,0.50079,0.50117,0.49681,0.49576,0.49526,0.59042,1.0,0.49862,0.50559,0.46747,0.49522,0.49242,0.53252,0.20835,0.27534,0.24336,0.2263,0.48194,0.41003,0.51371,0.51728,0.51029,0.08726,0.14944,0.12508,0.12939,0.10315,0.11309,0.08092,0.08355,0.06325,0.06338,0.39766,0.44161,0.41237,0.33072,0.4103,0.44453,0.44335,0.43703,0.44488,0.44367,0.32184,0.25799,0.30668,0.24945,0.30753,0.16542,0.15842,0.15742,0.1597,0.1597,0.39017,0.39097,0.39106,0.3901,0.38103,0.36494,0.43691,0.42584,0.39291,0.4098,0.30844
5,0.51843,0.51801,0.51837,0.54308,0.48257,1.0,0.93072,0.89956,0.63057,0.53222,0.5259,0.53698,0.53114,0.54514,0.52958,0.08776,0.17154,0.15351,0.17674,0.12954,0.44068,0.26105,0.20532,0.15533,0.45036,0.45167,0.44926,0.45167,0.45523,0.4503,0.4516,0.51566,0.47725,0.47378,0.48257,0.54308,0.50185,0.50625,0.46413,0.50625,0.50185,0.56048,0.56104,0.5625,0.56318,0.55897,0.08776,0.17154,0.15351,0.17674,0.12954,0.28254,0.21088,0.20915,0.23073,0.2874,0.40476,0.54928,0.5507,0.57179,0.55667,0.53994,0.51566,0.47725,0.47296,0.48257,0.54308,0.51955,0.50991,0.53113,0.48589,0.49996,0.47087,0.47087,0.47087,0.47087,0.42703,0.46271,0.46647,0.46202,0.45907,0.46293,0.47002,0.47029,0.47374,0.47432,0.47382,0.07168,0.06919,0.06536,0.06818,0.06977,0.42703,0.47087,0.47087,0.47087,0.47087,0.47995,0.50439,0.49281,0.4857,0.48563,0.4446,0.50056,0.42247,0.35097,0.43776,0.4446,0.50056,0.42247,0.35097,0.43776,1.0,0.93072,0.89956,0.63057,0.53222,0.43941,0.31355,0.41664,0.43955,0.53726,0.45036,0.45036,0.46255,0.46337,0.46503,0.46113,0.4638,0.55679,0.53611,0.55205,0.55022,0.53421,0.5374,0.44181,0.44271,0.44484,0.44374,0.48966,0.48885,0.50281,0.50125,0.50306,0.46255,0.46337,0.46503,0.46113,0.4638,0.53421,0.55679,0.55022,0.53611,0.55205,0.51843,0.51801,0.51837,0.54308,0.48257,0.53286,0.53225,0.47398,0.39652,0.54472,0.5374,0.18846,0.25514,0.24328,0.18664,0.49911,0.45678,0.52946,0.50436,0.48841,0.08776,0.17154,0.15351,0.17674,0.12954,0.06855,0.10571,0.06966,0.06405,0.09164,0.42247,0.50056,0.4446,0.35097,0.43776,0.48088,0.48143,0.47935,0.48419,0.48552,0.28763,0.24744,0.25382,0.27682,0.26964,0.19068,0.18328,0.17891,0.17986,0.17986,0.46413,0.47615,0.4697,0.46417,0.46866,0.38995,0.4489,0.46781,0.41944,0.4346,0.32509
6,0.51755,0.51703,0.51746,0.5453,0.48375,0.93072,1.0,0.83001,0.62068,0.53768,0.52646,0.53698,0.53265,0.54633,0.52817,0.08694,0.17308,0.15852,0.16611,0.12447,0.4371,0.25925,0.20393,0.16329,0.44756,0.44907,0.44651,0.44906,0.45308,0.4475,0.44899,0.51306,0.47593,0.47191,0.48375,0.5453,0.50434,0.50739,0.45601,0.50739,0.50434,0.56822,0.56894,0.57085,0.57126,0.5668,0.08694,0.17308,0.15852,0.16611,0.12447,0.28629,0.21376,0.20852,0.23146,0.28683,0.40328,0.54962,0.55513,0.57116,0.56208,0.54085,0.51306,0.47593,0.47114,0.48375,0.5453,0.52698,0.51573,0.53837,0.48923,0.50679,0.46834,0.46834,0.46834,0.46834,0.43127,0.45529,0.45967,0.4543,0.45054,0.45518,0.46796,0.46737,0.47282,0.47304,0.47189,0.07106,0.12085,0.06245,0.06755,0.06841,0.43127,0.46834,0.46834,0.46834,0.46834,0.48038,0.50611,0.49318,0.48586,0.48713,0.44109,0.49202,0.41994,0.34896,0.43486,0.44109,0.49202,0.41994,0.34896,0.43486,0.93072,1.0,0.83001,0.62068,0.53768,0.43717,0.31643,0.41412,0.43723,0.53872,0.44756,0.44756,0.46052,0.46132,0.46276,0.45885,0.46167,0.56095,0.54308,0.55652,0.55206,0.54287,0.54029,0.43878,0.4397,0.44274,0.44157,0.48693,0.48741,0.50183,0.50001,0.50211,0.46052,0.46132,0.46276,0.45885,0.46167,0.54287,0.56095,0.55206,0.54308,0.55652,0.51755,0.51703,0.51746,0.5453,0.48375,0.53389,0.53213,0.47515,0.39551,0.54661,0.54029,0.18745,0.25504,0.24404,0.18565,0.50281,0.45544,0.53561,0.51003,0.49204,0.08694,0.17308,0.15852,0.16611,0.12447,0.07004,0.10633,0.10821,0.09769,0.07415,0.41994,0.49202,0.44109,0.34896,0.43486,0.47922,0.47968,0.47763,0.4827,0.48399,0.28571,0.24516,0.25349,0.27668,0.26832,0.18865,0.18266,0.18438,0.18126,0.18126,0.45601,0.46894,0.46364,0.4566,0.46323,0.38781,0.44673,0.46583,0.4171,0.43236,0.32317
7,0.51711,0.51642,0.51697,0.53833,0.47906,0.89956,0.83001,1.0,0.63033,0.52478,0.52478,0.53871,0.52915,0.54253,0.53024,0.08681,0.17311,0.14755,0.17373,0.12556,0.44301,0.26275,0.20584,0.18564,0.44899,0.45039,0.44783,0.4504,0.45382,0.44893,0.45031,0.51225,0.47659,0.47376,0.47906,0.53833,0.49495,0.49923,0.46345,0.49923,0.49495,0.54485,0.54524,0.54733,0.54823,0.54338,0.08681,0.17311,0.14755,0.17373,0.12556,0.27198,0.16464,0.20585,0.22718,0.28215,0.40377,0.54052,0.53952,0.56045,0.54039,0.52866,0.51225,0.47659,0.47298,0.47906,0.53833,0.51074,0.49885,0.52305,0.47948,0.49263,0.45719,0.45719,0.45719,0.45719,0.41209,0.46305,0.46692,0.46327,0.46003,0.46611,0.46768,0.46823,0.47204,0.47242,0.4718,0.0691,0.06555,0.06063,0.08744,0.10761,0.41209,0.45719,0.45719,0.45719,0.45719,0.47354,0.49781,0.48685,0.47893,0.47856,0.44267,0.50055,0.42083,0.34924,0.43584,0.44267,0.50055,0.42083,0.34924,0.43584,0.89956,0.83001,1.0,0.63033,0.52478,0.43792,0.31494,0.41453,0.43818,0.53162,0.44899,0.44899,0.4617,0.46255,0.46438,0.46022,0.463,0.5427,0.51467,0.54351,0.55534,0.52965,0.53439,0.44001,0.44101,0.44326,0.44201,0.49317,0.48569,0.50546,0.50414,0.5069,0.4617,0.46255,0.46438,0.46022,0.463,0.52965,0.5427,0.55534,0.51467,0.54351,0.51711,0.51642,0.51697,0.53833,0.47906,0.52818,0.52682,0.47073,0.3974,0.54163,0.53439,0.18477,0.2494,0.24018,0.18516,0.49118,0.46354,0.51902,0.49501,0.48205,0.08681,0.17311,0.14755,0.17373,0.12556,0.06902,0.10524,0.06606,0.09562,0.11311,0.42083,0.50055,0.44267,0.34924,0.43584,0.47564,0.47623,0.4749,0.47899,0.4804,0.2827,0.24817,0.24767,0.27317,0.26561,0.18619,0.18292,0.18657,0.17815,0.17815,0.46345,0.46678,0.46783,0.46446,0.47273,0.38816,0.44786,0.46765,0.41836,0.43392,0.32349
8,0.51099,0.51034,0.51098,0.525,0.47326,0.63057,0.62068,0.63033,1.0,0.5342,0.52709,0.53545,0.53869,0.53903,0.53386,0.08381,0.17459,0.12907,0.175,0.18081,0.45234,0.24833,0.20985,0.16989,0.4595,0.46053,0.45904,0.4606,0.46171,0.45944,0.46047,0.51458,0.48375,0.48317,0.47326,0.525,0.51861,0.52844,0.48554,0.52844,0.51861,0.54307,0.54309,0.54336,0.54522,0.54136,0.08381,0.17459,0.12907,0.175,0.18081,0.27599,0.17767,0.20614,0.23141,0.27651,0.40957,0.55456,0.532,0.55476,0.52905,0.53655,0.51458,0.48375,0.4827,0.47326,0.525,0.49814,0.49446,0.509,0.47111,0.48491,0.48764,0.48764,0.48764,0.48764,0.41902,0.48856,0.49083,0.48863,0.48652,0.49005,0.47308,0.47517,0.47812,0.47831,0.47811,0.06692,0.06551,0.07063,0.06458,0.06139,0.41902,0.48764,0.48764,0.48764,0.48764,0.4829,0.50377,0.49093,0.48761,0.48949,0.45109,0.48252,0.43191,0.35904,0.44536,0.45109,0.48252,0.43191,0.35904,0.44536,0.63057,0.62068,0.63033,1.0,0.5342,0.44769,0.30147,0.42497,0.4488,0.5361,0.4595,0.4595,0.47107,0.47159,0.47395,0.4687,0.47218,0.53017,0.52065,0.56269,0.54452,0.52461,0.52434,0.44908,0.45043,0.45396,0.45291,0.49507,0.48589,0.50325,0.50187,0.50234,0.47107,0.47159,0.47395,0.4687,0.47218,0.52461,0.53017,0.54452,0.52065,0.56269,0.51099,0.51034,0.51098,0.525,0.47326,0.52327,0.52428,0.48113,0.40141,0.5454,0.52434,0.19816,0.24609,0.24093,0.1898,0.48599,0.42852,0.51567,0.49049,0.47342,0.08381,0.17459,0.12907,0.175,0.18081,0.06814,0.11287,0.1157,0.11388,0.06539,0.43191,0.48252,0.45109,0.35904,0.44536,0.48939,0.4895,0.48627,0.49198,0.49266,0.28666,0.25123,0.25044,0.27886,0.27776,0.17473,0.20494,0.19226,0.18365,0.18365,0.48554,0.49195,0.49189,0.48894,0.49317,0.39751,0.45758,0.47554,0.42718,0.44595,0.33315
9,0.48533,0.48517,0.48537,0.49436,0.5022,0.53222,0.53768,0.52478,0.5342,1.0,0.38667,0.50298,0.50752,0.39318,0.37087,0.08408,0.15022,0.11259,0.12611,0.13727,0.40609,0.19696,0.20362,0.14939,0.42372,0.4252,0.42278,0.42535,0.42996,0.42366,0.42511,0.48171,0.44863,0.45623,0.5022,0.49436,0.46231,0.47019,0.40197,0.47019,0.46231,0.50941,0.50996,0.50883,0.51086,0.50869,0.08408,0.15022,0.11259,0.12611,0.13727,0.257,0.24042,0.22843,0.25435,0.25325,0.3817,0.50857,0.46636,0.51641,0.48997,0.47985,0.48171,0.44863,0.45449,0.5022,0.49436,0.48969,0.46001,0.49124,0.44556,0.4563,0.43191,0.43191,0.43191,0.43191,0.37157,0.40525,0.41015,0.40628,0.40218,0.41081,0.4335,0.43553,0.44003,0.43935,0.43719,0.06034,0.10799,0.0627,0.06386,0.11434,0.37157,0.43191,0.43191,0.43191,0.43191,0.45498,0.48314,0.47378,0.46096,0.46067,0.41323,0.4292,0.39307,0.32558,0.40636,0.41323,0.4292,0.39307,0.32558,0.40636,0.53222,0.53768,0.52478,0.5342,1.0,0.41071,0.33234,0.38893,0.41176,0.50134,0.42372,0.42372,0.44329,0.44287,0.4443,0.43973,0.44368,0.46874,0.48929,0.5205,0.49699,0.51108,0.49156,0.41095,0.41201,0.41543,0.41371,0.45999,0.45145,0.46234,0.45849,0.46,0.44329,0.44287,0.4443,0.43973,0.44368,0.51108,0.46874,0.49699,0.48929,0.5205,0.48533,0.48517,0.48537,0.49436,0.5022,0.44768,0.50033,0.35702,0.32588,0.468,0.49156,0.21299,0.25526,0.22198,0.17784,0.45436,0.39522,0.48384,0.44147,0.44924,0.08408,0.15022,0.11259,0.12611,0.13727,0.07018,0.06342,0.06161,0.06316,0.06066,0.39307,0.4292,0.41323,0.32558,0.40636,0.45111,0.45137,0.45059,0.45498,0.45679,0.27535,0.26572,0.32023,0.25929,0.24951,0.18389,0.16366,0.1676,0.15285,0.15285,0.40197,0.40911,0.40856,0.40566,0.41643,0.36617,0.42916,0.43961,0.39196,0.41422,0.3016
