,T1153TS003_1o,T1153TS003_2o,T1153TS003_3o,T1153TS003_4o,T1153TS003_5o,T1153TS035_1o,T1153TS035_2o,T1153TS035_3o,T1153TS035_4o,T1153TS035_5o,T1153TS037_2o,T1153TS037_3o,T1153TS037_4o,T1153TS037_5o,T1153TS054_1o,T1153TS054_2o,T1153TS054_3o,T1153TS054_4o,T1153TS054_5o,T1153TS071_1o,T1153TS071_2o,T1153TS071_3o,T1153TS071_4o,T1153TS071_5o,T1153TS073_1o,T1153TS073_2o,T1153TS073_3o,T1153TS073_4o,T1153TS073_5o,T1153TS074_1o,T1153TS074_2o,T1153TS074_3o,T1153TS074_4o,T1153TS074_5o,T1153TS086_1o,T1153TS086_2o,T1153TS086_3o,T1153TS086_4o,T1153TS086_5o,T1153TS091_1o,T1153TS091_2o,T1153TS091_3o,T1153TS091_4o,T1153TS091_5o,T1153TS098_1o,T1153TS098_2o,T1153TS098_3o,T1153TS098_4o,T1153TS098_5o,T1153TS119_1o,T1153TS119_2o,T1153TS119_3o,T1153TS119_4o,T1153TS119_5o,T1153TS125_1o,T1153TS125_2o,T1153TS125_3o,T1153TS125_4o,T1153TS125_5o,T1153TS131_1o,T1153TS131_2o,T1153TS131_3o,T1153TS131_4o,T1153TS131_5o,T1153TS147_1o,T1153TS147_2o,T1153TS147_3o,T1153TS147_4o,T1153TS147_5o,T1153TS150_1o,T1153TS150_2o,T1153TS150_3o,T1153TS150_4o,T1153TS150_5o,T1153TS158_1o,T1153TS158_2o,T1153TS158_3o,T1153TS158_4o,T1153TS158_5o,T1153TS165_1o,T1153TS165_2o,T1153TS165_3o,T1153TS165_4o,T1153TS165_5o,T1153TS180_1o,T1153TS180_2o,T1153TS180_3o,T1153TS180_4o,T1153TS180_5o,T1153TS185_1o,T1153TS185_2o,T1153TS185_3o,T1153TS185_4o,T1153TS185_5o,T1153TS188_1o,T1153TS188_2o,T1153TS188_3o,T1153TS188_4o,T1153TS188_5o,T1153TS205_1o,T1153TS205_2o,T1153TS205_3o,T1153TS205_4o,T1153TS205_5o,T1153TS239_1o,T1153TS239_2o,T1153TS239_3o,T1153TS239_4o,T1153TS239_5o,T1153TS248_1o,T1153TS248_2o,T1153TS248_3o,T1153TS248_4o,T1153TS248_5o,T1153TS278_1o,T1153TS278_2o,T1153TS278_3o,T1153TS278_4o,T1153TS278_5o,T1153TS288_1o,T1153TS288_2o,T1153TS288_3o,T1153TS288_4o,T1153TS288_5o,T1153TS298_1o,T1153TS298_2o,T1153TS298_3o,T1153TS298_4o,T1153TS298_5o,T1153TS312_1o,T1153TS312_2o,T1153TS312_3o,T1153TS312_4o,T1153TS312_5o,T1153TS314_2o,T1153TS314_3o,T1153TS314_4o,T1153TS314_5o,T1153TS320_1o,T1153TS320_2o,T1153TS320_3o,T1153TS320_4o,T1153TS320_5o,T1153TS348_1o,T1153TS348_2o,T1153TS348_3o,T1153TS348_4o,T1153TS348_5o,T1153TS350_1o,T1153TS350_2o,T1153TS350_3o,T1153TS350_4o,T1153TS350_5o,T1153TS360_1o,T1153TS360_2o,T1153TS360_3o,T1153TS360_4o,T1153TS360_5o,T1153TS367_1o,T1153TS367_2o,T1153TS367_3o,T1153TS367_4o,T1153TS367_5o,T1153TS374_1o,T1153TS374_2o,T1153TS374_3o,T1153TS374_4o,T1153TS374_5o,T1153TS390_1o,T1153TS390_2o,T1153TS390_3o,T1153TS390_4o,T1153TS390_5o,T1153TS398_1o,T1153TS398_2o,T1153TS398_3o,T1153TS398_4o,T1153TS398_5o,T1153TS399_1o,T1153TS399_2o,T1153TS399_3o,T1153TS399_4o,T1153TS399_5o,T1153TS439_1o,T1153TS439_2o,T1153TS439_3o,T1153TS439_4o,T1153TS439_5o,T1153TS444_1o,T1153TS444_2o,T1153TS444_3o,T1153TS444_4o,T1153TS444_5o,T1153TS446_1o,T1153TS446_2o,T1153TS446_3o,T1153TS446_4o,T1153TS446_5o,T1153TS447_1o,T1153TS447_2o,T1153TS447_3o,T1153TS447_4o,T1153TS447_5o,T1153TS461_1o,T1153TS461_2o,T1153TS461_3o,T1153TS461_4o,T1153TS461_5o,T1153TS462_1o,T1153TS462_2o,T1153TS462_3o,T1153TS462_4o,T1153TS462_5o,T1153TS477_1o,T1153TS481_1o,T1153TS481_2o,T1153TS481_3o,T1153TS481_4o,T1153TS481_5o,T1153TS493_1o,T1153TS493_2o,T1153TS493_3o,T1153TS493_4o,T1153TS493_5o,T1153TS494_1o,T1153TS494_2o,T1153TS494_3o,T1153TS494_4o,T1153TS494_5o
0,1.0,0.99995,0.99843,0.99047,0.98012,0.49744,0.54318,0.93136,0.98611,0.82326,0.98255,0.68956,0.56281,0.59531,0.55968,0.98195,0.55463,0.98825,0.99121,0.94112,0.97923,0.97844,0.97326,0.97653,0.91164,0.46316,0.46573,0.45899,0.46518,0.4739,0.97671,0.47455,0.47438,0.47893,1.0,0.99995,0.99878,0.98012,0.98345,0.72048,0.76729,0.77705,0.74105,0.7364,0.97348,0.97165,0.98832,0.98482,0.99455,0.98464,0.99092,0.88471,0.99492,0.49196,0.55968,0.98195,0.55463,0.98825,0.99121,0.98464,0.99092,0.9893,0.9666,0.49196,0.83613,0.7077,0.84219,0.84465,0.6946,0.97845,0.97917,0.98988,0.99223,0.99112,1.0,0.99995,0.99878,0.98012,0.99171,0.63534,0.52886,0.62964,0.54099,0.52427,0.98306,0.99409,0.98005,0.99294,0.99031,0.90974,0.98573,0.92693,0.83038,0.48797,0.97348,0.97165,0.98832,0.98482,0.99455,0.9788,0.49224,0.79421,0.49422,0.5063,0.98463,0.9688,0.96395,0.97536,0.98409,0.49744,0.49784,0.49744,0.50312,0.57558,0.59211,0.98237,0.80636,0.47837,0.49216,0.97671,0.4739,0.47455,0.47438,0.47893,0.9077,0.9831,0.98011,0.97748,0.9773,0.87203,0.52455,0.79351,0.49593,0.81812,0.5246,0.49222,0.65972,0.97848,0.97848,0.97898,0.97236,0.98984,0.98998,0.98936,0.99216,0.98893,0.99057,0.78236,0.49894,0.52968,0.49896,0.55829,0.54526,0.98955,0.99064,0.99018,0.99314,0.99108,0.99301,0.99294,0.99364,0.99316,0.99255,0.98546,0.98682,0.94747,0.96339,0.97103,0.97848,0.97898,0.97236,0.98984,0.98998,0.66883,0.67102,0.80683,0.51911,0.52469,0.55968,0.98195,0.55463,0.98825,0.99121,0.98231,0.97536,0.96999,0.97235,0.99492,0.96196,0.49215,0.87732,0.48642,0.49696,0.99492,0.99053,0.98663,0.99137,0.99208,0.49025,0.73131,0.5032,0.49084,0.5032,0.99492,0.99053,0.98663,0.99137,0.99208,0.98306,0.99409,0.98005,0.99294,0.99031,0.99373,0.97348,0.97063,0.98832,0.98482,0.99455,0.97742,0.97341,0.98324,0.69004,0.4879,0.98118,0.9947,0.39005,0.38822,0.57899
1,0.99995,1.0,0.9986,0.99097,0.97888,0.49781,0.54304,0.93126,0.98522,0.82068,0.98257,0.6905,0.56302,0.5952,0.5599,0.98302,0.55483,0.9885,0.99147,0.94178,0.97984,0.97897,0.97403,0.97772,0.91296,0.46321,0.46529,0.4598,0.46518,0.47392,0.97694,0.47457,0.4744,0.47895,0.99995,1.0,0.99902,0.97888,0.98243,0.72086,0.76735,0.77862,0.74088,0.73596,0.97489,0.97299,0.98831,0.98571,0.99439,0.98428,0.99048,0.88711,0.9949,0.49194,0.5599,0.98302,0.55483,0.9885,0.99147,0.98428,0.99048,0.98905,0.96495,0.49194,0.83845,0.70831,0.8445,0.84698,0.69738,0.97917,0.98028,0.99019,0.9926,0.99165,0.99995,1.0,0.99902,0.97888,0.99105,0.63591,0.52944,0.63348,0.5405,0.52493,0.98388,0.99428,0.98114,0.99328,0.99072,0.9121,0.98546,0.92897,0.83255,0.48798,0.97489,0.97299,0.98831,0.98571,0.99439,0.97935,0.49222,0.79652,0.49422,0.50635,0.98496,0.96931,0.96437,0.97536,0.98416,0.49743,0.49784,0.49743,0.50315,0.57663,0.59127,0.98209,0.80476,0.47795,0.49215,0.97694,0.47392,0.47457,0.4744,0.47895,0.90778,0.98415,0.98128,0.97849,0.97859,0.87151,0.52396,0.79501,0.49594,0.81945,0.52507,0.49218,0.66044,0.97919,0.97919,0.98009,0.97372,0.99015,0.99022,0.9894,0.99252,0.98928,0.99095,0.78468,0.49895,0.52971,0.49897,0.55865,0.54524,0.99,0.99124,0.99073,0.99352,0.99146,0.99331,0.99322,0.99389,0.99342,0.9928,0.98546,0.98605,0.94923,0.96458,0.97244,0.97919,0.98009,0.97372,0.99015,0.99022,0.66789,0.67087,0.80488,0.51904,0.52456,0.5599,0.98302,0.55483,0.9885,0.99147,0.98206,0.97536,0.97061,0.97248,0.9949,0.96329,0.49215,0.87697,0.48641,0.49693,0.9949,0.99013,0.98579,0.99069,0.99222,0.49028,0.73115,0.50357,0.49085,0.50357,0.9949,0.99013,0.98579,0.99069,0.99222,0.98388,0.99428,0.98114,0.99328,0.99072,0.99395,0.97489,0.97194,0.98831,0.98571,0.99439,0.97812,0.97469,0.98429,0.69014,0.48794,0.98017,0.99447,0.38906,0.38872,0.5789
2,0.99843,0.9986,1.0,0.98838,0.97235,0.4974,0.54025,0.93826,0.98293,0.81491,0.97967,0.70361,0.56209,0.59923,0.55997,0.9818,0.55471,0.98431,0.98805,0.93115,0.97554,0.97529,0.97038,0.97613,0.91625,0.4631,0.46524,0.45887,0.46514,0.47383,0.98354,0.47445,0.47435,0.47883,0.99843,0.9986,0.99955,0.97235,0.97568,0.7273,0.78184,0.79505,0.74763,0.74644,0.97658,0.97125,0.98296,0.98431,0.99111,0.981,0.98586,0.89911,0.99267,0.4917,0.55997,0.9818,0.55471,0.98431,0.98805,0.981,0.98586,0.98385,0.95867,0.4917,0.84624,0.72347,0.85138,0.85473,0.71159,0.97646,0.97839,0.986,0.99045,0.99207,0.99843,0.9986,0.99955,0.97235,0.98811,0.63284,0.52968,0.6295,0.54164,0.5271,0.989,0.99526,0.98617,0.99481,0.99404,0.91575,0.98316,0.93766,0.84073,0.48785,0.97658,0.97125,0.98296,0.98431,0.99111,0.97522,0.49221,0.81195,0.49414,0.5059,0.9874,0.9742,0.97032,0.9795,0.9859,0.4974,0.4978,0.4974,0.50326,0.5753,0.58542,0.98588,0.78997,0.47826,0.49213,0.98354,0.47383,0.47445,0.47435,0.47883,0.89405,0.98343,0.98086,0.97509,0.97881,0.86509,0.5192,0.80439,0.49526,0.82829,0.52088,0.492,0.65322,0.97648,0.97648,0.97815,0.9724,0.98593,0.98628,0.98455,0.99039,0.9852,0.98799,0.80025,0.49888,0.52979,0.4989,0.55748,0.54402,0.98663,0.99042,0.98888,0.99254,0.98914,0.99122,0.99095,0.9919,0.991,0.9901,0.98651,0.98295,0.95461,0.96973,0.97186,0.97648,0.97815,0.9724,0.98593,0.98628,0.67196,0.66242,0.80098,0.51896,0.525,0.55997,0.9818,0.55471,0.98431,0.98805,0.98303,0.9795,0.97544,0.97771,0.99267,0.96413,0.49213,0.86674,0.48641,0.49693,0.99267,0.98736,0.9788,0.98752,0.98997,0.49027,0.73231,0.50502,0.49086,0.50502,0.99267,0.98736,0.9788,0.98752,0.98997,0.989,0.99526,0.98617,0.99481,0.99404,0.992,0.97658,0.9697,0.98296,0.98431,0.99111,0.97555,0.97387,0.98449,0.70549,0.4879,0.97266,0.99302,0.38943,0.38822,0.58175
3,0.99047,0.99097,0.98838,1.0,0.96989,0.49817,0.54482,0.91728,0.97472,0.80135,0.98263,0.69301,0.56399,0.59871,0.55941,0.99307,0.5558,0.99131,0.99463,0.95769,0.98882,0.98553,0.98365,0.99025,0.92249,0.46321,0.46456,0.45967,0.46505,0.47392,0.9704,0.47485,0.47494,0.47948,0.99047,0.99097,0.99094,0.96989,0.97556,0.72542,0.76449,0.78186,0.7389,0.73767,0.9856,0.98691,0.98861,0.99369,0.99338,0.98002,0.98485,0.89446,0.99578,0.49375,0.55941,0.99307,0.5558,0.99131,0.99463,0.98002,0.98485,0.98746,0.95092,0.49375,0.85809,0.71197,0.86203,0.8651,0.70171,0.98638,0.99184,0.99328,0.99669,0.99159,0.99047,0.99097,0.99094,0.96989,0.98411,0.65182,0.5374,0.64991,0.54775,0.52634,0.98206,0.98947,0.98239,0.98955,0.98581,0.92715,0.97796,0.93578,0.85028,0.48723,0.9856,0.98691,0.98861,0.99369,0.99338,0.98603,0.49255,0.80206,0.49507,0.50855,0.98342,0.96793,0.96315,0.96759,0.97987,0.49774,0.49821,0.49774,0.50478,0.58063,0.59555,0.97177,0.7971,0.47881,0.49342,0.9704,0.47392,0.47485,0.47494,0.47948,0.91975,0.99339,0.99116,0.9903,0.98934,0.869,0.52768,0.79482,0.49745,0.81625,0.52184,0.48989,0.6711,0.98649,0.98649,0.99176,0.98705,0.99326,0.99349,0.99088,0.99661,0.99295,0.99493,0.78975,0.49678,0.52927,0.49686,0.55353,0.54523,0.99571,0.99433,0.99544,0.99335,0.99539,0.99584,0.99597,0.99583,0.99601,0.99553,0.98246,0.97714,0.95717,0.96657,0.98642,0.98649,0.99176,0.98705,0.99326,0.99349,0.66765,0.66473,0.79142,0.51934,0.52551,0.55941,0.99307,0.5558,0.99131,0.99463,0.97541,0.96759,0.97086,0.96619,0.99578,0.97429,0.49176,0.90076,0.48544,0.49459,0.99578,0.9874,0.97906,0.98163,0.99489,0.49103,0.71975,0.50525,0.49178,0.50525,0.99578,0.9874,0.97906,0.98163,0.99489,0.98206,0.98947,0.98239,0.98955,0.98581,0.99299,0.9856,0.98638,0.98861,0.99369,0.99338,0.98479,0.98674,0.99277,0.701,0.48792,0.9737,0.98973,0.38997,0.39022,0.58249
4,0.98012,0.97888,0.97235,0.96989,1.0,0.49802,0.55063,0.91427,0.98924,0.86581,0.97114,0.6575,0.55531,0.574,0.55205,0.94967,0.54745,0.97373,0.9744,0.92691,0.95937,0.95985,0.95057,0.9432,0.87925,0.46275,0.46502,0.45879,0.46495,0.47463,0.95287,0.47479,0.47487,0.47944,0.98012,0.97888,0.97265,1.0,0.99551,0.68459,0.74424,0.7293,0.72919,0.7093,0.93274,0.9359,0.97953,0.95531,0.98598,0.98118,0.98803,0.822,0.98224,0.49331,0.55205,0.94967,0.54745,0.97373,0.9744,0.98118,0.98803,0.98358,0.99266,0.49331,0.78722,0.67083,0.79136,0.79361,0.65063,0.95439,0.94654,0.97351,0.97272,0.96529,0.98012,0.97888,0.97265,1.0,0.99166,0.6254,0.52657,0.64121,0.53104,0.52102,0.94743,0.97165,0.94036,0.96745,0.96234,0.85437,0.97822,0.87277,0.77781,0.48681,0.93274,0.9359,0.97953,0.95531,0.98598,0.95889,0.49437,0.73403,0.49533,0.50894,0.95927,0.93885,0.93602,0.9542,0.96461,0.49714,0.49714,0.49714,0.50296,0.58446,0.60717,0.96904,0.84808,0.48174,0.49431,0.95287,0.47463,0.47479,0.47487,0.47944,0.90876,0.95071,0.94556,0.94849,0.93967,0.87819,0.53759,0.75181,0.49777,0.77547,0.51785,0.48969,0.67549,0.95453,0.95453,0.94641,0.93529,0.97365,0.97461,0.97896,0.97275,0.97139,0.97176,0.72242,0.49633,0.52523,0.49641,0.56385,0.54581,0.96972,0.965,0.96672,0.97169,0.97106,0.97482,0.97523,0.97601,0.97571,0.97589,0.97133,0.99122,0.89779,0.92301,0.93287,0.95453,0.94641,0.93529,0.97365,0.97461,0.67706,0.71937,0.84704,0.52207,0.5314,0.55205,0.94967,0.54745,0.97373,0.9744,0.96833,0.9542,0.93813,0.94978,0.98224,0.92664,0.49188,0.87153,0.48807,0.49501,0.98224,0.98692,0.99298,0.98993,0.97718,0.4899,0.72905,0.49697,0.49112,0.49697,0.98224,0.98692,0.99298,0.98993,0.97718,0.94743,0.97165,0.94036,0.96745,0.96234,0.97393,0.93274,0.93548,0.97953,0.95531,0.98598,0.95295,0.937,0.94925,0.66359,0.48726,0.99423,0.98441,0.39591,0.38944,0.57824
5,0.49744,0.49743,0.4974,0.49817,0.49757,1.0,0.55633,0.50117,0.50087,0.49431,0.49154,0.49409,0.49353,0.4943,0.49162,0.49746,0.49106,0.49753,0.49679,0.50015,0.4956,0.49445,0.49444,0.49745,0.47353,0.46521,0.46582,0.46249,0.46234,0.47657,0.49689,0.47585,0.4747,0.47804,0.49744,0.49743,0.49747,0.49757,0.49829,0.49517,0.48739,0.49265,0.49248,0.49368,0.49701,0.49703,0.49817,0.49641,0.49756,0.49407,0.4977,0.49685,0.49782,0.49206,0.49162,0.49746,0.49106,0.49753,0.49679,0.49407,0.4977,0.49785,0.49696,0.49206,0.48134,0.47788,0.48017,0.48177,0.48104,0.4947,0.49746,0.49793,0.49739,0.49671,0.49744,0.49743,0.49747,0.49757,0.49819,0.59366,0.53007,0.56967,0.51502,0.50116,0.49703,0.49698,0.49668,0.49717,0.49712,0.49348,0.49291,0.49077,0.49105,0.48566,0.49701,0.49703,0.49817,0.49641,0.49756,0.49458,0.49273,0.49658,0.4949,0.59016,0.49462,0.49124,0.49071,0.49238,0.49285,0.57846,0.9926,0.56302,0.56768,0.5289,0.47696,0.49569,0.48979,0.47368,0.49264,0.49689,0.47657,0.47585,0.4747,0.47804,0.49963,0.49724,0.49682,0.49795,0.49732,0.44671,0.48619,0.44778,0.49598,0.44784,0.51964,0.48718,0.53952,0.4947,0.4947,0.49746,0.49768,0.49793,0.49773,0.49893,0.49739,0.49758,0.49642,0.49728,0.49649,0.55339,0.4965,0.49655,0.51564,0.49714,0.49688,0.4973,0.49651,0.49653,0.49757,0.49746,0.4977,0.49752,0.49741,0.49271,0.49513,0.49196,0.49029,0.49737,0.4947,0.49746,0.49768,0.49793,0.49773,0.48932,0.49219,0.49286,0.49746,0.49058,0.49162,0.49746,0.49106,0.49753,0.49679,0.49338,0.49238,0.49185,0.49192,0.49782,0.49076,0.49052,0.49508,0.50469,0.49588,0.49782,0.49556,0.49838,0.49766,0.49649,0.48871,0.48977,0.48941,0.49655,0.48941,0.49782,0.49556,0.49838,0.49766,0.49649,0.49703,0.49698,0.49668,0.49717,0.49712,0.49757,0.49701,0.49697,0.49817,0.49641,0.49756,0.49371,0.49617,0.49703,0.4974,0.51229,0.49855,0.4975,0.35848,0.39301,0.49941
6,0.54318,0.54304,0.54071,0.54482,0.54906,0.55633,1.0,0.54613,0.55166,0.54283,0.54026,0.52975,0.51374,0.52095,0.51363,0.53824,0.50891,0.54178,0.54251,0.54139,0.53914,0.53774,0.53697,0.53696,0.5292,0.54475,0.5392,0.52853,0.5014,0.54016,0.54124,0.54106,0.53864,0.51647,0.54318,0.54304,0.54115,0.54906,0.5485,0.53787,0.52795,0.53132,0.54654,0.53294,0.53801,0.53838,0.54204,0.53832,0.54584,0.54389,0.54638,0.53226,0.54556,0.5253,0.51363,0.53824,0.50891,0.54178,0.54251,0.54389,0.54638,0.54151,0.54906,0.5253,0.52793,0.51553,0.52688,0.52824,0.51773,0.53708,0.53831,0.54318,0.54276,0.53858,0.54318,0.54304,0.54115,0.54906,0.5493,0.60149,0.53749,0.59635,0.52793,0.51159,0.53836,0.54341,0.53696,0.54253,0.54131,0.52897,0.54167,0.52775,0.532,0.50207,0.53801,0.53838,0.54204,0.53832,0.54584,0.53814,0.50472,0.53672,0.55625,0.5273,0.53944,0.53421,0.53413,0.53884,0.53911,0.49998,0.55557,0.5085,0.56443,0.8543,0.53003,0.543,0.54387,0.55642,0.54271,0.54124,0.54016,0.54106,0.53864,0.51647,0.5432,0.54024,0.53941,0.53836,0.53818,0.48568,0.62484,0.49883,0.60647,0.48986,0.52878,0.56879,0.62025,0.53713,0.53713,0.53847,0.53837,0.54137,0.54132,0.54236,0.54316,0.54145,0.53908,0.53602,0.52026,0.56287,0.50876,0.55492,0.5775,0.53972,0.53929,0.54126,0.5413,0.54117,0.5442,0.54245,0.54369,0.54361,0.54374,0.54125,0.54721,0.52578,0.52788,0.53568,0.53713,0.53847,0.53837,0.54137,0.54132,0.56154,0.57798,0.56068,0.60932,0.60464,0.51363,0.53824,0.50891,0.54178,0.54251,0.54173,0.53884,0.53383,0.53568,0.54556,0.53522,0.50767,0.54343,0.54016,0.50918,0.54556,0.54561,0.54947,0.54827,0.54387,0.48871,0.52168,0.48939,0.49439,0.48939,0.54556,0.54561,0.54947,0.54827,0.54387,0.53836,0.54341,0.53696,0.54253,0.54131,0.54498,0.53801,0.53727,0.54204,0.53832,0.54584,0.53683,0.53825,0.54048,0.53226,0.52436,0.54914,0.54533,0.42919,0.45434,0.52996
7,0.93136,0.93126,0.93826,0.91729,0.91427,0.50117,0.54753,1.0,0.941,0.80133,0.91925,0.71481,0.56077,0.60503,0.57715,0.90376,0.55348,0.90754,0.91576,0.84887,0.89666,0.89766,0.89367,0.89928,0.88372,0.46177,0.46987,0.45931,0.46194,0.47456,0.95972,0.47499,0.47446,0.47849,0.93136,0.93126,0.93524,0.91427,0.91266,0.77136,0.85159,0.82973,0.82672,0.79485,0.90644,0.89479,0.90636,0.90926,0.92487,0.92065,0.91898,0.8618,0.92816,0.492,0.57715,0.90376,0.55348,0.90754,0.91576,0.92065,0.91898,0.90911,0.91302,0.492,0.81848,0.74759,0.81775,0.82335,0.73358,0.8992,0.90086,0.90854,0.92038,0.92537,0.93136,0.93126,0.93524,0.91427,0.93319,0.62597,0.53198,0.62813,0.53472,0.53354,0.94436,0.94027,0.93359,0.9402,0.94478,0.85279,0.92328,0.89038,0.80566,0.48568,0.90644,0.89479,0.90636,0.90926,0.92487,0.89685,0.49272,0.80663,0.49365,0.50197,0.9403,0.94051,0.94463,0.94894,0.94067,0.49999,0.50057,0.49999,0.53078,0.57543,0.59164,0.95538,0.72763,0.48999,0.49204,0.95972,0.47456,0.47499,0.47446,0.47849,0.81356,0.90701,0.90457,0.89437,0.90526,0.81419,0.52987,0.83171,0.50493,0.84744,0.52142,0.48897,0.64613,0.89911,0.89911,0.90109,0.89558,0.90873,0.91143,0.90954,0.92059,0.90794,0.91428,0.79786,0.49648,0.53091,0.49649,0.56256,0.53899,0.91086,0.91943,0.91651,0.92384,0.91847,0.92207,0.92149,0.92371,0.9214,0.92006,0.93711,0.92956,0.8979,0.91755,0.89749,0.89911,0.90109,0.89558,0.90873,0.91143,0.72188,0.67989,0.8239,0.52748,0.52813,0.57715,0.90376,0.55348,0.90754,0.91576,0.9425,0.94894,0.93838,0.95014,0.92816,0.9012,0.49053,0.80002,0.48452,0.49539,0.92816,0.92986,0.91109,0.93106,0.92549,0.48872,0.73805,0.50476,0.48961,0.50476,0.92816,0.92986,0.91109,0.93106,0.92549,0.94436,0.94027,0.93359,0.9402,0.94478,0.92775,0.90644,0.89155,0.90636,0.90926,0.92487,0.89942,0.89929,0.91199,0.7291,0.48727,0.90628,0.93411,0.39676,0.38802,0.60827
8,0.98611,0.98522,0.98293,0.97472,0.98924,0.50087,0.55166,0.94102,1.0,0.85688,0.9738,0.66305,0.55504,0.58581,0.55142,0.95497,0.5493,0.9721,0.97537,0.91448,0.95902,0.96056,0.95194,0.94784,0.89181,0.46183,0.46492,0.45939,0.46198,0.47467,0.97252,0.47448,0.47456,0.47823,0.98611,0.98522,0.98261,0.98924,0.98898,0.70335,0.77066,0.76097,0.74794,0.7182,0.94302,0.94068,0.97484,0.95988,0.98657,0.98186,0.98586,0.84706,0.98616,0.49203,0.55142,0.95497,0.5493,0.9721,0.97537,0.98186,0.98586,0.97913,0.98448,0.49203,0.80593,0.68943,0.80848,0.81232,0.68144,0.95743,0.95115,0.97294,0.97655,0.97238,0.98611,0.98522,0.98261,0.98924,0.99336,0.62822,0.5211,0.63077,0.53197,0.52135,0.96688,0.98365,0.95854,0.98118,0.97825,0.86653,0.98132,0.89428,0.79537,0.48565,0.94302,0.94068,0.97484,0.95988,0.98657,0.95967,0.4927,0.76395,0.4936,0.50229,0.97582,0.96093,0.95889,0.97259,0.97709,0.49995,0.49995,0.49995,0.50501,0.58138,0.59222,0.98286,0.81283,0.48004,0.49158,0.97252,0.47467,0.47448,0.47456,0.47823,0.88845,0.95707,0.95182,0.94977,0.94789,0.87121,0.53348,0.77478,0.49634,0.79857,0.51367,0.48816,0.66171,0.95744,0.95744,0.95094,0.94109,0.973,0.97483,0.97685,0.97645,0.97106,0.97219,0.75326,0.49648,0.52367,0.49649,0.56219,0.54402,0.97076,0.97039,0.97098,0.9758,0.97415,0.97814,0.97843,0.97988,0.97883,0.97823,0.97911,0.98784,0.91507,0.9394,0.93995,0.95744,0.95094,0.94109,0.973,0.97483,0.67851,0.70502,0.84125,0.52109,0.52911,0.55142,0.95497,0.5493,0.9721,0.97537,0.98169,0.97259,0.96026,0.96749,0.98616,0.93642,0.49049,0.85808,0.48449,0.49533,0.98616,0.98745,0.98738,0.99222,0.98091,0.48869,0.72959,0.49886,0.48958,0.49886,0.98616,0.98745,0.98738,0.99222,0.98091,0.96688,0.98365,0.95854,0.98118,0.97825,0.98264,0.94302,0.93922,0.97484,0.95988,0.98657,0.95625,0.94359,0.95826,0.67068,0.48724,0.98474,0.98915,0.39271,0.38815,0.57591
9,0.82326,0.82068,0.81491,0.80135,0.86581,0.49431,0.54293,0.80133,0.85688,1.0,0.81462,0.58886,0.53005,0.53544,0.5308,0.78044,0.52339,0.8048,0.80917,0.77652,0.79237,0.7947,0.78487,0.77454,0.74346,0.45875,0.46367,0.45608,0.45359,0.47051,0.80173,0.46957,0.46858,0.47254,0.82326,0.82068,0.81238,0.86581,0.85535,0.64596,0.68556,0.63914,0.6777,0.64382,0.7643,0.76669,0.81387,0.78566,0.82763,0.82767,0.83169,0.67268,0.82141,0.4846,0.5308,0.78044,0.52339,0.8048,0.80917,0.82767,0.83169,0.82799,0.88573,0.4846,0.64137,0.59846,0.64555,0.64805,0.58915,0.78733,0.77794,0.80359,0.80561,0.79802,0.82326,0.82068,0.81238,0.86581,0.8444,0.55114,0.49966,0.58155,0.50492,0.50023,0.78712,0.81476,0.77761,0.80859,0.8041,0.69672,0.82736,0.71212,0.64264,0.47957,0.7643,0.76669,0.81387,0.78566,0.82763,0.79398,0.48921,0.61817,0.48587,0.48949,0.80659,0.79173,0.79496,0.81395,0.81512,0.49431,0.49431,0.49431,0.49481,0.56907,0.55773,0.82687,0.81741,0.4767,0.48452,0.80173,0.47051,0.46957,0.46858,0.47254,0.77959,0.78205,0.77566,0.78018,0.77125,0.80502,0.52184,0.66841,0.48737,0.68767,0.49835,0.47901,0.60617,0.78712,0.78712,0.77779,0.76683,0.80403,0.80671,0.81303,0.80548,0.80222,0.80637,0.62178,0.48874,0.5127,0.48879,0.56315,0.53046,0.80261,0.79613,0.79733,0.80387,0.80572,0.80788,0.8089,0.81043,0.80977,0.80927,0.82197,0.84957,0.74198,0.76645,0.76465,0.78712,0.77779,0.76683,0.80403,0.80671,0.6527,0.81651,0.88932,0.52222,0.53841,0.5308,0.78044,0.52339,0.8048,0.80917,0.82776,0.81395,0.78864,0.80745,0.82141,0.7605,0.48279,0.73901,0.48059,0.49006,0.82141,0.83183,0.84923,0.84392,0.8147,0.48026,0.77631,0.48114,0.48125,0.48114,0.82141,0.83183,0.84923,0.84392,0.8147,0.78712,0.81476,0.77761,0.80859,0.8041,0.81461,0.7643,0.76729,0.81387,0.78566,0.82763,0.78756,0.76929,0.78087,0.59681,0.48645,0.85585,0.82631,0.39452,0.38584,0.55255
