,model,af_plddt_avg,af_plddt_avg_norm,icps,recall,dproqa,dproqa_norm,pairwise,GNN_sum_score,GNN_pcadscore,voromqa_dark,GNN_sum_score_norm,GNN_pcadscore_norm,voromqa_dark_norm
0,T1121TS374_2o,0.93169636,0.931696355342865,0.2984911764705882,0.0001515558586672,0.00507,0.00507,0.693775064935065,0.0,0.0,0.0,0.0,0.0,0.0
1,T1121TS187_2o,0.8897692,0.8897691965103149,0.3022638888888889,0.000179111469334,0.00762,0.00762,0.7847366233766233,0.0,0.0,0.0,0.0,0.0,0.0
2,T1121TS158_3o,0.9273843,0.927384316921234,0.3071340909090909,0.0002066670800008,0.00724,0.00724,0.8065758441558443,0.0,0.0,0.0,0.0,0.0,0.0
3,T1121TS131_4o,0.8469208,0.8469207882881165,0.3347208333333333,0.0001240002480004,0.00336,0.00336,0.5478238961038961,1666.189,0.646,0.656,1666.189,0.646,0.656
4,T1121TS165_2o,0.920931,0.9209309816360474,0.2967415094339622,0.0002411115933342,0.00622,0.00622,0.7948241125541127,3021.202,0.711,0.677,3021.202,0.711,0.677
5,T1121TS288_5o,0.8819859,0.8819859027862549,0.302768,0.0001102224426671,0.00464,0.00464,0.5623999999999999,1777.207,0.501,0.67,1777.207,0.501,0.67
6,T1121TS125_1o,0.9178933,0.9178932905197144,0.3133488372093023,0.0002066670800008,0.00568,0.00568,0.7960749783549784,0.0,0.0,0.0,0.0,0.0,0.0
7,T1121TS248_4o,0.91702765,0.9170276522636414,0.2947484848484848,0.0001446669560005,0.0114,0.0114,0.6757397402597404,0.0,0.0,0.0,0.0,0.0,0.0
8,T1121TS035_5o,0.9151695,0.9151694774627686,0.3440863636363636,0.0002204448853342,0.02169,0.02169,0.7782290043290042,0.0,0.0,0.0,0.0,0.0,0.0
9,T1121TS439_4o,0.89358306,0.8935830593109131,0.3482333333333334,0.0001240002480004,0.0127,0.0127,0.5996094372294374,0.0,0.0,0.0,0.0,0.0,0.0
10,T1121TS444_5o,0.88935465,0.8893546462059021,0.2169111111111111,0.0001515558586672,0.0793,0.0793,0.4910687445887446,-667.082,0.318,0.674,-667.082,0.318,0.674
11,T1121TS360_4o,0.9194805,0.9194805026054382,0.3071340909090909,0.0002066670800008,0.00527,0.00527,0.8062117316017317,0.0,0.0,0.0,0.0,0.0,0.0
12,T1121TS367_3o,0.92747,0.9274700284004213,0.3071340909090909,0.0002066670800008,0.00767,0.00767,0.8070748051948051,0.0,0.0,0.0,0.0,0.0,0.0
13,T1121TS288_3o,0.8966856,0.8966856002807617,0.2846857142857143,0.0001722225666673,0.00623,0.00623,0.7846026406926409,2164.532,0.677,0.682,2164.532,0.677,0.682
14,T1121TS444_3o,0.9185039,0.9185038805007936,0.3088918367346939,0.0002273337880009,0.00346,0.00346,0.78603329004329,3986.068,0.848,0.673,3986.068,0.848,0.673
15,T1121TS188_4o,0.9240054,0.924005389213562,0.3071340909090909,0.0002066670800008,0.01194,0.01194,0.8086041125541126,0.0,0.0,0.0,0.0,0.0,0.0
16,T1121TS462_4o,0.9304689,0.9304689168930054,0.326840625,0.0001515558586672,0.00795,0.00795,0.779170303030303,2801.425,0.808,0.68,2801.425,0.808,0.68
17,T1121TS098_4o,0.9466142,0.9466142058372498,0.0008221556886227,0.0,0.00353,0.00353,0.3585006060606061,-2647.409,0.136,0.667,-2647.409,0.136,0.667
18,T1121TS360_5o,0.8957722,0.8957722187042236,0.3315780487804878,0.0002135559826675,0.00875,0.00875,0.7577380519480519,1508.027,0.484,0.68,1508.027,0.484,0.68
19,T1121TS390_5o,0.9079187,0.9079186916351318,0.325845,0.0001997781773341,0.00445,0.00445,0.8092900865800866,1596.987,0.527,0.676,1596.987,0.527,0.676
20,T1121TS423_3o,0.92870194,0.9287019371986388,0.3071340909090909,0.0002066670800008,0.0086,0.0086,0.8084026406926408,0.0,0.0,0.0,0.0,0.0,0.0
21,T1121TS119_5o,0.8968488,0.8968487977981567,0.3440363636363637,0.0001102224426671,0.00666,0.00666,0.5661644155844155,0.0,0.0,0.0,0.0,0.0,0.0
22,T1121TS165_4o,0.22737874,0.2273787409067154,0.0017518987341772,0.0,0.00038,0.00038,0.23315129870129872,-1521.954,0.216,0.39,-1521.954,0.216,0.39
23,T1121TS147_2o,0.9194805,0.9194805026054382,0.288979104477612,0.0002962228146678,0.04156,0.04156,0.7900137662337663,4329.455,0.826,0.691,4329.455,0.826,0.691
24,T1121TS312_3o,0.0,0.0,0.1619184210526316,7.577792933363644e-05,0.00687,0.0068249212598425,0.8015248917748918,2859.559,0.729,0.677,2840.7954895013127,0.7242165354330709,0.6725577427821523
25,T1121TS147_3o,0.901409,0.9014089703559875,0.3019530612244898,0.0002204448853342,0.02863,0.02863,0.6808752813852814,3547.316,0.777,0.686,3547.316,0.777,0.686
26,T1121TS278_5o,0.9083317,0.9083316922187804,0.3208,0.0002135559826675,0.00325,0.00325,0.7226368398268399,653.01,0.416,0.671,653.01,0.416,0.671
27,T1121TS494_3o,0.35487396,0.2179540827518373,0.0002219999999999,0.0,0.00463,0.002843622047244,0.334908658008658,-2299.026,0.114,0.406,-1412.0002204724408,0.070015748031496,0.2493543307086614
28,T1121TS165_3o,0.9124842,0.9124842286109924,0.2938459016393443,0.0002617783013343,0.00443,0.00443,0.7935054112554112,1752.572,0.609,0.677,1752.572,0.609,0.677
29,T1121TS147_5o,0.8957722,0.8957722187042236,0.2912476190476191,0.0002824450093344,0.01075,0.01075,0.7358270995670997,2925.338,0.653,0.687,2925.338,0.653,0.687
30,T1121TS119_1o,0.92271197,0.922711968421936,0.314,0.000179111469334,0.00675,0.00675,0.7025867532467531,0.0,0.0,0.0,0.0,0.0,0.0
31,T1121TS205_1o,0.88262653,0.8826265335083008,0.3407939393939394,0.000179111469334,0.00836,0.00836,0.6979455411255411,1229.299,0.436,0.677,1229.299,0.436,0.677
32,T1121TS131_3o,0.90498316,0.9049831628799438,0.3263403846153846,0.0002480004960009,0.00471,0.00471,0.7527091774891775,2215.008,0.694,0.682,2215.008,0.694,0.682
33,T1121TS461_3o,0.9040835,0.904083490371704,0.3067769230769231,0.0001171113453338,0.00542,0.00542,0.5740915584415585,2125.218,0.831,0.676,2125.218,0.831,0.676
34,T1121TS131_2o,0.9123471,0.9123470783233644,0.31173,0.0002342226906676,0.00655,0.00655,0.7545545454545455,2167.386,0.645,0.677,2167.386,0.645,0.677
35,T1121TS169_1o,0.9312364,0.9312363862991332,0.3103619047619048,0.0002066670800008,0.00711,0.00711,0.7674520346320347,0.0,0.0,0.0,0.0,0.0,0.0
36,T1121TS205_4o,0.0,0.0,0.3339666666666666,0.0002204448853342,0.01652,0.01652,0.6367215584415583,4293.447,0.792,0.673,4293.447,0.792,0.673
37,T1121TS125_3o,0.88654584,0.8865458369255066,0.3207263157894737,0.0001997781773341,0.00859,0.00859,0.7652725541125541,0.0,0.0,0.0,0.0,0.0,0.0
38,T1121TS493_5o,0.88101155,0.8810115456581116,0.141775,0.0001171113453338,0.00978,0.00978,0.5723489177489178,2125.284,0.665,0.665,2125.284,0.665,0.665
39,T1121TS374_4o,0.9168979,0.9168978929519652,0.3208357142857143,0.0002066670800008,0.00509,0.00509,0.7917515584415584,0.0,0.0,0.0,0.0,0.0,0.0
40,T1121TS423_2o,0.8897692,0.8897691965103149,0.3022638888888889,0.000179111469334,0.00762,0.00762,0.7847366233766233,1620.904,0.563,0.68,1620.904,0.563,0.68
41,T1121TS119_3o,0.9194805,0.9194805026054382,0.3071340909090909,0.0002066670800008,0.00528,0.00528,0.8061931168831169,0.0,0.0,0.0,0.0,0.0,0.0
42,T1121TS367_5o,0.92115635,0.9211563467979432,0.3071340909090909,0.0002066670800008,0.00631,0.00631,0.8085069696969697,0.0,0.0,0.0,0.0,0.0,0.0
43,T1121TS367_4o,0.92527896,0.9252789616584778,0.3071340909090909,0.0002066670800008,0.00479,0.00479,0.8070227705627706,0.0,0.0,0.0,0.0,0.0,0.0
44,T1121TS447_3o,0.0,0.0,0.06735,8.95557346670249e-05,0.02243,0.02243,0.5186272727272727,592.779,0.484,0.695,592.779,0.484,0.695
45,T1121TS494_4o,0.6677374,0.6677374243736267,0.261051724137931,0.0001102224426671,0.00323,0.00323,0.5711686147186148,2137.026,0.675,0.674,2137.026,0.675,0.674
46,T1121TS169_3o,0.8897995,0.8897994756698608,0.3482333333333334,0.0001240002480004,0.00711,0.00711,0.5981622510822511,0.0,0.0,0.0,0.0,0.0,0.0
47,T1121TS169_2o,0.8904531,0.8904531002044678,0.3069944444444444,0.000179111469334,0.0078,0.0078,0.753723116883117,0.0,0.0,0.0,0.0,0.0,0.0
