,model,plddt,percentile,plddt_norm,percentile_norm
0,H1129TS257_5,0.7420523,0.24414715719063546,0.7420523166656494,0.24414715719063546
1,H1129TS003_2,0.7700275,0.411371237458194,0.7700275182723999,0.431438127090301
2,H1129TS434_1,0.8005643,0.7658862876254181,0.8005642890930176,0.7759197324414716
3,H1129TS011_1,0.7982388,0.7290969899665551,0.7982388138771057,0.7391304347826086
4,H1129TS086_1,0.8200595,0.8361204013377926,0.8200594782829285,0.8394648829431438
5,H1129TS098_1,0.72079015,0.20735785953177258,0.7207901477813721,0.20735785953177258
6,H1129TS493_4,0.0,0.0,0.0,0.0
7,H1129TS446_2,0.8205806,0.8528428093645485,0.8205806016921997,0.8561872909698997
8,H1129TS446_4,0.76022106,0.3277591973244147,0.7602210640907288,0.3311036789297659
9,H1129TS234_5,0.50105256,0.11036789297658862,0.5010525584220886,0.11036789297658862
10,H1129TS185_5,0.7713697,0.4214046822742475,0.7530169920175299,0.29431438127090304
11,H1129TS390_1,0.7858024,0.6120401337792643,0.78580242395401,0.6321070234113713
12,H1129TS098_3,0.7050331,0.1939799331103679,0.7050331234931946,0.1939799331103679
13,H1129TS180_1,0.8929434,0.939799331103679,0.8929433822631836,0.939799331103679
14,H1129TS073_4,0.7767528,0.48494983277591974,0.7767528295516968,0.5016722408026756
15,H1129TS398_1,0.7845947,0.5652173913043478,0.784594714641571,0.5852842809364549
16,H1129TS314_1,0.0,0.0,0.0,0.0
17,H1129TS091_5,0.7380066,0.23411371237458195,0.738006591796875,0.23411371237458195
18,H1129TS205_4,0.7535461,0.29431438127090304,0.7535461187362671,0.2976588628762542
19,H1129TS158_3,0.7838022,0.5551839464882943,0.7838022112846375,0.5752508361204013
20,H1129TS073_3,0.7745263,0.47157190635451507,0.7745262980461121,0.4882943143812709
21,H1129TS368_1,0.85610884,0.8996655518394648,0.8561088442802429,0.903010033444816
22,H1129TS493_3,0.0,0.0,0.0,0.0
23,H1129TS227_2,0.792435,0.6956521739130435,0.7924349904060364,0.705685618729097
24,H1129TS225_4,0.81951475,0.8294314381270903,0.8195147514343262,0.8327759197324415
25,H1129TS091_4,0.71333635,0.2040133779264214,0.7133363485336304,0.2040133779264214
26,H1129TS493_1,0.0,0.0,0.0,0.0
27,H1129TS086_5,0.90580493,0.9531772575250836,0.9058049321174622,0.9531772575250836
28,H1129TS239_1,0.9207782,0.9732441471571907,0.920778214931488,0.9732441471571907
29,H1129TS278_5,0.8078837,0.7959866220735786,0.8078836798667908,0.7993311036789298
30,H1129TS073_1,0.80107206,0.7859531772575251,0.8010720610618591,0.7859531772575251
31,H1129TS133_2,0.8005643,0.7658862876254181,0.8005642890930176,0.7759197324414716
32,H1129TS461_3,0.7911076,0.6889632107023411,0.7911075949668884,0.6989966555183946
33,H1129TS348_5,0.7470103,0.26421404682274247,0.7470102906227112,0.26421404682274247
34,H1129TS314_3,0.0,0.0,0.0,0.0
35,H1129TS165_2,0.4546781,0.10702341137123746,0.45467808842658997,0.10702341137123746
36,H1129TS187_4,0.74024063,0.23745819397993312,0.7402406334877014,0.23745819397993312
37,H1129TS374_1,0.79985034,0.7625418060200669,0.799850344657898,0.7725752508361204
38,H1129TS011_2,0.8005643,0.7658862876254181,0.8005642890930176,0.7759197324414716
39,H1129TS447_5,0.20864967,0.0802675585284281,0.2086496651172638,0.0802675585284281
40,H1129TS461_4,0.76022106,0.3277591973244147,0.7602210640907288,0.3311036789297659
41,H1129TS423_3,0.7875674,0.6588628762541806,0.7875673770904541,0.6722408026755853
42,H1129TS367_5,0.8200595,0.8361204013377926,0.8200594782829285,0.8394648829431438
43,H1129TS092_1,0.6958672,0.17391304347826086,0.6958671808242798,0.17391304347826086
44,H1129TS441_3,0.66585314,0.15384615384615385,0.6658531427383423,0.15384615384615385
45,H1129TS125_3,0.77362776,0.4414715719063545,0.773627758026123,0.45819397993311034
46,H1129TS054_1,0.76102424,0.3377926421404682,0.7610242366790771,0.3411371237458194
47,H1129TS312_1,0.0,0.0,0.0,0.0
48,H1129TS385_1,0.78496164,0.5852842809364549,0.7849616408348083,0.6053511705685619
49,H1129TS494_4,0.60043925,0.14046822742474915,0.5792269049227109,0.13712374581939799
50,H1129TS312_3,0.0,0.0,0.0,0.0
51,H1129TS248_1,0.77897614,0.5083612040133779,0.7789761424064636,0.5351170568561873
52,H1129TS215_4,0.7426599,0.24749163879598662,0.7426599264144897,0.24749163879598662
53,H1129TS433_1,0.7000138,0.18394648829431437,0.7000138163566589,0.18394648829431437
54,H1129TS054_3,0.77362776,0.4414715719063545,0.773627758026123,0.45819397993311034
55,H1129TS439_3,0.92993164,0.9832775919732442,0.929931640625,0.9832775919732442
56,H1129TS125_2,0.7744423,0.46153846153846156,0.7744423151016235,0.4782608695652174
57,H1129TS091_3,0.83106285,0.8729096989966555,0.8310628533363342,0.8729096989966555
58,H1129TS439_5,0.92116,0.9765886287625418,0.9211599826812744,0.9765886287625418
59,H1129TS398_3,0.7845947,0.5652173913043478,0.784594714641571,0.5852842809364549
60,H1129TS205_3,0.7291365,0.21070234113712374,0.7291365265846252,0.21070234113712374
61,H1129TS423_1,0.76273966,0.34782608695652173,0.7627396583557129,0.35451505016722407
62,H1129TS165_4,0.32050523,0.09698996655518395,0.3205052316188812,0.09698996655518395
63,H1129TS257_2,0.74722415,0.26755852842809363,0.7472241520881653,0.26755852842809363
64,H1129TS037_5,0.76306665,0.35451505016722407,0.7630666494369507,0.36454849498327757
65,H1129TS225_1,0.82517135,0.8662207357859532,0.8251713514328003,0.8695652173913043
66,H1129TS169_2,0.7632311,0.36454849498327757,0.763231098651886,0.3745819397993311
67,H1129TS119_4,0.85654545,0.9063545150501672,0.8565454483032227,0.9096989966555183
68,H1129TS073_2,0.7745269,0.47491638795986624,0.7745268940925598,0.4916387959866221
69,H1129TS188_5,0.76545143,0.391304347826087,0.7654514312744141,0.40468227424749165
70,H1129TS147_3,0.0,0.0,0.0,0.0
71,H1129TS133_5,0.792435,0.6956521739130435,0.7924349904060364,0.705685618729097
72,H1129TS035_2,0.77897614,0.5083612040133779,0.7789761424064636,0.5351170568561873
73,H1129TS150_1,0.786254,0.6287625418060201,0.7862539887428284,0.6421404682274248
74,H1129TS234_1,0.50105256,0.11036789297658862,0.5010525584220886,0.11036789297658862
75,H1129TS462_2,0.83332586,0.8762541806020067,0.8333258628845215,0.8762541806020067
76,H1129TS446_1,0.7810016,0.5384615384615384,0.781001627445221,0.5618729096989966
77,H1129TS461_5,0.7735278,0.43478260869565216,0.7735278010368347,0.451505016722408
78,H1129TS444_3,0.829598,0.8695652173913043,0.8062711729793643,0.7959866220735786
79,H1129TS035_4,0.8090477,0.8060200668896321,0.8090476989746094,0.8093645484949833
80,H1129TS390_2,0.7845947,0.5652173913043478,0.784594714641571,0.5852842809364549
81,H1129TS133_1,0.7982388,0.7290969899665551,0.7982388138771057,0.7391304347826086
82,H1129TS374_4,0.7989377,0.7391304347826086,0.7989376783370972,0.7491638795986622
83,H1129TS234_2,0.50105256,0.11036789297658862,0.5010525584220886,0.11036789297658862
84,H1129TS158_1,0.7855009,0.5986622073578596,0.7855008840560913,0.6187290969899666
85,H1129TS493_5,0.786254,0.6287625418060201,0.7862539887428284,0.6421404682274248
86,H1129TS314_5,0.0,0.0,0.0,0.0
87,H1129TS037_4,0.77142644,0.42474916387959866,0.7714264392852783,0.4414715719063545
88,H1129TS368_2,0.83983564,0.882943143812709,0.8398356437683105,0.882943143812709
89,H1129TS398_4,0.7845947,0.5652173913043478,0.784594714641571,0.5852842809364549
90,H1129TS399_3,0.77362776,0.4414715719063545,0.773627758026123,0.45819397993311034
91,H1129TS374_2,0.81945574,0.8260869565217391,0.8194557428359985,0.8294314381270903
92,H1129TS298_2,0.7778834,0.49498327759197325,0.7778834104537964,0.5117056856187291
93,H1129TS312_5,0.0,0.0,0.0,0.0
94,H1129TS071_1,0.7762603,0.4816053511705686,0.7762603163719177,0.4983277591973244
95,H1129TS317_1,0.9338205,0.9933110367892977,0.9338204860687256,0.9933110367892977
96,H1129TS320_1,0.786254,0.6287625418060201,0.7862539887428284,0.6421404682274248
97,H1129TS447_2,0.20977549,0.08361204013377926,0.20977549254894257,0.08361204013377926
98,H1129TS461_2,0.8205806,0.8528428093645485,0.8205806016921997,0.8561872909698997
99,H1129TS180_2,0.89310724,0.9431438127090301,0.8931072354316711,0.9431438127090301
100,H1129TS298_5,0.7526604,0.2909698996655518,0.7526603937149048,0.2909698996655518
101,H1129TS245_5,0.80793136,0.7993311036789298,0.8079313635826111,0.802675585284281
102,H1129TS444_5,0.87944806,0.919732441471572,0.8547195239984996,0.8996655518394648
103,H1129TS071_4,0.7557513,0.3076923076923077,0.7557513117790222,0.3110367892976589
104,H1129TS003_3,0.7838022,0.5551839464882943,0.7838022112846375,0.5752508361204013
105,H1129TS185_1,0.78841484,0.6655518394648829,0.7696565882112795,0.4280936454849498
106,H1129TS368_3,0.845646,0.8896321070234113,0.8456460237503052,0.8896321070234113
107,H1129TS003_1,0.7855009,0.5986622073578596,0.7855008840560913,0.6187290969899666
108,H1129TS312_4,0.0,0.0,0.0,0.0
109,H1129TS433_4,0.6692916,0.1605351170568562,0.669291615486145,0.1605351170568562
110,H1129TS227_3,0.7792007,0.5217391304347826,0.7792006731033325,0.5484949832775919
111,H1129TS350_3,0.0,0.0,0.0,0.0
112,H1129TS003_5,0.799605,0.7558528428093646,0.7996050119400024,0.7658862876254181
113,H1129TS150_3,0.7780671,0.5016722408026756,0.7780671119689941,0.5183946488294314
114,H1129TS187_3,0.7875674,0.6588628762541806,0.7875673770904541,0.6722408026755853
115,H1129TS434_5,0.7742447,0.451505016722408,0.7742447257041931,0.4682274247491639
116,H1129TS314_4,0.0,0.0,0.0,0.0
117,H1129TS462_5,0.80868167,0.802675585284281,0.8086816668510437,0.8060200668896321
118,H1129TS054_2,0.7744423,0.46153846153846156,0.7744423151016235,0.4782608695652174
119,H1129TS374_3,0.79101586,0.68561872909699,0.7910158634185791,0.6956521739130435
120,H1129TS320_5,0.779761,0.5284280936454849,0.779761016368866,0.5551839464882943
121,H1129TS444_4,0.80089617,0.7759197324414716,0.7783763764483856,0.5250836120401338
122,H1129TS054_5,0.765051,0.38127090301003347,0.765051007270813,0.39464882943143814
123,H1129TS205_2,0.7326945,0.22742474916387959,0.7326945066452026,0.22742474916387959
124,H1129TS333_4,0.8868983,0.9331103678929766,0.8868982791900635,0.9331103678929766
125,H1129TS360_1,0.74841654,0.2809364548494983,0.748416543006897,0.2809364548494983
126,H1129TS433_2,0.6963502,0.17725752508361203,0.6963502168655396,0.17725752508361203
127,H1129TS188_2,0.7715069,0.431438127090301,0.7715069055557251,0.44816053511705684
128,H1129TS003_4,0.8200595,0.8361204013377926,0.8200594782829285,0.8394648829431438
